"extinguished","extinguish","zhasne","zhasnout","pf"," Even the last lights in the town were extinguished, but the windows of the barracks still blazed with light."," Nastávaly hodiny, kdy už i poslední světlo v městečku zhasne, ale okna kasáren byla pořád ještě osvětlená."
"came","come","přicházeli","přicházet","impf"," Orderlies came and went, hurrying through the dark and sleeping town between the barracks and the konak, where lamps also burned on the first floor."," Ordonancové přicházeli a odcházeli, pospíchali temným spícím městečkem mezi kasárnami a koňakem, kde se v prvním patře rovněž svítilo."
"went","go","odcházeli","odcházet","impf"," Orderlies came and went, hurrying through the dark and sleeping town between the barracks and the konak, where lamps also burned on the first floor."," Ordonancové přicházeli a odcházeli, pospíchali temným spícím městečkem mezi kasárnami a koňakem, kde se v prvním patře rovněž svítilo."
"hurrying","hurry","pospíchali","pospíchat","impf"," Orderlies came and went, hurrying through the dark and sleeping town between the barracks and the konak, where lamps also burned on the first floor."," Ordonancové přicházeli a odcházeli, pospíchali temným spícím městečkem mezi kasárnami a koňakem, kde se v prvním patře rovněž svítilo."
"burned","burn","svítilo","svítit","impf"," Orderlies came and went, hurrying through the dark and sleeping town between the barracks and the konak, where lamps also burned on the first floor."," Ordonancové přicházeli a odcházeli, pospíchali temným spícím městečkem mezi kasárnami a koňakem, kde se v prvním patře rovněž svítilo."
"caught","catch","chytají","chytat","impf"," They squirmed unintentionally at his words and caught hold of the stone seat with their hands, as if some powerful and invisible force were shaking the bridge beneath them."," Při jeho slovech se mimoděk posouvají ze svého místa a chytají se rukou za kamenné sedátko, jako by odkudsi prýštil nějaký mocný neviditelný proud a posouval pod nimi most."
"spoke","speak","mluví","mluvit","impf"," If sometimes, exceptionally, it so happened that someone went unexpectedly beserk in his cups or, after already getting drunk at some less reputable cafe, should force his way into the room, then Milan the servant appeared, a tall broadshouldered and hairy man from Lika, of gigantic strength, a man who spoke little and did all the odd jobs."," A když se občas, zcela výjimečně stane, že někdo znenadání při pití zdivočí nebo se už předem opije v jiných, podřadnějších hospodách a vrazí pak násilím do hotelu, tu se objevuje podomek Milan, vysoký, ramenatý a kostnatý muž z Liky, který má obří sílu, málo mluví a vykonává všechny práce."
"looked","look","Díval","dívat","impf"," He looked straight at the incomprehensible Turkish inscription as if he were reading it and trying to decipher the deeper sense of what his friend beside him had been saying penetratingly and consideredly."," Díval se upřeně na ten nesrozumitelný turecký nápis, jako by z něho četl a uhadoval hlubší, skutečný smysl toho, co mu tu přísně a promyšleně říká ten zlý kamarád vedle něho."
"reading","read","četl","číst","impf"," He looked straight at the incomprehensible Turkish inscription as if he were reading it and trying to decipher the deeper sense of what his friend beside him had been saying penetratingly and consideredly."," Díval se upřeně na ten nesrozumitelný turecký nápis, jako by z něho četl a uhadoval hlubší, skutečný smysl toho, co mu tu přísně a promyšleně říká ten zlý kamarád vedle něho."
"saying","say","říká","říkat","impf"," He looked straight at the incomprehensible Turkish inscription as if he were reading it and trying to decipher the deeper sense of what his friend beside him had been saying penetratingly and consideredly."," Díval se upřeně na ten nesrozumitelný turecký nápis, jako by z něho četl a uhadoval hlubší, skutečný smysl toho, co mu tu přísně a promyšleně říká ten zlý kamarád vedle něho."
