"got","get","přišel","přijít","pf"," ( The best Vizier is the one who got as far as the border and then turned back to Istanbul without ever setting foot in Bosnia. )"," ( "" Nejlepší je ten, který přišel do Priboje a odtamtud se vrátil do Stambulu, aniž nohou vkročil do Bosny. "" )"
"leave","leave","Zanechají","zanechat","pf"," They would spend a bit of money and leave a few gifts in the town, but they would be followed by a search-party or the very next day there would be questions."," Zanechají ve městě trochu těch peněz, které tu utratili, a nějaké ty dary, ale po nich přijde pronásledování, možná hned na druhý den výslechy a vyšetřování."
"spend","spend","utratili","utratit","pf"," They would spend a bit of money and leave a few gifts in the town, but they would be followed by a search-party or the very next day there would be questions."," Zanechají ve městě trochu těch peněz, které tu utratili, a nějaké ty dary, ale po nich přijde pronásledování, možná hned na druhý den výslechy a vyšetřování."
"followed","follow","přijde","přijít","pf"," They would spend a bit of money and leave a few gifts in the town, but they would be followed by a search-party or the very next day there would be questions."," Zanechají ve městě trochu těch peněz, které tu utratili, a nějaké ty dary, ale po nich přijde pronásledování, možná hned na druhý den výslechy a vyšetřování."
"talked","talk","rozmlouvali","rozmlouvat","impf"," Who were they, what were they, where had they stayed, who had they talked to?"," Kdo to byl a co to bylo zač, u koho přenocovali, s kým rozmlouvali?"
"preserve","preserve","zachoval","zachovat","pf"," And he sharply ordered Rotta himself to stop if he wanted to preserve what was left of his skin, because for weeks now he had been causing upset among the leading men of this town where there had hitherto reigned the peace of a place of worship, and he would never be worth that even if he had a head made of gold and the brains of a Vizier."," Rottovi samotnému pak vzkázal ostře, aby dal pokoj a zachoval si ten trošek hlavy na ramenou, neboť kvůli němu už se po celé týdny vzrušují první lidé v tomto městě, v němž dosud vládlo ticho jako v modlitebně, a za to on nestojí, i kdyby měl hlavu ze zlata a v ní vezírský rozum."
"reigned","reign","vládlo","vládnout","impf"," And he sharply ordered Rotta himself to stop if he wanted to preserve what was left of his skin, because for weeks now he had been causing upset among the leading men of this town where there had hitherto reigned the peace of a place of worship, and he would never be worth that even if he had a head made of gold and the brains of a Vizier."," Rottovi samotnému pak vzkázal ostře, aby dal pokoj a zachoval si ten trošek hlavy na ramenou, neboť kvůli němu už se po celé týdny vzrušují první lidé v tomto městě, v němž dosud vládlo ticho jako v modlitebně, a za to on nestojí, i kdyby měl hlavu ze zlata a v ní vezírský rozum."
"wanted","want","Chce","chtít","impf"," If he wanted to live in Travnik calmly and decently, all right."," Chce - li v Travniku žít klidně a poctivě, budiž;"
"reproach","reproach","vyčítala","vyčítat","impf"," And when this nausea became insupportable, which happened often, she would get up, burst into her husband 's office, interrupting his work, and reproach him bitterly for bringing them here, demanding through her tears that they leave this filthy, wretched country at once."," Když pak se jí toto utrpení stávalo nesnesitelným, a to se dělo často, povstala, vtrhla k muži, vyrušila ho z práce a trpce mu vyčítala, že je sem dotáhl, a v slzách ho žádala, aby ihned opustili tuto špinavou a nešťastnou zemi."
"demanding","demand","žádala","žádat","impf"," And when this nausea became insupportable, which happened often, she would get up, burst into her husband 's office, interrupting his work, and reproach him bitterly for bringing them here, demanding through her tears that they leave this filthy, wretched country at once."," Když pak se jí toto utrpení stávalo nesnesitelným, a to se dělo často, povstala, vtrhla k muži, vyrušila ho z práce a trpce mu vyčítala, že je sem dotáhl, a v slzách ho žádala, aby ihned opustili tuto špinavou a nešťastnou zemi."
"leave","leave","opustili","opustit","pf"," And when this nausea became insupportable, which happened often, she would get up, burst into her husband 's office, interrupting his work, and reproach him bitterly for bringing them here, demanding through her tears that they leave this filthy, wretched country at once."," Když pak se jí toto utrpení stávalo nesnesitelným, a to se dělo často, povstala, vtrhla k muži, vyrušila ho z práce a trpce mu vyčítala, že je sem dotáhl, a v slzách ho žádala, aby ihned opustili tuto špinavou a nešťastnou zemi."
"equipped","equip","vyzbrojena","vyzbrojit","pf"," His company was the best maintained and equipped, he came first in examinations and exercises, and all without the zeal that tends to dog the ascent of ambitious people like an unpleasant shadow."," Jeho četa byla nejlépe držena a vyzbrojena, byl první na zkouškách i ve cvičeních, a to vše bez oné zjevné horlivosti, která jako nepříjemný stín doprovází ctižádostivé lidi při jejich vzestupu."
"torn","tear","odtržen","odtrhnout","pf"," One of them had the sleeve of his filthy shirt torn off at the shoulder, and this piece of linen was fluttering in the light breeze."," Jednomu z nich byl na rameni odtržen rukáv zašpiněné košile, a ten kousek plátna zlehka vlál v mírném vánku."
"see","see","vidět","vidět","impf"," His teeth clenched, consciously determined to see this too with his own eyes, shaken, but in a solemnly tranquil state of mind, the young man looked up at the two figures above him."," Se zaťatými čelistmi, pevně odhodlán, že i to musí vidět na vlastní oči, otřesen, ale v slavnostně klidné náladě mladík zíral na ty dvě pozdvižené postavy."
"shaken","shake","otřesen","otřást","pf"," His teeth clenched, consciously determined to see this too with his own eyes, shaken, but in a solemnly tranquil state of mind, the young man looked up at the two figures above him."," Se zaťatými čelistmi, pevně odhodlán, že i to musí vidět na vlastní oči, otřesen, ale v slavnostně klidné náladě mladík zíral na ty dvě pozdvižené postavy."
"returned","return","vrátil","vrátit","pf"," It was in this mood that he returned to the Consulate."," V té náladě vrátil se do konzulátu."
"report","report","hlásil","hlásit","impf"," At the same time, he was receiving increasingly frequent and increasingly strict orders to keep watch on the work of the French Consul and his agents and to report on every smallest detail."," Zároveň dostával čím dále častější a ostřejší nařízení, aby dával pozor na činnost francouzského konzula a jeho agentů a aby hlásil každou, i sebemenší podrobnost."
"rode","ride","jel","jet","impf"," In the middle of the procession, on a fat, ageing dapple-grey, rode the French Consul General, Monsieur Jean Daville, a tall, fair-haired, red-faced man with blue eyes and a moustache."," Uprostřed průvodu jel na dobře živeném obstarožním grošáku francouzský generální konzul, pan Jean Daville, vysoký muž modrých očí a plavých vousů, červených tváří."
"travelling","travel","cestuje","cestovat","impf"," Beside him was a chance travelling companion, Monsieur Poucqueville, who was on his way to Yannina, where his brother was the French consul."," Vedle něho nahodilý spolucestující, pan Pouqueville, který cestuje do Janiny, kde má bratra francouzským konzulem."
"asked","ask","tázal","tázat","impf"," How is it possible, ' asked Des Fosses, for this country to become stable and orderly and adopt at least as great a degree of civilization as its closest neighbours, if its people are divided as nowhere else in Europe?"," "" Jak by bylo možné, "" tázal se Des Fossés, "" aby tato země došla míru a pořádku a přijala alespoň tolik civilizace, kolik mají její nejbližší sousedé, když je lid v ní rozpolcen jako nikde jinde v Evropě?"
"adopt","adopt","přijala","přijmout","pf"," How is it possible, ' asked Des Fosses, for this country to become stable and orderly and adopt at least as great a degree of civilization as its closest neighbours, if its people are divided as nowhere else in Europe?"," "" Jak by bylo možné, "" tázal se Des Fossés, "" aby tato země došla míru a pořádku a přijala alespoň tolik civilizace, kolik mají její nejbližší sousedé, když je lid v ní rozpolcen jako nikde jinde v Evropě?"
"seemed","seem","zdálo","zdát","impf"," Work on the transport of French cotton through Bosnia was already established and progressing well, or at least it seemed so when compared to the worries and fears provoked by the large undertaking that was now unfolding somewhere far away in the North."," Práce kolem dopravy francouzské bavlny Bosnou probíhaly už vyježděnými kolejemi a pokračovaly dobře, nebo se alespoň tak zdálo u srovnání se starostmi a obavami velikého válečného podniku, který se nyní rozvíjel kdesi daleko na Severu."
"stole","steal","kradl","krást","impf"," It is true that the carriers kept putting up their prices, people stole cotton along the way, and the Turkish customs officers were disorganized, and had an insatiable appetite for bribes."," Je pravda, že koňaři zvyšovali ceny, lid cestou kradl bavlnu a turečtí celníci byli nepořádní a nenasytní v přijímání úplatků."
"see","see","Vidíte","vidět","impf"," You can see that the people of Bosnia are divided into three or even four faiths, divided and in bloody conflict with each other, and all of them separated from Europe, that is, from the world and life, by an impassable wall."," Vidíte, že je lid v Bosně rozdělen na tři, ba dokonce na čtyři náboženství, oddělená, ale do krve mezi sebou rozvaděná a všechna společně odloučená nepřekročitelnou zdí od Evropy, to jest od světa a života."
"divided","divide","rozdělen","rozdělit","pf"," You can see that the people of Bosnia are divided into three or even four faiths, divided and in bloody conflict with each other, and all of them separated from Europe, that is, from the world and life, by an impassable wall."," Vidíte, že je lid v Bosně rozdělen na tři, ba dokonce na čtyři náboženství, oddělená, ale do krve mezi sebou rozvaděná a všechna společně odloučená nepřekročitelnou zdí od Evropy, to jest od světa a života."
