"led","lead","Zavedla","zavést","pf"," She led him to her living room sofa where she claimed a corner, tucking her bare feet beneath her hips."," Zavedla ho k pohovce v obývacím pokoji, kde si zabrala roh a zastrčila si bosé nohy pod sebe."
"sat","sit","sedl","sednout","pf"," Dean sat on the edge of the cushion and propped his elbows on his knees."," Dean si sedl na kraj a opřel si lokty o kolena."
"propped","prop","opřel","opřít","pf"," Dean sat on the edge of the cushion and propped his elbows on his knees."," Dean si sedl na kraj a opřel si lokty o kolena."
"decided","decide","usoudil","usoudit","pf"," On the drive over, he had rehearsed several ways to broach the subject, but ultimately decided that there was no graceful way."," Cestou si nazkoušel několik způsobů, jak zavést řeč na to, proč přišel, ale nakonec usoudil, že žádný přijatelný způsob neexistuje."
"lie","lie","lhát","lhát","impf"," He respected her too much to lie."," Nechtěl jí lhát, na to si jí příliš vážil."
"decided","decide","Rozhodl","rozhodnout","pf"," He had decided to be forthright."," Rozhodl se, že půjde rovnou k věci."
"see","see","nevidíš","vidět","impf"," Do n't you see that you 're going to ruin me?"," Copak nevidíš, že mě takhle zničíš?"
"ruin","ruin","zničíš","zničit","pf"," Do n't you see that you 're going to ruin me?"," Copak nevidíš, že mě takhle zničíš?"
"do","do","nedělej","dělat","impf"," Please, honey, please do n't do this. """," Prosím tě, lásko, nedělej to. """
"do","do","nedělej","dělat","impf"," Please, honey, please do n't do this. """," Prosím tě, lásko, nedělej to. """
"get","get","obstarají","obstarat","pf"," "" If I do n't give them permission to get into it, they 'll get a court order or a search warrant, whatever is required."," "" Jestli jim nedovolím, aby se do něj podívali, obstarají si soudní příkaz nebo povolení k prohlídce, nebo co je zapotřebí."
"get","get","obstarají","obstarat","pf"," "" If I do n't give them permission to get into it, they 'll get a court order or a search warrant, whatever is required."," "" Jestli jim nedovolím, aby se do něj podívali, obstarají si soudní příkaz nebo povolení k prohlídce, nebo co je zapotřebí."
"lost","lose","ztratil","ztratit","pf"," Maybe I 've lost my criminal instinct."," Možná jsem ztratil kriminální instinkty."
"hope","hope","Doufám","doufat","impf"," I hope I have. """," Doufám, že jo. """
"liked","like","líbilo","líbit","impf"," He had a safe-effacing manner that Paris liked. But Curtis did n't appear to be charmed by it."," Jeho chování se Paris líbilo, ale Curtise zřejmě neokouzlil."
"charmed","charm","neokouzlil","okouzlit","pf"," He had a safe-effacing manner that Paris liked. But Curtis did n't appear to be charmed by it."," Jeho chování se Paris líbilo, ale Curtise zřejmě neokouzlil."
"believing","believe","uvěřili","uvěřit","pf"," "" If you had admitted this to us the day before yesterday, we might have come closer to believing you. """," "" Kdybyste nám tohle vyklopil předevčírem, možná bychom vám uvěřili víc. """
"Listen","listen","Poslyš","slyšet","impf"," "" Listen, Marian, I 'm sure she 's just punishing us for punishing her."," "" Poslyš, Marian, určitě nás jenom trestá za to, že ji trestáme."
"punishing","punish","trestá","trestat","impf"," "" Listen, Marian, I 'm sure she 's just punishing us for punishing her."," "" Poslyš, Marian, určitě nás jenom trestá za to, že ji trestáme."
"punishing","punish","trestá","trestat","impf"," "" Listen, Marian, I 'm sure she 's just punishing us for punishing her."," "" Poslyš, Marian, určitě nás jenom trestá za to, že ji trestáme."
"punishing","punish","trestáme","trestat","impf"," "" Listen, Marian, I 'm sure she 's just punishing us for punishing her."," "" Poslyš, Marian, určitě nás jenom trestá za to, že ji trestáme."
"punishing","punish","trestáme","trestat","impf"," "" Listen, Marian, I 'm sure she 's just punishing us for punishing her."," "" Poslyš, Marian, určitě nás jenom trestá za to, že ji trestáme."
"wants","want","Chce","chtít","impf"," She wants to put a scare in you, and she 's succeeding."," Chce ti nahnat strach a daří se jí to."
"stayed","stay","zůstala","zůstat","pf"," It 's not like this is the first time she 's stayed out all night. """," Není to, jako kdyby zůstala přes noc pryč poprvé. """
"come","come","nepřišla","přijít","pf"," The last time Janey had failed to come home, she 'd come close to being booked into the Travis County jail for public lewdness."," Když posledně nepřišla Janey domů, málem skončila v okresním vězení za veřejné pohoršování."
"come","come","nepřišla","přijít","pf"," The last time Janey had failed to come home, she 'd come close to being booked into the Travis County jail for public lewdness."," Když posledně nepřišla Janey domů, málem skončila v okresním vězení za veřejné pohoršování."
"close","close","skončila","skončit","pf"," The last time Janey had failed to come home, she 'd come close to being booked into the Travis County jail for public lewdness."," Když posledně nepřišla Janey domů, málem skončila v okresním vězení za veřejné pohoršování."
"poured","pour","nalila","nalít","pf"," While her water was heating in the microwave, she poured him a glass of orange juice and took a package of cookies from the pantry."," Zatímco se jí ohřívala v mikrovlnné troubě voda, nalila mu sklenici pomerančového džusu a vyndala ze spíže balíček sušenek."
"took","take","vyndala","vyndat","pf"," While her water was heating in the microwave, she poured him a glass of orange juice and took a package of cookies from the pantry."," Zatímco se jí ohřívala v mikrovlnné troubě voda, nalila mu sklenici pomerančového džusu a vyndala ze spíže balíček sušenek."
"think","think","myslíš","myslet","impf"," "" What do you think he 's lying about? """," "" V čem myslíš, že lže? """
"lying","lie","lže","lhát","impf"," "" What do you think he 's lying about? """," "" V čem myslíš, že lže? """
"told","tell","říkal","říkat","impf"," Earlier tonight, you told me you thought he was lying to you."," Dnes jsi mi říkal, že si myslíš, že ti lže."
"thought","think","myslíš","myslet","impf"," Earlier tonight, you told me you thought he was lying to you."," Dnes jsi mi říkal, že si myslíš, že ti lže."
"lying","lie","lže","lhát","impf"," Earlier tonight, you told me you thought he was lying to you."," Dnes jsi mi říkal, že si myslíš, že ti lže."
"asked","ask","zeptala","zeptat","pf"," "" What about Janey 's parents? "" Paris asked."," "" A co rodiče té Janey? "" zeptala se Paris."
"replied","reply","odpověděl","odpovědět","pf"," "" They 've had trouble with her, "" Curtis replied."," "" Měli s ní potíže, "" odpověděl Curtis."
"want","want","Nechtěli","chtít","impf"," We did n't want to alert them to a possible connection between her unknown whereabouts and Valentino 's call until we had more to go on."," Nechtěli jsme je upozornit na možnou spojitost mezi zmizením jejich dcery a Valentinovým telefonátem, dokud nebudeme mít čeho se chytit."
"alert","alert","upozornit","upozornit","pf"," We did n't want to alert them to a possible connection between her unknown whereabouts and Valentino 's call until we had more to go on."," Nechtěli jsme je upozornit na možnou spojitost mezi zmizením jejich dcery a Valentinovým telefonátem, dokud nebudeme mít čeho se chytit."
"hoping","hope","Doufali","doufat","impf"," We were hoping your audio tape would shed some light. """," Doufali jsme, že nám to trochu osvětlí ty vaše nahrávky. """
"provoked","provoke","Vyprovokoval","vyprovokovat","pf"," He provoked me, I lost my temper and backhanded him across the mouth. """," Vyprovokoval mě, ztratil jsem nervy a hřbetem ruky jsem ho udeřil přes ústa. """
"lost","lose","ztratil","ztratit","pf"," He provoked me, I lost my temper and backhanded him across the mouth. """," Vyprovokoval mě, ztratil jsem nervy a hřbetem ruky jsem ho udeřil přes ústa. """
"looked","look","pohlédl","pohlédnout","pf"," He looked at her sharply."," Pronikavě na ni pohlédl."
"told","tell","řekl","říci","pf"," "" Jack told you? """," "" Jack ti to řekl? """
