"say","say","neodpovíš","odpovědět","pf"," ' Why do n't you say something, Niza? ' asked Judas miserably, hastening to keep pace with her."," "" Proč mi neodpovíš, Niso? "" žadonil Jidáš, když ji dohnal."
"bored","bore","nudit","nudit","impf"," ' Wo n't I be bored with you? ' Niza asked suddenly and stopped."," "" A nebudu se s tebou nudit? "" prohodila a zastavila se."
"felt","feel","cítil","cítit","impf"," Judas now felt utterly hopeless."," Jidáš cítil, jak se mu myšlenky zamíchaly v hlavě."
"screamed","scream","křičel","křičet","impf"," ' No - I was wrong! ' screamed the Levite, now quite hoarse."," "" Mýlil jsem se! "" křičel chraplavě."
"offended","offend","urazit","urazit","pf"," Stepa was in a delicate position : for one thing, the foreigner might be offended at Stepa ringing up to check on him after he had been shown the contract and for another, the treasurer was an extremely difficult man to deal with."," Byl v choulostivé situaci : za prvé, cizinec se mohl urazit, že si znovu ověřuje celou záležitost, ačkoli viděl smlouvu, a domluvit se s ředitelem taky nebylo lehké."
"check","check","ověřuje","ověřovat","impf"," Stepa was in a delicate position : for one thing, the foreigner might be offended at Stepa ringing up to check on him after he had been shown the contract and for another, the treasurer was an extremely difficult man to deal with."," Byl v choulostivé situaci : za prvé, cizinec se mohl urazit, že si znovu ověřuje celou záležitost, ačkoli viděl smlouvu, a domluvit se s ředitelem taky nebylo lehké."
"said","say","řečeno","říci","pf"," Man is mortal and as the professor so rightly said mortality can come so suddenly."," Co naplat, člověk je smrtelný, a jak už bylo správně řečeno, může ho to potrefit kdykoliv."
"said","say","pronesl","pronést","pf"," ' A fool, ' distinctly said a bass voice that belonged to neither of the Ivans and was extremely like the professor 's."," "" Jako hlupák! "" pronesl zřetelně bas, který nepatřil prvnímu ani druhému Ivanovi, zato se nápadně podobal hlasu konzultanta."
"gone","go","šla","jít","impf"," One of the charwomen was telling everyone that when she had gone to clean the treasurer 's office she had found the door ajar, the lights burning, the window on to the garden smashed, a chair overturned on the floor and no one in the room."," Uklízečka už zatím hbitě roznesla, že když šla do ředitelovy kanceláře uklízet, našla dveře dokořán, všechny lampy rozsvícené, rozbité okno do parku, povalené křeslo a jinak prázdno."
"clean","clean","uklízet","uklízet","impf"," One of the charwomen was telling everyone that when she had gone to clean the treasurer 's office she had found the door ajar, the lights burning, the window on to the garden smashed, a chair overturned on the floor and no one in the room."," Uklízečka už zatím hbitě roznesla, že když šla do ředitelovy kanceláře uklízet, našla dveře dokořán, všechny lampy rozsvícené, rozbité okno do parku, povalené křeslo a jinak prázdno."
"found","find","našla","najít","pf"," One of the charwomen was telling everyone that when she had gone to clean the treasurer 's office she had found the door ajar, the lights burning, the window on to the garden smashed, a chair overturned on the floor and no one in the room."," Uklízečka už zatím hbitě roznesla, že když šla do ředitelovy kanceláře uklízet, našla dveře dokořán, všechny lampy rozsvícené, rozbité okno do parku, povalené křeslo a jinak prázdno."
"weeping","weep","plakala","plakat","impf"," At eleven o'clock Madame Rimsky descended on the Variety, weeping and wringing her hands."," Po desáté hodině vtrhla do Varieté madam Rimská, usedavě plakala a lomila rukama."
"appeared","appear","dostavily","dostavit","pf"," Then at half past eleven the police appeared."," V půl jedenácté se dostavily vyšetřovací orgány."
"despatch","despatch","vyslán","vyslat","pf"," To assist in the task of guarding the hill, the Procurator asked the Legate to despatch an auxiliary cavalry regiment, the Syrian ala."," Za stejným účelem bude na Golgotu vyslán pomocný jezdecký pluk, syrská ala, aby posílil ochranu."
"handed","hand","podal","podat","pf"," Pilate rolled up the parchment and with a brusque movement handed it back to the Levite."," Svinul pergamen a podal ho kvapně Matoušovi."
"take","take","Vem","vzít","pf"," ' There, take it, ' he said, and after a short silence he added :"," "" Vem si to, "" pobídl ho a za chvíli dodal :"
"added","add","dodal","dodat","pf"," ' There, take it, ' he said, and after a short silence he added :"," "" Vem si to, "" pobídl ho a za chvíli dodal :"
"like","like","chci","chtít","impf"," I have a large library at Caesarea, I am very rich and I would like you to come and work for me."," Mám v Kaisareji obsáhlou knihovnu, jsem nesmírně bohatý a chci tě vzít do své služby."
"went","go","pokračoval","pokračovat","impf"," So, gentlemen, ' went on Ivan, addressing an imaginary audience, ' let us consider the following problem : why, I should like to know, did I get in such a rage with that mysterious professor or magician with his empty, black eye?"," A dále, soudruzi, pokračoval v duchu a obracel se neznámo ke komu, vezměte si třeba tohle : vysvětlete mi, proč jsem si tak zasedl na toho záhadného konzultanta, mága a profesora s vyhaslým černým okem?"
"did","do","vezměte","vzít","pf"," So, gentlemen, ' went on Ivan, addressing an imaginary audience, ' let us consider the following problem : why, I should like to know, did I get in such a rage with that mysterious professor or magician with his empty, black eye?"," A dále, soudruzi, pokračoval v duchu a obracel se neznámo ke komu, vezměte si třeba tohle : vysvětlete mi, proč jsem si tak zasedl na toho záhadného konzultanta, mága a profesora s vyhaslým černým okem?"
"see","see","uvidí","uvidět","pf"," He knows, too, that in the garden beyond the railings he will inevitably see the same thing every time."," Kromě toho čeká, že v zahradě obehnané mříží uvidí stále se opakující výjev."
"turned","turn","otočil","otočit","pf"," Woland turned round to the master and went on :"," A otočil se k Mistrovi se slovy :"
"complete","complete","zakončit","zakončit","pf"," ' Now is your chance to complete your novel with a single sentence. '"," "" Teď můžete jednou větou zakončit svůj román! """
"passing","pass","prošlo","projít","pf"," The apparition, passing through an opening in the trellis, mounted the verandah unhindered."," Zjevení prošlo otvorem v mřížoví a bez překážek vstoupilo na terasu."
"reflected","reflect","přemýšlel","přemýšlet","impf"," The actor hung his head, reflected for a moment, then clapped his hands."," Herec sklonil hlavu, chvíli přemýšlel a pak tleskl do dlaní."
"replied","reply","odpověděl","odpovědět","pf"," ' She is my wife, ' replied Dunchill with dignity, looking at the woman with a faint expression of repugnance."," "" To je moje žena, "" odpověděl důstojně Dunčil a s odporem se zadíval na ženinu dlouhou šíji."
"lives","live","bydlí","bydlet","impf"," The professor never knows what draws him to those railings or who lives in that house, but he knows that it is useless to fight his instinct at full moon."," Profesor by nedovedl vysvětlit, co ho sem pudí a kdo bydlí v téhle vile, jen ví, že za úplňku je sám vůči sobě bezmocný."
"replied","reply","odpovídal","odpovídat","impf"," ' I am not a slave, ' replied Matthew the Levite, growing angrier, ' I am his disciple. '"," "" Nejsem otrok, "" odpovídal stále podrážděněji příchozí, "" jsem jeho učedník. """
"alter","alter","nemění","měnit","impf"," ' You and I are speaking different languages, as always, ' said Woland, ' but that does not alter the things we are talking about."," "" My dva nikdy nenajdeme společný jazyk, "" povzdechl si mág, "" ale to na věci nic nemění."
"read","read","Přečetl","přečíst","pf"," ' He has read the master 's writings, ' said Matthew the Levite, ' and asks you to take the master with you and reward him by granting him peace."," "" Přečetl si Mistrův román, "" pravil Matouš, "" a žádá tě, abys vzal Mistra s sebou a dopřál mu odpočinku."
"said","say","pravil","pravit","pf"," ' He has read the master 's writings, ' said Matthew the Levite, ' and asks you to take the master with you and reward him by granting him peace."," "" Přečetl si Mistrův román, "" pravil Matouš, "" a žádá tě, abys vzal Mistra s sebou a dopřál mu odpočinku."
"asks","ask","žádá","žádat","impf"," ' He has read the master 's writings, ' said Matthew the Levite, ' and asks you to take the master with you and reward him by granting him peace."," "" Přečetl si Mistrův román, "" pravil Matouš, "" a žádá tě, abys vzal Mistra s sebou a dopřál mu odpočinku."
"take","take","žádá","žádat","impf"," ' He has read the master 's writings, ' said Matthew the Levite, ' and asks you to take the master with you and reward him by granting him peace."," "" Přečetl si Mistrův román, "" pravil Matouš, "" a žádá tě, abys vzal Mistra s sebou a dopřál mu odpočinku."
"take","take","vzal","vzít","pf"," ' He has read the master 's writings, ' said Matthew the Levite, ' and asks you to take the master with you and reward him by granting him peace."," "" Přečetl si Mistrův román, "" pravil Matouš, "" a žádá tě, abys vzal Mistra s sebou a dopřál mu odpočinku."
"granting","grant","dopřál","dopřát","pf"," ' He has read the master 's writings, ' said Matthew the Levite, ' and asks you to take the master with you and reward him by granting him peace."," "" Přečetl si Mistrův román, "" pravil Matouš, "" a žádá tě, abys vzal Mistra s sebou a dopřál mu odpočinku."
"sat","sit","posadil","posadit","pf"," Quite unafraid Ivan sat up in bed and saw a man on the balcony."," Básník se nebojácně posadil na posteli a rozeznal v přízraku muže."
"Revealed","reveal","ODHALENA","odhalit","pf"," Black Magic Revealed"," ČERNÁ MAGIE A JAK BYLA ODHALENA"
"reared","rear","zvedlo","zvednout","pf"," As the band played a foxtrot he rode round in circles a few times, then gave a triumphant yelp at which the bicycle reared up with its front wheel in the air."," Za zvuků foxtrotu opsal kruh a pak spustil vítězoslavný pokřik, až se kolo zvedlo na zadní."
"let","let","dovolíte","dovolit","pf"," ' You must let me settle up with you, ' moaned Stepa, thoroughly crushed, and began hunting for his wallet."," "" Vyrovnáme se, když dovolíte, "" zafňukal zničený Sťopa a sahal po náprsní tašce."
"exclaimed","exclaim","zvolal","zvolat","pf"," ' Oh, what nonsense! ' exclaimed the artiste and would hear no more of it."," "" Taková maličkost! "" zvolal hostující umělec a nechtěl o placení ani slyšet."
"hear","hear","slyšet","slyšet","impf"," ' Oh, what nonsense! ' exclaimed the artiste and would hear no more of it."," "" Taková maličkost! "" zvolal hostující umělec a nechtěl o placení ani slyšet."
"said","say","pronesl","pronést","pf"," ' How beautiful she is, ' said Ivan, without envy but sadly and touchingly."," "" Jak je krásná, "" pronesl bez závisti, teskně Ivan a hlas se mu dojatě chvěl."
"added","add","dodal","dodat","pf"," He thought for a moment, then added thoughtfully :"," Zamyslel se a pak dodal :"
"felt","feel","pociťovala","pociťovat","impf"," Joy surged through every part of her body, she felt as though bubbles were shooting along every limb."," Markétka pociťovala intenzívně každou částečkou svého já radost, která se jí šířila po celém těle jako svědivé puchýře."
"offered","offer","nabídl","nabídnout","pf"," The handsome man stepped gallantly towards it and offered his bent arm."," Krasavec k němu galantně přiskočil a nabídl mu rámě."
"began","begin","začal","začít","pf"," With the horseshoe in his possession again, the stranger began bowing and scraping to Anna, shook her by the hand and thanked her warmly in a thick foreign accent :"," Sotva dostal zpátky podkovu a ubrousek, šilhavý cizinec začal šoupat nohama, tiskl Anušce ruku a s cizím přízvukem jí horlivě děkoval :"
"thanked","thank","děkoval","děkovat","impf"," With the horseshoe in his possession again, the stranger began bowing and scraping to Anna, shook her by the hand and thanked her warmly in a thick foreign accent :"," Sotva dostal zpátky podkovu a ubrousek, šilhavý cizinec začal šoupat nohama, tiskl Anušce ruku a s cizím přízvukem jí horlivě děkoval :"
"allow","allow","Dovolte","dovolit","pf"," Please allow me to give you two hundred roubles for saving it. '"," Dovolte mi, abych vám za to, že jste ji tak pečlivě schovala, věnoval dvě stě rublů. """
"give","give","věnoval","věnovat","impf"," Please allow me to give you two hundred roubles for saving it. '"," Dovolte mi, abych vám za to, že jste ji tak pečlivě schovala, věnoval dvě stě rublů. """
"fallen","fall","upadl","upadnout","pf"," His face worked, he staggered and he would have fallen if he had not put out a dirty hand to grasp the edge of the table."," Vtom muž zbledl, zavrávoral, a kdyby se nezachytil špinavou rukou stolu, určitě by upadl."
"answer","answer","odpověz","odpovědět","pf"," ' What is it - answer me, ' Pilate repeated."," "" Co je ti, odpověz, "" opakoval Pilát."
"repeated","repeat","opakoval","opakovat","impf"," ' What is it - answer me, ' Pilate repeated."," "" Co je ti, odpověz, "" opakoval Pilát."
"answered","answer","odpověděl","odpovědět","pf"," ' I am tired, ' answered the Levite and stared dully at the floor."," "" Jsem unaven, "" odpověděl Matouš a zarytě upíral oči na obrazce na mozaikové podlaze."
"creaked","creak","nepraskaly","praskat","impf"," No more branches creaked and fell."," Větve už nepraskaly a nepadaly na zem."
"fell","fall","nepadaly","padat","impf"," No more branches creaked and fell."," Větve už nepraskaly a nepadaly na zem."
"waved","wave","Mávl","mávnout","pf"," At this Woland waved his hand towards Jerusalem, which vanished."," Mávl rukou na zářící město Jeruzalém, a to okamžitě pohaslo."
"like","like","nechcete","chtít","impf"," ' O thrice romantic master, would n't you like to stroll under the cherry blossom with your love in the daytime and listen to Schubert in the evening?"," "" Copak vy, nenapravitelný romantik, se nechcete procházet se svou ženou pod rozkvetlými višněmi a večer poslouchat Schubertovu hudbu?"
"stroll","stroll","procházet","procházet","impf"," ' O thrice romantic master, would n't you like to stroll under the cherry blossom with your love in the daytime and listen to Schubert in the evening?"," "" Copak vy, nenapravitelný romantik, se nechcete procházet se svou ženou pod rozkvetlými višněmi a večer poslouchat Schubertovu hudbu?"
"listen","listen","poslouchat","poslouchat","impf"," ' O thrice romantic master, would n't you like to stroll under the cherry blossom with your love in the daytime and listen to Schubert in the evening?"," "" Copak vy, nenapravitelný romantik, se nechcete procházet se svou ženou pod rozkvetlými višněmi a večer poslouchat Schubertovu hudbu?"
"writing","write","psát","psát","impf"," Wo n't you enjoy writing by candlelight with a goose quill?"," Nebude se vám dobře psát při svitu voskovic husím brkem?"
"pricked","prick","píchali","píchat","impf"," The other woman came to the man 's assistance and they hit Ivan on the back with some instrument, though not painfully, traced some signs on the skin of his chest with the handle of a little hammer, hit him on the knees with more little hammers, making Ivan 's legs jerk, pricked his finger and drew blood from it, pricked his elbow joint, wrapped rubber bracelets round his arm ..."," Pak přispěchala lékaři na pomoc ošetřovatelka a společně Ivana píchali, naštěstí ne příliš bolestivě, do zad, kreslili držadlem kladívka jakési znaky do kůže na prsou, poklepávali mu kladívkem do kolen, až povyskočil, bodali ho do prsou, do ohybu lokte a brali mu krev, navlékali mu na ruce gumové náramky ..."
"pricked","prick","píchali","píchat","impf"," The other woman came to the man 's assistance and they hit Ivan on the back with some instrument, though not painfully, traced some signs on the skin of his chest with the handle of a little hammer, hit him on the knees with more little hammers, making Ivan 's legs jerk, pricked his finger and drew blood from it, pricked his elbow joint, wrapped rubber bracelets round his arm ..."," Pak přispěchala lékaři na pomoc ošetřovatelka a společně Ivana píchali, naštěstí ne příliš bolestivě, do zad, kreslili držadlem kladívka jakési znaky do kůže na prsou, poklepávali mu kladívkem do kolen, až povyskočil, bodali ho do prsou, do ohybu lokte a brali mu krev, navlékali mu na ruce gumové náramky ..."
