"said","say","Řekl","říci","pf"," I said Iggy you take care of it, send me the bill, only keep my name anonymous, see."," Řekl jsem mu, Iggy, vem si to na starost a pošli mi účet, jenže já musím zůstat anonymní, slyšíš?"
"take","take","vem","vzít","pf"," I said Iggy you take care of it, send me the bill, only keep my name anonymous, see."," Řekl jsem mu, Iggy, vem si to na starost a pošli mi účet, jenže já musím zůstat anonymní, slyšíš?"
"ran","run","utekla","utéci","pf"," She plain broke our hearts when she ran off like she done."," A když potom od nás utekla, div nám to neutrhlo srdce. """
"glanced","glance","pohlédl","pohlédnout","pf"," ” He sipped his cold coffee, and glanced at me with a searching earnestness."," Trochu upil studené kávy a pohlédl na mne pátravě a vážně."
"believe","believe","Věříte","věřit","impf"," Do you believe what I ’ m saying is so? ”"," Věříte tomu, co vám tu povídám? """
"saying","say","povídám","povídat","impf"," Do you believe what I ’ m saying is so? ”"," Věříte tomu, co vám tu povídám? """
"said","say","řekla","říci","pf"," “ Light me a cigarette, darling, ” she said, snatching off a bathing cap and shaking her hair."," "" Zapal mi cigaretu, drahoušku, "" řekla, strhla si koupací čepici a otřepala vlasy."
"raise","raise","pozdvihnout","pozdvihnout","pf"," My hand, smoothing oil on her skin, seemed to have a temper of its own : it yearned to raise itself and come down on her buttocks."," Ruka, kterou jsem jí na zádech roztíral olej, jako by sama dostala zlost : zatoužila pozdvihnout se a plácnout ji přes zadnici."
"said","say","pověz","povědět","pf"," “ Give me an example, ” I said quietly. “ Of something that means something."," "" Tak mi například pověz, "" řekl jsem klidně, "" co tedy má význam."
"said","say","řekl","říci","pf"," “ Give me an example, ” I said quietly. “ Of something that means something."," "" Tak mi například pověz, "" řekl jsem klidně, "" co tedy má význam."
"said","say","prohlásila","prohlásit","pf"," “ Wuthering Heights, ” she said, without hesitation."," "" Na Větrné hůrce, "" prohlásila bez váhání."
"read","read","Přečetl","přečíst","pf"," I read them in The Baseball Guide, another selection off Holly ’ s shelf which she seemed to use for a scrapbook."," Přečetl jsem si to v Příručce k baseballu, kterou také měla Holly ve své polici a v níž si zřejmě shromažďovala výstřižky z novin."
"find","find","Zjistil","zjistit","pf"," I find out she ’ s some jock ’ s regular, she ’ s living with the shrimp."," Zjistil jsem si, že chodí s jedním žokejem, že s tím prckem žije."
"want","want","nechce","chtít","impf"," I get the jock told Drop it if he don ’ t want conversation with the vice boys : see, the kid ’ s fifteen."," Tak jsem žokejovi vzkázal, aby toho nechal, jestli nechce mít oplétačky s mravnostní policií : holce je patnáct let."
"say","say","neřekl","říci","pf"," I didn ’ t say she was involved knowingly."," Já jsem neřekl, že do toho byla zapletená vědomě."
"did","do","dělala","dělat","impf"," But there, she did do it. Carry messages and whatnot - ”"," Ale dělala to, vyřizovala vzkazy a kdovíco - """
"do","do","dělala","dělat","impf"," But there, she did do it. Carry messages and whatnot - ”"," Ale dělala to, vyřizovala vzkazy a kdovíco - """
"said","say","Řekl","říci","pf"," He said :"," Řekl :"
"Take","take","Berete","brát","impf"," “ Take it pretty calm, don ’ t you?"," "" Berete to náramně klidně, že?"
"get","get","dostat","dostat","pf"," Jesus, she could get ten years."," Kriste, vždyť by mohla dostat deset let!"
"Come","come","Pojďte","jít","impf"," Come down to the bar, we ’ ll start phoning."," Pojďte ke mně do baru a hned začneme telefonovat."
"start","start","začneme","začít","pf"," Come down to the bar, we ’ ll start phoning."," Pojďte ke mně do baru a hned začneme telefonovat."
"phoning","phone","telefonovat","telefonovat","impf"," Come down to the bar, we ’ ll start phoning."," Pojďte ke mně do baru a hned začneme telefonovat."
"need","need","potřebovat","potřebovat","impf"," Our girl ’ s going to need fancier shysters than I can afford. ”"," Naše malá bude potřebovat mazanější advokátské machry, než já můžu zaplatit. """
"go","go","chodila","chodit","impf"," Yes - I have visited Sally Tomato. I used to go to see him every week."," Ano, chodila jsem navštěvovat Sallyho Tomata, každý týden."
"visited","visit","navštěvovat","navštěvovat","impf"," Yes - I have visited Sally Tomato. I used to go to see him every week."," Ano, chodila jsem navštěvovat Sallyho Tomata, každý týden."
"see","see","navštěvovat","navštěvovat","impf"," Yes - I have visited Sally Tomato. I used to go to see him every week."," Ano, chodila jsem navštěvovat Sallyho Tomata, každý týden."
"believes","believe","věří","věřit","impf"," He believes in God, and so do I. “ ..."," Sally věří v Boha a já taky "" ..."
"smiled","smile","usmála","usmát","pf"," Miss Golightly smiled when a reporter asked whether or not she herself is a narcotics user."," Slečna Golightlyová se usmála, když se jí jeden reportér zeptal, zda také požívá narkotika."
"asked","ask","zeptal","zeptat","pf"," Miss Golightly smiled when a reporter asked whether or not she herself is a narcotics user."," Slečna Golightlyová se usmála, když se jí jeden reportér zeptal, zda také požívá narkotika."
"wanted","want","nechci","chtít","impf"," Perhaps my face explained she ’ d misconstrued, that I ’ d not wanted advice but congratulations : her mouth shifted from a yawn into a smile."," Snad z mého obličeje vyrozuměla, že mě dobře nepochopila - že nechci radu, ale blahopřání : na rozzívaných ústech vykouzlila úsměv."
"come","come","pojď","jít","impf"," Well, come in, ” she said."," No, pojď dál, "" řekla."
"said","say","řekla","říci","pf"," Well, come in, ” she said."," No, pojď dál, "" řekla."
"make","make","Uvařím","uvařit","pf"," “ We ’ ll make a pot of coffee and celebrate."," "" Uvařím na oslavu hrnec kafe."
"take","take","vezmu","vzít","pf"," I ’ ll get dressed and take you to lunch. ”"," Ustrojím se a vezmu tě na oběd. """
"see","see","zahlídnu","zahlédnout","pf"," I see pieces of her all the time, a flat little bottom, any skinny girl that walks fast and straight - ” He paused, as though too aware of how intently I was looking at him."," Každou chvíli něco z ní zahlídnu, hubenou zadničku, nebo holku kost a kůže, jak jde rychle, rovná jako svíčka - "" Umlkl, snad si moc dobře všiml, jak pozorně jsem se na něj zahleděl."
"walks","walk","jde","jít","impf"," I see pieces of her all the time, a flat little bottom, any skinny girl that walks fast and straight - ” He paused, as though too aware of how intently I was looking at him."," Každou chvíli něco z ní zahlídnu, hubenou zadničku, nebo holku kost a kůže, jak jde rychle, rovná jako svíčka - "" Umlkl, snad si moc dobře všiml, jak pozorně jsem se na něj zahleděl."
"think","think","myslíte","myslet","impf"," “ You think I ’ m round the bend? ”"," "" Vy si myslíte, že mluvím z cesty, ne? """
"said","say","řekl","říci","pf"," I was sorry I ’ d said it; it disconcerted him."," Litoval jsem, že jsem to řekl - přivedl jsem ho do rozpaků."
"remember","remember","vzpomenu","vzpomenout","pf"," Yet I seldom remember that it was Holly who gave it to me, because at one point I chose to forget : we had a big falling-out, and among the objects rotating in the eye of our hurricane were the bird cage and O. J. Berman and my story, a copy of which I ’ d given Holly when it appeared in the university review."," Málokdy si však vzpomenu, že jsem ji dostal od Holly, protože přišla chvíle, kdy jsem si umínil na to zapomenout : strhla se mezi námi hádka prudká jako uragán a leccos se v ní semlelo, i ta ptačí klec, O. J. Berman a má povídka, kterou jsem Holly dal, když vyšla v univerzitním časopise."
"appeared","appear","přišla","přijít","pf"," Yet I seldom remember that it was Holly who gave it to me, because at one point I chose to forget : we had a big falling-out, and among the objects rotating in the eye of our hurricane were the bird cage and O. J. Berman and my story, a copy of which I ’ d given Holly when it appeared in the university review."," Málokdy si však vzpomenu, že jsem ji dostal od Holly, protože přišla chvíle, kdy jsem si umínil na to zapomenout : strhla se mezi námi hádka prudká jako uragán a leccos se v ní semlelo, i ta ptačí klec, O. J. Berman a má povídka, kterou jsem Holly dal, když vyšla v univerzitním časopise."
"forget","forget","zapomenout","zapomenout","pf"," Yet I seldom remember that it was Holly who gave it to me, because at one point I chose to forget : we had a big falling-out, and among the objects rotating in the eye of our hurricane were the bird cage and O. J. Berman and my story, a copy of which I ’ d given Holly when it appeared in the university review."," Málokdy si však vzpomenu, že jsem ji dostal od Holly, protože přišla chvíle, kdy jsem si umínil na to zapomenout : strhla se mezi námi hádka prudká jako uragán a leccos se v ní semlelo, i ta ptačí klec, O. J. Berman a má povídka, kterou jsem Holly dal, když vyšla v univerzitním časopise."
"gave","give","dal","dát","pf"," Yet I seldom remember that it was Holly who gave it to me, because at one point I chose to forget : we had a big falling-out, and among the objects rotating in the eye of our hurricane were the bird cage and O. J. Berman and my story, a copy of which I ’ d given Holly when it appeared in the university review."," Málokdy si však vzpomenu, že jsem ji dostal od Holly, protože přišla chvíle, kdy jsem si umínil na to zapomenout : strhla se mezi námi hádka prudká jako uragán a leccos se v ní semlelo, i ta ptačí klec, O. J. Berman a má povídka, kterou jsem Holly dal, když vyšla v univerzitním časopise."
"given","give","dal","dát","pf"," Yet I seldom remember that it was Holly who gave it to me, because at one point I chose to forget : we had a big falling-out, and among the objects rotating in the eye of our hurricane were the bird cage and O. J. Berman and my story, a copy of which I ’ d given Holly when it appeared in the university review."," Málokdy si však vzpomenu, že jsem ji dostal od Holly, protože přišla chvíle, kdy jsem si umínil na to zapomenout : strhla se mezi námi hádka prudká jako uragán a leccos se v ní semlelo, i ta ptačí klec, O. J. Berman a má povídka, kterou jsem Holly dal, když vyšla v univerzitním časopise."
"appeared","appear","vyšla","vyjít","pf"," Yet I seldom remember that it was Holly who gave it to me, because at one point I chose to forget : we had a big falling-out, and among the objects rotating in the eye of our hurricane were the bird cage and O. J. Berman and my story, a copy of which I ’ d given Holly when it appeared in the university review."," Málokdy si však vzpomenu, že jsem ji dostal od Holly, protože přišla chvíle, kdy jsem si umínil na to zapomenout : strhla se mezi námi hádka prudká jako uragán a leccos se v ní semlelo, i ta ptačí klec, O. J. Berman a má povídka, kterou jsem Holly dal, když vyšla v univerzitním časopise."
"gone","go","odjela","odjet","pf"," Sometime in February, Holly had gone on a winter trip with Rusty, Mag and José Ybarra-Jaegar."," Někdy v únoru odjela Holly na zimní výlet s Rustym, Mag a Josém Ybarra - Jaegarem."
"throwing","throw","vyhodit","vyhodit","pf"," He considered throwing me out, too; or so I surmised from his expression."," Mne asi chtěl také vyhodit, aspoň jsem ho podezíral podle toho, jak se tvářil."
"invited","invite","pozval","pozvat","pf"," Instead, he invited me to have a drink."," Ale zčistajasna mě pozval na drink."
"confided","confide","svěřil","svěřit","pf"," “ I have a worry, ” he confided."," "" Mám starosti, "" svěřil se mi."
"expected","expect","čekalo","čekat","impf"," but it was elusive, nameless, placeless, an impressionistic recital, though the impression received was contrary to what one expected, for she gave an almost voluptuous account of swimming and summer, Christmas trees, pretty cousins and parties : in short, happy in a way that she was not, and never, certainly, the background of a child who had run away."," ale bylo to nějak neuchopitelné, bezejmenné, neumístitelné - impresionistické vyprávění, jenže dojem, jaký vyvolávalo, bylo něco opačného, než by se čekalo - téměř rozkošnicky líčila plavání v létě, vánoční stromky, hezké bratrance a domácí slavnosti : připadalo mi to zkrátka jako blažená doba, která se k ní jaksi nehodila, a vůbec ne jako prostředí, z něhož v dětství utekla."
"run","run","utekla","utéci","pf"," but it was elusive, nameless, placeless, an impressionistic recital, though the impression received was contrary to what one expected, for she gave an almost voluptuous account of swimming and summer, Christmas trees, pretty cousins and parties : in short, happy in a way that she was not, and never, certainly, the background of a child who had run away."," ale bylo to nějak neuchopitelné, bezejmenné, neumístitelné - impresionistické vyprávění, jenže dojem, jaký vyvolávalo, bylo něco opačného, než by se čekalo - téměř rozkošnicky líčila plavání v létě, vánoční stromky, hezké bratrance a domácí slavnosti : připadalo mi to zkrátka jako blažená doba, která se k ní jaksi nehodila, a vůbec ne jako prostředí, z něhož v dětství utekla."
"asked","ask","zeptal","zeptat","pf"," Or, I asked, wasn ’ t it true that she ’ d been out on her own since she was fourteen?"," A tak jsem se zeptal, jestli to tedy není pravda, že se osamostatnila už jako čtrnáctiletá?"
"gone","go","Odešla","odejít","pf"," So she ’ d gone from the hospital to a bank and straight then to Joe Bell ’ s bar."," Odešla tedy z nemocnice do banky a pak rovnou do baru Joa Bella."
"take","take","dělat","dělat","impf"," Lulamae could just take it easy : fuss in front of mirrors and wash her hair."," Lulamae si žila v pohodlí, nemusela vůbec nic dělat : mohla se jen zhlížet v zrcadle a mýt si vlasy."
"come","come","přišli","přijít","pf"," While her brother growed into a giant. Which is a sight different from how they come to us."," A z jejího bratra vyrostl obr. Vypadali pak docela jinak, než když k nám přišli."
"come","come","přijde","přijít","pf"," She come to me one morning, and said : “ Papa, I got two wild yunguns locked in the kitchen."," Jednou ráno přijde a povídá :, Táto, mám v kuchyni zamčené dva malé divochy."
"got","get","přijde","přijít","pf"," She come to me one morning, and said : “ Papa, I got two wild yunguns locked in the kitchen."," Jednou ráno přijde a povídá :, Táto, mám v kuchyni zamčené dva malé divochy."
"said","say","povídá","povídat","impf"," She come to me one morning, and said : “ Papa, I got two wild yunguns locked in the kitchen."," Jednou ráno přijde a povídá :, Táto, mám v kuchyni zamčené dva malé divochy."
"said","say","řekl","říci","pf"," She was a Lulamae Barnes. Was, ” he said, shifting the toothpick in his mouth, “ till she married me."," Jmenovala se Lulamae Barnesová, "" řekl a přesunul si v ústech párátko, "" než se za mě provdala."
"shifting","shift","přesunul","přesunout","pf"," She was a Lulamae Barnes. Was, ” he said, shifting the toothpick in his mouth, “ till she married me."," Jmenovala se Lulamae Barnesová, "" řekl a přesunul si v ústech párátko, "" než se za mě provdala."
"married","marry","provdala","provdat","pf"," She was a Lulamae Barnes. Was, ” he said, shifting the toothpick in his mouth, “ till she married me."," Jmenovala se Lulamae Barnesová, "" řekl a přesunul si v ústech párátko, "" než se za mě provdala."
"propelled","propel","hnali","hnát","impf"," “ Don ’ t forget, ” Holly managed to instruct me as the detectives propelled her down the stairs,"," Detektivové už hnali Holly ze schodů, ale podařilo se jí ještě dát mi pokyn :"
