"thought","think","pomyslel","pomyslet","pf"," At the sight of that bag, Pinocchio felt slightly happier and thought to himself :"," Když Pinocchio čepici uviděl, skoro ho to potěšilo a hned si v duchu pomyslel :"
"suffering","suffer","měl","mít","impf"," "" My friend must be suffering from the same sickness that I am!"," "" Že by můj kamarád měl stejnou nemoc jako já?"
"asked","ask","zeptal","zeptat","pf"," But pretending he had seen nothing, he asked with a smile :"," A jako by si ničeho nevšiml, s úsměvem se ho zeptal :"
"think","think","myslíš","myslet","impf"," "" What does the teacher think of us, you mean? """," "" Je nám do toho víc, než si myslíš, protože kvůli tobě vypadáme před učitelem jako hlupáci. """
"mean","mean","myslíš","myslet","impf"," "" What does the teacher think of us, you mean? """," "" Je nám do toho víc, než si myslíš, protože kvůli tobě vypadáme před učitelem jako hlupáci. """
"swam","swim","Plaval","plavat","impf"," He swam a few more strokes."," Plaval, dokud mu stačil dech."
"turned","turn","otočil","otočit","pf"," Then he turned to Geppetto and cried out weakly :"," Potom otočil hlavu k Geppettovi a přerývaně řekl :"
"answered","answer","odpověděl","odpovědět","pf"," "" Good-by, little Pinocchio, "" answered the Dog."," "" Sbohem, Pinocchio, "" odpověděl pes, "" mockrát ti děkuju, žes mě zachránil před smrtí."
"did","do","uděláš","udělat","pf"," You did me a good turn, and, in this world, what is given is always returned."," Všechno, co na tomhle světě uděláš, se ti jednou vrátí."
"returned","return","vrátí","vrátit","pf"," You did me a good turn, and, in this world, what is given is always returned."," Všechno, co na tomhle světě uděláš, se ti jednou vrátí."
"swimming","swim","plaval","plavat","impf"," Pinocchio went on swimming close to shore."," Pinocchio plaval dál a držel se pořád blízko pobřeží."
"heard","hear","slyší","slyšet","impf"," Suddenly he heard his name called, and looking around to see whence the voice came, he noticed a large snail crawling out of some bushes."," Ale najednou slyší, jak ho někdo volá jménem, a když se otočil, uviděl, jak z křoví vyhlíží hlemýžď."
"called","call","volá","volat","impf"," Suddenly he heard his name called, and looking around to see whence the voice came, he noticed a large snail crawling out of some bushes."," Ale najednou slyší, jak ho někdo volá jménem, a když se otočil, uviděl, jak z křoví vyhlíží hlemýžď."
"see","see","uviděl","uvidět","pf"," Suddenly he heard his name called, and looking around to see whence the voice came, he noticed a large snail crawling out of some bushes."," Ale najednou slyší, jak ho někdo volá jménem, a když se otočil, uviděl, jak z křoví vyhlíží hlemýžď."
"noticed","notice","uviděl","uvidět","pf"," Suddenly he heard his name called, and looking around to see whence the voice came, he noticed a large snail crawling out of some bushes."," Ale najednou slyší, jak ho někdo volá jménem, a když se otočil, uviděl, jak z křoví vyhlíží hlemýžď."
"looking","look","vyhlíží","vyhlížet","impf"," Suddenly he heard his name called, and looking around to see whence the voice came, he noticed a large snail crawling out of some bushes."," Ale najednou slyší, jak ho někdo volá jménem, a když se otočil, uviděl, jak z křoví vyhlíží hlemýžď."
"remember","remember","nepamatuješ","pamatovat","impf"," "" Do you remember the Snail that lived with the Fairy with Azure Hair?"," "" Copak si nepamatuješ na hlemýždě, co byl ve službách víly Modrovlásky?"
"wept","weep","Plakal","plakat","impf"," He wept and wailed to himself :"," Plakal a zoufal si :"
"run","run","utekl","utéci","pf"," It was wrong of me to disobey Father and to run away from home."," Udělal jsem chybu, že jsem neposlechl tatínka a utekl jsem z domova ..."
