"wants","want","chtělo","chtít","impf"," You think I 'm stubborn? Amanda wants to shout."," A to tvrdíte, že já jsem tvrdohlavá? chtělo se vykřiknout Amandě."
"shout","shout","vykřiknout","vykřiknout","pf"," You think I 'm stubborn? Amanda wants to shout."," A to tvrdíte, že já jsem tvrdohlavá? chtělo se vykřiknout Amandě."
"involved","involve","zapletl","zaplést","pf"," "" What about this guy your brother was involved with?"," "" A co ten muž, se kterým se zapletl Johnny?"
"called","call","Říkal","říkat","impf"," "" He called him Turk."," "" Říkal mu Turek."
"hate","hate","Nenávidím","nenávidět","impf"," "" I hate nicknames, "" Amanda mutters."," "" Nenávidím přezdívky, "" zamumlala Amanda."
"wants","want","chtěla","chtít","impf"," Do n't you recognize me, Mother? she wants to ask, but is unable to find her voice."," Nepoznáváš mě, matko? chtěla se zeptat, ale najednou ztratila hlas."
"ask","ask","zeptat","zeptat","pf"," Do n't you recognize me, Mother? she wants to ask, but is unable to find her voice."," Nepoznáváš mě, matko? chtěla se zeptat, ale najednou ztratila hlas."
"holds","hold","platilo","platit","impf"," Perhaps the same holds true for her mother."," Možná, že totéž platilo i pro matku."
"overwhelmed","overwhelm","přemohlo","přemoci","pf"," Perhaps she is so overwhelmed at seeing her only child after all this time that she ca n't speak, her normally harsh tongue lying flabby and inert at the bottom of her mouth, like a dying fish in a pail."," Možná ji tak přemohlo to, že po tolika letech vidí své jediné dítě, že nemůže ani promluvit, že její normálně břitký hlas zůstává pohřbený pod jazykem a vzadu v ústech, jako leklá ryba v prázdném džberu."
"seeing","see","vidí","vidět","impf"," Perhaps she is so overwhelmed at seeing her only child after all this time that she ca n't speak, her normally harsh tongue lying flabby and inert at the bottom of her mouth, like a dying fish in a pail."," Možná ji tak přemohlo to, že po tolika letech vidí své jediné dítě, že nemůže ani promluvit, že její normálně břitký hlas zůstává pohřbený pod jazykem a vzadu v ústech, jako leklá ryba v prázdném džberu."
"speak","speak","promluvit","promluvit","pf"," Perhaps she is so overwhelmed at seeing her only child after all this time that she ca n't speak, her normally harsh tongue lying flabby and inert at the bottom of her mouth, like a dying fish in a pail."," Možná ji tak přemohlo to, že po tolika letech vidí své jediné dítě, že nemůže ani promluvit, že její normálně břitký hlas zůstává pohřbený pod jazykem a vzadu v ústech, jako leklá ryba v prázdném džberu."
"hear","hear","Slyšels","slyšet","impf"," "" Did you hear what she said? """," "" Slyšels, co říkala? """
"said","say","říkala","říkat","impf"," "" Did you hear what she said? """," "" Slyšels, co říkala? """
"begins","begin","začala","začít","pf"," Amanda bursts through the outside doors of the prison, begins angrily slogging her way through the slush-covered parking lot."," Amanda vyletěla z venkovních dveří věznice a rozčileně se začala brodit sněhem na parkovišti."
"believe","believe","uvěřit","uvěřit","pf"," "" I ca n't believe she had the gall to say that to me. """," "" Nemůžu uvěřit tomu, že měla tu drzost říct mi tohle! """
"say","say","říct","říci","pf"," "" I ca n't believe she had the gall to say that to me. """," "" Nemůžu uvěřit tomu, že měla tu drzost říct mi tohle! """
"trying","try","Snažím","snažit","impf"," "" I 'm trying to find out about a woman who may have been a resident at your place until very recently. """," "" Snažím se něco zjistit o ženě, která u vás možná nedávno bydlela. """
"find","find","zjistit","zjistit","pf"," "" I 'm trying to find out about a woman who may have been a resident at your place until very recently. """," "" Snažím se něco zjistit o ženě, která u vás možná nedávno bydlela. """
"starts","start","začíná","začínat","impf"," Something that starts with Tur. Hello? """," Prostě jméno, které začíná Tur."
"sits","sit","seděla","sedět","impf"," An hour later, she sits staring out the window of the crowded jet."," Asi o hodinu později seděla u okýnka v přeplněném tryskáči."
"announced","announce","oznámil","oznámit","pf"," The pilot has just announced they are flying at a cruising altitude of 37, 000 feet."," Pilot právě oznámil, že letí ve výšce dvanácti kilometrů."
"flying","fly","letí","letět","impf"," The pilot has just announced they are flying at a cruising altitude of 37, 000 feet."," Pilot právě oznámil, že letí ve výšce dvanácti kilometrů."
"expect","expect","čekají","čekat","impf"," He has cautioned that although the sky is bright and clear, they can probably expect some pockets of turbulence along the way."," Upozornil cestující, že i když obloha vypadá jasná a bezmračná, zřejmě je cestou čekají jisté turbulence."
"opening","open","otevíráš","otevírat","impf"," "" What are you doing opening the door to strangers? "" she hears the man lecturing his wife."," "" Jak to, že otevíráš dveře cizím lidem? "" slyšela, jak se obořil na svou ženu."
"hears","hear","slyšela","slyšet","impf"," "" What are you doing opening the door to strangers? "" she hears the man lecturing his wife."," "" Jak to, že otevíráš dveře cizím lidem? "" slyšela, jak se obořil na svou ženu."
"think","think","zdálo","zdát","impf"," "" Mom, I think someone 's knocking at the bedroom door. """," "" Mami, mně se zdálo, že někdo klepal na náš pokoj! """
"knocking","knock","klepal","klepat","impf"," "" Mom, I think someone 's knocking at the bedroom door. """," "" Mami, mně se zdálo, že někdo klepal na náš pokoj! """
"decide","decide","rozhodnout","rozhodnout","pf"," The door to room 2416 opens before Amanda can decide what to do next."," Dveře 2416 se rozletěly dřív, než se Amanda stačila rozhodnout, co by měla udělat teď."
"do","do","udělat","udělat","pf"," The door to room 2416 opens before Amanda can decide what to do next."," Dveře 2416 se rozletěly dřív, než se Amanda stačila rozhodnout, co by měla udělat teď."
"goes","go","nechodila","chodit","impf"," the ocean, although she rarely goes to the beach and certainly never swims in the dangerous water - think of the sharks and the sea lice and the invisible undertow, not to mention the occasional oil spills that pollute the sand and tar the bottoms of your feet;"," oceán, i když ona skoro nikdy nechodila na pláž a nikdy neplavala v těch nebezpečných vodách - když pomyslela na ty žraloky a vodní vši a všechno, co mohlo číhat pod hladinou, nemluvě o občasných ropných skvrnách, které moře vyvrhlo na pláž, a k chodidlům se vám nalepil dehet."
"swims","swim","neplavala","plavat","impf"," the ocean, although she rarely goes to the beach and certainly never swims in the dangerous water - think of the sharks and the sea lice and the invisible undertow, not to mention the occasional oil spills that pollute the sand and tar the bottoms of your feet;"," oceán, i když ona skoro nikdy nechodila na pláž a nikdy neplavala v těch nebezpečných vodách - když pomyslela na ty žraloky a vodní vši a všechno, co mohlo číhat pod hladinou, nemluvě o občasných ropných skvrnách, které moře vyvrhlo na pláž, a k chodidlům se vám nalepil dehet."
"think","think","pomyslela","pomyslet","pf"," the ocean, although she rarely goes to the beach and certainly never swims in the dangerous water - think of the sharks and the sea lice and the invisible undertow, not to mention the occasional oil spills that pollute the sand and tar the bottoms of your feet;"," oceán, i když ona skoro nikdy nechodila na pláž a nikdy neplavala v těch nebezpečných vodách - když pomyslela na ty žraloky a vodní vši a všechno, co mohlo číhat pod hladinou, nemluvě o občasných ropných skvrnách, které moře vyvrhlo na pláž, a k chodidlům se vám nalepil dehet."
"occurs","occur","napadlo","napadnout","pf"," It occurs to Amanda, as she moves several baby steps forward in line, that Jerrod Sugar has one of those faces that always looks familiar."," Amandu napadlo, když se ve frontě posunula o pár krůčků kupředu, že Jerrod Sugar má jednu z těch tváří, které vypadají vždycky povědomě."
"moves","move","posunula","posunout","pf"," It occurs to Amanda, as she moves several baby steps forward in line, that Jerrod Sugar has one of those faces that always looks familiar."," Amandu napadlo, když se ve frontě posunula o pár krůčků kupředu, že Jerrod Sugar má jednu z těch tváří, které vypadají vždycky povědomě."
"realizes","realize","uvědomila","uvědomit","pf"," They are fake, Amanda realizes minutes later, watching the water she 's pouring spill over the side of a dark blue china pot on the mantle over the fireplace."," Jsou umělé, uvědomila si o vteřinu později, když voda začala vytékat přes okraj tmavomodrého porcelánového květináče a kapat z krbové římsy dolů na zem."
"going","go","chodit","chodit","impf"," She has no intention of going into the middle bedroom, and so she is surprised to find herself lingering in its doorway."," Neměla vůbec v úmyslu chodit do prostřední ložnice a tak ji překvapilo, když se přistihla, jak bere za kliku jejích dveří."
"surprised","surprise","překvapilo","překvapit","pf"," She has no intention of going into the middle bedroom, and so she is surprised to find herself lingering in its doorway."," Neměla vůbec v úmyslu chodit do prostřední ložnice a tak ji překvapilo, když se přistihla, jak bere za kliku jejích dveří."
