"shone","shine","svítila","svítit","impf"," Although it was almost daybreak, light still shone in the office windows of the honourable Monsieur Ferrebouc."," Noc se již chýlila k ránu, ale okna pisárny váženého pana Ferrebouca ještě svítila."
"led","lead","vedl","vést","impf"," A band of ruffians, led by the accused Villon, did start to hurl stones at the scriveners."," Tlupa rváčů, již vedl obžalovaný Villon, začala házet po písařích kamením."
"start","start","začala","začít","pf"," A band of ruffians, led by the accused Villon, did start to hurl stones at the scriveners."," Tlupa rváčů, již vedl obžalovaný Villon, začala házet po písařích kamením."
"respond","respond","odpovídali","odpovídat","impf"," The latter, all of male state, did respond with Christian entreaties."," Tito pak, vesměs mužského stavu, odpovídali křesťanskými prosbami."
"bored","bore","Nudím","nudit","impf"," I get so dreadfully bored I end up counting the toes on my feet."," Nudím se tak strašně, že si počítám i prsty na nohou."
"counting","count","počítám","počítat","impf"," I get so dreadfully bored I end up counting the toes on my feet."," Nudím se tak strašně, že si počítám i prsty na nohou."
"do","do","děláte","dělat","impf"," What do you actually do ... with all your days and nights, Catherine?"," Co vlastně děláte ... celé dny a noci, Katrinko?"
"do","do","děláte","dělat","impf"," What do you actually do ... with all your days and nights, Catherine?"," Co vlastně děláte ... celé dny a noci, Katrinko?"
"sleep","sleep","Spím","spát","impf"," I sleep as if for escape : whenever I get a chance."," Spím jak na útěku : kdykoli se dá."
"smiles","smile","usměje","usmát","pf"," VILLON smiles happily."," / Villon se slastně usměje."
"turns","turn","otočí","otočit","pf"," CATHERINE turns round."," / Kateřina se otočí."
"changes","change","změní","změnit","pf"," In a split second she changes beyond recognition."," Ve zlomku vteřiny se k nepoznání změní."
"places","place","položí","položit","pf"," She steps into the witness box and places her hand on the Bible."," Vstoupí do ohrádky svědků, položí ruku na bibli /"
"Answer","answer","Odpovídejte","odpovídat","impf"," Answer the questions."," Odpovídejte na otázky."
"want","want","Chceš","chtít","impf"," Very life you want?"," - Chceš žít?"
"Open","open","Otevřte","otevřít","pf"," Open your eyes!"," Otevřte oči!"
"collecting","collect","sbírá","sbírat","impf"," He shuffles about absent-mindedly collecting files and straightening chain."," Šourá se nevšímavě kolem, sbírá fascikly, zastrkuje židle."
"lose","lose","Prohráli","prohrát","pf"," Did we lose, Règne?"," Prohráli jsme, Reň?"
"return","return","Vrátím","vrátit","pf"," Am I to return?"," Vrátím se?"
"appeal","appeal","Odvoláme","odvolat","pf"," We shall appeal!"," Odvoláme se!"
"tell","tell","řečeno","říci","pf"," To tell you the truth I am amazed that I have to take part as a witness in this infamous trial."," Upřímně řečeno mě překvapuje, proč musím vystupovat jako svědek v tak infámní při."
"stretches","stretch","protáhne","protáhnout","pf"," She stretches luxuriously and makes for ANGÈLE who has sat down on her gown in the meantime."," Labužnicky se protáhne a zamíří k Anděle, která se usadila na taláru na zemi /"
"sat","sit","usadila","usadit","pf"," She stretches luxuriously and makes for ANGÈLE who has sat down on her gown in the meantime."," Labužnicky se protáhne a zamíří k Anděle, která se usadila na taláru na zemi /"
"overestimate","overestimate","Nepřeceňujte","přeceňovat","impf"," Don ’ t overestimate my patience!"," Nepřeceňujte mou trpělivost!"
"accept","accept","přijmout","přijmout","pf"," ‘ ... accept it all sans reservation. ’"," "" ... jej třeba přijmout bez výhrad. """
"Stop","stop","Přestaňte","přestat","pf"," Stop it!"," Přestaňte!"
"looking","look","nedívá","dívat","impf"," VILLON is not looking at him, but instead making faces mirthlessly in the direction of the audience."," / Villon nedívá se na něj, dělá tváří do hlediště neveselé grimasy /"
"making","make","dělá","dělat","impf"," VILLON is not looking at him, but instead making faces mirthlessly in the direction of the audience."," / Villon nedívá se na něj, dělá tváří do hlediště neveselé grimasy /"
"discover","discover","zjistil","zjistit","pf"," I would sit brooding over a ballad for weeks and then discover I had hatched a hard-boiled egg."," Sedával jsem nad baladou celé týdny, abych vposled zjistil, že jsem vyseděl vejce natvrdo."
"recognise","recognise","Poznal","poznat","pf"," Would you recognise the assailant?"," Poznal byste útočníka?"
"roar","roar","Řvi","řvát","impf"," Let ’ s hear you roar!"," Řvi!"
"serves","serve","slouží","sloužit","impf"," Yes, if my memory serves me right, it was just like that!"," Ano, pokud mi slouží paměť bylo to zrovna tak!"
"stops","stop","Přestane","přestat","pf"," He stops strumming and takes her by the wrists."," Přestane drnkat a vezme ji za zápěstí."
"takes","take","vezme","vzít","pf"," He stops strumming and takes her by the wrists."," Přestane drnkat a vezme ji za zápěstí."
"stops","stop","přestane","přestat","pf"," Guiltily she stops what she was doing."," Pohyb provinile přestane /"
"doing","do","děláte","dělat","impf"," What ’ s that you ’ re doing?"," Co to děláte?"
"hear","hear","neslyší","slyšet","impf"," Can no one hear me?"," Copak nikdo neslyší?"
"fallen","fall","usnul","usnout","pf"," The BAILIFFS are taking a rest : one of them has fallen asleep, while the other has sat down to have something to eat."," / Biřicové odpočívají, jeden usnul, druhý si sedl a jí."
"sat","sit","sedl","sednout","pf"," The BAILIFFS are taking a rest : one of them has fallen asleep, while the other has sat down to have something to eat."," / Biřicové odpočívají, jeden usnul, druhý si sedl a jí."
"sounds","sound","Zazní","zaznít","pf"," The death-knell sounds."," / Zazní umíráček /"
"Clear","clear","Vykliďte","vyklidit","pf"," Clear the court!"," Vykliďte síň!"
"leave","leave","Nenechávej","nechávat","impf"," Don ’ t leave me here alone!"," Nenechávej mě tu samu!"
"switching","switch","zapíná","zapínat","impf"," RÉGNIER stands up and walks about with the camera, switching on and off small spotlights, oblivious of everyone else."," Régnier vstane, obchází s fotoaparátem, zapíná a vypíná malé reflektory, nikoho si nevšímá /"
"raises","raise","zvedne","zvednout","pf"," Chewing noisily, JEANNE raises a hand and then spits out the chewing gum in a wide arc."," / Žanka zamlaská, zvedne dlaň, širokým obloukem vyplivne žvýkačku /"
"sees","see","vidí","vidět","impf"," ANGÈLE dances towards them, swirling around on her own, but only TABARY sees her."," / Anděla přitančí, víří sama kolem, ale vidí ji jen Tabary."
"waves","wave","Zamává","zamávat","pf"," He waves at her with the tip of his tongue but ANGÈLE does not notice him, haying her eyes fixed on VILLON, who for his part does not notice her."," Zamává na ni špičkou jazyka, ale Anděla ho nevnímá, dívá se jen na Villona, který zas nevnímá ji."
"notice","notice","nevnímá","vnímat","impf"," He waves at her with the tip of his tongue but ANGÈLE does not notice him, haying her eyes fixed on VILLON, who for his part does not notice her."," Zamává na ni špičkou jazyka, ale Anděla ho nevnímá, dívá se jen na Villona, který zas nevnímá ji."
