"watched","watch","díval","dívat","impf"," While John watched, his host remained for a few moments absorbed in some inscrutable contemplation;"," Zatímco se John díval, jeho hostitel zůstal po několik okamžiků pohroužen do jakýchsi nevyzpytatelných myšlenek;"
"remained","remain","zůstal","zůstat","pf"," While John watched, his host remained for a few moments absorbed in some inscrutable contemplation;"," Zatímco se John díval, jeho hostitel zůstal po několik okamžiků pohroužen do jakýchsi nevyzpytatelných myšlenek;"
"lift","lift","pozvedli","pozvednout","pf"," then he signalled to the two negroes who crouched at his feet to lift the burden which lay between them."," potom pokynul dvěma černochům, kteří se krčili u jeho nohou, aby pozvedli břímě ležící mezi nimi."
"allowed","allow","nesměla","smět","impf"," I ’ ve never been allowed even to see boys alone-except Percy."," Ani jsem nikdy nesměla být s nějakým chlapcem sama - jenom s Percym."
"came","come","Přišla","přijít","pf"," I came all the way out here into this grove hoping to run into you, where the family wouldn ’ t be around. ”"," Přišla jsem celou tu dálku až sem jen proto, že jsem doufala, že vás tu někde potkám a nikdo se nám tu nebude plést do cesty. """
"hoping","hope","doufala","doufat","impf"," I came all the way out here into this grove hoping to run into you, where the family wouldn ’ t be around. ”"," Přišla jsem celou tu dálku až sem jen proto, že jsem doufala, že vás tu někde potkám a nikdo se nám tu nebude plést do cesty. """
"taught","teach","naučili","naučit","pf"," Deeply flattered, John bowed from the hips as he had been taught at dancing school in Hades."," John, hluboce polichocen, se uklonil v pase, jak ho to naučili v tanečních hodinách v Hadesu."
"go","go","jít","jít","impf"," “ We ’ d better go now, ” said Kismine sweetly."," "" Už bychom ale raději měli jít, "" řekla Kismine sladce."
"said","say","řekla","říci","pf"," “ We ’ d better go now, ” said Kismine sweetly."," "" Už bychom ale raději měli jít, "" řekla Kismine sladce."
"set","set","umístí","umístit","pf"," It would be set in a great dome of beaten gold, wonderfully carved and equipped with gates of opal and crusted sapphire."," Pak ho umístí do velkého dómu z tepaného zlata, báječně zdobeného řezbami a opatřeného branami z opálu a na kůrky loupaného safíru."
"lifted","lift","pozvedne","pozvednout","pf"," In the middle would be hollowed out a chapel presided over by an altar of iridescent, decomposing, ever-changing radium which would burn out the eyes of any worshipper who lifted up his head from prayer - and on this altar there would be slain for the amusement of the Divine Benefactor any victim He should choose, even though it should be the greatest and most powerful man alive."," Uprostřed vyhloubí kapli, jíž bude vévodit oltář z duhového, rozpadajícího se, věčně se měnícího rádia, které sežehne oči každému vyznavači, jenž pozvedne hlavu od modlitby - a na tomto oltáři bude pro potěšení Božského Dobrodince skolena jakákoliv oběť, kterou si On zvolí, byť by to byl největší a nejmocnější muž na světě."
"choose","choose","zvolí","zvolit","pf"," In the middle would be hollowed out a chapel presided over by an altar of iridescent, decomposing, ever-changing radium which would burn out the eyes of any worshipper who lifted up his head from prayer - and on this altar there would be slain for the amusement of the Divine Benefactor any victim He should choose, even though it should be the greatest and most powerful man alive."," Uprostřed vyhloubí kapli, jíž bude vévodit oltář z duhového, rozpadajícího se, věčně se měnícího rádia, které sežehne oči každému vyznavači, jenž pozvedne hlavu od modlitby - a na tomto oltáři bude pro potěšení Božského Dobrodince skolena jakákoliv oběť, kterou si On zvolí, byť by to byl největší a nejmocnější muž na světě."
"compel","compel","přimět","přimět","pf"," John renewed his efforts to compel her to leave."," John se znovu pokusil přimět ji k odchodu."
"hold","hold","vydržet","vydržet","pf"," It was obvious that the garrison, encircled with fire, could not hold out much longer."," Bylo zřejmé, že posádka obklopená explozemi nemůže už dlouho vydržet."
"cried","cry","křikl","křiknout","pf"," “ Come on! ” cried John, pulling Kismine ’ s arm, “ we ’ ve got to go."," "" Poběž! "" křikl John a táhl Kismine za ruku pryč, "" musíme jít."
"pulling","pull","táhl","táhnout","impf"," “ Come on! ” cried John, pulling Kismine ’ s arm, “ we ’ ve got to go."," "" Poběž! "" křikl John a táhl Kismine za ruku pryč, "" musíme jít."
"Come","come","jít","jít","impf"," “ Come on! ” cried John, pulling Kismine ’ s arm, “ we ’ ve got to go."," "" Poběž! "" křikl John a táhl Kismine za ruku pryč, "" musíme jít."
"go","go","jít","jít","impf"," “ Come on! ” cried John, pulling Kismine ’ s arm, “ we ’ ve got to go."," "" Poběž! "" křikl John a táhl Kismine za ruku pryč, "" musíme jít."
"kill","kill","zabijí","zabít","pf"," Do you realize that those aviators will kill you without question if they find you? ”"," Je ti jasné, že tě ti letci beze všeho zabijí, když tě tu najdou? """
"find","find","najdou","najít","pf"," Do you realize that those aviators will kill you without question if they find you? ”"," Je ti jasné, že tě ti letci beze všeho zabijí, když tě tu najdou? """
"consented","consent","Souhlasila","souhlasit","impf"," She consented reluctantly."," Souhlasila nerada."
"gathered","gather","shromáždilo","shromáždit","pf"," Out of the blue-black bruise in the distance crept a long line of moving lights upon the desolation of the land, and the twelve men of Fish gathered like ghosts at the shanty depot to watch the passing of the seven o ’ clock train, the Transcontinental Express from Chicago."," Z modrotmavé jizvy v dálce se přes zpustošenou zemi plazila dlouhá čára pohyblivých světel a dvanáct fishských mužů se shromáždilo u ošumělého nádraží jako duchové, aby se podívali na vlak projíždějící v sedm hodin, na transkontinentální expres z Chicaga."
"think","think","Myslím","myslet","impf"," “ I think I like these better."," "" Myslím, že se mi tyhle líbí víc."
"said","say","řekl","říci","pf"," “ Very well, ” said John gloomily."," "" No dobře, "" řekl John chmurně."
"slid","slide","klouzali","klouzat","impf"," They even ran up the glass sides of the bowl as far as they could, and slid back to the bottom upon the natural cushions of their bodies."," Vybíhali dokonce po skleněných stěnách mísy, jak to nejvýše šlo, a klouzali zpátky na dno na přirozené podušky svých těl."
"joined","join","přidali","přidat","pf"," The tall man started a song in which they all joined -"," Vytáhlý muž zanotoval písničku, k níž se všichni přidali :"
"hang","hang","Pověsíme","pověsit","pf"," “ Oh, we ’ ll hang the kaiser"," "" Pověsíme císaře"
"sat","sit","seděl","sedět","impf"," Braddock Washington sat in inscrutable silence until the song was over."," Braddock Washington seděl a záhadně mlčel, dokud píseň neskončila."
"see","see","Vidíte","vidět","impf"," “ You see, ” he remarked, when he could gain a modicum of attention."," "" Vidíte, "" poznamenal, když si zjednal trochu pozornosti."
"remarked","remark","poznamenal","poznamenat","pf"," “ You see, ” he remarked, when he could gain a modicum of attention."," "" Vidíte, "" poznamenal, když si zjednal trochu pozornosti."
"bear","bear","nemám","mít","impf"," “ I bear you no ill-will."," "" Já proti vám nic nemám."
"spent","spend","strávil","strávit","pf"," The fathers of all the boys were money-kings and John spent his summers visiting at fashionable resorts."," Otcové všech chlapců se topili v penězích a John strávil léto vždycky na návštěvách v módních sídlech."
"Think","think","pomysli","pomyslet","pf"," “ Think of the millions and millions of people in the world, labourers and all, who get along with only two maids. “"," "" Jen pomysli na ty milióny a milióny lidí ve světě, na dělníky a na takové, kteří musí vyjít jenom s dvěma služkami. """
"muttered","mutter","zamumlal","zamumlat","pf"," “ Good evening, ” muttered John, summoning his brains from the wild places."," "" Dobrý večer, "" zamumlal John a přivolával přitom myšlenky nazpět z divokých potulek."
"summoning","summon","přivolával","přivolávat","impf"," “ Good evening, ” muttered John, summoning his brains from the wild places."," "" Dobrý večer, "" zamumlal John a přivolával přitom myšlenky nazpět z divokých potulek."
"Thank","thank","Děkuji","děkovat","impf"," Thank you, sir. ”"," Děkuji, pane. """
"lay","lie","ležel","ležet","impf"," John lay quietly as his pyjamas were removed - he was amused and delighted;"," John ležel tiše, zatímco mu sluha svlékal pyžamo - bylo mu příjemně a pobavilo ho to;"
"amused","amuse","pobavilo","pobavit","pf"," John lay quietly as his pyjamas were removed - he was amused and delighted;"," John ležel tiše, zatímco mu sluha svlékal pyžamo - bylo mu příjemně a pobavilo ho to;"
"arrived","arrive","přijel","přijet","pf"," The runway or rollway on which he had arrived had folded gently back into place."," Dráha nebo skluzavka, po které přijel, se jemně složila zpátky na své místo."
"folded","fold","složila","složit","pf"," The runway or rollway on which he had arrived had folded gently back into place."," Dráha nebo skluzavka, po které přijel, se jemně složila zpátky na své místo."
"sitting","sit","seděl","sedět","impf"," He had been projected into another chamber and was sitting in a sunken bath with his head just above the level of the floor."," Vhodila ho do jiného pokoje a teď seděl ve vaně zapuštěné do země a hlavu měl právě nad úrovní podlahy."
"lifted","lift","pozvedl","pozvednout","pf"," After a while the white man lifted his head and slowly raised his arms in a gesture of attention, as one who would call a great crowd to hear-but there was no crowd, only the vast silence of the mountain and the sky, broken by faint bird voices down among the trees."," Za chvíli pozvedl běloch hlavu a pomalu zvedl paže v gestu, jímž se dožadoval pozornosti jako někdo, kdo chce, aby mu velký dav popřál sluchu - ale nebyl tu žádný dav, jen nesmírné ticho hory a oblohy, přerušované slabými ptačími hlasy dole mezi stromy."
"raised","raise","pozvedl","pozvednout","pf"," After a while the white man lifted his head and slowly raised his arms in a gesture of attention, as one who would call a great crowd to hear-but there was no crowd, only the vast silence of the mountain and the sky, broken by faint bird voices down among the trees."," Za chvíli pozvedl běloch hlavu a pomalu zvedl paže v gestu, jímž se dožadoval pozornosti jako někdo, kdo chce, aby mu velký dav popřál sluchu - ale nebyl tu žádný dav, jen nesmírné ticho hory a oblohy, přerušované slabými ptačími hlasy dole mezi stromy."
"lifted","lift","zvedl","zvednout","pf"," After a while the white man lifted his head and slowly raised his arms in a gesture of attention, as one who would call a great crowd to hear-but there was no crowd, only the vast silence of the mountain and the sky, broken by faint bird voices down among the trees."," Za chvíli pozvedl běloch hlavu a pomalu zvedl paže v gestu, jímž se dožadoval pozornosti jako někdo, kdo chce, aby mu velký dav popřál sluchu - ale nebyl tu žádný dav, jen nesmírné ticho hory a oblohy, přerušované slabými ptačími hlasy dole mezi stromy."
"raised","raise","zvedl","zvednout","pf"," After a while the white man lifted his head and slowly raised his arms in a gesture of attention, as one who would call a great crowd to hear-but there was no crowd, only the vast silence of the mountain and the sky, broken by faint bird voices down among the trees."," Za chvíli pozvedl běloch hlavu a pomalu zvedl paže v gestu, jímž se dožadoval pozornosti jako někdo, kdo chce, aby mu velký dav popřál sluchu - ale nebyl tu žádný dav, jen nesmírné ticho hory a oblohy, přerušované slabými ptačími hlasy dole mezi stromy."
