"hesitated","hesitate","zaváhal","zaváhat","pf"," Gatsby hesitated, then added coolly :"," Gatsby zaváhal a potom chladně dodal :"
"added","add","dodal","dodat","pf"," Gatsby hesitated, then added coolly :"," Gatsby zaváhal a potom chladně dodal :"
"staggered","stagger","ohromila","ohromit","pf"," The idea staggered me."," Ta myšlenka mě ohromila."
"turned","turn","otočil","otočit","pf"," Tom turned to Daisy sharply."," Tom se prudce otočil na Daisy."
"said","say","řekl","říci","pf"," ' Not seeing, ' said Gatsby."," "" Nestýká, "" řekl Gatsby."
"meet","meet","stýkat","stýkat","impf"," ' No, we could n't meet."," "" Ne, nemohli jsme se stýkat."
"laugh","laugh","smál","smát","impf"," I used to laugh sometimes ' - but there was no laughter in his eyes - ' to think that you did n't know. '"," Někdy jsem se tomu smál - "" ale v jeho očích nebyl smích - "" když jsem si pomyslil, že vy to nevíte. """
"think","think","pomyslil","pomyslit","pf"," I used to laugh sometimes ' - but there was no laughter in his eyes - ' to think that you did n't know. '"," Někdy jsem se tomu smál - "" ale v jeho očích nebyl smích - "" když jsem si pomyslil, že vy to nevíte. """
"seemed","seem","Zdálo","zdát","impf"," It seemed to me that the thing for Daisy to do was to rush out of the house, child in arms - but apparently there were no such intentions in her head."," Zdálo se mi, že pro Daisy by bylo jediné řešení : sebrat dítě do náručí a utéct z domu - ale na něco takového zřejmě vůbec nepomýšlela."
"opened","open","Otevřel","otevřít","pf"," He opened it at the back cover and turned it around for me to see."," Otevřel ji odzadu a otočil ji, abych lépe viděl."
"turned","turn","otočil","otočit","pf"," He opened it at the back cover and turned it around for me to see."," Otevřel ji odzadu a otočil ji, abych lépe viděl."
"see","see","viděl","vidět","impf"," He opened it at the back cover and turned it around for me to see."," Otevřel ji odzadu a otočil ji, abych lépe viděl."
"Rise","rise","Vstávat","vstávat","impf"," Rise from bed ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... .... 6.00 A.M."," Vstávat ... ... ... 6. 00"
"hesitated","hesitate","Zaváhala","zaváhat","pf"," She hesitated."," Zaváhala."
"waited","wait","Čekal","čekat","impf"," I waited but she didn ’ t say any more, and after a moment I returned rather feebly to the subject of hr daughter."," Čekal jsem, ale neřekla už nic, a po chvíli jsem se poněkud matně vrátil k otázce její dcery."
"say","say","neřekla","říci","pf"," I waited but she didn ’ t say any more, and after a moment I returned rather feebly to the subject of hr daughter."," Čekal jsem, ale neřekla už nic, a po chvíli jsem se poněkud matně vrátil k otázce její dcery."
"returned","return","vrátil","vrátit","pf"," I waited but she didn ’ t say any more, and after a moment I returned rather feebly to the subject of hr daughter."," Čekal jsem, ale neřekla už nic, a po chvíli jsem se poněkud matně vrátil k otázce její dcery."
