"make","make","vydělávají","vydělávat","impf"," ' All these entrepreneurs make fortunes only because others incur expenses '."," "" Všichni podnikatelé vydělávají jenom tehdy, pokud ostatní utrácejí. """
"establish","establish","ustavily","ustavit","pf"," In order to establish the identities and differences existing between all natural entities, it would be necessary to take into account every feature that might have been listed in a given description."," Aby se identity a diference mezi všemi přírodními jsoucny ustavily, museli bychom uvažovat každý rys, který by mohl být v popisu zmíněn."
"existed","exist","neexistovaly","existovat","impf"," Such an endless task would push the advent of natural history back into an inaccessible never-never land, unless there existed techniques that would avoid this difficulty and limit the labour of making so many comparisons."," To je ovšem nekonečný úkol, který by odsunul nástup přírodní historie do nedosažitelné vzdálenosti, kdyby neexistovaly techniky, jak tuto obtíž obejít a omezit práci komparace."
"limit","limit","omezit","omezit","pf"," Such an endless task would push the advent of natural history back into an inaccessible never-never land, unless there existed techniques that would avoid this difficulty and limit the labour of making so many comparisons."," To je ovšem nekonečný úkol, který by odsunul nástup přírodní historie do nedosažitelné vzdálenosti, kdyby neexistovaly techniky, jak tuto obtíž obejít a omezit práci komparace."
"ensures","ensure","nezajišťuje","zajišťovat","impf"," It is not, then, that time or duration ensures the continuity and specification of living beings throughout the diversity of successive environments, but that against the continuous background of all the possible variations time traces out an itinerary upon which climates and geography pick out only certain privileged regions destined to survive."," Napříč rozličnosti prostředí tedy nezajišťuje kontinuitu a specifikaci živých bytostí čas ani trvání, ale na kontinuálním základě všech možných variací vykresluje čas průběh, kde klima a geografie dopředu vybírají pouze privilegované oblasti určené k tomu, aby byly zachovány."
"pick","pick","vybírají","vybírat","impf"," It is not, then, that time or duration ensures the continuity and specification of living beings throughout the diversity of successive environments, but that against the continuous background of all the possible variations time traces out an itinerary upon which climates and geography pick out only certain privileged regions destined to survive."," Napříč rozličnosti prostředí tedy nezajišťuje kontinuitu a specifikaci živých bytostí čas ani trvání, ale na kontinuálním základě všech možných variací vykresluje čas průběh, kde klima a geografie dopředu vybírají pouze privilegované oblasti určené k tomu, aby byly zachovány."
"struggles","struggle","zápasil","zápasit","impf"," Continuity is not the visible wake of a fundamental history in which one same living principle struggles with a variable environment."," Kontinuum není viditelná brázda základní historie, kde by stejný žijící princip zápasil s proměnlivým prostředím."
"designates","designate","označuje","označovat","impf"," And one ought, by this means, to provide at the same time an explanation for its arbitrariness ( since that which designates can be as different from that which it indicates as a gesture from the object towards which it is directed ), and for its profound relation with that which it names ( since a particular syllable or word has always been chosen to designate a particular thing )."," A takto se zároveň musí vysvětlit její arbitrární charakter ( protože to, co označuje, může být stejně odlišné od toho, co ukazuje, jako gesto předmětu a to, k čemu směřuje ) a jeho hluboký vztah k tomu, co jmenuje ( protože k označení dané věci byla vždy zvolena právě taková a taková slabika nebo takové a takové slovo )."
"indicates","indicate","označuje","označovat","impf"," And one ought, by this means, to provide at the same time an explanation for its arbitrariness ( since that which designates can be as different from that which it indicates as a gesture from the object towards which it is directed ), and for its profound relation with that which it names ( since a particular syllable or word has always been chosen to designate a particular thing )."," A takto se zároveň musí vysvětlit její arbitrární charakter ( protože to, co označuje, může být stejně odlišné od toho, co ukazuje, jako gesto předmětu a to, k čemu směřuje ) a jeho hluboký vztah k tomu, co jmenuje ( protože k označení dané věci byla vždy zvolena právě taková a taková slabika nebo takové a takové slovo )."
"designate","designate","označuje","označovat","impf"," And one ought, by this means, to provide at the same time an explanation for its arbitrariness ( since that which designates can be as different from that which it indicates as a gesture from the object towards which it is directed ), and for its profound relation with that which it names ( since a particular syllable or word has always been chosen to designate a particular thing )."," A takto se zároveň musí vysvětlit její arbitrární charakter ( protože to, co označuje, může být stejně odlišné od toho, co ukazuje, jako gesto předmětu a to, k čemu směřuje ) a jeho hluboký vztah k tomu, co jmenuje ( protože k označení dané věci byla vždy zvolena právě taková a taková slabika nebo takové a takové slovo )."
"indicates","indicate","ukazuje","ukazovat","impf"," And one ought, by this means, to provide at the same time an explanation for its arbitrariness ( since that which designates can be as different from that which it indicates as a gesture from the object towards which it is directed ), and for its profound relation with that which it names ( since a particular syllable or word has always been chosen to designate a particular thing )."," A takto se zároveň musí vysvětlit její arbitrární charakter ( protože to, co označuje, může být stejně odlišné od toho, co ukazuje, jako gesto předmětu a to, k čemu směřuje ) a jeho hluboký vztah k tomu, co jmenuje ( protože k označení dané věci byla vždy zvolena právě taková a taková slabika nebo takové a takové slovo )."
"chosen","choose","zvolena","zvolit","pf"," And one ought, by this means, to provide at the same time an explanation for its arbitrariness ( since that which designates can be as different from that which it indicates as a gesture from the object towards which it is directed ), and for its profound relation with that which it names ( since a particular syllable or word has always been chosen to designate a particular thing )."," A takto se zároveň musí vysvětlit její arbitrární charakter ( protože to, co označuje, může být stejně odlišné od toho, co ukazuje, jako gesto předmětu a to, k čemu směřuje ) a jeho hluboký vztah k tomu, co jmenuje ( protože k označení dané věci byla vždy zvolena právě taková a taková slabika nebo takové a takové slovo )."
"receive","receive","dostanou","dostat","pf"," On the other hand, when these elements are similar in two individuals they receive a common denomination."," Pokud naopak u dvou individuí budou tyto elementy podobné, dostanou společné označení."
"termed","term","nazývat","nazývat","impf"," The structure selected to be the locus of pertinent identities and differences is what is termed the character."," Právě struktura zvolená k tomu, aby byla místem relevantních identit a diferencí, se bude nazývat charakterem."
