"spotted","spot","našli","najít","pf"," Would he have been spotted if he 'd gone across crouching under a rug on the floor behind the driver 's seat? '"," Kdyby se přikrčil za sedadlo, nebo schoval pod přikrývku, našli by ho? """
"said","say","řekl","říci","pf"," ' Very probably not, ' Baltzersen said, and Arne agreed."," "" Patrně ne, "" řekl Baltzersen a Arne přikývl."
"opened","open","otevřela","otevřít","pf"," She opened her eyes fast and wide with the nightmare pictures still in them."," Zeširoka otevřela oči, jako by ještě viděla své noční můry."
"offer","offer","nabízel","nabízet","impf"," ' They are very special, ' Arne said, evidently pleased to be able to offer them."," "" Tyhle jeřabiny jsou vzácnost, "" vysvětloval Ame a s potěšením nám je nabízel."
"grow","grow","Rostou","růst","impf"," ' They grow in the mountains, and are only in season for about three weeks."," "" Rostou v horách a trhat se můžou jen krátkou dobu."
"lying","lie","ležela","ležet","impf"," But the height and clothes were right, and his overnight grip was lying there beside him, still with the initials R. T. S. stamped on in black."," Výška a oblečení však odpovídaly popisu a vedle těla ležela cestovní taška s iniciálami R. T. S."
"going","go","jet","jet","impf"," Are you going all the way out there to see Mikkel Sandvik?"," Vy se tam za Mikkelem Sandvikem chystáte jet?"
"helped","help","pomohlo","pomoci","pf"," He would have helped me if he could. '"," Kdyby věděl něco, co by mi pomohlo, určitě by mi to řekl. """
"Crying","cry","Plakal","plakat","impf"," Crying? '"," Plakal? """
"putting","put","řekl","říci","pf"," ' Just putting your theory into practice, ' he said."," "" Ověřil jsem si vaši teorii v praxi, "" řekl."
"said","say","řekl","říci","pf"," ' Just putting your theory into practice, ' he said."," "" Ověřil jsem si vaši teorii v praxi, "" řekl."
"went","go","jezdím","jezdit","impf"," Only usually I went with him, to see him off and take the car home. '"," Jindy jezdím na Heathrow s ním, čekám do odletu a odvážím domů auto. """
"cleared","clear","vyklizeno","vyklidit","pf"," Sunday found the carpets flat on the floors, the pictures back on the walls, the broken mess cleared away, and the curtains bundled up for the cleaners."," V neděli už byly všude na zemi koberce, obrázky na zdech, všechno rozbité vyklizeno, záclony složené a přichystané do čistírny."
"wearing","wear","měla","mít","impf"," For the first time since I had known her, she was wearing lipstick."," Poprvé za tu dobu, co jsem ji znal, měla nalíčené rty."
"help","help","pomůže","pomoci","pf"," If I set a trap, can he help me to spring it?"," Když nachystám past, pomůže mi ji vybrat?"
"nodded","nod","kývat","kývat","impf"," In the end they both nodded."," Nakonec začali oba kývat."
"ask","ask","ptáte","ptát","impf"," Why do you ask such an extraordinary question? '"," Proč se ptáte na takové divné věci? """
"talking","talk","vyprávěl","vyprávět","impf"," ' I 've seen nearly everyone I can remember him talking about."," "" Setkala jsem se skoro se všemi lidmi, o kterých mi vyprávěl."
"bang","bang","nepraštil","praštit","pf"," ' Why did n't he just bang you on the head and push you overboard? '"," "" Proč vás jednoduše nepraštil po hlavě a nehodil do vody? """
"sitting","sit","sedí","sedět","impf"," ' It is n't that easy to bang someone on the head when you 're sitting at opposite ends of a small dinghy."," "" Ono to není tak úplně jednoduché, vzít někoho po hlavě, když sedí na opačném konci vratkého člunu."
"leading","lead","vést","vést","impf"," And besides - leading a beast to the abattoir and slitting its neck are two different things. '"," Kromě toho ... je něco jiného vést dobytče na jatka a něco jiného je podříznout. """
"understand","understand","Nerozumím","rozumět","impf"," ' I do n't understand. '"," "" Nerozumím ... """
