"loved","love","miluji","milovat","impf"," I had n't known I loved her."," Nevěděl jsem, že ji miluji."
"handed","hand","podal","podat","pf"," Acey Jones handed me the glass and watched me take a mouthful and went on a bit about hell-raising and beating up the skies and generally living the life of a high-powered gypsy."," Acey Jones mi podal sklenici, díval se, jak začínám upíjet a pak zahájil proslov o pilotech, kteří se rvou s oblohou a tančí životem jako divocí Cikáni."
"watched","watch","díval","dívat","impf"," Acey Jones handed me the glass and watched me take a mouthful and went on a bit about hell-raising and beating up the skies and generally living the life of a high-powered gypsy."," Acey Jones mi podal sklenici, díval se, jak začínám upíjet a pak zahájil proslov o pilotech, kteří se rvou s oblohou a tančí životem jako divocí Cikáni."
"looking","look","podíval","podívat","pf"," The Major had been looking at his watch."," Major se podíval na hodinky."
"taking","take","bral","brát","impf"," Charles Carthy-Todd was engaged in taking candy from a mentally retarded child and then making it look as though the child had stolen it in the first place."," Charles Carthy - Todd bral hračky duševně opožděnému dítěti a přitom chtěl vzbudit zdání, že dítě hračky ukradlo."
"stolen","steal","ukradlo","ukrást","pf"," Charles Carthy-Todd was engaged in taking candy from a mentally retarded child and then making it look as though the child had stolen it in the first place."," Charles Carthy - Todd bral hračky duševně opožděnému dítěti a přitom chtěl vzbudit zdání, že dítě hračky ukradlo."
"said","say","řekl","říci","pf"," I said impulsively, "" Take care of yourself, sir. """," "" Buďte na sebe opatrný, pane, "" řekl jsem."
"stopped","stop","Zůstal","zůstat","pf"," He stopped dead in his tracks."," Zůstal stát jako zkamenělý."
"put","put","Položil","položit","pf"," I put down the telephone and considered the police."," Položil jsem telefon a uvažoval o tom, jestli se mám obrátit na policii."
"considered","consider","uvažoval","uvažovat","impf"," I put down the telephone and considered the police."," Položil jsem telefon a uvažoval o tom, jestli se mám obrátit na policii."
"came","come","přiletěli","přiletět","pf"," "" Are you the people who came in that aircraft? """," "" To vy jste přiletěli tím letadlem? """
"got","get","dostat","dostat","pf"," "" And I 've got to get back, have n't I? "" she said reasonably."," "" Zpátky se přece nějak dostat musím, "" dodala věcně."
"get","get","dostat","dostat","pf"," "" And I 've got to get back, have n't I? "" she said reasonably."," "" Zpátky se přece nějak dostat musím, "" dodala věcně."
"disappeared","disappear","Zmizela","zmizet","pf"," She half disappeared into the enveloping fuzz and re-emerged blushing."," Zmizela v oblaku třásní a červenala se, když se znovu vynořila."
"narrowed","narrow","zúžily","zúžit","pf"," His eyes narrowed fiercely at Kenny Bayst, opened and narrowed again rapidly on Goldenberg, relaxed on Annie Villars and went cold on the vanishing back of Colin Ross."," Oči se mu vztekle zúžily při pohledu na Kenny Baysta, rozšířily a opět zúžily, když zavadily o Goldenberga, zklidnily se při pohledu na Annie Villarsovou a zchladly, když se díval za odcházejícím Colinem Rossem."
"narrowed","narrow","zúžily","zúžit","pf"," His eyes narrowed fiercely at Kenny Bayst, opened and narrowed again rapidly on Goldenberg, relaxed on Annie Villars and went cold on the vanishing back of Colin Ross."," Oči se mu vztekle zúžily při pohledu na Kenny Baysta, rozšířily a opět zúžily, když zavadily o Goldenberga, zklidnily se při pohledu na Annie Villarsovou a zchladly, když se díval za odcházejícím Colinem Rossem."
"narrowed","narrow","zúžily","zúžit","pf"," His eyes narrowed fiercely at Kenny Bayst, opened and narrowed again rapidly on Goldenberg, relaxed on Annie Villars and went cold on the vanishing back of Colin Ross."," Oči se mu vztekle zúžily při pohledu na Kenny Baysta, rozšířily a opět zúžily, když zavadily o Goldenberga, zklidnily se při pohledu na Annie Villarsovou a zchladly, když se díval za odcházejícím Colinem Rossem."
"narrowed","narrow","zúžily","zúžit","pf"," His eyes narrowed fiercely at Kenny Bayst, opened and narrowed again rapidly on Goldenberg, relaxed on Annie Villars and went cold on the vanishing back of Colin Ross."," Oči se mu vztekle zúžily při pohledu na Kenny Baysta, rozšířily a opět zúžily, když zavadily o Goldenberga, zklidnily se při pohledu na Annie Villarsovou a zchladly, když se díval za odcházejícím Colinem Rossem."
"lasted","last","trval","trvat","impf"," The public impact lasted three days."," Zájem veřejnosti o celou záležitost trval tři dny."
"land","land","přistanete","přistát","pf"," "" He could n't have foreseen you 'd land at East Midlands ... """," "" Nemohl ale předpokládat, že přistanete v East Midlands ... """
"report","report","hlásí","hlásit","impf"," "" Wymeswold report the aircraft they were watching has turned north on to zero one zero. """," "" Wymeswold hlásí, že sledované letadlo zase změnilo kurs, letí nula jedna nula. """
"turned","turn","změnilo","změnit","pf"," "" Wymeswold report the aircraft they were watching has turned north on to zero one zero. """," "" Wymeswold hlásí, že sledované letadlo zase změnilo kurs, letí nula jedna nula. """
"thumped","thump","bilo","bít","impf"," My heart thumped."," Srdce mi bilo jako zvon."
"telephoned","telephone","Volala","volat","impf"," "" Has she telephoned again? """," "" Volala? """
"flying","fly","letím","letět","impf"," "" I 'll be at Warwick races on Saturday ... flying some people up from Kent ..."," "" Budu v sobotu ve Warwicku ... letím tam s nějakými lidmi z Kentu ..."
"ask","ask","Poprosíš","poprosit","pf"," Will you ask her ... just to talk to me? """," Poprosíš ji ... řekneš jí, aby se mnou aspoň promluvila? """
"talk","talk","promluvila","promluvit","pf"," Will you ask her ... just to talk to me? """," Poprosíš ji ... řekneš jí, aby se mnou aspoň promluvila? """
"walk","walk","doprovodil","doprovodit","pf"," I stifled the thought that I probably would have gone across with him, or insisted on fetching his newspaper for him, if I had n't been unwilling to walk away and leave Nancy."," Snažil jsem se nemyslet na to, že bych ho byl pravděpodobně doprovodil, nebo bych ho byl přemluvil a došel mu pro ty noviny sám, nebýt toho, že se mi nechtělo odejít od Nancy."
"fetching","fetch","došel","dojít","pf"," I stifled the thought that I probably would have gone across with him, or insisted on fetching his newspaper for him, if I had n't been unwilling to walk away and leave Nancy."," Snažil jsem se nemyslet na to, že bych ho byl pravděpodobně doprovodil, nebo bych ho byl přemluvil a došel mu pro ty noviny sám, nebýt toho, že se mi nechtělo odejít od Nancy."
"gone","go","odejít","odejít","pf"," I stifled the thought that I probably would have gone across with him, or insisted on fetching his newspaper for him, if I had n't been unwilling to walk away and leave Nancy."," Snažil jsem se nemyslet na to, že bych ho byl pravděpodobně doprovodil, nebo bych ho byl přemluvil a došel mu pro ty noviny sám, nebýt toho, že se mi nechtělo odejít od Nancy."
"leave","leave","odejít","odejít","pf"," I stifled the thought that I probably would have gone across with him, or insisted on fetching his newspaper for him, if I had n't been unwilling to walk away and leave Nancy."," Snažil jsem se nemyslet na to, že bych ho byl pravděpodobně doprovodil, nebo bych ho byl přemluvil a došel mu pro ty noviny sám, nebýt toho, že se mi nechtělo odejít od Nancy."
"hope","hope","Doufám","doufat","impf"," "" I hope you 'll know me for the other half, "" I said."," "" Doufám, že mě budete znát celou další polovinu. """
"say","say","říkal","říkat","impf"," "" What did you say? """," "" Co jste říkal? """
"looked","look","podívala","podívat","pf"," She looked at me, unsure."," Nejistě se na mě podívala."
