"do","do","nevezme","vzít","pf"," Pim swears that I do such a good job he 'll never go to another barber after the war."," Pim tvrdí, že si po válce nevezme jiného holiče, tak dobře odvádím svou práci."
"awaiting","await","Čekáme","čekat","impf"," Anxiously awaiting radio reports."," Čekáme s napětím na zprávy v rádiu."
"followed","follow","následovalo","následovat","impf"," In less than an hour, joy was followed by disappointment."," po radosti už za hodinu následovalo zklamání, které naši radost překazilo."
"declared","declare","prohlášeny","prohlásit","pf"," Thousand-guilder notes are being declared invalid."," Tisíciguldenové bankovky byly prohlášeny za neplatné."
"feigned","feign","předstírat","předstírat","impf"," Father and Mother 's biggest mistake in dealing with the van Daans is that they 're never candid and friendly ( admittedly, the friendliness might have to be feigned )."," Největší chyba otce a matky vůči van Daanovým tkví v tom, že nikdy nemluví otevřeně a přátelsky ( i kdyby měli to přátelství trošku předstírat )."
"keep","keep","zachovávala","zachovávat","impf"," Above all, I want to keep the peace, and to neither quarrel nor gossip."," Já bych tu především ráda zachovávala mír bez hádek a pomluv."
"lying","lie","leží","ležet","impf"," And look, you 've left the manicure set lying around again."," A podívej se, tady už zase leží pouzdro na manikúru."
"said","say","Řekla","říci","pf"," I said I had n't used it, and Margot backed me up, since she was the guilty party."," Řekla jsem, že jsem ho nepoužívala, a Margot přispěla na pomoc, protože to byla její vina."
"used","use","nepoužívala","používat","impf"," I said I had n't used it, and Margot backed me up, since she was the guilty party."," Řekla jsem, že jsem ho nepoužívala, a Margot přispěla na pomoc, protože to byla její vina."
"picked","pick","vzala","vzít","pf"," Miep immediately picked him up, rolled him in a towel, tucked him in her shopping bag and brought him to the dog-and-cat clinic."," Miep ho vzala, zabalila do šátku, strčila do nákupní tašky a odnesla k veterináři."
"tucked","tuck","strčila","strčit","pf"," Miep immediately picked him up, rolled him in a towel, tucked him in her shopping bag and brought him to the dog-and-cat clinic."," Miep ho vzala, zabalila do šátku, strčila do nákupní tašky a odnesla k veterináři."
"gave","give","dal","dát","pf"," Boche had some kind of intestinal problem, so the vet gave him medicine."," Doktor mu dal medicínu, protože Moffi měl něco s vnitřnostmi."
"went","go","Pokračovala","pokračovat","impf"," I went on talking, despite Dussel 's repeated interruptions."," Pokračovala jsem v hovoru, přičemž mě Dussel neustále přerušoval."
"came","come","přišel","přijít","pf"," "" When you first came here, "" I said, "" we agreed that the room was to be shared by the two of us."," "" Na začátku, když jste sem přišel, jsme se dohodli, že tenhle pokoj bude patřit společně nám oběma."
"agreed","agree","dohodli","dohodnout","pf"," "" When you first came here, "" I said, "" we agreed that the room was to be shared by the two of us."," "" Na začátku, když jste sem přišel, jsme se dohodli, že tenhle pokoj bude patřit společně nám oběma."
"forbidden","forbid","zakázáno","zakázat","pf"," It is absolutely forbidden to listen to German news bulletins ( regardless of where they are transmitted from ) and to pass them on to others."," Je nejpřísněji zakázáno poslouchat a rozšiřovat německé zprávy ( lhostejno odkud jsou vysílány )."
"listen","listen","poslouchat","poslouchat","impf"," It is absolutely forbidden to listen to German news bulletins ( regardless of where they are transmitted from ) and to pass them on to others."," Je nejpřísněji zakázáno poslouchat a rozšiřovat německé zprávy ( lhostejno odkud jsou vysílány )."
"transmitted","transmit","vysílány","vysílat","impf"," It is absolutely forbidden to listen to German news bulletins ( regardless of where they are transmitted from ) and to pass them on to others."," Je nejpřísněji zakázáno poslouchat a rozšiřovat německé zprávy ( lhostejno odkud jsou vysílány )."
"observe","observe","dodržuje","dodržovat","impf"," Owing to circumstances, residents are required to observe rest hours during the daytime when instructed to do so by the Management."," Za zvláštních okolností se dodržuje klid i přes den, vždy podle pokynů ředitelství."
"observed","observe","dodržovány","dodržovat","impf"," To ensure the safety of all, rest hours must be strictly observed!!!"," Hodiny klidu musí být v zájmu všeobecné bezpečnosti bezpodmínečně dodržovány!!!"
