"turned","turn","obrátil","obrátit","pf"," Ralph turned to the sea."," Ralph se obrátil k moři."
"looked","look","Pohlédl","pohlédnout","pf"," He looked sideways to his left, toward the bathing pool."," Pohlédl doleva, směrem k vodní nádržce."
"sitting","sit","seděl","sedět","impf"," Piggy was sitting near but giving no help."," Čuňas seděl nablízku, ale neměl se k tomu, aby mu pomohl."
"talk","talk","hovořit","hovořit","impf"," All at once he found he could talk fluently and explain what he had to say."," A tu pojednou nabyl jistoty, že dokáže plynně hovořit a vysvětlit všechno, co je zapotřebí."
"explain","explain","vysvětlit","vysvětlit","pf"," All at once he found he could talk fluently and explain what he had to say."," A tu pojednou nabyl jistoty, že dokáže plynně hovořit a vysvětlit všechno, co je zapotřebí."
"seen","see","uviděli","uvidět","pf"," We 've been on the mountain top and seen water all round."," Vylezli jsme na vrchol hory a uviděli jsme kolem dokola vodu."
"saw","see","Neviděli","vidět","impf"," We saw no houses, no smoke, no footprints, no boats, no people."," Neviděli jsme žádné domy, ani kouř, ani stopy, ani čluny, ani lidi."
"tell","tell","povím","povědět","pf"," I tell you what."," A já ti něco povím."
"hates","hate","nenávidí","nenávidět","impf"," He hates you too, Ralph - """," Von tebe taky nenávidí, Ralphe - """
"explained","explain","vysvětloval","vysvětlovat","impf"," "" You could n't have a beastie, a snake-thing, on an island this size, "" Ralph explained kindly."," "" Na takhle malém ostrově nemůže žít žádný netvor, žádný veliký had, "" vysvětloval Ralph vlídně."
"says","say","Říká","říkat","impf"," "" He says the beastie came in the dark. """," "" Říká, že ta potvora přišla ve tmě. """
"came","come","přišla","přijít","pf"," "" He says the beastie came in the dark. """," "" Říká, že ta potvora přišla ve tmě. """
"see","see","vidět","vidět","impf"," "" Then he could n't see it! """," "" Ale to ji nemoh vidět. """
"hear","hear","Slyšeli","slyšet","impf"," "" Did you hear that?"," "" Slyšeli jste ho?"
"Says","say","Povídá","povídat","impf"," Says he saw the thing in the dark - """," Povídá, že to viděl potmě - """
"saw","see","viděl","vidět","impf"," Says he saw the thing in the dark - """," Povídá, že to viděl potmě - """
"saw","see","viděl","vidět","impf"," "" He still says he saw the beastie."," "" Ale von pořád tvrdí, že tu potvoru viděl."
"refuse","refuse","odmítne","odmítnout","pf"," He meant to refuse meat but his past diet of fruit and nuts, with an odd crab or fish, gave him too little resistance."," Původně se zaříkal, že maso odmítne, ale jeho dosavadní strava, která pozůstávala z ovoce a ořechů a sem tam nějakého kraba nebo ryby, mu nedodala dost odolnosti."
"accepted","accept","Přijal","přijmout","pf"," He accepted a piece of half-raw meat and gnawed it like a wolf."," Přijal kus polosyrového masa a zakousl se do něj jako vlk."
"said","say","Řekli","říci","pf"," You said Ralph was chief and you do n't give him time to think."," Řekli jste, že Ralph bude náčelník, a nedáte mu čas, aby si moh všecko rozmyslet."
"give","give","nedáte","dát","pf"," You said Ralph was chief and you do n't give him time to think."," Řekli jste, že Ralph bude náčelník, a nedáte mu čas, aby si moh všecko rozmyslet."
"says","say","řekne","říci","pf"," Then when he says something you rush off, like, like - """," Sotva něco řekne, rozutečete se jako, jako - """
"saw","see","vidí","vidět","impf"," You could tell that he saw light on this side and on that, but not in the middle - there."," Nebylo těžké uhádnout, že vidí světlo napravo a nalevo, ale nikoli uprostřed právě tam."
"trying","try","snažil","snažit","impf"," In the middle was a blob of dark and the savage wrinkled up his face, trying to decipher the darkness."," Uprostřed byla kaňka tmy a divoch vraštil obličej a snažil se tu temnotu rozluštit."
"looking","look","dívat","dívat","impf"," Ralph was looking straight into the savage 's eyes."," Ralph se dívat divochovi přímo do očí."
"scream","scream","Nevykřikni","vykřiknout","pf"," Do n't scream."," Nevykřikni!"
"seen","see","zahlédl","zahlédnout","pf"," Now he 's seen you."," Teď tě zahlédl."
"screamed","scream","vykřikl","vykřiknout","pf"," Ralph screamed, a scream of fright and anger and desperation."," Ralph vykřikl, zaječel strachem, vztekem a zoufalstvím."
"do","do","udělat","udělat","pf"," But they could never manage to do things sensibly if that meant acting independently, and since staying awake all night was impossible, they had both gone to sleep."," Jeden bez druhého však nedokázal udělat nic kloudného, a protože nemohli být vzhůru celou noc, usnuli oba."
"sleep","sleep","usnuli","usnout","pf"," But they could never manage to do things sensibly if that meant acting independently, and since staying awake all night was impossible, they had both gone to sleep."," Jeden bez druhého však nedokázal udělat nic kloudného, a protože nemohli být vzhůru celou noc, usnuli oba."
"approached","approach","blížili","blížit","impf"," Now they approached the darker smudge that had been the signal fire, yawning, rubbing their eyes, treading with practiced feet."," Teď se blížili k temnější skvrně, kde měl hořet signální oheň, zívali, protírali si oči a našlapovali zkušenýma nohama."
"stopped","stop","přestali","přestat","pf"," When they readied it they stopped yawning, and one ran quickly back for brushwood and leaves."," Když došli k ohništi, zastavili se, přestali zívat a jeden se hned rozběhl pro chrastí a listí."
"leaves","leave","přestali","přestat","pf"," When they readied it they stopped yawning, and one ran quickly back for brushwood and leaves."," Když došli k ohništi, zastavili se, přestali zívat a jeden se hned rozběhl pro chrastí a listí."
"pushed","push","strčil","strčit","pf"," He fiddled with the sticks that were pushed into his hands."," Šmátral v popeli klacíky, které mu bratr strčil do ruky."
"throw","throw","vrhat","vrhat","impf"," "" - and we 've got to be careful and throw our spears like at a pig. """," "" - a že si máme dát záležet a vrhat oštěpy, jako když honíme prase. """
"spread","spread","Roztáhneme","roztáhnout","pf"," "" We 're going to spread out in a line across the island - """," "" Roztáhneme se do řady přes celý ostrov - """
"going","go","postupovat","postupovat","impf"," "" - we 're going forward from this end - """," "" - budeme postupovat tady od toho konce - """
"find","find","nenajdeme","najít","pf"," "" - until we find you. """," "" - tak dlouho, dokud tě nenajdeme. """
"give","give","dávat","dávat","impf"," "" We 've got to give signals like this. """," "" Budeme si dávat takovéhle signály. """
"started","start","začal","začít","pf"," There he started to pull on his tattered shorts, to be ready for anything."," Tam si začal honem natahovat roztrhané kalhoty, aby byl pro všechny případy připraven."
"stood","stand","měl","mít","impf"," Ralph stood, one hand holding back his hair, the other clenched."," Ralph stál, jednou rukou si přidržoval vlasy, druhou měl zaťatu v pěst."
"holding","hold","měl","mít","impf"," Ralph stood, one hand holding back his hair, the other clenched."," Ralph stál, jednou rukou si přidržoval vlasy, druhou měl zaťatu v pěst."
"remember","remember","Pamatujete","pamatovat","impf"," You remember how he crawled - """," Pamatujete, jak se připlazila"
"came","come","Přišla","přijít","pf"," "" He came disguised."," "" Přišla - v přestrojení."
"gave","give","dali","dát","pf"," He may come again even though we gave him the head of our kill to eat."," Kdoví, jestli se neukáže zas, třebaže jsme jí dali prasečí hlavu, aby se najedla."
"lifted","lift","zvedl","zvednout","pf"," Stanley lifted his forearm off the rock and held up an interrogative finger."," Stanley zvedl předloktí ze skály a natáhl tázavě prst."
"looked","look","pohlédl","pohlédnout","pf"," He squirmed and looked down."," Zavrtěl se a pohlédl k zemi."
"followed","follow","následovalo","následovat","impf"," In the silence that followed, each savage flinched away from his individual memory."," V tichu, které následovalo, každý z divochů se snažil utéci před vlastní pamětí."
"recovered","recover","vzpamatovali","vzpamatovat","pf"," Jack and the two anonymous savages with him swayed, looking up, and then recovered."," Jack i oba jeho anonymní divoši se zapotáceli, vzhlédli k nebi a pak se zase vzpamatovali."
"waiting","wait","čekal","čekat","impf"," Jack was waiting for something."," Jack na něco čekal."
"spoke","speak","řekl","říci","pf"," Jack spoke sharply."," Jack řekl ostře :"
"looked","look","pohlédli","pohlédnout","pf"," The two savages looked at each other, raised their spears together and spoke in time."," Divoši pohlédli jeden na druhého, zvedli oštěpy a řekli oba zároveň :"
"raised","raise","zvedli","zvednout","pf"," The two savages looked at each other, raised their spears together and spoke in time."," Divoši pohlédli jeden na druhého, zvedli oštěpy a řekli oba zároveň :"
"spoke","speak","řekli","říci","pf"," The two savages looked at each other, raised their spears together and spoke in time."," Divoši pohlédli jeden na druhého, zvedli oštěpy a řekli oba zároveň :"
"turned","turn","otočili","otočit","pf"," Then the three of them turned and trotted away."," Pak se všichni tři otočili a odklusali pryč."
"found","find","našel","najít","pf"," Then Jack found them, and was shivering and croaking in a voice they could just recognize as his."," A vtom už je Jack našel a celý se třásl a skřehotal hlasem, který jen stěží poznali :"
"shivering","shiver","třásl","třást","impf"," Then Jack found them, and was shivering and croaking in a voice they could just recognize as his."," A vtom už je Jack našel a celý se třásl a skřehotal hlasem, který jen stěží poznali :"
"recognize","recognize","poznali","poznat","pf"," Then Jack found them, and was shivering and croaking in a voice they could just recognize as his."," A vtom už je Jack našel a celý se třásl a skřehotal hlasem, který jen stěží poznali :"
"saw","see","viděl","vidět","impf"," "" I saw a thing on top. """," "" Něco jsem tam nahoře viděl. """
"heard","hear","Slyšeli","slyšet","impf"," They heard him blunder against the trunk which rocked violently."," Slyšeli, jak zakopl o kládu, která se prudce zakymácela."
"handed","hand","podal","podat","pf"," Piggy handed Ralph his glasses and waited to receive back his sight."," Čuňas podal Ralphovi brýle a vyčkával, až mu jeho zrak zase vrátí."
"waited","wait","vyčkával","vyčkávat","impf"," Piggy handed Ralph his glasses and waited to receive back his sight."," Čuňas podal Ralphovi brýle a vyčkával, až mu jeho zrak zase vrátí."
"lighted","light","zapalovali","zapalovat","impf"," and this was the third time they had lighted it."," zapalovali je teď už potřetí."
"speaking","speak","řekl","říci","pf"," Ralph stood back, speaking to himself."," Ralph odstoupil od ohniště a řekl si sám pro sebe :"
"want","want","nechcem","chtít","impf"," "" We do n't want another night without fire. """," "" Už nechcem zažít ani jednu noc bez ohně. """
