"stole","steal","Ukradl","ukrást","pf"," "" He stole the damned money, did n't he?"," "" Ukradl ty zatracený peníze, ne?"
"burned","burn","Spálil","spálit","pf"," He burned up that dead body."," Spálil mrtvolu."
"steal","steal","neukradl","ukrást","pf"," "" He did n't steal the money here, "" Trussel explained."," "" On neukradl peníze tady, "" vysvětlil mu Trussel."
"explained","explain","vysvětlil","vysvětlit","pf"," "" He did n't steal the money here, "" Trussel explained."," "" On neukradl peníze tady, "" vysvětlil mu Trussel."
"watched","watch","Pozoroval","pozorovat","impf"," He watched the clouds get closer below the wing."," Pozoroval, jak se mraky pod křídly blíží."
"get","get","blíží","blížit","impf"," He watched the clouds get closer below the wing."," Pozoroval, jak se mraky pod křídly blíží."
"earned","earn","vydělávaly","vydělávat","impf"," Probably earned at least twelve percent a year."," Pravděpodobně vydělávaly aspoň dvanáct procent za rok."
"hurried","hurry","Pospíchali","pospíchat","impf"," They hurried through the terminal to catch his flight to San Juan."," Pospíchali prostorami letiště, aby chytil svůj let do San Juanu."
"catch","catch","chytil","chytit","pf"," They hurried through the terminal to catch his flight to San Juan."," Pospíchali prostorami letiště, aby chytil svůj let do San Juanu."
"ask","ask","ptát","ptát","impf"," "" He 'll ask where you are. """," "" Bude se ptát, kde jste. """
"made","make","učinili","učinit","pf"," The decision to cut a deal with Patrick had been made by people with far more clout than Sprawling and Jaynes."," Rozhodnutí uzavřít dohodu s Patrickem učinili lidé, kteří mají daleko větší vliv než Sprawling a Jaynes."
"trying","try","pokoušeli","pokoušet","impf"," They were just trying to keep him happy, since he was, after all, the U.S. Attorney for the district."," Jen se pokoušeli ho potěšit, protože přece jen byl federálním žalobcem distriktu."
"indicting","indict","obvinit","obvinit","pf"," The idea of indicting and prosecuting a U.S. Senator had enormous potential, and Mast warmed to it immediately."," Nápad obvinit a obžalovat amerického senátora měl obrovský potenciál a Mastovi se okamžitě zalíbil."
"indicting","indict","obžalovat","obžalovat","pf"," The idea of indicting and prosecuting a U.S. Senator had enormous potential, and Mast warmed to it immediately."," Nápad obvinit a obžalovat amerického senátora měl obrovský potenciál a Mastovi se okamžitě zalíbil."
"give","give","dá","dát","pf"," Patrick will give you instructions, and for the time being he and I will communicate through you."," Patrick vám dá instrukce a prozatím spolu budeme komunikovat vaším prostřednictvím."
"communicate","communicate","komunikovat","komunikovat","impf"," Patrick will give you instructions, and for the time being he and I will communicate through you."," Patrick vám dá instrukce a prozatím spolu budeme komunikovat vaším prostřednictvím."
"looking","look","hledají","hledat","impf"," Once you 're identified as his lawyer, you will attract the people who are looking for me. """," Jakmile budete znám jako jeho advokát, přilákáte lidi, kteří hledají mne. """
"tell","tell","poví","povědět","pf"," "" Patrick will tell you. """," "" Patrick vám to poví. """
"answer","answer","odpovědět","odpovědět","pf"," "" I ca n't answer that question. """," "" Na to vám nemohu odpovědět. """
"writing","write","napsal","napsat","pf"," "" I 'm writing letters to some of them."," "" Některým jsem napsal dopisy."
"caught","catch","chytili","chytit","pf"," "" I hear they caught your lady friend in Miami. """," "" Prý chytili tvou přítelkyni v Miami. """
"struggled","struggle","Zápasil","zápasit","impf"," He struggled with what to say next."," Zápasil s tím, co má říci dál."
"say","say","říci","říci","pf"," He struggled with what to say next."," Zápasil s tím, co má říci dál."
"wanna","wanna","chceš","chtít","impf"," You wanna keep this house, the money, everything we 've got, then he 's gotta die. """," Jestli si chceš udržet tenhle dům, všechno, co máme, pak musí zemřít. """
"keep","keep","udržet","udržet","pf"," You wanna keep this house, the money, everything we 've got, then he 's gotta die. """," Jestli si chceš udržet tenhle dům, všechno, co máme, pak musí zemřít. """
"keep","keep","máme","mít","impf"," You wanna keep this house, the money, everything we 've got, then he 's gotta die. """," Jestli si chceš udržet tenhle dům, všechno, co máme, pak musí zemřít. """
"gotta","gotta","musí","muset","impf"," You wanna keep this house, the money, everything we 've got, then he 's gotta die. """," Jestli si chceš udržet tenhle dům, všechno, co máme, pak musí zemřít. """
"die","die","zemřít","zemřít","pf"," You wanna keep this house, the money, everything we 've got, then he 's gotta die. """," Jestli si chceš udržet tenhle dům, všechno, co máme, pak musí zemřít. """
"speak","speak","neřekla","říci","pf"," She did n't speak or move for a long time, but his words delighted her soul."," Dlouho nic neřekla, ani se nepohnula, ale jeho slova ji potěšila na duši."
"move","move","nepohnula","pohnout","pf"," She did n't speak or move for a long time, but his words delighted her soul."," Dlouho nic neřekla, ani se nepohnula, ale jeho slova ji potěšila na duši."
"delighted","delight","potěšila","potěšit","pf"," She did n't speak or move for a long time, but his words delighted her soul."," Dlouho nic neřekla, ani se nepohnula, ale jeho slova ji potěšila na duši."
"loved","love","milovala","milovat","impf"," In spite of half a brain and many other flaws, Lance was the only man she 'd ever loved."," I když nebyl nijak mimořádně bystrý a měl i mnoho dalších nedostatků, byl Lance jediný muž, kterého kdy milovala."
"met","meet","sešli","sejít","pf"," When the cameras left, the two men met quietly with the Honorable Karl Huskey, one of the three circuit judges for Harrison County, and a close friend of Patrick 's, before the funeral."," Když se muži s kamerami vzdálili, oba muži se sešli v klidu s Jeho Ctihodností Karlem Huskeym, jedním ze tří obvodových soudců pro okres Harrison a před pohřbem ještě blízkým přítelem Patricka."
"receive","receive","přijmout","přijmout","pf"," Cases were supposedly assigned at random, but Huskey, as well as the other judges, knew how to manipulate the filing clerk so that he could receive, or not receive, any particular case."," Případy se měly zadávat náhodně, ale Huskey, stejně jako ostatní soudci, věděl, jak ovlivnit registračního úředníka, aby mohl přijmout nebo nepřijmout určitý případ."
