"running","run","jezdily","jezdit","impf"," The trains with the troops were running day and night, the ambulances with the wounded were passing through every hour, they were switching cars loaded with prisoners of war at the railroad station from one track to another every so often, and present during all that had to be the members of those various corporations and associations."," Vlaky s vojskem jezdily dnem i nocí, sanitní vozy projížděly s raněnými každou hodinu, na nádražích přehazovali z koleje na druhou kolej každou chvíli vozy se zajatci a při všem tom museli být členové těch všech různých korporací a spolků."
"went","go","Šlo","jít","impf"," It went on one day after another and the original enthusiasm was changing into yawning."," Šlo to ze dne na den a původní nadšení měnilo se v zívání."
"changing","change","měnilo","měnit","impf"," It went on one day after another and the original enthusiasm was changing into yawning."," Šlo to ze dne na den a původní nadšení měnilo se v zívání."
"put","put","dáme","dát","pf"," "" Where are we going to put him? "" asked Master Sergeant Řepa."," "" Kam ho dáme? "" otázal se šikovatel Řepa."
"asked","ask","otázal","otázat","pf"," "" Where are we going to put him? "" asked Master Sergeant Řepa."," "" Kam ho dáme? "" otázal se šikovatel Řepa."
"said","say","prohlásil","prohlásit","pf"," "" Yeah, boy, "" he said festively to Švejk, "" when you deal with scum, you 've got to use a scum bag."," - Jojo, "" prohlásil slavnostně k Švejkovi, "" s neřádama se jedná neřádsky."
"deal","deal","jedná","jednat","impf"," "" Yeah, boy, "" he said festively to Švejk, "" when you deal with scum, you 've got to use a scum bag."," - Jojo, "" prohlásil slavnostně k Švejkovi, "" s neřádama se jedná neřádsky."
"chase","chase","vyženou","vyhnat","pf"," At the garrison, they 'll chase that talking back out of his head."," Na garnizónu už mu to kušnění vyženou z hlavy."
"thinks","think","Myslí","myslet","impf"," He thinks that they are here just for his amusement and that the whole military is fun, a joke."," Myslí si, že jsou zde jen kvůli jeho zábavě, že je celá vojna legrace, špásovná věc."
"see","see","vidíme","vidět","impf"," On the other hand, we see that today 's officers, wrestling for life or death with these servants of the new era, use the most diverse means to hold onto their authority."," Na druhé straně vidíme, že velitelé, zápasíce na život a na smrt se svými sluhy nové doby, používají nejrozmanitějších prostředků, aby udrželi svou autoritu."
"wrestling","wrestle","zápasíce","zápasit","impf"," On the other hand, we see that today 's officers, wrestling for life or death with these servants of the new era, use the most diverse means to hold onto their authority."," Na druhé straně vidíme, že velitelé, zápasíce na život a na smrt se svými sluhy nové doby, používají nejrozmanitějších prostředků, aby udrželi svou autoritu."
"use","use","používají","používat","impf"," On the other hand, we see that today 's officers, wrestling for life or death with these servants of the new era, use the most diverse means to hold onto their authority."," Na druhé straně vidíme, že velitelé, zápasíce na život a na smrt se svými sluhy nové doby, používají nejrozmanitějších prostředků, aby udrželi svou autoritu."
"hold","hold","udrželi","udržet","pf"," On the other hand, we see that today 's officers, wrestling for life or death with these servants of the new era, use the most diverse means to hold onto their authority."," Na druhé straně vidíme, že velitelé, zápasíce na život a na smrt se svými sluhy nové doby, používají nejrozmanitějších prostředků, aby udrželi svou autoritu."
"freed","free","osvobozen","osvobodit","pf"," He was freed because it was only the second time he had murdered one."," Byl tenkrát osvobozen, poněvadž to udělal teprve podruhé."
"fell","fall","spadl","spadnout","pf"," The chief field chaplain fell off the bench at that moment and once on the ground kept on sleeping."," Vrchní polní kurát vtom spadl z lavice a spal na zemi dál."
"watching","watch","díval","dívat","impf"," The sergeant was watching it dumbstruck and then, to the accompaniment of general silence, was lifting him up onto the bench on his own without any contribution from the others."," Desátník se na to hloupě díval a pak za všeobecného ticha zvedal ho beze všeho přispění druhých na lavici sám."
"lifting","lift","zvedal","zvedat","impf"," The sergeant was watching it dumbstruck and then, to the accompaniment of general silence, was lifting him up onto the bench on his own without any contribution from the others."," Desátník se na to hloupě díval a pak za všeobecného ticha zvedal ho beze všeho přispění druhých na lavici sám."
"read","read","Četl","číst","impf"," I read in a book once that a suspect used to have to walk on red hot iron and drink molten lead to determine whether or not he was innocent."," Četl jsem kdysi jednu knihu, že obžalovaní museli chodit po rozžhaveným železe a pít roztavené olovo, aby se poznalo, jestli je nevinnej."
"walk","walk","chodit","chodit","impf"," I read in a book once that a suspect used to have to walk on red hot iron and drink molten lead to determine whether or not he was innocent."," Četl jsem kdysi jednu knihu, že obžalovaní museli chodit po rozžhaveným železe a pít roztavené olovo, aby se poznalo, jestli je nevinnej."
"drink","drink","pít","pít","impf"," I read in a book once that a suspect used to have to walk on red hot iron and drink molten lead to determine whether or not he was innocent."," Četl jsem kdysi jednu knihu, že obžalovaní museli chodit po rozžhaveným železe a pít roztavené olovo, aby se poznalo, jestli je nevinnej."
"welcoming","welcome","vítaly","vítat","impf"," But it wasn ’ t like at the beginning of the war anymore, when soldiers on the way to the front overstuffed themselves at every railroad station and where there were welcoming them bridesmaids in stupid white dresses and even dumber faces and damn stupid bouquets and an even sillier speech of some such dame whose husband now acted the tremendous patriot and republican."," Ale už to nebylo to jako na začátku války, kdy se vojáci cestou na front přejedli na každém nádraží a kdy je vítaly družičky v pitomých bílých šatech a ještě blbějšími obličeji a zatraceně hloupými kyticemi a ještě hloupějším proslovem nějaké té dámy, jejíž manžel teď dělá náramného vlastence a republikána."
"acted","act","dělá","dělat","impf"," But it wasn ’ t like at the beginning of the war anymore, when soldiers on the way to the front overstuffed themselves at every railroad station and where there were welcoming them bridesmaids in stupid white dresses and even dumber faces and damn stupid bouquets and an even sillier speech of some such dame whose husband now acted the tremendous patriot and republican."," Ale už to nebylo to jako na začátku války, kdy se vojáci cestou na front přejedli na každém nádraží a kdy je vítaly družičky v pitomých bílých šatech a ještě blbějšími obličeji a zatraceně hloupými kyticemi a ještě hloupějším proslovem nějaké té dámy, jejíž manžel teď dělá náramného vlastence a republikána."
"thought","think","pomyslil","pomyslit","pf"," "" Spit it out already, you miserable old fart, "" the Lieutenant thought to himself."," "" Tak už se, dědku mizerná, vyslov, "" pomyslil si nadporučík."
"kissed","kiss","políbil","políbit","pf"," Before the official knew what was happening, Švejk stepped up to him, kissed his hand, and said :"," A nežli se nadál, Švejk přikročil k němu, políbil mu ruku a řekl :"
"said","say","řekl","říci","pf"," Before the official knew what was happening, Švejk stepped up to him, kissed his hand, and said :"," A nežli se nadál, Švejk přikročil k němu, políbil mu ruku a řekl :"
"found","find","ocitl","ocitnout","pf"," So, Švejk found himself on his way home, free and at-large again."," A tak se ocitl Švejk opět na svobodě a na cestě k domovu."
