"say","say","řekl","říci","pf"," What else can I say about them?"," Co bych o nich ještě řekl?"
"started","start","začal","začít","pf"," The Memorandum was mounted in 1965, but I had started writing it in 1960, and then rewritten it several times."," V roce 1965 bylo uvedeno Vyrozumění, které jsem ovšem začal psát už v roce 1960 a pak několikrát přepisoval."
"writing","write","psát","psát","impf"," The Memorandum was mounted in 1965, but I had started writing it in 1960, and then rewritten it several times."," V roce 1965 bylo uvedeno Vyrozumění, které jsem ovšem začal psát už v roce 1960 a pak několikrát přepisoval."
"wrote","write","napsal","napsat","pf"," I also wrote a short radio play called Guardian Angel in the sixties, and in 1968 the Czechoslovak Radio broadcast it, with Josef Kemr and Rudolf Hrušínský ( I never actually heard it )."," V šedesátých letech jsem ještě napsal jednu menší rozhlasovou hru, jmenovala se Anděl strážný a v roce 1968 ji rozhlas uvedl s Josefem Kemrem a Rudolfem Hrušínským ( nikdy jsem to neslyšel )."
"heard","hear","neslyšel","slyšet","impf"," I also wrote a short radio play called Guardian Angel in the sixties, and in 1968 the Czechoslovak Radio broadcast it, with Josef Kemr and Rudolf Hrušínský ( I never actually heard it )."," V šedesátých letech jsem ještě napsal jednu menší rozhlasovou hru, jmenovala se Anděl strážný a v roce 1968 ji rozhlas uvedl s Josefem Kemrem a Rudolfem Hrušínským ( nikdy jsem to neslyšel )."
"worked","work","pracoval","pracovat","impf"," I became serious about theatre when I got back from the army and worked with Jan Werich."," Já se začal o divadlo vážněji zajímat až po návratu z vojny, když jsem pracoval u Wericha."
"haunt","haunt","pronásledují","pronásledovat","impf"," But the injunction not to censor the themes and the motifs that haunt me and inspire me is not something I can respect only when it concerns others, and then reject when I 'm the one involved!"," Ale příkaz necenzurovat témata a motivy, jež mne pronásledují a inspirují, nemohu přece respektovat jen tehdy, kdy jde o jiné, a vzpírat se mu, když jde o mne!"
"respect","respect","respektovat","respektovat","impf"," But the injunction not to censor the themes and the motifs that haunt me and inspire me is not something I can respect only when it concerns others, and then reject when I 'm the one involved!"," Ale příkaz necenzurovat témata a motivy, jež mne pronásledují a inspirují, nemohu přece respektovat jen tehdy, kdy jde o jiné, a vzpírat se mu, když jde o mne!"
"punished","punish","trestáni","trestat","impf"," The so-called nonfulfillers in prison are pariahs among pariahs; they 're punished in various ways, used for work after work, and given less food ( that did n't bother me ), and their pocket money is docked, and they are constantly accused of loafing and ridiculed for it by the police and some of the other prisoners."," takzvaní neplniči jsou totiž ve vězení páriové mezi párii, jsou různě trestáni, využíváni na nejrůznější práce po práci, ochuzováni o stravu ( to mi nevadilo ) a zkracováni na kapesném, policisty a také částí vězňů trvale obviňováni z flákačství a posmíváni za ně."
"accused","accuse","obviňováni","obviňovat","impf"," The so-called nonfulfillers in prison are pariahs among pariahs; they 're punished in various ways, used for work after work, and given less food ( that did n't bother me ), and their pocket money is docked, and they are constantly accused of loafing and ridiculed for it by the police and some of the other prisoners."," takzvaní neplniči jsou totiž ve vězení páriové mezi párii, jsou různě trestáni, využíváni na nejrůznější práce po práci, ochuzováni o stravu ( to mi nevadilo ) a zkracováni na kapesném, policisty a také částí vězňů trvale obviňováni z flákačství a posmíváni za ně."
"try","try","snaží","snažit","impf"," The brutality, the aggressivity, the exaggerations which some of the creators in today 's small theatres use to try to break through the vicious circle of alienated human existence, to touch something authentic, can very easily push them right to the threshold of the ridiculous, simply because they are the result of a “ short circuit ”."," Brutalita, agresívnost, extatičnost a podobné věci, jimiž se snaží někteří tvůrci dnešních malých divadel prorazit bludný kruh odcizené lidské existence a dotknout se něčeho autentického, je mohou velmi snadno uvrhnout na sám práh směšnosti prostě proto, že jsou výsledkem "" krátkého spojení ""."
