"complement","complement","doplňují","doplňovat","impf"," They usually complement the common repertoire of sayings with their own self-made pearls of wisdom and often interrupt their own speeches with the remark"," Ti je obyčejně doplňují výroky vlastními a občas mezi řečí prohodí :"
"taking","take","chápána","chápat","impf"," A strong caution must be issued against taking sayings literally."," Je nutno důrazně varovat před tím, aby byla pořekadla chápána doslovně."
"Taken","take","vzato","vzít","pf"," Taken literally, a bird in the hand is hardly worth more than two in the bush."," Doslova vzato, je vám vrabec v hrsti stejně málo platný jako holub na střeše."
"imagine","imagine","představit","představit","pf"," I can vividly imagine Aunt Catherine dubbing Miss Barbara her dear young lass and commending her with a play of kind heartedness to tickle the ivories, play bridge or tennis, have a cigarette, paint her nails or venture an opinion about art - only in God ’ s name would she please leave culinary affairs to women of the old school."," Dovedu si živě představit tetu Kateřinu, jak nazývá slečnu Barboru svou milou holčičkou a s předstíranou dobrosrdečností jí radí, aby hrála na klavír, aby hrála bridž nebo tenis, aby si zapálila cigaretu, leštila nehty nebo mluvila o umění, jenom proboha ať nechá starost o kuchyni jim, ženám ze starého vydání."
"commending","commend","radí","radit","impf"," I can vividly imagine Aunt Catherine dubbing Miss Barbara her dear young lass and commending her with a play of kind heartedness to tickle the ivories, play bridge or tennis, have a cigarette, paint her nails or venture an opinion about art - only in God ’ s name would she please leave culinary affairs to women of the old school."," Dovedu si živě představit tetu Kateřinu, jak nazývá slečnu Barboru svou milou holčičkou a s předstíranou dobrosrdečností jí radí, aby hrála na klavír, aby hrála bridž nebo tenis, aby si zapálila cigaretu, leštila nehty nebo mluvila o umění, jenom proboha ať nechá starost o kuchyni jim, ženám ze starého vydání."
"play","play","hrála","hrát","impf"," I can vividly imagine Aunt Catherine dubbing Miss Barbara her dear young lass and commending her with a play of kind heartedness to tickle the ivories, play bridge or tennis, have a cigarette, paint her nails or venture an opinion about art - only in God ’ s name would she please leave culinary affairs to women of the old school."," Dovedu si živě představit tetu Kateřinu, jak nazývá slečnu Barboru svou milou holčičkou a s předstíranou dobrosrdečností jí radí, aby hrála na klavír, aby hrála bridž nebo tenis, aby si zapálila cigaretu, leštila nehty nebo mluvila o umění, jenom proboha ať nechá starost o kuchyni jim, ženám ze starého vydání."
"play","play","hrála","hrát","impf"," I can vividly imagine Aunt Catherine dubbing Miss Barbara her dear young lass and commending her with a play of kind heartedness to tickle the ivories, play bridge or tennis, have a cigarette, paint her nails or venture an opinion about art - only in God ’ s name would she please leave culinary affairs to women of the old school."," Dovedu si živě představit tetu Kateřinu, jak nazývá slečnu Barboru svou milou holčičkou a s předstíranou dobrosrdečností jí radí, aby hrála na klavír, aby hrála bridž nebo tenis, aby si zapálila cigaretu, leštila nehty nebo mluvila o umění, jenom proboha ať nechá starost o kuchyni jim, ženám ze starého vydání."
"leave","leave","nechá","nechat","pf"," I can vividly imagine Aunt Catherine dubbing Miss Barbara her dear young lass and commending her with a play of kind heartedness to tickle the ivories, play bridge or tennis, have a cigarette, paint her nails or venture an opinion about art - only in God ’ s name would she please leave culinary affairs to women of the old school."," Dovedu si živě představit tetu Kateřinu, jak nazývá slečnu Barboru svou milou holčičkou a s předstíranou dobrosrdečností jí radí, aby hrála na klavír, aby hrála bridž nebo tenis, aby si zapálila cigaretu, leštila nehty nebo mluvila o umění, jenom proboha ať nechá starost o kuchyni jim, ženám ze starého vydání."
"say","say","pravil","pravit","pf"," As I say, it was all to the good that Miss Barbara was not present."," Jak jsem pravil : dobře že slečna Barbora při tom nebyla."
"said","say","pravila","pravit","pf"," “ Ah yes! ” she said, “ you ’ d see some writing then. ”"," Oj, pravila, to by se to potom psalo!"
"thought","think","myslí","myslet","impf"," She even thought that Bertie could make his presence felt in the literary world."," Dokonce si myslí, že i Milouš by se mohl uplatnit v literatuře."
