"convinced","convince","přesvědčit","přesvědčit","pf"," You 've known me for long enough, Mr. K., I 'm sure you 're convinced of that."," Znáte mě přece už dost dlouho, pane K., abyste se mohl o tom přesvědčit."
"suffering","suffer","trpěla","trpět","impf"," You do n't know how I 've been suffering for the past few days!"," Ani nevíte, jak jsem poslední dny trpěla!"
"believed","believe","věřil","věřit","impf"," And you, Mr. K., you believed it!"," A vy, pane K., jste tomu věřil!"
"said","say","řekl","říci","pf"," And said I should give you notice!"," A řekl jste, že vám mám dát výpověď!"
"give","give","dát","dát","pf"," And said I should give you notice!"," A řekl jste, že vám mám dát výpověď!"
"raised","raise","zdvihla","zdvihnout","pf"," At this last outcry, Mrs. Grubach was already choking back her tears, she raised her apron to her face and blubbered out loud."," Poslední zvolání už utonulo v slzách, paní zdvihla zástěru k tváři a hlasitě vzlykala."
"let","let","nechávají","nechávat","impf"," These gentlemen first accost me, and now they sit or stand about in here and let me be hauled up in front of you."," Tady ti pánové mě nejdřív přepadli, a teď tu vysedávají nebo postávají a nechávají mě, abych se tu před vámi předváděl."
"telephoning","telephone","telefonovat","telefonovat","impf"," What point there would be, in telephoning a state attorney when I 'm ostensibly under arrest?"," Jaký smysl by mělo telefonovat státnímu zástupci, když jsem údajně zatčen?"
"painting","paint","maluji","malovat","impf"," For instance when the judge I 'm painting at present comes he always comes through the door by the bed, and I 've even given him a key to this door so that he can wait for me here in the studio when I 'm not home."," Tak třeba ten soudce, kterého teď maluji, přichází vždy dveřmi u postele a já jsem mu také dal od těch dveří klíč, aby mohl na mne počkat tady v ateliéru, i když nejsem doma."
"comes","come","přichází","přicházet","impf"," For instance when the judge I 'm painting at present comes he always comes through the door by the bed, and I 've even given him a key to this door so that he can wait for me here in the studio when I 'm not home."," Tak třeba ten soudce, kterého teď maluji, přichází vždy dveřmi u postele a já jsem mu také dal od těch dveří klíč, aby mohl na mne počkat tady v ateliéru, i když nejsem doma."
"comes","come","přichází","přicházet","impf"," For instance when the judge I 'm painting at present comes he always comes through the door by the bed, and I 've even given him a key to this door so that he can wait for me here in the studio when I 'm not home."," Tak třeba ten soudce, kterého teď maluji, přichází vždy dveřmi u postele a já jsem mu také dal od těch dveří klíč, aby mohl na mne počkat tady v ateliéru, i když nejsem doma."
"given","give","dal","dát","pf"," For instance when the judge I 'm painting at present comes he always comes through the door by the bed, and I 've even given him a key to this door so that he can wait for me here in the studio when I 'm not home."," Tak třeba ten soudce, kterého teď maluji, přichází vždy dveřmi u postele a já jsem mu také dal od těch dveří klíč, aby mohl na mne počkat tady v ateliéru, i když nejsem doma."
