"sleep","sleep","spali","spát","impf"," This was how Gregor received his food each day now, once in the morning while his parents and the maid were still asleep, and the second time after everyone had eaten their meal at midday as his parents would sleep for a little while then as well, and Gregor 's sister would send the maid away on some errand."," Takto dostával teď Řehoř najíst každý den, jednou ráno, kdy rodiče i služka ještě spali, podruhé, když se všichni naobědvali, neboť potom si rodiče ještě na chvíli zdřímli a služku poslala sestra pro něco ven."
"send","send","poslala","poslat","pf"," This was how Gregor received his food each day now, once in the morning while his parents and the maid were still asleep, and the second time after everyone had eaten their meal at midday as his parents would sleep for a little while then as well, and Gregor 's sister would send the maid away on some errand."," Takto dostával teď Řehoř najíst každý den, jednou ráno, kdy rodiče i služka ještě spali, podruhé, když se všichni naobědvali, neboť potom si rodiče ještě na chvíli zdřímli a služku poslala sestra pro něco ven."
"heard","hear","uslyšel","uslyšet","pf"," What he heard his father say was some of the first good news that Gregor heard since he had first been incarcerated in his room."," Tyto otcovy výklady byly částečně první potěšitelnou věcí, kterou Řehoř od začátku svého zajetí uslyšel."
"heard","hear","uslyšel","uslyšet","pf"," What he heard his father say was some of the first good news that Gregor heard since he had first been incarcerated in his room."," Tyto otcovy výklady byly částečně první potěšitelnou věcí, kterou Řehoř od začátku svého zajetí uslyšel."
"thought","think","Měl","mít","impf"," He had thought that nothing at all remained from his father 's business, at least he had never told him anything different, and Gregor had never asked him about it anyway."," Měl za to, že otci z onoho obchodu nezbylo ani to nejmenší, alespoň mu otec nic opačného neřekl a Řehoř se ho po tom ovšem ani neptal."
"remained","remain","nezbylo","zbýt","pf"," He had thought that nothing at all remained from his father 's business, at least he had never told him anything different, and Gregor had never asked him about it anyway."," Měl za to, že otci z onoho obchodu nezbylo ani to nejmenší, alespoň mu otec nic opačného neřekl a Řehoř se ho po tom ovšem ani neptal."
"told","tell","neřekl","říci","pf"," He had thought that nothing at all remained from his father 's business, at least he had never told him anything different, and Gregor had never asked him about it anyway."," Měl za to, že otci z onoho obchodu nezbylo ani to nejmenší, alespoň mu otec nic opačného neřekl a Řehoř se ho po tom ovšem ani neptal."
"asked","ask","neptal","ptát","impf"," He had thought that nothing at all remained from his father 's business, at least he had never told him anything different, and Gregor had never asked him about it anyway."," Měl za to, že otci z onoho obchodu nezbylo ani to nejmenší, alespoň mu otec nic opačného neřekl a Řehoř se ho po tom ovšem ani neptal."
"forget","forget","zapomněla","zapomenout","pf"," Their business misfortune had reduced the family to a state of total despair, and Gregor 's only concern at that time had been to arrange things so that they could all forget about it as quickly as possible."," Jedinou Řehořovou starostí bylo tehdy přičinit se ze všech sil, aby rodina co nejrychleji zapomněla na tu obchodní pohromu, která všechny uvrhla do napjaté beznaděje."
"left","leave","opustili","opustit","pf"," Once there, all three took their hats from the stand, took their sticks from the holder, bowed without a word and left the premises."," V předsíni všichni tři sundali z věšáku klobouky, ze stojanu vytáhli hole, mlčky se uklonili a opustili byt."
