"broke","break","zlomil","zlomit","pf"," The boy in the house threw a stone at me and broke it. """," Chlapec z domu hodil po mně kamenem a zlomil mi je! """
"chosen","choose","Vybralas","vybrat","pf"," Indeed and truly, you 've chosen a bad place to be lame in. """," Vybralas si věru prašpatné místo, abys zde chromala. """
"reach","reach","dosáhl","dosáhnout","pf"," "" Wicked, wicked Darzee! "" said Nag, lashing up as high as he could reach toward the nest in the thorn-bush;"," "" Zlý, zlý Darzy! "" volal Nag, vymršťuje se jak vysoko mohl, aby dosáhl hnízda v trnitém křoví;"
"swayed","sway","houpalo","houpat","impf"," but Darzee had built it out of reach of snakes, and it only swayed to and fro."," ale Darzy je udělal mimo dosah hadí, a ono jen se houpalo semo tamo."
"slipped","slip","spustili","spustit","pf"," The bullocks went off into the long hissing snorts that Indian cattle give, and pushed and crowded and slued and stamped and slipped and nearly fell down in the mud, grunting savagely."," Voli spustili dlouhý, syčivý hukot, jejž vyluzuje indický skot a tlačili, strkali, tahali, a dupali a byli by málem upadli do bláta, bučíce zuřivě."
"pushed","push","tlačili","tlačit","impf"," The bullocks went off into the long hissing snorts that Indian cattle give, and pushed and crowded and slued and stamped and slipped and nearly fell down in the mud, grunting savagely."," Voli spustili dlouhý, syčivý hukot, jejž vyluzuje indický skot a tlačili, strkali, tahali, a dupali a byli by málem upadli do bláta, bučíce zuřivě."
"pushed","push","strkali","strkat","impf"," The bullocks went off into the long hissing snorts that Indian cattle give, and pushed and crowded and slued and stamped and slipped and nearly fell down in the mud, grunting savagely."," Voli spustili dlouhý, syčivý hukot, jejž vyluzuje indický skot a tlačili, strkali, tahali, a dupali a byli by málem upadli do bláta, bučíce zuřivě."
"fell","fall","upadli","upadnout","pf"," The bullocks went off into the long hissing snorts that Indian cattle give, and pushed and crowded and slued and stamped and slipped and nearly fell down in the mud, grunting savagely."," Voli spustili dlouhý, syčivý hukot, jejž vyluzuje indický skot a tlačili, strkali, tahali, a dupali a byli by málem upadli do bláta, bučíce zuřivě."
"break","break","Zlomíte","zlomit","pf"," "" You 'll break your necks in a minute, "" said the troop-horse."," "" Zlomíte si krky, uvidíte, "" řekl jízdecký kůň."
"said","say","řekl","říci","pf"," "" You 'll break your necks in a minute, "" said the troop-horse."," "" Zlomíte si krky, uvidíte, "" řekl jízdecký kůň."
"eat","eat","jedí","jíst","impf"," "" They - eat - us!"," "" Oni nás - jedí!"
"ate","eat","jedl","jíst","impf"," Petersen Sahib ate alone in his tent, but he gave orders that the camp should have two sheep and some fowls, as well as a double-ration of flour and rice and salt, for he knew that there would be a feast."," Petersen Sahib jedl sám ve svém stanu, ale nařídil, aby celý tábor dostal dvě ovce a něco drůbeže a dvojnásobnou porci mouky, rýže a soli, neboť věděl, že tam bude slavnost."
"come","come","přišel","přijít","pf"," Big Toomai had come up hot-foot from the camp in the plains to search for his son and his elephant, and now that he had found them he looked at them as though he were afraid of them both."," Velký Tumé přišel kvapem z tábora v rovině vyhledat svého syna a svého slona, a teď, když je našel, hleděl na ně, jako by se jich obou bál."
"search","search","vyhledat","vyhledat","pf"," Big Toomai had come up hot-foot from the camp in the plains to search for his son and his elephant, and now that he had found them he looked at them as though he were afraid of them both."," Velký Tumé přišel kvapem z tábora v rovině vyhledat svého syna a svého slona, a teď, když je našel, hleděl na ně, jako by se jich obou bál."
"found","find","vyhledat","vyhledat","pf"," Big Toomai had come up hot-foot from the camp in the plains to search for his son and his elephant, and now that he had found them he looked at them as though he were afraid of them both."," Velký Tumé přišel kvapem z tábora v rovině vyhledat svého syna a svého slona, a teď, když je našel, hleděl na ně, jako by se jich obou bál."
"looked","look","vyhledat","vyhledat","pf"," Big Toomai had come up hot-foot from the camp in the plains to search for his son and his elephant, and now that he had found them he looked at them as though he were afraid of them both."," Velký Tumé přišel kvapem z tábora v rovině vyhledat svého syna a svého slona, a teď, když je našel, hleděl na ně, jako by se jich obou bál."
"found","find","našel","najít","pf"," Big Toomai had come up hot-foot from the camp in the plains to search for his son and his elephant, and now that he had found them he looked at them as though he were afraid of them both."," Velký Tumé přišel kvapem z tábora v rovině vyhledat svého syna a svého slona, a teď, když je našel, hleděl na ně, jako by se jich obou bál."
"looked","look","hleděl","hledět","impf"," Big Toomai had come up hot-foot from the camp in the plains to search for his son and his elephant, and now that he had found them he looked at them as though he were afraid of them both."," Velký Tumé přišel kvapem z tábora v rovině vyhledat svého syna a svého slona, a teď, když je našel, hleděl na ně, jako by se jich obou bál."
"wish","wish","Chtěl","chtít","impf"," I wish I could show you our business."," Chtěl bych, abych ti mohl ukázati naše zaměstnání."
"show","show","ukázati","ukázat","pf"," I wish I could show you our business."," Chtěl bych, abych ti mohl ukázati naše zaměstnání."
"took","take","pochopil","pochopit","pf"," Why, it took me three years to find out what the men were driving at."," Což, stálo mne to tři léta, nežli jsem pochopil, oč našim lidem vlastně jde."
"driving","drive","jde","jít","impf"," Why, it took me three years to find out what the men were driving at."," Což, stálo mne to tři léta, nežli jsem pochopil, oč našim lidem vlastně jde."
"show","show","neukázali","ukázat","pf"," The science of the thing is never to show up against the sky-line, because, if you do, you may get fired at."," Umění celé věci spočívá v tom, abyste se nikdy neukázali proti obloze, protože učiníte - li to, bude se na vás střílet."
"do","do","učiníte","učinit","pf"," The science of the thing is never to show up against the sky-line, because, if you do, you may get fired at."," Umění celé věci spočívá v tom, abyste se nikdy neukázali proti obloze, protože učiníte - li to, bude se na vás střílet."
"fired","fire","střílet","střílet","impf"," The science of the thing is never to show up against the sky-line, because, if you do, you may get fired at."," Umění celé věci spočívá v tom, abyste se nikdy neukázali proti obloze, protože učiníte - li to, bude se na vás střílet."
"Remember","remember","Pamatuj","pamatovat","impf"," Remember that, young ' un."," Pamatuj si to, mladíčku."
"trying","try","snažili","snažit","impf"," He went into the Keddah at the last drive, and threw Barmac there the rope, when we were trying to get that young calf with the blotch on his shoulder away from his mother. """," Vešel při poslední honbě do "" keddy "" a hodil Barmaovi provaz, právě když jsme se snažili odvésti od matky ono mládě se skvrnou na zádech. """
"put","put","vrhl","vrhnout","pf"," so I put on my boots and waterproof and scuttled out into the slush."," a tak jsem se vrhl do bot a uchopiv nepromokavý plášť, vyrazil jsem o překot ven do plískanice."
"saw","see","viděl","vidět","impf"," and then there was a roaring and a grunting and bubbling, and I saw the tent cave in, as the pole snapped, and begin to dance about like a mad ghost."," a pak zaznělo řvaní a chrochtání a brblání a viděl jsem, jak se můj stan zbortil přelomením střední tyče - a dal se do tance jako šílené jakési strašidlo."
"Obey","obey","Poslouchejte","poslouchat","impf"," Obey the man next to you who gives the order, or you 'll stop all the battery, besides getting a thrashing. """," Poslouchejte muže sobě nejbližšího, který dává rozkaz, anebo zarazíte celou batterii a dostanete mimo to výprask. """
"gives","give","dává","dávat","impf"," Obey the man next to you who gives the order, or you 'll stop all the battery, besides getting a thrashing. """," Poslouchejte muže sobě nejbližšího, který dává rozkaz, anebo zarazíte celou batterii a dostanete mimo to výprask. """
"stop","stop","zarazíte","zarazit","pf"," Obey the man next to you who gives the order, or you 'll stop all the battery, besides getting a thrashing. """," Poslouchejte muže sobě nejbližšího, který dává rozkaz, anebo zarazíte celou batterii a dostanete mimo to výprask. """
"getting","get","dostanete","dostat","pf"," Obey the man next to you who gives the order, or you 'll stop all the battery, besides getting a thrashing. """," Poslouchejte muže sobě nejbližšího, který dává rozkaz, anebo zarazíte celou batterii a dostanete mimo to výprask. """
"said","say","řekli","říci","pf"," "" Morning is coming, "" they said."," "" Nadchází jitro, "" řekli."
"see","see","vidíme","vidět","impf"," It is true that we see only out of our eyes, and we are not very clever;"," Je pravda, že vidíme jenom ven z našich očí a nejsme velmi chytří;"
"run","run","utéci","utéci","pf"," Shall we run on again? """," Máme snad zase utéci? """
"Sit","sit","Sedneš","sednout","pf"," "" Sit down, "" said the mule, "" or you 'll snap your long legs between the guns. """," "" Sedneš! "" okřikl jej mezek, - nebo si přelomíš své dlouhé hnáty mezi děly. """
"listened","listen","naslouchal","naslouchat","impf"," He cocked one ear and listened."," Sklonil jedno ucho a naslouchal."
"said","say","řekl","říci","pf"," "" Bullocks! "" he said;"," "" Voli! "" řekl pak."
"waked","wake","vzbudili","vzbudit","pf"," On my word, you and your friends have waked the camp very thoroughly."," Na mou čest, ty a tvoji přátelé jste vzbudili celé ležení opravdu důkladně."
"pressed","press","přitiskne","přitisknout","pf"," How can you do anything, unless you can spin round at once when the rein is pressed on your neck?"," Jak pak můžete něco dokázat, když se nedovedete rázem obrátiti, když se vám uzda přitiskne na krk?"
"means","mean","Znamená","znamenat","impf"," It means life or death to your man, and of course that 's life or death to you."," Znamená to smrt anebo život pro vašeho muže a to je ovšem i smrtí či životem pro vás samé."
"feel","feel","pocítíte","pocítit","pf"," Get round with your hind legs under you the instant you feel the rein on your neck."," Jen se pěkně obraťte se zadníma nohama pod sebou v ten okamžik, jak pocítíte uzdu na svém krku."
"smoked","smoke","kouřilo","kouřit","impf"," the blinding warm rains, when all the hills and valleys smoked;"," měl rád husté, teplé deště, když se kouřilo ze všech hor i údolí;"
"born","bear","rodí","rodit","impf"," and just because he knew that Nagaina 's children were born in eggs like his own, he did n't think at first that it was fair to kill them."," A protože věděl, že se Nagaininy děti rodí z vajec jako jeho vlastní mláďata, nemohl hned pochopiti, že by bylo slušné zabíti je."
"kill","kill","zabíti","zabít","pf"," and just because he knew that Nagaina 's children were born in eggs like his own, he did n't think at first that it was fair to kill them."," A protože věděl, že se Nagaininy děti rodí z vajec jako jeho vlastní mláďata, nemohl hned pochopiti, že by bylo slušné zabíti je."
"meant","mean","znamenají","znamenat","impf"," But his wife was a sensible bird, and she knew that cobra 's eggs meant young cobras later on;"," Ale jeho samička byla rozumné ptačátko a věděla, že kobří vejce znamenají pozdější mladé kobry;"
"left","leave","nechala","nechat","pf"," so she flew off from the nest, and left Darzee to keep the babies warm, and continue his song about the death of Nag."," odlétla tedy z hnízda a nechala Darzyho, aby zahříval mláďata a pokračoval ve svém zpěvu o Nagově smrti."
"keep","keep","nechala","nechat","pf"," so she flew off from the nest, and left Darzee to keep the babies warm, and continue his song about the death of Nag."," odlétla tedy z hnízda a nechala Darzyho, aby zahříval mláďata a pokračoval ve svém zpěvu o Nagově smrti."
"keep","keep","pokračoval","pokračovat","impf"," so she flew off from the nest, and left Darzee to keep the babies warm, and continue his song about the death of Nag."," odlétla tedy z hnízda a nechala Darzyho, aby zahříval mláďata a pokračoval ve svém zpěvu o Nagově smrti."
"continue","continue","pokračoval","pokračovat","impf"," so she flew off from the nest, and left Darzee to keep the babies warm, and continue his song about the death of Nag."," odlétla tedy z hnízda a nechala Darzyho, aby zahříval mláďata a pokračoval ve svém zpěvu o Nagově smrti."
"made","make","způsobilo","způsobit","pf"," "" Not alarmed, exactly, "" said the troop-horse, "" but it made me feel as though I had hornets where my saddle ought to be."," "" Ne právě poplašeni, "" odvětil kůň, "" ale způsobilo mi to pocit, jako bych měl sršně tam, kde by mělo býti sedlo."
"begin","begin","Nezačni","začít","pf"," Do n't begin again. """," Nezačni zase znovu. """
"fight","fight","bojovati","bojovat","impf"," "" It is very lucky for us that we have n't all got to fight in the same, way "" said the troop-horse."," "" Je velké štěstí pro nás, že nám není všem bojovati stejným způsobem, "" řekl jízdecký kůň."
"said","say","řekl","říci","pf"," "" It is very lucky for us that we have n't all got to fight in the same, way "" said the troop-horse."," "" Je velké štěstí pro nás, že nám není všem bojovati stejným způsobem, "" řekl jízdecký kůň."
"speaks","speak","mluví","mluvit","impf"," "" The child speaks truth, "" said he."," "" Dítě mluví pravdu, "" řekl."
"said","say","mluví","mluvit","impf"," "" The child speaks truth, "" said he."," "" Dítě mluví pravdu, "" řekl."
"speaks","speak","řekl","říci","pf"," "" The child speaks truth, "" said he."," "" Dítě mluví pravdu, "" řekl."
"said","say","řekl","říci","pf"," "" The child speaks truth, "" said he."," "" Dítě mluví pravdu, "" řekl."
"looked","look","Pohlédli","pohlédnout","pf"," They looked at each other, and up and down, and they wondered;"," Pohlédli oba na sebe a pak kolem sebe a divili se;"
"sleep","sleep","spal","spát","impf"," He may even require thee to be an elephant-catcher, to sleep anywhere in these fever-filled jungles, and at last to be trampled to death in the Keddah."," Bude třebas chtít, abys se stal chytačem slonův, abys spal někde v džunglích, plných zimnice, a byl konečně v "" keddě "" k smrti udupán."
"ends","end","skončí","skončit","pf"," It is well that this nonsense ends safely."," Štěstí, že celý tento nesmysl již skončí."
"sent","send","posláni","poslat","pf"," Next week the catching is over, and we of the plains are sent back to our stations."," Příští týden je po lovu a my z kraje budeme posláni zpět do svých stanic."
"march","march","chodit","chodit","impf"," Then we will march on smooth roads, and forget all this hunting."," Pak budeme zas chodit po rovných cestách a zapomeneme na všechen ten hon."
"forget","forget","zapomeneme","zapomenout","pf"," Then we will march on smooth roads, and forget all this hunting."," Pak budeme zas chodit po rovných cestách a zapomeneme na všechen ten hon."
"belongs","belong","náleží","náležet","impf"," But son, I am angry that thou shouldst meddle in the business that belongs to these dirty Assamese jungle-folk."," Ale zlobím se na tebe, synu, že se pleteš do věci, která náleží jen špinavému džunglímu národu Assamesův."
"amused","amuse","bavil","bavit","impf"," Rikki-tikki was rather amused at all the fuss, which, of course, he did not understand."," Riki - Tikiho bavil veškerý ten poplach, kterého ovšem nechápal."
"understand","understand","nechápal","chápat","impf"," Rikki-tikki was rather amused at all the fuss, which, of course, he did not understand."," Riki - Tikiho bavil veškerý ten poplach, kterého ovšem nechápal."
"roared","roar","zařval","zařvat","pf"," Kotick roared in answer, and old Sea Catch waddled in, his mustache on end, blowing like a locomotive, while Matkah and the seal that was going to marry Kotick cowered down and admired their menfolk."," Kotík zařval v odpověď a starý Mořský Lupič valil se se zježeným knírem k němu, funě jako lokomotiva, mezitím co Matka a ona samička lachtaní, která se měla stát ženou Kotíkovou, se krčily k sobě a obdivovaly se svým pánům."
