"call","call","říká","říkat","impf"," At the moment she 's in my apartment in the neighborhood they call Little Berlin."," Je momentálně v mém bytě ve čtvrti, které se tu říká Malý Berlín."
"prepare","prepare","připravila","připravit","pf"," Then they would head back to one house or the other, depending on whose turn it was to prepare lunch."," Potom šly buď vzhůru anebo dolů podle toho, která z nich připravila u sebe oběd i pro druhou."
"talk","talk","vyprávěly","vyprávět","impf"," Over the meal they would talk about what had happened to them, and try to guess when and how the war would end - and what they would do then."," Při něm si vyprávěly o předchozích osudech a uhadovaly, kdy a jak skončí válka a co pak ony."
"end","end","skončí","skončit","pf"," Over the meal they would talk about what had happened to them, and try to guess when and how the war would end - and what they would do then."," Při něm si vyprávěly o předchozích osudech a uhadovaly, kdy a jak skončí válka a co pak ony."
"visited","visit","navštívili","navštívit","pf"," First they visited the caretaker."," Nejdřív navštívili domovníka."
"moved","move","pohnulo","pohnout","pf"," The house on the embankment was locked and they had almost given up ringing when unexpectedly something moved in the raised ground-floor window."," Dům na nábřeží byl zamčený a už chtěli vzdát zvonění, když se nad nimi nečekaně pohnulo okno zvýšeného přízemí."
"caught","catch","nechytli","chytnout","pf"," They still had n't caught the murderer?"," Pořád ještě vraha nechytli?"
"noticed","notice","povšiml","povšimnout","pf"," Then he noticed an envelope lying on the parquet flooring near the door."," Pak si však povšiml, že na parketách u dveří leží obálka, kterou mu sem někdy podstrčili."
"lying","lie","leží","ležet","impf"," Then he noticed an envelope lying on the parquet flooring near the door."," Pak si však povšiml, že na parketách u dveří leží obálka, kterou mu sem někdy podstrčili."
"ripped","rip","Roztrhl","roztrhnout","pf"," He ripped it open and read Kroloff 's news."," Roztrhl ji a četl Kroloffovu zprávu."
"read","read","četl","číst","impf"," He ripped it open and read Kroloff 's news."," Roztrhl ji a četl Kroloffovu zprávu."
"shocked","shock","vyděsil","vyděsit","pf"," Morava was shocked to find Jitka up so late."," M orava se vyděsil, když našel Jitku tak pozdě vzhůru."
"find","find","našel","najít","pf"," Morava was shocked to find Jitka up so late."," M orava se vyděsil, když našel Jitku tak pozdě vzhůru."
"captivated","captivate","upoutala","upoutat","pf"," - Buback ..., she answered weakly in that gruff voice which had captivated him in the German House shelter, - my love, you and I have about the same chance of surviving as two goldfish in a pike pond."," - Bubacku ... promluvila slabě tím drsným hlasem, kterým ho upoutala v krytu Německého domu, - lásko moje, ty a já přece máme asi podobnou šanci přežít, jako dvě zlaté rybky ve štičím rybníku."
"surviving","survive","přežít","přežít","pf"," - Buback ..., she answered weakly in that gruff voice which had captivated him in the German House shelter, - my love, you and I have about the same chance of surviving as two goldfish in a pike pond."," - Bubacku ... promluvila slabě tím drsným hlasem, kterým ho upoutala v krytu Německého domu, - lásko moje, ty a já přece máme asi podobnou šanci přežít, jako dvě zlaté rybky ve štičím rybníku."
"wanted","want","Chtěla","chtít","impf"," I wanted to escape what they 'd do to me then ..."," Chtěla jsem ujít tomu, co by pak udělali se mnou ..."
"escape","escape","ujít","ujít","pf"," I wanted to escape what they 'd do to me then ..."," Chtěla jsem ujít tomu, co by pak udělali se mnou ..."
"do","do","udělali","udělat","pf"," I wanted to escape what they 'd do to me then ..."," Chtěla jsem ujít tomu, co by pak udělali se mnou ..."
"complicate","complicate","komplikuju","komplikovat","impf"," And third, I 'll complicate my life if it pleases me to do so, which you definitely should n't take as an attempt to seduce you."," A za třetí si život ráda komplikuju sama, když mám chuť, což na druhé straně rozhodně nechápejte tak, že vás chci svést."
"take","take","nechápejte","chápat","impf"," And third, I 'll complicate my life if it pleases me to do so, which you definitely should n't take as an attempt to seduce you."," A za třetí si život ráda komplikuju sama, když mám chuť, což na druhé straně rozhodně nechápejte tak, že vás chci svést."
"pleases","please","chci","chtít","impf"," And third, I 'll complicate my life if it pleases me to do so, which you definitely should n't take as an attempt to seduce you."," A za třetí si život ráda komplikuju sama, když mám chuť, což na druhé straně rozhodně nechápejte tak, že vás chci svést."
"seduce","seduce","svést","svést","pf"," And third, I 'll complicate my life if it pleases me to do so, which you definitely should n't take as an attempt to seduce you."," A za třetí si život ráda komplikuju sama, když mám chuť, což na druhé straně rozhodně nechápejte tak, že vás chci svést."
"thought","think","zdálo","zdát","impf"," I just thought you needed a bit of company today."," Jenom se mi zdálo, že dneska potřebujete společnost."
"needed","need","potřebujete","potřebovat","impf"," I just thought you needed a bit of company today."," Jenom se mi zdálo, že dneska potřebujete společnost."
"want","want","chtít","chtít","impf"," - When you want to sleep, I 'll make you up a bed."," - Až se vám bude chtít spát, uložím vás vedle."
"sleep","sleep","spát","spát","impf"," - When you want to sleep, I 'll make you up a bed."," - Až se vám bude chtít spát, uložím vás vedle."
"approved","approve","Schválil","schválit","pf"," - You approved my report."," - Schválil jste přece mou zprávu!"
"find","find","nenajdou","najít","pf"," - They wo n't find any weapons there unless they plant them."," - Jestli tam nic nepodstrčí, nic nenajdou!"
"waiting","wait","čeká","čekat","impf"," - Chief Inspector Buback is waiting to hear what time we 're to leave for Brno."," - Oberkriminalrat Buback čeká na mou zprávu, v kolik s ním vyrazím do Brna ..."
"leave","leave","vyrazím","vyrazit","pf"," - Chief Inspector Buback is waiting to hear what time we 're to leave for Brno."," - Oberkriminalrat Buback čeká na mou zprávu, v kolik s ním vyrazím do Brna ..."
"smiled","smile","usmál","usmát","pf"," The superintendent smiled in amusement."," Vrchní komisař se pobaveně usmál."
"say","say","Neříkal","říkat","impf"," - He did n't say ..."," - Neříkal ..."
"want","want","chtěl","chtít","impf"," - So what did he want?"," - Tak co chtěl?"
"invited","invite","Pozval","pozvat","pf"," - He invited me ..."," - Pozval mě ..."
"moved","move","pohybovaly","pohybovat","impf"," Shadows moved across the darkening Národní Avenue."," Zatemněnou Národní se pohybovaly stíny."
"see","see","neviděli","vidět","impf"," They stood face to face and could barely see each other."," Stáli proti sobě a skoro se neviděli."
"invited","invite","Pozval","pozvat","pf"," - He invited me to dinner, she finished."," - Pozval mě na večeři, doplnila."
"said","say","Řekl","říci","pf"," - He said he 'd pick me up if I liked."," - Řekl, že mě vyzvedne, kde budu chtít."
"liked","like","chtít","chtít","impf"," - He said he 'd pick me up if I liked."," - Řekl, že mě vyzvedne, kde budu chtít."
"love","love","miluješ","milovat","impf"," - So you love me, she said before he could speak again."," - Takže ty mě miluješ, promluvila dřív než on."
"speak","speak","promluvila","promluvit","pf"," - So you love me, she said before he could speak again."," - Takže ty mě miluješ, promluvila dřív než on."
"let","let","necháš","nechat","pf"," - And you 'll let me leave."," - A necháš mě odjet!"
"leave","leave","necháš","nechat","pf"," - And you 'll let me leave."," - A necháš mě odjet!"
"leave","leave","odjet","odjet","pf"," - And you 'll let me leave."," - A necháš mě odjet!"
"love","love","miluješ","milovat","impf"," - That you love me so much."," - Že mě tak miluješ."
"say","say","říct","říci","pf"," He did not know what to say to this."," Nevěděl, co na to říct."
"sit","sit","seďte","sedět","impf"," - Please, sit down."," - Prosím, seďte."
"expected","expect","čekal","čekat","impf"," Morava expected further savagery, but instead heard a piece of almost friendly advice."," Morava čekal další zákeřnost, ale místo ní uslyšel skoro přátelskou radu."
"heard","hear","uslyšel","uslyšet","pf"," Morava expected further savagery, but instead heard a piece of almost friendly advice."," Morava čekal další zákeřnost, ale místo ní uslyšel skoro přátelskou radu."
"remembered","remember","Připomněl","připomenout","pf"," He remembered his dream."," Připomněl se mu noční sen."
"fled","flee","utéct","utéci","pf"," I kicked off my boots and fled into the darkness, but went the wrong way."," Stačila jsem utéct do tmy, i když špatným směrem."
"chased","chase","Honili","honit","impf"," They chased me, but did n't catch me."," Honili mě, ale nechytli."
"catch","catch","Honili","honit","impf"," They chased me, but did n't catch me."," Honili mě, ale nechytli."
"catch","catch","nechytli","chytnout","pf"," They chased me, but did n't catch me."," Honili mě, ale nechytli."
"survived","survive","přežila","přežít","pf"," I do n't know how I survived that night."," Nevím, jak jsem přežila tu noc."
"found","find","Našla","najít","pf"," I found the remains of the campfire, but nothing else, not even a bone."," Našla jsem zbytky ohniště, jinak nic, ani kostičku."
"found","find","objevila","objevit","pf"," Somehow I found my way to the road."," Nějak jsem objevila cestu k silnici."
"imagine","imagine","představit","představit","pf"," Although his father was a tall, sturdy man, Jan could not imagine him surviving without her."," Ačkoli také otec byl vysoký vazoun, nedovedl si Jan představit, jak by mohli přežít bez ní."
"surviving","survive","přežít","přežít","pf"," Although his father was a tall, sturdy man, Jan could not imagine him surviving without her."," Ačkoli také otec byl vysoký vazoun, nedovedl si Jan představit, jak by mohli přežít bez ní."
"nodded","nod","kývl","kývnout","pf"," Unable to speak, he nodded."," Nebyl mocen slova, kývl."
"repeated","repeat","opakovala","opakovat","impf"," - But why ...? she repeated, puzzled."," - Ale proč ...? opakovala bezradně."
"voiced","voice","vyslovil","vyslovit","pf"," It was the first time he had voiced his fear that they were both trapped in the lions ' den."," Poprvé vyslovil obavu, která ho tísnila, co mu ji nedávno naznačil Beran : že spolu vlastně vězí v jámě lvové."
"hit","hit","zasáhlo","zasáhnout","pf"," The surprise at Bartolomějská Street hit Buback harder than Morava."," Překvapení, které je čekalo, když odbočili z Národní třídy, zasáhlo Bubacka ještě víc než Čecha."
"closed","close","uzavřena","uzavřít","pf"," A chain of SS forces had closed off the road."," Bartolomějská ulice byla uzavřena řetězem Zbraní SS."
"leave","leave","opustit","opustit","pf"," Their car was immediately surrounded by heavily armed giants and they were ordered to leave the vehicle."," Byli okamžitě obstoupeni těžce vyzbrojenými hromotluky a vyzváni opustit vozidlo."
"show","show","ukázat","ukázat","pf"," Do n't show yourself until I tell you to."," Nesmíš se ukázat, dokud ti neřeknu sám!"
"tell","tell","neřeknu","říci","pf"," Do n't show yourself until I tell you to."," Nesmíš se ukázat, dokud ti neřeknu sám!"
"Do","do","Dělej","dělat","impf"," - Do it!"," - Dělej!!"
"waited","wait","Počkal","počkat","pf"," He waited for her to dress lightning-fast and disappear beneath the bed, which he managed meanwhile to make up."," Počkal, až se bleskurychle oblékla a zmizela pod lůžkem, které mezitím stačil zastlat."
"dress","dress","oblékla","obléknout","pf"," He waited for her to dress lightning-fast and disappear beneath the bed, which he managed meanwhile to make up."," Počkal, až se bleskurychle oblékla a zmizela pod lůžkem, které mezitím stačil zastlat."
