"breathe","breathe","dýchat","dýchat","impf"," Suddenly he had anonymous eyes on him and he could breathe again!"," Anonymní oči byly náhle všude s ním a on mohl zase dýchat!"
"found","find","Našel","najít","pf"," In the police, he had found his lost public."," Našel v policii ztracené publikum."
"heard","hear","slyšel","slyšet","impf"," It was the first time he had ever heard him speak."," Bylo to poprvé, co ho slyšel mluvit."
"speak","speak","mluvit","mluvit","impf"," It was the first time he had ever heard him speak."," Bylo to poprvé, co ho slyšel mluvit."
"surprised","surprise","překvapen","překvapit","pf"," He was surprised to note that he stuttered."," Zjistil překvapen, že koktá."
"said","say","říkal","říkat","impf"," ' According to our sources, ' he said, ' political prisoners are being subjected to very rough treatment."," "" Máme zprávy, "" říkal, "" že se s politickými vězni špatně zachází."
"signed","sign","podepsali","podepsat","pf"," And so we 've decided to draft a petition and have it signed by the most important Czech intellectuals, the ones who still mean something. '"," Tak jsme si řekli, že by bylo dobré napsat petici, kterou by podepsali nejvýznamnější čeští intelektuálové, jejichž jména mají ještě nějakou váhu. """
"make","make","nedělá","dělat","impf"," He would tell his mistresses : the only relationship that can make both partners happy is one in which sentimentality has no place and neither partner makes any claim on the life and freedom of the other."," Tvrdil svým milenkám : jen nesentimentální vztah, kdy si jeden nedělá nárok na život a svobodu toho druhého, může přinést oběma štěstí."
"makes","make","nedělá","dělat","impf"," He would tell his mistresses : the only relationship that can make both partners happy is one in which sentimentality has no place and neither partner makes any claim on the life and freedom of the other."," Tvrdil svým milenkám : jen nesentimentální vztah, kdy si jeden nedělá nárok na život a svobodu toho druhého, může přinést oběma štěstí."
"hiding","hide","skrývá","skrývat","impf"," But if Marie-Claude is herself a woman, then who is that other woman hiding in her, the one he must always respect?"," Je - li však Marie - Claude sama ženou, kdo je to ta druhá žena, která se v ní skrývá a které si má vážit?"
"occurred","occur","nenapadlo","napadnout","pf"," It would never have occurred to him to say he respected the woman in his mother."," Nikdy by ho nenapadlo říci, že si v mamince váží ženy."
"say","say","říci","říci","pf"," It would never have occurred to him to say he respected the woman in his mother."," Nikdy by ho nenapadlo říci, že si v mamince váží ženy."
"worshipped","worship","Zbožňoval","zbožňovat","impf"," He worshipped his mother and not some woman inside her."," Zbožňoval maminku a ne nějakou ženu, která byla v ní."
"read","read","Čte","číst","impf"," He read out a long speech that bored even the few enthusiasts who had come to hear it."," Čte dlouhý projev, který nudí i těch několik nadšenců, kteří si ho přišli poslechnout."
