"looked","look","díval","dívat","impf"," When they had arranged themselves for sleep, Thumbietot was still awake and looked up through the open arches, to the pale pink evening sky."," Již se postavily k spánku, ale Paleček byl stále ještě vzhůru a díval se prolomenou klenbou vzhůru do bleděčerveného večerního nebe."
"sitting","sit","seděl","sedět","impf"," When he had been sitting there a while, he thought he did n't want to grieve any more because he could n't save the buried city."," Když tam chvíli seděl, myslil si, že se již nebude rmoutit nad tím, že nemohl zachránit potopené město."
"thought","think","myslil","myslit","impf"," When he had been sitting there a while, he thought he did n't want to grieve any more because he could n't save the buried city."," Když tam chvíli seděl, myslil si, že se již nebude rmoutit nad tím, že nemohl zachránit potopené město."
"save","save","zachránit","zachránit","pf"," When he had been sitting there a while, he thought he did n't want to grieve any more because he could n't save the buried city."," Když tam chvíli seděl, myslil si, že se již nebude rmoutit nad tím, že nemohl zachránit potopené město."
"seen","see","viděl","vidět","impf"," No, that he did n't want to do, now that he had seen this one."," Ne, byl rád, že je nezachránil - od chvíle, kdy viděl tohle."
"saw","see","spatřil","spatřit","pf"," This time, too, he saw some ducks."," Také tentokrát brzy spatřil několik kachen."
"flew","fly","letí","letět","impf"," But when he observed that they flew toward him, he called to them :"," Ale když viděl, že k němu letí, volal na ně :"
"called","call","volal","volat","impf"," But when he observed that they flew toward him, he called to them :"," Ale když viděl, že k němu letí, volal na ně :"
"Fly","fly","Leťte","letět","impf"," Fly in another direction!"," Leťte na druhou stranu!"
"succeeded","succeed","podařilo","podařit","pf"," And he actually succeeded in preventing them from coming within shooting distance."," A skutečně se mu podařilo zabránit, aby se dostaly na dostřel."
"preventing","prevent","zabránit","zabránit","pf"," And he actually succeeded in preventing them from coming within shooting distance."," A skutečně se mu podařilo zabránit, aby se dostaly na dostřel."
"keeping","keep","měl","mít","impf"," Jarro had scarcely had time to taste of a grass-blade, so busy was he in keeping watch."," Jarro měl sotva čas ochutnat jediné stéblo trávy, tak byl zaměstnán hlídáním."
"taste","taste","ochutnat","ochutnat","pf"," Jarro had scarcely had time to taste of a grass-blade, so busy was he in keeping watch."," Jarro měl sotva čas ochutnat jediné stéblo trávy, tak byl zaměstnán hlídáním."
"fled","flee","prchali","prchat","impf"," Hawks, grouse, and other birds, who were so small that it was impossible to recognize them at such a distance, fled from the fire."," Před požárem prchali jestřábi, tetřevi a jiní ptáci, kteří byli tak malí, že je nebylo možno z dálky rozeznat."
"recognize","recognize","rozeznat","rozeznat","pf"," Hawks, grouse, and other birds, who were so small that it was impossible to recognize them at such a distance, fled from the fire."," Před požárem prchali jestřábi, tetřevi a jiní ptáci, kteří byli tak malí, že je nebylo možno z dálky rozeznat."
"rolled","roll","valil","valit","impf"," The tiny white spiral of smoke grew to a thick white cloud which rolled over the edge of the ridge and sank toward the valley."," Malý bílý sloupek kouře se rozrostl v těžší bílý mrak, který se valil přes okraj hřebenu a spadal dolů do údolí."
"tell","tell","oznámím","oznámit","pf"," You may be sure they 'll be very glad when I tell them that Akka, the wild goose, and Thumbietot, the human elf, are on their way to rescue them. """," Budou mít určitě velkou radost, až jim oznámím, že divoká husa Akka a Paleček - lidský skřítek - přiletí za mnou, aby je zachránili. """
"rescue","rescue","zachránili","zachránit","pf"," You may be sure they 'll be very glad when I tell them that Akka, the wild goose, and Thumbietot, the human elf, are on their way to rescue them. """," Budou mít určitě velkou radost, až jim oznámím, že divoká husa Akka a Paleček - lidský skřítek - přiletí za mnou, aby je zachránili. """
"leaves","leave","vyrazil","vyrazit","pf"," With that the stork craned his neck, raised his wings, and darted off like an arrow when it leaves a well-drawn bow."," Nato natáhl čáp krk, zamával křídly a vyrazil jako šíp, vystřelený z hodně napjatého luku."
"met","meet","potkali","potkat","pf"," When the refugees descended the mountain to the glen they met people fighting the fire."," Když prchající seběhli s vrchu a dostali se do údolí, potkali tam lidi, kteří šli hasit oheň."
"gazing","gaze","díval","dívat","impf"," They had been there for some time, but the boy had been gazing so intently in the direction of the fire that he had not noticed them before."," Byli tam jistě již dlouho, ale chlapec se díval tak úporně na druhou stranu, odkud přicházel oheň, že si jich dosud nevšiml."
