"close","close","zavřít","zavřít","pf"," I have to close the hatch behind us. '"," Musím za námi zavřít příklop. """
"expected","expect","neočekával","očekávat","impf"," It was not at all the reaction I had expected."," To jsem neočekával."
"seen","see","viděl","vidět","impf"," And then again, I too had seen this ... creature, so what about me?"," Jenže já jsem ji viděl - tu stvůru, to tedy znamená, že i já ... že já taky? ..."
"Tell","tell","Řekni","říci","pf"," ' Tell me what I have to do to convince you."," "" Řekni mi, co mám dělat, abys mi uvěřila, že povídám to, co si myslím?"
"do","do","dělat","dělat","impf"," ' Tell me what I have to do to convince you."," "" Řekni mi, co mám dělat, abys mi uvěřila, že povídám to, co si myslím?"
"Tell","tell","povídám","povídat","impf"," ' Tell me what I have to do to convince you."," "" Řekni mi, co mám dělat, abys mi uvěřila, že povídám to, co si myslím?"
"open","open","otevřít","otevřít","pf"," I made no attempt to open it, knowing that it would be locked."," Nepokoušel jsem se otevřít je, věděl jsem, že jsou zamčeny."
"locked","lock","zamčeny","zamknout","pf"," I made no attempt to open it, knowing that it would be locked."," Nepokoušel jsem se otevřít je, věděl jsem, že jsou zamčeny."
"looking","look","Hledal","hledat","impf"," I was looking for an opening or vent of some sort."," Hledal jsem nějaké okénko ve stěně z plastické hmoty nebo aspoň škvíru."
"done","do","učinit","učinit","pf"," I was determined to have done with conjecture and discover the truth, even if, as I imagined it would, the truth proved incomprehensible."," Chtěl jsem prostě učinit konec domněnkám a poznat pravdu, třebaže jsem si nedovedl představit, jak ji budu moci pochopit."
"imagined","imagine","představit","představit","pf"," I was determined to have done with conjecture and discover the truth, even if, as I imagined it would, the truth proved incomprehensible."," Chtěl jsem prostě učinit konec domněnkám a poznat pravdu, třebaže jsem si nedovedl představit, jak ji budu moci pochopit."
"see","see","Viděl","vidět","impf"," I could see its face, and it was a very young child."," Viděl jsem totiž jeho obličej."
"adapt","adapt","nepřizpůsoboval","přizpůsobovat","impf"," In other words, unlike terrestrial organisms, it had not taken hundreds of millions of years to adapt itself to its environment - culminating in the first representatives of a species endowed with reason - but dominated its environment immediately."," Jinak řečeno, nepřizpůsoboval se jako pozemské organismy stamilióny let svému okolí, aby teprve po tak dlouhé době mohl ze sebe vydat rozumnou bytost, nýbrž stal se pánem svého okolí ihned, bezprostředně."
"realize","realize","uvědomil","uvědomit","pf"," Only now did I realize that I was not in the least concerned with the mimoid, and that I had flown here not to explore the formation but to acquaint myself with the ocean."," A teprve teď - jak podivné! - jsem si uvědomil, že na mimoid nejsem vlastně vůbec zvědavý a že jsem sem přiletěl, abych se setkal s ním, s oceánem."
"sat","sit","Sedl","sednout","pf"," With the flitter a few paces behind me, I sat on the rough, fissured beach."," Sedl jsem si na drsný, rozpraskaný povrch mimoidu, několik kroků za svou helikoptéru."
"finished","finish","neskončil","skončit","pf"," I have n't finished."," Ještě jsem neskončil."
"declares","declare","prohlásil","prohlásit","pf"," Independently of these conclusions, the Commission has duly registered a dissenting vote from Dr Archibald Messenger, who considers the phenomena described by Berton to be objectively possible and declares himself in favour of a scrupulous investigation."," Zvlášť bylo zaprotokolováno votum separatum doktora fyzikálních věd Archibalda Messengera, který prohlásil, že to, co vypověděl Berton, mohlo se podle jeho mínění stát ve skutečnosti a že by bylo záhodno důkladně to prozkoumat."
"repeat","repeat","Opakuji","opakovat","impf"," I repeat my question."," Opakuji svou otázku, kterou jsem vyslovil před chvílí."
"spun","spin","otočil","otočit","pf"," I spun round."," Prudce jsem se otočil."
"do","do","dělat","dělat","impf"," ( My composure was an ugly charade, but what else could I do? )"," všechno mi připadalo jako bulvární opereta, ale nic jiného se nedalo dělat."
"asked","ask","zeptala","zeptat","pf"," One plump schoolgirl ( she looked about fifteen, peering inquisitively over her spectacles ) abruptly asked :"," A tu se znenadání zeptala baculatá, snad patnáctiletá obrýlená dívenka s energickýma a rozumnýma očima :"
"ensuing","ensue","nastalo","nastat","pf"," In the ensuing embarrassed silence, the schoolmistress was content to dart a reproving look at her wayward pupil."," A v rozpačitém mlčení, které tehdy nastalo, si učitelka změřila přísným, zděšeným pohledem svou neukázněnou žákyni."
"closed","close","zavřel","zavřít","pf"," I had instinctively closed my eyes at the moment of lift-off, but the glare had penetrated my eyelids."," Ačkoliv jsem při startu zavřel instinktivně oči, přece jen mne šlehající plamen oslnil."
"began","begin","Začal","začít","pf"," My hands flew across its controls as I began to search for the shuttle."," Začal jsem otáčet směrovou anténou a hledat raketu."
"search","search","hledat","hledat","impf"," My hands flew across its controls as I began to search for the shuttle."," Začal jsem otáčet směrovou anténou a hledat raketu."
"located","locate","našel","najít","pf"," By the time I had located it, it was already flying above the atmosphere."," Když jsem ji konečně našel, byla už nad atmosférou."
"jumped","jump","Vyskočila","vyskočit","pf"," She jumped to her feet."," Vyskočila rovnýma nohama."
"believed","believe","domnívám","domnívat","impf"," There was speculation about a sudden heart attack or fainting fit, or a mechanical failure, but I have always believed that this was in fact the first suicide, brought on by the first abrupt crisis of despair."," Hovořilo se o nějaké náhlé slabosti, o ztrátě vědomí nebo také o poruše řízení, ve skutečnosti to však byla - jak se domnívám - první sebevražda, první náhlý, zjevný výbuch zoufalství."
"performed","perform","provádělo","provádět","impf"," They were performed one after another, like a series of exercises;"," Dítě je provádělo po pořádku, v celých skupinových sériích."
"wanted","want","chtěl","chtít","impf"," as though someone had wanted to make a study of what this child was capable of doing with its hands, its torso, its mouth."," Jako by někdo chtěl zjistit, co je to dítě schopno udělat s rukama, s tělem a s ústy;"
"make","make","udělat","udělat","pf"," as though someone had wanted to make a study of what this child was capable of doing with its hands, its torso, its mouth."," Jako by někdo chtěl zjistit, co je to dítě schopno udělat s rukama, s tělem a s ústy;"
"doing","do","udělat","udělat","pf"," as though someone had wanted to make a study of what this child was capable of doing with its hands, its torso, its mouth."," Jako by někdo chtěl zjistit, co je to dítě schopno udělat s rukama, s tělem a s ústy;"
"take","take","trvat","trvat","impf"," ' It 's bound to take a while."," "" Chvíli to trvat bude, "" řekl jsem."
"do","do","šla","jít","impf"," Look, do you think you could wait in the corridor? '"," "" Poslyš, a kdybys šla se mnou a počkala na chodbě? """
"wait","wait","počkala","počkat","pf"," Look, do you think you could wait in the corridor? '"," "" Poslyš, a kdybys šla se mnou a počkala na chodbě? """
"mean","mean","Chceš","chtít","impf"," DO you mean, for example, that the hands did n't move as human hands would move, because the joints were not sufficiently supple?"," Chceš tím říci, že dejme tomu ruce se pohybovaly tak, jak se lidské ruce pohybovat nemohou, protože jim v tom brání omezená pohyblivost kloubů?"
"move","move","pohybovaly","pohybovat","impf"," DO you mean, for example, that the hands did n't move as human hands would move, because the joints were not sufficiently supple?"," Chceš tím říci, že dejme tomu ruce se pohybovaly tak, jak se lidské ruce pohybovat nemohou, protože jim v tom brání omezená pohyblivost kloubů?"
"move","move","pohybovaly","pohybovat","impf"," DO you mean, for example, that the hands did n't move as human hands would move, because the joints were not sufficiently supple?"," Chceš tím říci, že dejme tomu ruce se pohybovaly tak, jak se lidské ruce pohybovat nemohou, protože jim v tom brání omezená pohyblivost kloubů?"
"move","move","pohybovat","pohybovat","impf"," DO you mean, for example, that the hands did n't move as human hands would move, because the joints were not sufficiently supple?"," Chceš tím říci, že dejme tomu ruce se pohybovaly tak, jak se lidské ruce pohybovat nemohou, protože jim v tom brání omezená pohyblivost kloubů?"
"move","move","pohybovat","pohybovat","impf"," DO you mean, for example, that the hands did n't move as human hands would move, because the joints were not sufficiently supple?"," Chceš tím říci, že dejme tomu ruce se pohybovaly tak, jak se lidské ruce pohybovat nemohou, protože jim v tom brání omezená pohyblivost kloubů?"
"serves","serve","slouží","sloužit","impf"," Each of our movements means something, more or less, serves some purpose ..."," Každý pohyb obyčejně někam směřuje, k něčemu slouží ..."
"think","think","Myslíš","myslet","impf"," DO you think so?"," Myslíš?"
"explains","explain","vysvětluje","vysvětlovat","impf"," Your definition explains why a particular per ... creation appears rather than another."," "" To dokonce vysvětluje, proč se objevily oso ... útvary právě takové, a ne jiné."
"appears","appear","objevily","objevit","pf"," Your definition explains why a particular per ... creation appears rather than another."," "" To dokonce vysvětluje, proč se objevily oso ... útvary právě takové, a ne jiné."
"thought","think","Myslil","myslit","impf"," ' I thought it was Sartorius, ' he answered, in a faltering voice."," "" Myslil jsem, že je tam Sartorius, "" vysvětloval nejistě."
"hesitated","hesitate","Zaváhal","zaváhat","pf"," I hesitated."," Zaváhal jsem."
"understand","understand","chápu","chápat","impf"," I was beginning to understand Snow 's strange behaviour."," Zdálo se mi, že už chápu Snautovo chováni, před chvílí ještě tak nepochopitelné."
"hesitated","hesitate","Zaváhal","zaváhat","pf"," I hesitated."," Zaváhal jsem na okamžik."
"turned","turn","Otočil","otočit","pf"," When I turned over, the bed seemed wider than usual."," Otočil jsem se na bok, postel byla nezvykle široká, něco mi chybělo."
"held","hold","Zadržel","zadržet","pf"," I held my breath;"," Zadržel jsem dech."
"call","call","zavolat","zavolat","pf"," I was about to call her name, when I heard the tread of heavy footsteps coming towards me."," "" Harey! "" chtěl jsem zavolat, ale uslyšel jsem kroky."
"heard","hear","uslyšel","uslyšet","pf"," I was about to call her name, when I heard the tread of heavy footsteps coming towards me."," "" Harey! "" chtěl jsem zavolat, ale uslyšel jsem kroky."
"look","look","nepohlédl","pohlédnout","pf"," He did not look at us, or pull up a chair, but stood at the table, opened a can of meat and began cramming it down between mouthfuls of bread."," Téměř na nás ani nepohlédl, šel ke stolu, sklonil se nad něj, a aniž se posadil, začal jíst přímo z konzervy studené maso, k němuž přikusoval chléb."
"did","do","šel","jít","impf"," He did not look at us, or pull up a chair, but stood at the table, opened a can of meat and began cramming it down between mouthfuls of bread."," Téměř na nás ani nepohlédl, šel ke stolu, sklonil se nad něj, a aniž se posadil, začal jíst přímo z konzervy studené maso, k němuž přikusoval chléb."
"opened","open","začal","začít","pf"," He did not look at us, or pull up a chair, but stood at the table, opened a can of meat and began cramming it down between mouthfuls of bread."," Téměř na nás ani nepohlédl, šel ke stolu, sklonil se nad něj, a aniž se posadil, začal jíst přímo z konzervy studené maso, k němuž přikusoval chléb."
"began","begin","začal","začít","pf"," He did not look at us, or pull up a chair, but stood at the table, opened a can of meat and began cramming it down between mouthfuls of bread."," Téměř na nás ani nepohlédl, šel ke stolu, sklonil se nad něj, a aniž se posadil, začal jíst přímo z konzervy studené maso, k němuž přikusoval chléb."
"send","send","vyslat","vyslat","pf"," Obviously, we could get out, if only as far as the satellite, and send an SOS from there."," Samozřejmě, utéci odtud můžeme vždycky, třeba na sateloid, a odtamtud vyslat SOS!"
"regarded","regard","považovat","považovat","impf"," Of course, we 'll be regarded as lunatics;"," To se ví, že nás budou považovat za šílence ..."
"retract","retract","odvoláme","odvolat","pf"," we 'll be shut up in a mad-house on Earth - unless we have the sense to retract."," Na Zemi nás pak bude čekat nějaké sanatorium až do chvíle, kdy to všechno pěkně odvoláme ..."
"continues","continue","pokračovat","pokračovat","impf"," If the progression continues - and the successive mutations are to be seen as stages in the life of an evolving organism - we finally arrive at the architecture of the space age, and perhaps too at some understanding of the symmetriad."," budeme - li v této řadě pokračovat a považovat náš měnící se útvar za jednotlivé etapy živé existence, dojdeme nakonec až k architektuře kosmické éry a je možné, že se tím zároveň přiblížíme k pochopení, co je symetriáda."
"seen","see","považovat","považovat","impf"," If the progression continues - and the successive mutations are to be seen as stages in the life of an evolving organism - we finally arrive at the architecture of the space age, and perhaps too at some understanding of the symmetriad."," budeme - li v této řadě pokračovat a považovat náš měnící se útvar za jednotlivé etapy živé existence, dojdeme nakonec až k architektuře kosmické éry a je možné, že se tím zároveň přiblížíme k pochopení, co je symetriáda."
"arrive","arrive","dojdeme","dojít","pf"," If the progression continues - and the successive mutations are to be seen as stages in the life of an evolving organism - we finally arrive at the architecture of the space age, and perhaps too at some understanding of the symmetriad."," budeme - li v této řadě pokračovat a považovat náš měnící se útvar za jednotlivé etapy živé existence, dojdeme nakonec až k architektuře kosmické éry a je možné, že se tím zároveň přiblížíme k pochopení, co je symetriáda."
"born","bear","mají","mít","impf"," The asymmetriads are born in the same manner as the symmetriads but finish differently, and nothing can be seen of their internal processes except tremors, vibrations and flickering."," Vznikají podobně, jenomže mají jiný konec a nelze na nich pozorovat nic kromě záchvěvů, záření a mihotání;"
"seen","see","pozorovat","pozorovat","impf"," The asymmetriads are born in the same manner as the symmetriads but finish differently, and nothing can be seen of their internal processes except tremors, vibrations and flickering."," Vznikají podobně, jenomže mají jiný konec a nelze na nich pozorovat nic kromě záchvěvů, záření a mihotání;"
"see","see","neviděl","vidět","impf"," I could not see his eyes : he wore curved dark glasses, which covered up half his face."," Téměř půlku obličeje mu zakrývaly tmavé brýle, takže jsem neviděl jeho oči."
"hung","hang","visely","viset","impf"," Red anti-radiation gloves hung by their laces from his wrists."," Od zápěstí mu na tkaničkách visely ochranné rukavice z červené gumy proti záření."
"tell","tell","řekl","říci","pf"," ' Is that all you have to tell me? '"," "" To nemáš nic důležitějšího, co bys mi řekl? ... """
"mean","mean","Chceš","chtít","impf"," ' Will she come back, do you mean? '"," "" Chceš vědět, zda se vrátí? """
"Say","say","Řekni","říci","pf"," ' Say it another way. '"," "" Řekni to jinak. """
"felt","feel","ucítil","ucítit","pf"," Her head fell to my shoulder, and I felt tears."," Udeřila čelem do mého ramene, ucítil jsem záškuby jejích napjatých víček a vlhkost slz."
"begun","begin","začít","začít","pf"," The hallucinations might have begun much earlier."," Halucinace mohly přece začít mnohem dřív;"
"opened","open","otevřel","otevřít","pf"," At the sound of my footsteps, he opened his eyes with a start."," Když se ozvaly mé kroky, trhl sebou a otevřel oči."
"notice","notice","všiml","všimnout","pf"," Only then did I notice that the sliding door covering the entrance to the bathroom had been pushed back."," Teď teprve jsem si všiml, že skříň je odstrčena stranou a vchod do koupelny otevřen."
"pushed","push","odstrčena","odstrčit","pf"," Only then did I notice that the sliding door covering the entrance to the bathroom had been pushed back."," Teď teprve jsem si všiml, že skříň je odstrčena stranou a vchod do koupelny otevřen."
"ran","run","běžela","běžet","impf"," ' I ran to the door. '"," "" Potom jsem běžela ke dveřím. """
"remember","remember","Nepamatuju","pamatovat","impf"," ' I ca n't remember ..."," "" Nepamatuju se."
"added","add","dal","dát","pf"," It was Gibarian who drew it to my attention, and it must have been Gibarian who had added it to the Station 's collection, on his own authority, since Grastrom 's pamphlet was regarded more as a curiosity than a true contribution to Solarist literature."," Tato práce byla ostatně spíše kuriozitou než solariánem v běžném smyslu slova a ocitla se v klasické knihovně stanice proto, že ji sem zařadil Gibarian, který mi ji kdysi sám dal, abych si ji přečetl."
"go","go","Pojďme","jít","impf"," ' Let 's go back to the cabin. '"," "" Pojďme odtud někam pryč ... """
"want","want","nechceš","chtít","impf"," ' You do n't want me. '"," "" Ty mě nechceš. """
"heard","hear","Slyšela","slyšet","impf"," ' I heard ... '"," "" Slyšela jsem to. """
"corresponded","correspond","souhlasit","souhlasit","impf"," Therefore, if the figures corresponded, it would follow that the Station 's computer really existed, that I had really used it, and that I was not delirious."," Tedy - budou - li čísla souhlasit, veliký počítač stanice opravdu existuje a já jsem ho použil ve skutečnosti, a ne v halucinacích."
"existed","exist","existuje","existovat","impf"," Therefore, if the figures corresponded, it would follow that the Station 's computer really existed, that I had really used it, and that I was not delirious."," Tedy - budou - li čísla souhlasit, veliký počítač stanice opravdu existuje a já jsem ho použil ve skutečnosti, a ne v halucinacích."
"used","use","použil","použít","pf"," Therefore, if the figures corresponded, it would follow that the Station 's computer really existed, that I had really used it, and that I was not delirious."," Tedy - budou - li čísla souhlasit, veliký počítač stanice opravdu existuje a já jsem ho použil ve skutečnosti, a ne v halucinacích."
"come","come","přijít","přijít","pf"," Can I come over? '"," Můžu přijít? """
"began","begin","začal","začít","pf"," Snow began fiddling with the transmitter again."," Přistoupil k rádiovému pultu a začal znovu brnkat na tlačítka."
"told","tell","říkal","říkat","impf"," ' As I told you, he 's in the laboratory."," "" Už jsem ti říkal, že je v laboratoři."
"suppose","suppose","Myslím","myslet","impf"," I suppose he 's ... '"," Myslím, že ... """
"Locked","lock","zamkl","zamknout","pf"," ' Locked himself in. '"," "" Ze se tam zamkl. """
"Locked","lock","Zamkl","zamknout","pf"," ' Locked himself in?"," "" Zamkl se?"
"mean","mean","chci","chtít","impf"," You see what I mean? '"," Víš, co chci říct? """
"means","mean","znamená","znamenat","impf"," But I do n't know why I 'm doing so, I do n't know its function, and I do n't know what the symmetriad means to the ocean ... '"," znali bychom její architekturu, technologii výroby, materiál, ale nechápali bychom, k čemu je, co pro něj znamená ... """
"noticed","notice","všiml","všimnout","pf"," It was only then that I noticed the dried bloodstains on the backs of his hands."," Teprve teď jsem si všiml, že má na kloubech obou rukou zaschlou krev."
