"reveal","reveal","odhalit","odhalit","pf"," A translator may sometimes reveal such meaning, latent in the original, bringing it out by richer means of expression."," Někdy může překladatel takové latentní významy originálu odhalit a svými bohatšími výrazovými prostředky ozřejmit."
"assess","assess","posoudit","posoudit","pf"," How can one assess a translation after reading no more than two or three pages of it and without comparing it with the original?"," "" Jak můžeme posoudit překlad, aniž bychom z něho přečetli víc než dvě tři stránky a přitom je ani nesrovnali s originálem?"
"reading","read","přečetli","přečíst","pf"," How can one assess a translation after reading no more than two or three pages of it and without comparing it with the original?"," "" Jak můžeme posoudit překlad, aniž bychom z něho přečetli víc než dvě tři stránky a přitom je ani nesrovnali s originálem?"
"comparing","compare","nesrovnali","srovnat","pf"," How can one assess a translation after reading no more than two or three pages of it and without comparing it with the original?"," "" Jak můžeme posoudit překlad, aniž bychom z něho přečetli víc než dvě tři stránky a přitom je ani nesrovnali s originálem?"
"distinguish","distinguish","rozlišuje","rozlišovat","impf"," However, only a few European languages distinguish the actual steps of a staircase from the landings, and different perspectives apply in the designation of storeys or floor levels."," Avšak jen několik evropských jazyků rozlišuje u schodiště vlastní schody a odpočívadla a u označování poschodí, resp. podlaží platí rozdílná perspektiva :"
"compare","compare","srovnáme","srovnat","pf"," There can be no doubt, for example, about the origins of the translation of Lermontov ’ s poem The Sail by L. Brož, published in the journal Obrazy života ( 1875 ), if we compare it with the translation by J. Prokeš published several months earlier in the periodical Album Slovanských listů ( 1875 ) :"," Nemůže být např. pochyby o tom, jak vznikl překlad Lermontovovy básně Parus od L. Brože ( Obrazy života 1875, č. 12 ), srovnáme - li jej s překladem J. Prokeše o několik měsíců starším ( Album Slovanských listů 1875, č. 1 ) :"
"calls","call","zavolá","zavolat","pf"," Here the final foot, almost without the translator ’ s intervention, calls for another possible rhyme „ umlká “ [ falls silent ], determining or even forcing a change in the following rhyming line."," Tu si konečná stopa takřka bez zásahu překladatelova zavolá na jiný možný rým, umlká ' a sama určí nebo i znásilní úpravu verše sdruženého."
"determining","determine","určí","určit","pf"," Here the final foot, almost without the translator ’ s intervention, calls for another possible rhyme „ umlká “ [ falls silent ], determining or even forcing a change in the following rhyming line."," Tu si konečná stopa takřka bez zásahu překladatelova zavolá na jiný možný rým, umlká ' a sama určí nebo i znásilní úpravu verše sdruženého."
"moves","move","pohybuje","pohybovat","impf"," Certain artists whose spirit moves largely in the non-linguistic ( better, in the generalized linguistic ) layer even find a certain difficulty in getting themselves expressed in the rigidly set terms of their accepted idiom."," Někteří umělci, jejichž myšlení se pohybuje většinou [ ... ] v obecně lingvistické rovině, mají dokonce jisté potíže, aby se vyjádřili ve striktně daných pojmech jazyka, kterého používají."
"expressed","express","vyjádřili","vyjádřit","pf"," Certain artists whose spirit moves largely in the non-linguistic ( better, in the generalized linguistic ) layer even find a certain difficulty in getting themselves expressed in the rigidly set terms of their accepted idiom."," Někteří umělci, jejichž myšlení se pohybuje většinou [ ... ] v obecně lingvistické rovině, mají dokonce jisté potíže, aby se vyjádřili ve striktně daných pojmech jazyka, kterého používají."
"do","do","vyvolat","vyvolat","pf"," Actors do the same as you do – they attempt to evoke and bring alive in their performance the most typical, intrinsic human characteristics of a role."," "" Stoupenci umění představování si počínají stejně jako vy : snaží se vyvolat a zachytit v sobě samých typické lidské rysy, zobrazující vnitřní život role."
"do","do","vyvolat","vyvolat","pf"," Actors do the same as you do – they attempt to evoke and bring alive in their performance the most typical, intrinsic human characteristics of a role."," "" Stoupenci umění představování si počínají stejně jako vy : snaží se vyvolat a zachytit v sobě samých typické lidské rysy, zobrazující vnitřní život role."
"evoke","evoke","vyvolat","vyvolat","pf"," Actors do the same as you do – they attempt to evoke and bring alive in their performance the most typical, intrinsic human characteristics of a role."," "" Stoupenci umění představování si počínají stejně jako vy : snaží se vyvolat a zachytit v sobě samých typické lidské rysy, zobrazující vnitřní život role."
"bring","bring","vyvolat","vyvolat","pf"," Actors do the same as you do – they attempt to evoke and bring alive in their performance the most typical, intrinsic human characteristics of a role."," "" Stoupenci umění představování si počínají stejně jako vy : snaží se vyvolat a zachytit v sobě samých typické lidské rysy, zobrazující vnitřní život role."
"established","establish","Vytvořiv","vytvořit","pf"," Having once established a definitive manner of representing each of them, the actor learns to implement them automatically without any need to experience the sentiment personally at the time of the public performance."," Vytvořiv pro každou z nich jednou provždy nejlepší formu, učí se pak herec fakticky jen mechanicky, bez jakékoliv účasti smyslů ji reprodukovat v okamžiku svého veřejného vystoupení."
"learns","learn","učí","učit","impf"," Having once established a definitive manner of representing each of them, the actor learns to implement them automatically without any need to experience the sentiment personally at the time of the public performance."," Vytvořiv pro každou z nich jednou provždy nejlepší formu, učí se pak herec fakticky jen mechanicky, bez jakékoliv účasti smyslů ji reprodukovat v okamžiku svého veřejného vystoupení."
"manifested","manifest","projevuje","projevovat","impf"," In reality, however, individualism is manifested in the translation method of European romanticism in precisely the opposite manner, in an attempt to preserve all the individual features of the source, its historical and national colour, its stylistic characteristics, indeed its literal wording ( cf. the programmatic essays by Chateaubriand, Novalis, Herder and Shelley etc. )."," Ve skutečnosti se však v překladatelské metodě evropské romantiky projevuje individualismus zcela naopak ve snaze zachovat všechny individuální rysy předlohy, její dobový a národní kolorit, stylové příznaky, ba i slovní znění ( srov. k tomu programové stati Chateaubriandovy, Novalisovy, Gercenovy, Shellyho aj. )."
"preserve","preserve","zachovat","zachovat","pf"," In reality, however, individualism is manifested in the translation method of European romanticism in precisely the opposite manner, in an attempt to preserve all the individual features of the source, its historical and national colour, its stylistic characteristics, indeed its literal wording ( cf. the programmatic essays by Chateaubriand, Novalis, Herder and Shelley etc. )."," Ve skutečnosti se však v překladatelské metodě evropské romantiky projevuje individualismus zcela naopak ve snaze zachovat všechny individuální rysy předlohy, její dobový a národní kolorit, stylové příznaky, ba i slovní znění ( srov. k tomu programové stati Chateaubriandovy, Novalisovy, Gercenovy, Shellyho aj. )."
"misused","misuse","zneužíváno","zneužívat","impf"," Even in substantially less figurative prose, simile is often misused to achieve an approximate expression of notions which cannot be expressed directly because of differences between the languages."," I v nepříliš obrazné próze je často přirovnání zneužíváno pro přibližné vyjádření představ, jejichž přímému vyjádření brání rozdíly mezi jazyky;"
"containing","contain","má","mít","impf"," Additionally, of course, the language of verse exhibits many ‘ poetic ’ features also characteristic of poetry in prose or lyric prose, mainly containing a higher proportion of concrete meanings and in certain styles exhibiting a predominance of nouns and adjectives, for example."," - Kromě toho má ovšem jazyk veršů mnohé rysy příznačné pro jazyk "" poezie "", tj. kupř. také básní v próze nebo lyrické prózy : nejčastěji větší procento konkrétních významů, v některých stylech převahu substantiv a adjektiv apod."
"translate","translate","přeložit","přeložit","pf"," When deciding what to translate, specifically ( not merely what form to adopt ), one must sometimes also take into account the fact that the range of literary genres and themes traditionally encompassed by poetry in verse does not coincide in all literatures."," Při překládání - a to nejen při volbě formy, ale především při rozhodování, co přeložit - je někdy třeba brát v úvahu také to, že oblast literárních žánrů a témat tradičně zpracovávaných veršem se ve všech literaturách nekryje."
"take","take","brát","brát","impf"," When deciding what to translate, specifically ( not merely what form to adopt ), one must sometimes also take into account the fact that the range of literary genres and themes traditionally encompassed by poetry in verse does not coincide in all literatures."," Při překládání - a to nejen při volbě formy, ale především při rozhodování, co přeložit - je někdy třeba brát v úvahu také to, že oblast literárních žánrů a témat tradičně zpracovávaných veršem se ve všech literaturách nekryje."
"does","do","brát","brát","impf"," When deciding what to translate, specifically ( not merely what form to adopt ), one must sometimes also take into account the fact that the range of literary genres and themes traditionally encompassed by poetry in verse does not coincide in all literatures."," Při překládání - a to nejen při volbě formy, ale především při rozhodování, co přeložit - je někdy třeba brát v úvahu také to, že oblast literárních žánrů a témat tradičně zpracovávaných veršem se ve všech literaturách nekryje."
"contains","contain","nemá","mít","impf"," Just as the translator ’ s point of departure should be not the text of the original but the ideological and aesthetic values it contains, so also the translator ’ s goal should be not a text but a certain content which the text is to communicate to the reader."," Stejně jako východiskem překladatele nemá být text originálu, ale ideové a estetické hodnoty v něm obsažené, stejně také jeho cílem by neměl být text, ale určitý obsah, který tento text sdělí čtenáři."
"contains","contain","neměl","mít","impf"," Just as the translator ’ s point of departure should be not the text of the original but the ideological and aesthetic values it contains, so also the translator ’ s goal should be not a text but a certain content which the text is to communicate to the reader."," Stejně jako východiskem překladatele nemá být text originálu, ale ideové a estetické hodnoty v něm obsažené, stejně také jeho cílem by neměl být text, ale určitý obsah, který tento text sdělí čtenáři."
"communicate","communicate","sdělí","sdělit","pf"," Just as the translator ’ s point of departure should be not the text of the original but the ideological and aesthetic values it contains, so also the translator ’ s goal should be not a text but a certain content which the text is to communicate to the reader."," Stejně jako východiskem překladatele nemá být text originálu, ale ideové a estetické hodnoty v něm obsažené, stejně také jeho cílem by neměl být text, ale určitý obsah, který tento text sdělí čtenáři."
"means","mean","znamená","znamenat","impf"," This means that the translator has to take into account the reader for whom the translation is written."," To znamená, že překladatel musí počítat se čtenářem, pro kterého překládá."
"consider","consider","považují","považovat","impf"," To this day, English prosodists consider a rhyme like dawn – morn crude or simply inadmissible, though in the received pronunciation of southern England the words rhyme perfectly in phonetic terms;"," Angličtí prozodikové dodnes považují za vulgární nebo přímo nepřípustný rým typu dawn - morn, který je v jihoanglickém standardu foneticky naprosto totožný ( on );"
