"started","start","začali","začít","pf"," It was n't until they were at the dinner table the next day that they started asking Smidge how he got up on the roof."," Teprve druhého dne u večeře se začali Bena vyptávat, jak na střechu vylezl."
"see","see","uvidíte","uvidět","pf"," ' Here you see Ahlberg the jiggeryhound."," "" Tady uvidíte chytráckého psa Ahlberga."
"fly","fly","létat","létat","impf"," Make a phone call, fly, bake buns, talk, cock his leg ... anything! '"," Telefonovat, létat, péct koláče, mluvit, zvedat nožku ... všechno! """
"talk","talk","mluvit","mluvit","impf"," Make a phone call, fly, bake buns, talk, cock his leg ... anything! '"," Telefonovat, létat, péct koláče, mluvit, zvedat nožku ... všechno! """
"cock","cock","zvedl","zvednout","pf"," Just then the poodle puppy really did cock its leg against Kevin 's chair, and a small puddle appeared on the floor."," V tu chvíli opravdu zvedl pudlík u Kristiánovy židle nožku a na podlaze se objevila malá loužička."
"appeared","appear","objevila","objevit","pf"," Just then the poodle puppy really did cock its leg against Kevin 's chair, and a small puddle appeared on the floor."," V tu chvíli opravdu zvedl pudlík u Kristiánovy židle nožku a na podlaze se objevila malá loužička."
"said","say","odpověděl","odpovědět","pf"," ' ROUGHLY, ' said Karlson."," "" Asi tak, "" odpověděl Karkulín."
"said","say","Řekl","říci","pf"," ' I said I 'd be coming roughly, and so I have. '"," "" Řekl jsem, že přijdu asi tak, a to jsem taky udělal. """
"coming","come","přijdu","přijít","pf"," ' I said I 'd be coming roughly, and so I have. '"," "" Řekl jsem, že přijdu asi tak, a to jsem taky udělal. """
"coming","come","udělal","udělat","pf"," ' I said I 'd be coming roughly, and so I have. '"," "" Řekl jsem, že přijdu asi tak, a to jsem taky udělal. """
"said","say","řekl","říci","pf"," ' Hey, mind my fish, ' said Smidge anxiously."," "" Pozor na mé rybky, "" řekl Ben úzkostlivě."
"swimming","swim","plavaly","plavat","impf"," He was afraid Karlson would swallow some of the little guppies swimming merrily round in the tank."," Měl obavy, že Karkulín vypije několik jeho rybiček, které v akváriu čile plavaly."
