"lost","lose","ztratil","ztratit","pf"," Never has natural explanation of one of its marvelous processes exposed nature as a charlatan who has lost the reputation of his sorcery;"," Ještě nikdy zde příroda nestála - po přirozeném vysvětlení některého ze svých zázračných procesů - jako odhalený jarmareční šarlatán, který ztratil svou pověst kouzelníka."
"conducted","conduct","provedl","provést","pf"," The zigzag dance of the male stickleback, on which Jan van Iersel conducted the first of all experimental motivation analyses, offers a good example of how a very weak ritual can creep as a hardly noticeable third, independent variable into the conflict of two "" big "" drives."," Klikatý "" cikcakový "" tanec samce koljušky, na němž Jan van Iersel provedl vůbec první experimentální motivační analýzu, nabízí hezký příklad pro to, jak se nějaký zcela "" slabý "" rituál může vloudit jako těžko zpozorovatelná třetí nezávisle proměnná veličina do konfliktu dvou "" velkých "" pudů."
"offers","offer","nabízí","nabízet","impf"," The zigzag dance of the male stickleback, on which Jan van Iersel conducted the first of all experimental motivation analyses, offers a good example of how a very weak ritual can creep as a hardly noticeable third, independent variable into the conflict of two "" big "" drives."," Klikatý "" cikcakový "" tanec samce koljušky, na němž Jan van Iersel provedl vůbec první experimentální motivační analýzu, nabízí hezký příklad pro to, jak se nějaký zcela "" slabý "" rituál může vloudit jako těžko zpozorovatelná třetí nezávisle proměnná veličina do konfliktu dvou "" velkých "" pudů."
"performed","perform","provádí","provádět","impf"," Van Iersel noticed that the remarkable zigzag dance which is performed by a sexually mature, territory-owning male stickleback in front of every approaching female, and which was formerly explained simply as "" courtship, "" looks different in every case."," Van Iersel si všiml, že pozoruhodný "" cikcakový "" tanec, který pohlavně dospělý samec koljušky, mající svůj vlastní revír, provádí před blížící se samičkou a který byl dosud jednoduše pokládán za "" tok "", se případ od případu zcela liší."
"thinking","think","přemýšlí","přemýšlet","impf"," Many characters of man which, from the Paleolithic to recent times, were accounted the highest virtues, today seem dangerous to thinking people and funny to people with a sense of humor."," Mnohé vlastnosti mužů, které od paleolitu až do nedávné minulosti platily za nejvyšší ctnosti, mnohá volební hesla, jako "" right or wrong, my country "", jež rovněž vyvolávala nejvyšší nadšení, připadají již dnes nebezpečná každému člověku, který přemýšlí, a komická každému, kdo má smysl pro humor."
"thinking","think","má","mít","impf"," Many characters of man which, from the Paleolithic to recent times, were accounted the highest virtues, today seem dangerous to thinking people and funny to people with a sense of humor."," Mnohé vlastnosti mužů, které od paleolitu až do nedávné minulosti platily za nejvyšší ctnosti, mnohá volební hesla, jako "" right or wrong, my country "", jež rovněž vyvolávala nejvyšší nadšení, připadají již dnes nebezpečná každému člověku, který přemýšlí, a komická každému, kdo má smysl pro humor."
"developed","develop","vyvinulo","vyvinout","pf"," A riot of form and color, developed in the service of that particular effect, accompanies both phyletic and cultural rituals."," Bohatství tvarů a barev, které se vyvinulo ve službách této speciální funkce, provází jak fylogenetický, tak i kulturní vznik rituálu."
"accompanies","accompany","provází","provázet","impf"," A riot of form and color, developed in the service of that particular effect, accompanies both phyletic and cultural rituals."," Bohatství tvarů a barev, které se vyvinulo ve službách této speciální funkce, provází jak fylogenetický, tak i kulturní vznik rituálu."
"imitate","imitate","napodobíte","napodobit","pf"," We can best imitate natural conditions by putting several young, still peaceable fishes in a large aquarium and letting them grow up together."," Podmínky života ve volné přírodě nejlépe napodobíte, když necháte spolu vyrůstat více mladých ryb, jež jsou zpočátku ještě úplně snášenlivé, v co možná největším akváriu."
"letting","let","necháte","nechat","pf"," We can best imitate natural conditions by putting several young, still peaceable fishes in a large aquarium and letting them grow up together."," Podmínky života ve volné přírodě nejlépe napodobíte, když necháte spolu vyrůstat více mladých ryb, jež jsou zpočátku ještě úplně snášenlivé, v co možná největším akváriu."
