"suggested","suggest","nabízí","nabízet","impf"," The 2001 IPCC report suggested that expansion was the principal cause of sea-level rise, but a 2004 Nature paper by scientists at the National Oceanic and Atmospheric Administration in Washington, and an essay by Jim Hansen in Climate Change in 2005, both suggest that the increase of ocean volume is mainly from the melting of land-based ice."," Zpráva IPCC z roku 2001 nabízí možnost, že rozpínání je hlavní příčinou vzestupu mořské hladiny, ale studie vědců z National Oceanie and Atmospheric Administration ve Washingtonu, zveřejněná roku 2004 v časopise Nature, a esej Jima Hansena v Climate Change z roku 2005 říkají, že nárůst objemu oceánů způsobuje hlavně tání pevninských ledovců."
"suggest","suggest","nabízí","nabízet","impf"," The 2001 IPCC report suggested that expansion was the principal cause of sea-level rise, but a 2004 Nature paper by scientists at the National Oceanic and Atmospheric Administration in Washington, and an essay by Jim Hansen in Climate Change in 2005, both suggest that the increase of ocean volume is mainly from the melting of land-based ice."," Zpráva IPCC z roku 2001 nabízí možnost, že rozpínání je hlavní příčinou vzestupu mořské hladiny, ale studie vědců z National Oceanie and Atmospheric Administration ve Washingtonu, zveřejněná roku 2004 v časopise Nature, a esej Jima Hansena v Climate Change z roku 2005 říkají, že nárůst objemu oceánů způsobuje hlavně tání pevninských ledovců."
"plan","plan","plánovat","plánovat","impf"," The time has come when all of us must plan a retreat from the unsustainable place that we have now reached through the inappropriate use of technology;"," Nadešel čas, kdy všichni musíme začít plánovat ústup z neudržitelných pozic, kterých jsme dosáhli díky nevhodně použitým technologiím;"
"reached","reach","dosáhli","dosáhnout","pf"," The time has come when all of us must plan a retreat from the unsustainable place that we have now reached through the inappropriate use of technology;"," Nadešel čas, kdy všichni musíme začít plánovat ústup z neudržitelných pozic, kterých jsme dosáhli díky nevhodně použitým technologiím;"
"withdraw","withdraw","ustoupit","ustoupit","pf"," far better to withdraw now while we still have the energy and the time."," je mnohem lepší ustoupit teď, dokud ještě máme energii a čas."
"scare","scare","vyděsit","vyděsit","pf"," The fledgling green lobbies and the media missed the chance to scare us all, perhaps even to death."," Tehdy ještě neopeřená zelená lobby a média tedy přišli o šanci, jak nás všechny možná až k smrti vyděsit."
"reported","report","hlášena","hlásit","impf"," So far as I am aware, no one has reported any deaths or morbidity that could have come from the exposure of many millions of people to the release of 740 trillion becquerels of I131."," Pokud je mi známo, nebyla hlášena žádná úmrtí nebo choroby, které by byly způsobeny vystavením mnoha milionů lidí 740 trilionům becquerelů I 131."
"lessening","lessen","zmenšit","zmenšit","pf"," While we cannot go back to the achingly beautiful world of 1800, when there were only one billion of us, we may not be incapable of lessening the consequences of global heating."," Sice se nemůžeme vrátit do bolestně nádherného světa roku 1800, kdy nás byla jen miliarda, ale to neznamená, že bychom neměli možnost následky globálního oteplování zmenšit."
"pass","pass","překročíme","překročit","pf"," If there is a threshold and we pass it, the nations of the world could limit the damage by stopping carbon dioxide and methane emissions;"," Pokud nějaký práh existuje a my ho překročíme, všechny národy světa mohou škody omezit tím, že přestanou produkovat oxid uhličitý a metan;"
"limit","limit","omezit","omezit","pf"," If there is a threshold and we pass it, the nations of the world could limit the damage by stopping carbon dioxide and methane emissions;"," Pokud nějaký práh existuje a my ho překročíme, všechny národy světa mohou škody omezit tím, že přestanou produkovat oxid uhličitý a metan;"
"stopping","stop","omezit","omezit","pf"," If there is a threshold and we pass it, the nations of the world could limit the damage by stopping carbon dioxide and methane emissions;"," Pokud nějaký práh existuje a my ho překročíme, všechny národy světa mohou škody omezit tím, že přestanou produkovat oxid uhličitý a metan;"
"stopping","stop","přestanou","přestat","pf"," If there is a threshold and we pass it, the nations of the world could limit the damage by stopping carbon dioxide and methane emissions;"," Pokud nějaký práh existuje a my ho překročíme, všechny národy světa mohou škody omezit tím, že přestanou produkovat oxid uhličitý a metan;"
"take","take","trvat","trvat","impf"," the temperature rise would then be slower, as would the rise of sea level, and it would take longer to reach the final steady hot state than it would if we continued business as usual."," teplota pak bude stoupat pomaleji, stejně jako hladina oceánů, a přechod do trvalého horkého stavu bude trvat déle než za běžného provozu."
"continued","continue","trvat","trvat","impf"," the temperature rise would then be slower, as would the rise of sea level, and it would take longer to reach the final steady hot state than it would if we continued business as usual."," teplota pak bude stoupat pomaleji, stejně jako hladina oceánů, a přechod do trvalého horkého stavu bude trvat déle než za běžného provozu."
