"seen","see","viděla","vidět","impf"," The girl had several times seen her parents destroy all evidence of their acquaintanceship with someone - letters, names, and telephone numbers in diaries."," Holčička nejednou viděla, jak rodiče ničí všechny stopy po známých - dopisy, listy ze zápisníků s adresou a číslem telefonu."
"destroy","destroy","ničí","ničit","impf"," The girl had several times seen her parents destroy all evidence of their acquaintanceship with someone - letters, names, and telephone numbers in diaries."," Holčička nejednou viděla, jak rodiče ničí všechny stopy po známých - dopisy, listy ze zápisníků s adresou a číslem telefonu."
"keep","keep","neměla","mít","impf"," I never used to keep diaries with telephone numbers, and have acquired one only just recently."," Nikdy jsem neměla notýsky s telefony, ale teď jsem si je pořídila."
"forgetting","forget","zapomněli","zapomenout","pf"," The Ehrenburgs did not return to Koktebel and never mentioned the wretched business, quickly forgetting the reason for it."," Erenburgovi pak do Koktěbelu nejezdili a o "" zatracených problémech "" nemluvili, lépe řečeno, rychle zapomněli na předmět sporu."
"bought","buy","kupovali","kupovat","impf"," We nearly always bought them with German translations - the Germans are better at this than the French."," Téměř všechny jsme kupovali ve vydáních s německými překlady, protože Němci byli jako překladatelé přesnější než Francouzi."
"go","go","nedělal","dělat","impf"," What could have seemed safer than this - to go nowhere except the salon kept by the widow of an eminent Soviet poet?"," Narbut přece nedělal nic jiného, než že navštěvoval vdovu po milovaném sovětském básníkovi, jenomže smrt číhala na člověka všude."
"complaining","complain","stěžoval","stěžovat","impf"," In the thirties Bukharin was already complaining that he had no ' transmission belts '."," Ve třicátých letech si už Bucharin stěžoval, že přišel o své "" převodové páky ""."
"losing","lose","Ztrácel","ztrácet","impf"," He was losing his influence, and was in fact very isolated."," Ztrácel vliv, až se nakonec octl v hluboké izolaci."
"replied","reply","Odpovídala","odpovídat","impf"," As soon as I replied, a hand stretched out of the window and I put my identity papers and some money into it."," Odpovídala jsem a z okýnka se vysunula ruka."
"went","go","odcházela","odcházet","impf"," The hand then returned my papers with a receipt and I went away."," Vkládala jsem do ní svůj průkaz a peníze, pak jsem dostala zpátky průkaz, v něm potvrzení, a odcházela."
"envied","envy","záviděli","závidět","impf"," Everybody envied me because I at least knew that my husband was alive and where he was."," Všichni mi záviděli, protože jsem věděla, kde je můj vězeň a že je dosud naživu."
"rise","rise","Vzniklo","vzniknout","pf"," This ' Ode ' did not fulfil its purpose - to save his life - but it gave rise to a whole series of other poems which were not only unlike it but also flatly contra- : dieted it."," Vzniklo z ní mnoho úplně různých a protikladných básní, jako by zapracoval zákon zpětně vymrštěné spirály."
"spoke","speak","mluvila","mluvit","impf"," Akhmatova had always been interested in the idea of the long poem as a form in its own right, and often spoke about it - but never with M."," Achmatovovou vždycky poema jako žánr zajímala a často o ní mluvila, ale ne s Mandelštamem."
"read","read","četly","číst","impf"," Akhmatova and I read the memoirs of his sister and were surprised to see that ruin overtook families such as his in much the same way as it did ours."," S Achmatovovou jsme četly vzpomínky jeho sestry a divily jsme se, že zbídačování jejich rodin probíhalo stejně jako našich."
"see","see","četly","číst","impf"," Akhmatova and I read the memoirs of his sister and were surprised to see that ruin overtook families such as his in much the same way as it did ours."," S Achmatovovou jsme četly vzpomínky jeho sestry a divily jsme se, že zbídačování jejich rodin probíhalo stejně jako našich."
"speak","speak","nemluvilo","mluvit","impf"," People did not speak very well of the sister, but did they ever of anybody in this country?"," O sestře se moc dobře nemluvilo, ale o kom se u nás mluvilo dobře?"
"speak","speak","mluvilo","mluvit","impf"," People did not speak very well of the sister, but did they ever of anybody in this country?"," O sestře se moc dobře nemluvilo, ale o kom se u nás mluvilo dobře?"
"asked","ask","Zeptala","zeptat","pf"," I asked M. :"," Zeptala jsem se O. M. :"
"spoil","spoil","zkazit","zkazit","pf"," But I was not able to spoil M. ' s mood, and for several days he went around cheerfully, remembering the details of the conversation."," Ani tak se mi nepodařilo zkazit Mandelštamovi náladu, několik dní byl veselý a různé detaily rozhovoru mi připomínal."
"run","run","řídil","řídit","impf"," They were run by a ' daredevil manager ' ( as M. describes him in Fourth Prose ) called Giber."," Všechno dohromady neslo název "" kombinát "", který řídil ekonom s duší hazardního hráče Giber."
"writes","write","napsal","napsat","pf"," In his notes, Struve writes that he has not been able to find out who Giber was."," Struve napsal v poznámkách, že se mu nepodařilo zjistit, kdo to byl Giber ..."
"find","find","zjistit","zjistit","pf"," In his notes, Struve writes that he has not been able to find out who Giber was."," Struve napsal v poznámkách, že se mu nepodařilo zjistit, kdo to byl Giber ..."
"save","save","chránit","chránit","impf"," It was too dangerous to swear; not that he was trying to save himself- he no longer had any hope of this - but he just could not bring himself to tell lies about himself to these brutes."," Nechtěl se chránit, protože neměl žádnou naději, ale nedokázal se před těmi zvířaty falešně obviňovat."
"make","make","donutí","donutit","pf"," The trouble was that as soon as you told on yourself, or said anything at all, they would make you slander others as well."," Když už člověk jednou promluví, donutí ho prásknout i ostatní ..."
"read","read","nečtou","číst","impf"," The old woman who looked after the Marxist literature was upset because research students did n't read Das Kapital, but this girl was interested only in the ' Fourth Chapter ' and the maintenance of ' order '."," Pokud mé stařence bylo líto, že aspiranti nečtou Kapitál, tuto dívku zajímala jen Stalinova Čtvrtá kapitola a pořádek ve státě."
"said","say","řečeno","říci","pf"," How many times must this have been said already?"," Kolikrát už to bylo řečeno?"
"containing","contain","měla","mít","impf"," It was thrown into the stove together with some notebooks containing verse."," Hra se dostala do kamen zároveň se sešity, v nichž měla zapsány verše."
"came","come","přišla","přijít","pf"," She had not forgotten how they came to us in Furmanov Street to pick up what they had not confiscated on the first visit."," Na celý život jí utkvělo v hlavě, jak do Furmanovovy uličky přišla bezpečnost podruhé, sebrat to, co nestačila poprvé."
"pick","pick","sebrat","sebrat","pf"," She had not forgotten how they came to us in Furmanov Street to pick up what they had not confiscated on the first visit."," Na celý život jí utkvělo v hlavě, jak do Furmanovovy uličky přišla bezpečnost podruhé, sebrat to, co nestačila poprvé."
"promised","promise","slíbil","slíbit","pf"," M. promised to come and see him when he got back."," Ten slíbil, že po návratu určitě Fadějeva navštíví."
"see","see","navštíví","navštívit","pf"," M. promised to come and see him when he got back."," Ten slíbil, že po návratu určitě Fadějeva navštíví."
"said","say","řekl","říci","pf"," ' Yes, yes - you must, ' Fadeyev said as we parted."," "" Ano, ano, určitě mě navštivte, "" řekl Fadějev a rozloučil se."
"forbidden","forbid","zakáže","zakázat","pf"," The result is that the cow is alternately forbidden and then permitted again."," Jednou se kráva zakáže, pak se zase povolí ..."
"permitted","permit","povolí","povolit","pf"," The result is that the cow is alternately forbidden and then permitted again."," Jednou se kráva zakáže, pak se zase povolí ..."
"recommended","recommend","doporučoval","doporučovat","impf"," He particularly recommended the six-volume edition of Lenin and the collected edition of Stalin that was just beginning to come out then."," Zvláště mi doporučoval šestidílného Lenina nebo Stalinovy Sebrané spisy, které právě začaly vycházet."
"beginning","begin","začaly","začít","pf"," He particularly recommended the six-volume edition of Lenin and the collected edition of Stalin that was just beginning to come out then."," Zvláště mi doporučoval šestidílného Lenina nebo Stalinovy Sebrané spisy, které právě začaly vycházet."
"believed","believe","věřil","věřit","impf"," Stalin genuinely believed that if the intellectuals read all these works properly, they would at once be convinced by their irresistible logic and give up all their idealistic preconceptions."," Stalin prý skutečně věřil, že stačí, aby si inteligence pěkně popořádku přečetla jeho knihy, a přesvědčena jejich nepopiratelnou logikou okamžitě zavrhne idealistické předsudky."
"read","read","přečetla","přečíst","pf"," Stalin genuinely believed that if the intellectuals read all these works properly, they would at once be convinced by their irresistible logic and give up all their idealistic preconceptions."," Stalin prý skutečně věřil, že stačí, aby si inteligence pěkně popořádku přečetla jeho knihy, a přesvědčena jejich nepopiratelnou logikou okamžitě zavrhne idealistické předsudky."
"convinced","convince","přesvědčena","přesvědčit","pf"," Stalin genuinely believed that if the intellectuals read all these works properly, they would at once be convinced by their irresistible logic and give up all their idealistic preconceptions."," Stalin prý skutečně věřil, že stačí, aby si inteligence pěkně popořádku přečetla jeho knihy, a přesvědčena jejich nepopiratelnou logikou okamžitě zavrhne idealistické předsudky."
"blustering","bluster","řádili","řádit","impf"," Everywhere there were blustering bullies carrying on like this, and some of them fetched up in high places."," Křiklouni řádili všude a sem tam někoho život vynesl na nejvyšší post, odkud se rozesílaly příkazy."
"fetched","fetch","vynesl","vynést","pf"," Everywhere there were blustering bullies carrying on like this, and some of them fetched up in high places."," Křiklouni řádili všude a sem tam někoho život vynesl na nejvyšší post, odkud se rozesílaly příkazy."
"realizing","realize","nechápou","chápat","impf"," Even now many people are still captivated by him, not realizing what he later became."," Mnozí ze sebe dodnes nesetřásli kouzlo bývalého Kolji Tichonova a nechápou, co se to s ním vlastně později stalo."
"brought","bring","přivedl","přivést","pf"," He was first brought to see us by Nikolai Chukovski, and M. took a liking to both of them."," Kolju Tichonova k nám přivedl Nikolaj Čukovskij a oba mládenci se Mandelštamovi líbili :"
"did","do","nekonala","konat","impf"," The scene with Bliumkin was just the same, except that he did not actually shoot and bring his vendetta to a conclusion."," Scéna, kterou sehrál Bljumkin, se odehrávala naprosto stejně, avšak ke konečnému výstřelu nedošlo, krevní msta se nekonala."
"turned","turn","zahnuli","zahnout","pf"," The cavalcade swept past and turned off towards Lipki, where the Cheka had its headquarters."," Jezdci projeli tryskem kolem nás, zahnuli do postranní ulice a zmizeli v Lipkách, kde sídlila Čeka."
"shot","shoot","zastřelil","zastřelit","pf"," The horseman in the cloak was Bliumkin, the man who shot the German Ambassador, Count Mirbach."," Jezdec v černé pláštěnce byl Bljumkin, muž, který "" zastřelil císařského velvyslance "" Mirbacha."
"entrusted","entrust","svěřili","svěřit","pf"," The group was headed by Lopatinski, the artist once connected with the ' World of Art'* - God alone knows why he had been entrusted with this extremely tricky job - and consisted of various friends of his who had been appointed to responsible positions by Centroevac."," Jel v něm velitel, malíř Lopatinskij ze Světa umění, jemuž neznámo proč svěřili tak neuvěřitelně složitou práci, a parta jeho kamarádů, kteří dostali od Centroevaku velitelské pověřovací listiny."
