"describe","describe","popíše","popsat","pf"," Six decades later she would describe how at the age of thirteen she had written her way through a whole history of literature, beginning with stories derived from the European tradition of folk tales, through drama with simple moral intent, to arrive at an impartial psychological realism which she had discovered for herself, one special morning during a heat wave in 1935."," O šest desetiletí později popíše, jak se ve věku třinácti let propsala celou historií literatury, počínaje povídkami odvozenými z evropské tradice lidových vyprávění, přes drama s jednoduchým morálním podtextem, až dospěla k nezaujatému psychologickému realismu, který sama objevila, jednoho zvláštního dopoledne za vlny veder v roce 1935."
"beginning","begin","počínaje","počínat","impf"," Six decades later she would describe how at the age of thirteen she had written her way through a whole history of literature, beginning with stories derived from the European tradition of folk tales, through drama with simple moral intent, to arrive at an impartial psychological realism which she had discovered for herself, one special morning during a heat wave in 1935."," O šest desetiletí později popíše, jak se ve věku třinácti let propsala celou historií literatury, počínaje povídkami odvozenými z evropské tradice lidových vyprávění, přes drama s jednoduchým morálním podtextem, až dospěla k nezaujatému psychologickému realismu, který sama objevila, jednoho zvláštního dopoledne za vlny veder v roce 1935."
"discovered","discover","objevila","objevit","pf"," Six decades later she would describe how at the age of thirteen she had written her way through a whole history of literature, beginning with stories derived from the European tradition of folk tales, through drama with simple moral intent, to arrive at an impartial psychological realism which she had discovered for herself, one special morning during a heat wave in 1935."," O šest desetiletí později popíše, jak se ve věku třinácti let propsala celou historií literatury, počínaje povídkami odvozenými z evropské tradice lidových vyprávění, přes drama s jednoduchým morálním podtextem, až dospěla k nezaujatému psychologickému realismu, který sama objevila, jednoho zvláštního dopoledne za vlny veder v roce 1935."
"plant","plant","vysázet","vysázet","pf"," She planned to plant a clump of ceanothus along the approach to the swimming pool."," Měla v úmyslu vysázet podél cesty k bazénu řešetláky."
"wanting","want","chtěl","chtít","impf"," Robbie was wanting to persuade her to erect a pergola and train along it a slow-growing wisteria whose flower and scent he liked."," Robbie ji chtěl přemluvit, aby tam nechala vztyčit pergolu a k ní zasadila pomalu rostoucí vistárii, jejíž květy a vůni měl rád."
"liked","like","chtěl","chtít","impf"," Robbie was wanting to persuade her to erect a pergola and train along it a slow-growing wisteria whose flower and scent he liked."," Robbie ji chtěl přemluvit, aby tam nechala vztyčit pergolu a k ní zasadila pomalu rostoucí vistárii, jejíž květy a vůni měl rád."
"persuade","persuade","přemluvit","přemluvit","pf"," Robbie was wanting to persuade her to erect a pergola and train along it a slow-growing wisteria whose flower and scent he liked."," Robbie ji chtěl přemluvit, aby tam nechala vztyčit pergolu a k ní zasadila pomalu rostoucí vistárii, jejíž květy a vůni měl rád."
"erect","erect","vztyčit","vztyčit","pf"," Robbie was wanting to persuade her to erect a pergola and train along it a slow-growing wisteria whose flower and scent he liked."," Robbie ji chtěl přemluvit, aby tam nechala vztyčit pergolu a k ní zasadila pomalu rostoucí vistárii, jejíž květy a vůni měl rád."
"obey","obey","poslechnout","poslechnout","pf"," Even though they might be eaten, they had to obey the instinct that made them seek out the darkest place, on the far side of the light – and in this case it was an illusion."," I když riskuje, že jej něco sežere, musí poslechnout instinkt, který jej nutí hledat nejtemnější místo na druhé straně světla - a v tomto případě je to jen iluze."
"made","make","nutí","nutit","impf"," Even though they might be eaten, they had to obey the instinct that made them seek out the darkest place, on the far side of the light – and in this case it was an illusion."," I když riskuje, že jej něco sežere, musí poslechnout instinkt, který jej nutí hledat nejtemnější místo na druhé straně světla - a v tomto případě je to jen iluze."
"seek","seek","hledat","hledat","impf"," Even though they might be eaten, they had to obey the instinct that made them seek out the darkest place, on the far side of the light – and in this case it was an illusion."," I když riskuje, že jej něco sežere, musí poslechnout instinkt, který jej nutí hledat nejtemnější místo na druhé straně světla - a v tomto případě je to jen iluze."
