"seen","see","Neviděla","vidět","impf"," "" Have you seen Pooh? """," "" Neviděla jsi Púa? """
"hope","hope","Doufám","doufat","impf"," "" I hope he 's all right, "" said Christopher Robin."," "" Doufám, že se mu nic nestalo, "" řekl Kryštůfek Robin."
"said","say","řekl","říci","pf"," "" I hope he 's all right, "" said Christopher Robin."," "" Doufám, že se mu nic nestalo, "" řekl Kryštůfek Robin."
"think","think","Myslíš","myslet","impf"," Do you think they 're all right, Owl? """," Myslíš, že jsou v bezpečí, Sovo? """
"expect","expect","Doufám","doufat","impf"," "" I expect so."," "" Doufám."
"see","see","Podívej","podívat","pf"," "" Do go and see, Owl."," "" Podívej se k nim, Sovo."
"do","do","provést","provést","pf"," Because Pooh has n't got very much brain, and he might do something silly, and I do love him so, Owl."," Protože Pú nemá moc rozumu a mohl by provést nějakou hloupost a já ho mám tak rád, Sovo."
"do","do","provést","provést","pf"," Because Pooh has n't got very much brain, and he might do something silly, and I do love him so, Owl."," Protože Pú nemá moc rozumu a mohl by provést nějakou hloupost a já ho mám tak rád, Sovo."
"gives","give","dává","dávat","impf"," In which Christopher Robin gives a Pooh Party, and We say good-bye"," ve které dává Kryštůfek Robin večírek na počest Púovu a my se rozloučíme"
"wanted","want","přeje","přát","impf"," on such a day as this Christopher Robin whistled in a special way he had, and Owl came flying out of the Hundred Acre Wood to see what was wanted."," v takový den Kryštůfek zapískal svým známým způsobem a hned přilétla Sova ze Stokorcového lesa zeptat se, co si přeje."
"said","say","řekl","říci","pf"," "" Owl, "" said Christopher Robin, "" I am going to give a party. """," "" Sovo, "" řekl Kryštůfek Robin, "" chci pořádat večírek. """
"give","give","pořádat","pořádat","impf"," "" Owl, "" said Christopher Robin, "" I am going to give a party. """," "" Sovo, "" řekl Kryštůfek Robin, "" chci pořádat večírek. """
"said","say","řekla","říci","pf"," "" You are, are you? "" said Owl."," "" Vážně? "" řekla Sova."
"wiping","wipe","utřel","utřít","pf"," And wiping his mouth half an hour afterwards, he sang to himself proudly :"," Když si po půlhodině utřel ústa, zazpíval pyšně :"
"sang","sing","zazpíval","zazpívat","pf"," And wiping his mouth half an hour afterwards, he sang to himself proudly :"," Když si po půlhodině utřel ústa, zazpíval pyšně :"
"meets","meet","setká","setkat","pf"," In which Piglet meets a Heffalump"," ve které se setká Prasátko s ohromným Sloniskem"
"saw","see","Viděl","vidět","impf"," "" I saw a Heffalump to-day, Piglet. """," "" Viděl jsem Slona, Prasátko. """
"doing","do","dělal","dělat","impf"," "" What was it doing? "" asked Piglet."," "" Co dělal? "" zeptalo se Prasátko."
"asked","ask","zeptalo","zeptat","pf"," "" What was it doing? "" asked Piglet."," "" Co dělal? "" zeptalo se Prasátko."
"said","say","řekl","říci","pf"," "" Just lumping along, "" said Christopher Robin."," "" Jen tak se potuloval, "" řekl Kryštůfek Robin."
"think","think","Myslím","myslet","impf"," "" I do n't think it saw ME. """," "" Myslím, že mě neviděl. """
"saw","see","neviděl","vidět","impf"," "" I do n't think it saw ME. """," "" Myslím, že mě neviděl. """
"saw","see","vidělo","vidět","impf"," "" I saw one once, "" said Piglet."," "" Taky jsem jednou jednoho vidělo, "" řeklo Prasátko."
"said","say","řeklo","říci","pf"," "" I saw one once, "" said Piglet."," "" Taky jsem jednou jednoho vidělo, "" řeklo Prasátko."
"said","say","řekl","říci","pf"," "" I might have known, "" said Eeyore."," "" To jsem si mohl myslet, "" řekl Ijáček."
"spoke","speak","mluvil","mluvit","impf"," Somebody spoke to me only yesterday."," Ještě včera se mnou někdo mluvil."
"do","do","udělala","udělat","pf"," She is n't Clever, Kanga is n't, but she would be so anxious about Roo that she would do a Good Thing to Do without thinking about it."," Není chytrá, to zas ne, ale ze samého strachu o Klokánka by udělala bez dlouhého přemýšlení zrovna to pravé."
"Do","do","udělala","udělat","pf"," She is n't Clever, Kanga is n't, but she would be so anxious about Roo that she would do a Good Thing to Do without thinking about it."," Není chytrá, to zas ne, ale ze samého strachu o Klokánka by udělala bez dlouhého přemýšlení zrovna to pravé."
"do","do","udělal","udělat","pf"," But I wonder what Christopher Robin would do? """," Ale co by asi udělal Kryštůfek Robin?"
"remembered","remember","vzpomnělo","vzpomenout","pf"," Then suddenly he remembered a story which Christopher Robin had told him about a man on a desert island who had written something in a bottle and thrown it in the sea;"," A pak si najednou vzpomnělo na povídku, kterou mu kdysi vypravoval Kryštůfek Robin, o člověku na opuštěném ostrově, který napsal něco do láhve a láhev pustil na moře;"
"written","write","napsal","napsat","pf"," Then suddenly he remembered a story which Christopher Robin had told him about a man on a desert island who had written something in a bottle and thrown it in the sea;"," A pak si najednou vzpomnělo na povídku, kterou mu kdysi vypravoval Kryštůfek Robin, o člověku na opuštěném ostrově, který napsal něco do láhve a láhev pustil na moře;"
"brought","bring","přineslo","přinést","pf"," "" Yes, Eeyore, and I brought you a balloon. """," "" Ano, Ijáčku, a přineslo jsem ti balónek. """
"said","say","řekl","říci","pf"," "" BALLOON? "" said Eeyore."," "" Balónek? "" řekl Ijáček."
"say","say","Řeklo","říci","pf"," "" You did say balloon?"," "" Řeklo jsi balónek?"
"running","run","utíkalo","utíkat","impf"," "" Yes, but I 'm afraid - I 'm very sorry, Eeyore - but when I was running along to bring it you, I fell down. """," "" Ano, ale bohužel, je mi líto, Ijáčku - ale jak jsem s ním utíkalo k tobě, upadlo jsem. """
"fell","fall","upadlo","upadnout","pf"," "" Yes, but I 'm afraid - I 'm very sorry, Eeyore - but when I was running along to bring it you, I fell down. """," "" Ano, ale bohužel, je mi líto, Ijáčku - ale jak jsem s ním utíkalo k tobě, upadlo jsem. """
"want","want","Nechtěl","chtít","impf"," "" I did n't want the others to hear, "" said Christopher Robin."," "" Nechtěl jsem, aby to ostatní slyšeli, "" řekl Kryštůfek Robin."
"hear","hear","slyšeli","slyšet","impf"," "" I did n't want the others to hear, "" said Christopher Robin."," "" Nechtěl jsem, aby to ostatní slyšeli, "" řekl Kryštůfek Robin."
"said","say","řekl","říci","pf"," "" I did n't want the others to hear, "" said Christopher Robin."," "" Nechtěl jsem, aby to ostatní slyšeli, "" řekl Kryštůfek Robin."
"said","say","řekl","říci","pf"," "" Quite so, "" said Rabbit, looking important."," "" Samozřejmě, "" řekl Králíček a tvářil se důležitě."
"like","like","Chtěl","chtít","impf"," "" It 's - I wondered - It 's only - Rabbit, I suppose you do n't know, What does the North Pole LOOK like? """," "" Chtěl jsem jenom - rád bych věděl - jestli snad ty, Králíčku, náhodou nevíš, jak vypadá severní točna? """
"forgotten","forget","zapomněl","zapomenout","pf"," "" I did know once, only I 've sort of forgotten, "" said Christopher Robin carelessly."," "" Kdysi jsem to věděl, ale nějak jsem to zapomněl, "" řekl Kryštůfek Robin, jako by se nechumelilo."
"said","say","řekl","říci","pf"," "" I did know once, only I 've sort of forgotten, "" said Christopher Robin carelessly."," "" Kdysi jsem to věděl, ale nějak jsem to zapomněl, "" řekl Kryštůfek Robin, jako by se nechumelilo."
"said","say","řekla","říci","pf"," "" Hardly at all, "" said Kanga."," "" Vůbec ne, "" řekla Klokanice."
"said","say","řekl","říci","pf"," "" Oh! "" said Pooh."," "" Škoda. "" řekl Pú."
