"looking","look","hledat","hledat","impf"," "" And it 's no good looking at the Six Pine Trees for Piglet, "" said Pooh to himself, "" because he 's been organdized in a special place of his own."," "" Nemá taky smysl hledat Prasátko u Šesti borovic, "" řekl si Pú, "" protože je jistě organizováno na svém zvláštním místě."
"said","say","řekl","říci","pf"," "" And it 's no good looking at the Six Pine Trees for Piglet, "" said Pooh to himself, "" because he 's been organdized in a special place of his own."," "" Nemá taky smysl hledat Prasátko u Šesti borovic, "" řekl si Pú, "" protože je jistě organizováno na svém zvláštním místě."
"wrote","write","sepsal","sepsat","pf"," And he wrote it down in his head like this :"," A v duchu si to takhle sepsal :"
"find","find","Najít","najít","pf"," ( To find Piglet. )"," ( Najít Prasátko. )"
"find","find","Zjistit","zjistit","pf"," ( To find who Small is. )"," ( Zjistit, kdo je Mrně. )"
"thought","think","myslelo","myslet","impf"," "" I thought, "" said Piglet earnestly, "" that if Eeyore stood at the bottom of the tree, and if Pooh stood on Eeyore 's back, and if I stood on Pooh 's shoulders ... """," "" Já jsem myslelo, "" řeklo Prasátko vážně, "" že kdyby se Ijáček postavil dole pod strom a Pú se postavil Ijáčkovi na záda a já Púovi na ramena - """
"said","say","řeklo","říci","pf"," "" I thought, "" said Piglet earnestly, "" that if Eeyore stood at the bottom of the tree, and if Pooh stood on Eeyore 's back, and if I stood on Pooh 's shoulders ... """," "" Já jsem myslelo, "" řeklo Prasátko vážně, "" že kdyby se Ijáček postavil dole pod strom a Pú se postavil Ijáčkovi na záda a já Púovi na ramena - """
"stood","stand","postavil","postavit","pf"," "" I thought, "" said Piglet earnestly, "" that if Eeyore stood at the bottom of the tree, and if Pooh stood on Eeyore 's back, and if I stood on Pooh 's shoulders ... """," "" Já jsem myslelo, "" řeklo Prasátko vážně, "" že kdyby se Ijáček postavil dole pod strom a Pú se postavil Ijáčkovi na záda a já Púovi na ramena - """
"stood","stand","postavil","postavit","pf"," "" I thought, "" said Piglet earnestly, "" that if Eeyore stood at the bottom of the tree, and if Pooh stood on Eeyore 's back, and if I stood on Pooh 's shoulders ... """," "" Já jsem myslelo, "" řeklo Prasátko vážně, "" že kdyby se Ijáček postavil dole pod strom a Pú se postavil Ijáčkovi na záda a já Púovi na ramena - """
"stood","stand","postavil","postavit","pf"," "" I thought, "" said Piglet earnestly, "" that if Eeyore stood at the bottom of the tree, and if Pooh stood on Eeyore 's back, and if I stood on Pooh 's shoulders ... """," "" Já jsem myslelo, "" řeklo Prasátko vážně, "" že kdyby se Ijáček postavil dole pod strom a Pú se postavil Ijáčkovi na záda a já Púovi na ramena - """
"stood","stand","postavil","postavit","pf"," "" I thought, "" said Piglet earnestly, "" that if Eeyore stood at the bottom of the tree, and if Pooh stood on Eeyore 's back, and if I stood on Pooh 's shoulders ... """," "" Já jsem myslelo, "" řeklo Prasátko vážně, "" že kdyby se Ijáček postavil dole pod strom a Pú se postavil Ijáčkovi na záda a já Púovi na ramena - """
"stood","stand","postavil","postavit","pf"," "" I thought, "" said Piglet earnestly, "" that if Eeyore stood at the bottom of the tree, and if Pooh stood on Eeyore 's back, and if I stood on Pooh 's shoulders ... """," "" Já jsem myslelo, "" řeklo Prasátko vážně, "" že kdyby se Ijáček postavil dole pod strom a Pú se postavil Ijáčkovi na záda a já Púovi na ramena - """
"stood","stand","postavil","postavit","pf"," "" I thought, "" said Piglet earnestly, "" that if Eeyore stood at the bottom of the tree, and if Pooh stood on Eeyore 's back, and if I stood on Pooh 's shoulders ... """," "" Já jsem myslelo, "" řeklo Prasátko vážně, "" že kdyby se Ijáček postavil dole pod strom a Pú se postavil Ijáčkovi na záda a já Púovi na ramena - """
"said","say","řekl","říci","pf"," Amusing in a quiet way, "" said Eeyore, "" but not really helpful. """," Nevinný žertík, "" řekl Ijáček, "" ale není nám moc platný. """
"said","say","řeklo","říci","pf"," "" Well, "" said Piglet meekly, "" I thought ... """," "" No, "" řeklo Prasátko skromně, "" já myslelo - """
"thought","think","myslelo","myslet","impf"," "" Well, "" said Piglet meekly, "" I thought ... """," "" No, "" řeklo Prasátko skromně, "" já myslelo - """
"mentioned","mention","zmínil","zmínit","pf"," and if anybody mentioned Hums or Trees or String or Storms-in-the-Night, Piglet 's nose went all pink at the tip, and he talked about something quite different in a hurried sort of way."," a kdykoli se někdo zmínil o písničkách nebo stromech nebo bouřlivých nocích, Prasátku zčervenala špička nosu a rychle mluvilo o něčem docela jiném."
"talked","talk","mluvilo","mluvit","impf"," and if anybody mentioned Hums or Trees or String or Storms-in-the-Night, Piglet 's nose went all pink at the tip, and he talked about something quite different in a hurried sort of way."," a kdykoli se někdo zmínil o písničkách nebo stromech nebo bouřlivých nocích, Prasátku zčervenala špička nosu a rychle mluvilo o něčem docela jiném."
"said","say","řekl","říci","pf"," "" But it is n't Easy, "" said Pooh to himself, as he looked at what had once been Owl 's House."," "" Ale není to lehké, "" řekl si Pú, když se díval na někdejší Sovin dům."
"looked","look","díval","dívat","impf"," "" But it is n't Easy, "" said Pooh to himself, as he looked at what had once been Owl 's House."," "" Ale není to lehké, "" řekl si Pú, když se díval na někdejší Sovin dům."
"do","do","jít","jít","impf"," And all you can do is to go where they can find you. """," A tobě nezbývá nic jiného než jít tam, kde by tě našly. """
"go","go","jít","jít","impf"," And all you can do is to go where they can find you. """," A tobě nezbývá nic jiného než jít tam, kde by tě našly. """
"find","find","našly","najít","pf"," And all you can do is to go where they can find you. """," A tobě nezbývá nic jiného než jít tam, kde by tě našly. """
"Come","come","Pojď","jít","impf"," "" Come on, Tigger! "" cried Roo."," "" Pojď, Tygře, "" zvolal Klokánek."
"cried","cry","zvolal","zvolat","pf"," "" Come on, Tigger! "" cried Roo."," "" Pojď, Tygře, "" zvolal Klokánek."
"go","go","Půjdeme","jít","impf"," "" Shall we go, Owl? "" said Rabbit."," "" Půjdeme taky, Sovo? "" zeptal se Králíček."
"said","say","řekla","říci","pf"," "" Wait a moment, "" said Owl, picking up his notice-board, which had just come into sight again."," "" Okamžik, "" řekla Sova a sebrala svou tabulku, která se zase objevila."
"picking","pick","sebrala","sebrat","pf"," "" Wait a moment, "" said Owl, picking up his notice-board, which had just come into sight again."," "" Okamžik, "" řekla Sova a sebrala svou tabulku, která se zase objevila."
"waved","wave","mával","mávat","impf"," Eeyore waved them back."," Ijáček na ně mával, aby nechodili."
"said","say","řekl","říci","pf"," "" Christopher Robin and I are going for a Short Walk, "" he said, "" not a Jostle."," "" Chceme se s Kryštůfkem Robinem jen trochu projít, a ne se s někým strkat, "" řekl."
"likes","like","chceš","chtít","impf"," If he likes to bring Pooh and Piglet with him, I shall be glad of their company, but one must be able to Breathe. """," "" Jestli chceš s sebou vzít Púa a Prasátko, budu se těšit z jejich společnosti, ale chci mít dost vzduchu. """
"likes","like","chci","chtít","impf"," If he likes to bring Pooh and Piglet with him, I shall be glad of their company, but one must be able to Breathe. """," "" Jestli chceš s sebou vzít Púa a Prasátko, budu se těšit z jejich společnosti, ale chci mít dost vzduchu. """
"said","say","řekl","říci","pf"," "" Well, "" said Pooh, "" if I plant a honeycomb outside my house, then it will grow up into a beehive. """," "" Tak, "" řekl Pú, "" a co kdybych si zasadil před domem plástev medu, vyrostl by mi z ní úl? """
"plant","plant","zasadil","zasadit","pf"," "" Well, "" said Pooh, "" if I plant a honeycomb outside my house, then it will grow up into a beehive. """," "" Tak, "" řekl Pú, "" a co kdybych si zasadil před domem plástev medu, vyrostl by mi z ní úl? """
"grow","grow","vyrostl","vyrůst","pf"," "" Well, "" said Pooh, "" if I plant a honeycomb outside my house, then it will grow up into a beehive. """," "" Tak, "" řekl Pú, "" a co kdybych si zasadil před domem plástev medu, vyrostl by mi z ní úl? """
"said","say","řekl","říci","pf"," "" Or a PIECE of a honeycomb, "" said Pooh, "" so as not to waste too much."," "" Nebo aspoň kousek plástve, "" řekl Pú, "" aby nepřišlo moc nazmar."
"agreed","agree","souhlasilo","souhlasit","impf"," Piglet agreed that that would be rather bothering."," Prasátko souhlasilo, to že by bylo nepříjemné."
