"commented","comment","poznamenala","poznamenat","pf"," "" IL ÉTAIT MALIN, CELUI QUI A INVENTÉ CE TRUC-LÀ, "" she commented amiably, and got back into her clothes with the same high-style speed."," "" Il était malin, celui qui a inventé ce truc - là, "" poznamenala roztomile a stejně svižně a elegantně vklouzla zase do šatů."
"asked","ask","Požádal","požádat","pf"," I asked for another, more elaborate, assignment later the same evening, and she said she would meet me at the corner café at nine, and swore she had never POSÉ UN LAPIN in all her young life."," Požádal jsem ji o další, promyšlenější schůzku na později ten večer a ona mi navrhla, abychom se sešli v devět v kavárně na nároží, a dušovala se, že si za celý svůj mladý život ještě nikdy z nikoho neudělala dobrý den."
"meet","meet","sešli","sejít","pf"," I asked for another, more elaborate, assignment later the same evening, and she said she would meet me at the corner café at nine, and swore she had never POSÉ UN LAPIN in all her young life."," Požádal jsem ji o další, promyšlenější schůzku na později ten večer a ona mi navrhla, abychom se sešli v devět v kavárně na nároží, a dušovala se, že si za celý svůj mladý život ještě nikdy z nikoho neudělala dobrý den."
"returned","return","Vrátili","vrátit","pf"," We returned to the same room, and I could not help saying how very pretty she was to which she answered demurely :"," Vrátili jsme se do stejného pokoje a já jsem to nemohl vydržet a řekl jsem ji, že je moc hezká, na což odpověděla skromně :"
"saying","say","řekl","říci","pf"," We returned to the same room, and I could not help saying how very pretty she was to which she answered demurely :"," Vrátili jsme se do stejného pokoje a já jsem to nemohl vydržet a řekl jsem ji, že je moc hezká, na což odpověděla skromně :"
"returned","return","odpověděla","odpovědět","pf"," We returned to the same room, and I could not help saying how very pretty she was to which she answered demurely :"," Vrátili jsme se do stejného pokoje a já jsem to nemohl vydržet a řekl jsem ji, že je moc hezká, na což odpověděla skromně :"
"saying","say","odpověděla","odpovědět","pf"," We returned to the same room, and I could not help saying how very pretty she was to which she answered demurely :"," Vrátili jsme se do stejného pokoje a já jsem to nemohl vydržet a řekl jsem ji, že je moc hezká, na což odpověděla skromně :"
"answered","answer","odpověděla","odpovědět","pf"," We returned to the same room, and I could not help saying how very pretty she was to which she answered demurely :"," Vrátili jsme se do stejného pokoje a já jsem to nemohl vydržet a řekl jsem ji, že je moc hezká, na což odpověděla skromně :"
"stroked","stroke","pohladil","pohladit","pf"," I stroked them;"," pohladil jsem je;"
"felt","feel","cítily","cítit","impf"," Under my glancing finger tips I felt the minute hairs bristle ever so slightly along her shins."," Hbité konečky mých prstů cítily, jak se jí na lýtkách hebce ježí drobné chloupky."
"remember","remember","Vzpomínám","vzpomínat","impf"," I remember once handling an automatic belonging to a fellow student, in the days ( I have not spoken of them, I think, but never mind ) when I toyed with the idea of enjoying his little sister, a most diaphanous nymphet with a black hair bow, and then shooting myself."," Vzpomínám si, jak jsem si kdysi pohrával s pistolí patřící jednomu mému spolužákovi, v době ( mám dojem, že jsem se o ní nezmiňoval, ale to nevadí ), kdy jsem koketoval s myšlenkou užít si s jeho sestřičkou, nefalšovanou nymfičkou s ohonem černých vlasů, a pak se zastřelit."
"think","think","mám","mít","impf"," I remember once handling an automatic belonging to a fellow student, in the days ( I have not spoken of them, I think, but never mind ) when I toyed with the idea of enjoying his little sister, a most diaphanous nymphet with a black hair bow, and then shooting myself."," Vzpomínám si, jak jsem si kdysi pohrával s pistolí patřící jednomu mému spolužákovi, v době ( mám dojem, že jsem se o ní nezmiňoval, ale to nevadí ), kdy jsem koketoval s myšlenkou užít si s jeho sestřičkou, nefalšovanou nymfičkou s ohonem černých vlasů, a pak se zastřelit."
"enjoying","enjoy","užít","užít","pf"," I remember once handling an automatic belonging to a fellow student, in the days ( I have not spoken of them, I think, but never mind ) when I toyed with the idea of enjoying his little sister, a most diaphanous nymphet with a black hair bow, and then shooting myself."," Vzpomínám si, jak jsem si kdysi pohrával s pistolí patřící jednomu mému spolužákovi, v době ( mám dojem, že jsem se o ní nezmiňoval, ale to nevadí ), kdy jsem koketoval s myšlenkou užít si s jeho sestřičkou, nefalšovanou nymfičkou s ohonem černých vlasů, a pak se zastřelit."
"shooting","shoot","zastřelit","zastřelit","pf"," I remember once handling an automatic belonging to a fellow student, in the days ( I have not spoken of them, I think, but never mind ) when I toyed with the idea of enjoying his little sister, a most diaphanous nymphet with a black hair bow, and then shooting myself."," Vzpomínám si, jak jsem si kdysi pohrával s pistolí patřící jednomu mému spolužákovi, v době ( mám dojem, že jsem se o ní nezmiňoval, ale to nevadí ), kdy jsem koketoval s myšlenkou užít si s jeho sestřičkou, nefalšovanou nymfičkou s ohonem černých vlasů, a pak se zastřelit."
"called","call","říkal","říkat","impf"," I now wondered if Valechka ( as the colonel called her ) was really worth shooting, or strangling, or drowning."," Přemítal jsem v té chvíli, jestli je Valečka ( jak ji plukovník říkal ) doopravdy hodna zastřelení, uškrcení nebo utopení."
"saw","see","Viděl","vidět","impf"," I saw it glide downhill and disappear behind the corner of the house."," Viděl jsem, jak klouzavě sjíždí z kopce a mizí za rohem."
"disappear","disappear","mizí","mizet","impf"," I saw it glide downhill and disappear behind the corner of the house."," Viděl jsem, jak klouzavě sjíždí z kopce a mizí za rohem."
