"climbed","climb","vylezl","vylézt","pf"," Out of it climbed Pretzel."," Z kabiny vylezl Keksík."
"appeared","appear","objevil","objevit","pf"," Behind him appeared another boy-Mite."," A za ním se objevil ještě jeden človíček."
"cried","cry","vykřikl","vykřiknout","pf"," "" Good heavens, it 's our Doono! "" cried Dr. Pillman."," "" I propána, vždyť je to náš Všeználek! "" vykřikl doktor Pilulkin."
"come","come","přijel","přijet","pf"," "" Doono has come! "" cried Scatterbrain."," "" Všeználek přijel! "" volal Civínek."
"cried","cry","volal","volat","impf"," "" Doono has come! "" cried Scatterbrain."," "" Všeználek přijel! "" volal Civínek."
"surrounded","surround","obklopili","obklopit","pf"," Doono was instantly surrounded by his friends, who hugged and kissed him."," Malíčci v mžiku obklopili Všeználka a začali ho objímat a líbat."
"hugged","hug","objímat","objímat","impf"," Doono was instantly surrounded by his friends, who hugged and kissed him."," Malíčci v mžiku obklopili Všeználka a začali ho objímat a líbat."
"kissed","kiss","líbat","líbat","impf"," Doono was instantly surrounded by his friends, who hugged and kissed him."," Malíčci v mžiku obklopili Všeználka a začali ho objímat a líbat."
"found","find","našli","najít","pf"," "" At last we 've found you! "" they said."," "" Tak přece jsme tě našli! "" říkali."
"said","say","říkali","říkat","impf"," "" At last we 've found you! "" they said."," "" Tak přece jsme tě našli! "" říkali."
"found","find","našli","najít","pf"," "" You found me? "" said Doono in surprise."," "" Jak to, že jste mě našli? "" podivil se Všeználek."
"seems","seem","zdá","zdát","impf"," "" It seems to me that I found you. """," "" Tak se mi zdá, že jsem našel já vás! """
"found","find","našel","najít","pf"," "" It seems to me that I found you. """," "" Tak se mi zdá, že jsem našel já vás! """
"escaped","escape","unikal","unikat","impf"," When the air became hot it escaped through the hole in the lid."," Vzduch se uvnitř ohříval a už horký unikal otvorem v poklici."
"learned","learn","naučili","naučit","pf"," The Mites learned his poem by heart and sang it in the streets."," Všichni se naučili jeho básni nazpaměť a prozpěvovali si ji po ulicích."
"hear","hear","slyšet","slyšet","impf"," Wherever you went that evening you could hear people singing :"," Ještě dlouho bylo slyšet hned tu, hned zase tam :"
"find","find","nenašel","najít","pf"," Bendum walked round and round, studying the machine, and when he could find nothing wrong up above, he dived underneath."," Šroubek obešel automobil kolem dokola, prohlédl motor, a když nenašel poruchu, vlezl pod vůz."
"crawling","crawl","lezli","lézt","impf"," For some time they took turns doing this - diving under, crawling out, and scratching their heads."," A tak hned lezli po řadě pod vůz, hned zase stáli, bezradně se dívali na auto a drbali se zamyšleně v hlavě."
"wearing","wear","měla","mít","impf"," One of them was wearing a blue silk dress with a silk sash tied in a bow behind."," Jedna měla modré šaty z lesklého hedvábí a právě takový hedvábný pásek, uvázaný vzadu na mašli."
"wore","wear","Měla","mít","impf"," She had blue eyes and dark hair which she wore in a long plait."," Měla modré oči a tmavé vlasy, zapletené do dlouhého copu."
"added","add","dodal","dodat","pf"," "" And a musician, "" added Dunno proudly."," "" A hudebníkem, "" vážně dodal Neználek."
"think","think","měl","mít","impf"," "" Later, "" said Dunno with the air of one who had too many matters of more importance to think of."," "" Až pak, víte, za chvíli, "" vymlouval se Neználek a zatvářil se, jako by měl hrozně naspěch."
"wanted","want","Chtěl","chtít","impf"," "" I just wanted to see if that ruler was good for giving smacks. """," "" Chtěl jsem zkrátka jenom vyzkoušet, jestli to jde, klepnout někoho tímhle pravítkem. """
"laughing","laugh","smějete","smát","impf"," What are you laughing at?"," Čemu se smějete?"
"went","go","šla","jít","impf"," She went over to the looking-glass again."," A znovu šla k zrcadlu :"
"mend","mend","spravit","spravit","pf"," On the previous evening they had heard they were to be let out of hospital so that they could mend the girl-Mites ' car."," Už včera se dozvěděli, že je ráno propustí z nemocnice, aby mohli spravit auto."
"began","begin","začali","začít","pf"," And so, long before the sun even thought of coming up they began demanding that they be given their clothes."," Vzbudili se ještě za šera a začali se dožadovat, aby je tedy bez dlouhých okolků pustili ven."
"feared","fear","bála","bát","impf"," Honeysuckle, who feared nothing so much as a scene, decided she had better let them out as quickly as possible."," Medunka, která se ze všeho nejvíc bála rámusu, nařídila vydat jim rychle šaty."
"looked","look","koukat","koukat","impf"," His head fairly swam when he looked at the table."," Neználek ani nevěděl, na co dřív koukat, když spatřil na stole takové bohaté pohoštění."
"giving","give","dali","dát","pf"," And so, after giving him a good meal, they took him to the edge of the town and pointed out the road to Greenville."," Malíčci mu dali najíst, potom ho vyvedli na okraj města a ukázali mu cestu."
"pointed","point","ukázali","ukázat","pf"," And so, after giving him a good meal, they took him to the edge of the town and pointed out the road to Greenville."," Malíčci mu dali najíst, potom ho vyvedli na okraj města a ukázali mu cestu."
"going","go","jde","jít","impf"," They were sure he was going to his death, and so it was with tears in their eyes that they parted with him."," Všichni byli přesvědčeni, že jde do jisté záhuby, a se slzami v očích se s ním loučili."
"appeared","appear","objevilo","objevit","pf"," Just then a cloud of dust appeared on the road."," Vtom se v dálce na cestě objevilo mračno prachu."
"got","get","blížilo","blížit","impf"," The nearer it came the bigger it got."," Rychle se blížilo a zvětšovalo se."
"beating","beat","klepaly","klepat","impf"," Some of them were cutting the grass, others were sweeping the pathways, and still others were beating the dust out of long runners made of carpet."," Některé stříhaly nůžkami trávu, aby nerostla výš, než bylo třeba, jiné byly vyzbrojeny košťaty a umetaly cestičky, třetí usilovně klepaly prach z dlouhých koberců."
"painted","paint","namaloval","namalovat","pf"," Blobs painted ever so many of these stencil-portraits."," Těchhle šablonovitých podobizen namaloval Tubička spoustu."
"said","say","odpověděl","odpovědět","pf"," "" I have a horn, "" said Trills."," "" Trumpeta by tu byla, "" odpověděl Strunka."
"try","try","vyzkoušíme","vyzkoušet","pf"," "" Let me try that. """," "" Tak sem s ní, vyzkoušíme to! """
"gave","give","dal","dát","pf"," Trills gave him a big brass horn."," Strunka mu dal velikánskou mosaznou trumpetu."
"learn","learn","uč","učit","impf"," "" Very well, learn to play the hom if you want to. """," "" Tak se uč na trubku, když se ti to líbí, "" přisvědčil Strunka."
"learn","learn","učil","učit","impf"," "" Why should I learn? "" said Dunno."," "" Proč bych se učil?"
"opened","open","otevřel","otevřít","pf"," It 's just an old ramshackle shed, "" said Twistum as he opened the double doors."," Obyčejná kůlna, a ne garáž, "" zabručel Vroubek a otevřel široká dvoukřídlová vrata."
"looked","look","podívali","podívat","pf"," P'raps and Swifty looked down to see Cornflower 's blue eyes laughing up at them."," Jaktík s Čiperkou se podívali dolů a uviděli, jak se na ně posměšně dívá modrooká malenka."
"see","see","podívali","podívat","pf"," P'raps and Swifty looked down to see Cornflower 's blue eyes laughing up at them."," Jaktík s Čiperkou se podívali dolů a uviděli, jak se na ně posměšně dívá modrooká malenka."
"see","see","uviděli","uvidět","pf"," P'raps and Swifty looked down to see Cornflower 's blue eyes laughing up at them."," Jaktík s Čiperkou se podívali dolů a uviděli, jak se na ně posměšně dívá modrooká malenka."
"looked","look","dívá","dívat","impf"," P'raps and Swifty looked down to see Cornflower 's blue eyes laughing up at them."," Jaktík s Čiperkou se podívali dolů a uviděli, jak se na ně posměšně dívá modrooká malenka."
"see","see","dívá","dívat","impf"," P'raps and Swifty looked down to see Cornflower 's blue eyes laughing up at them."," Jaktík s Čiperkou se podívali dolů a uviděli, jak se na ně posměšně dívá modrooká malenka."
"think","think","Myslíš","myslet","impf"," "" P'raps you think it 's easy to pick apples? """," "" Myslíš, že to jde jen tak? """
"Go","go","jděte","jít","impf"," "" Go and ask Glass-Eye, I tell you. """," "" Jen se jděte optat Okulárka! """
"ran","run","Běželi","běžet","impf"," So they all ran to Glass-Eye and found out that it was, indeed, only something Dunno had made up."," Běželi tedy k Okulárkovi a tam se ukázalo, že to všechno doopravdy ztropil Neználek."
"said","say","odpověděl","odpovědět","pf"," "" How, indeed? "" said Dunno."," "" Já se nedivím, "" odpověděl jim Neználek."
"believed","believe","věřil","věřit","impf"," "" Why, I even believed it myself! """," "" Vždyť jsem tomu věřil dokonce i já. """
"do","do","dělal","dělat","impf"," Dunno never could do anything right."," Když Neználek něco dělal, nedělal to nikdy jaksepatří, ale vždycky jen tak halabala."
"do","do","nedělal","dělat","impf"," Dunno never could do anything right."," Když Neználek něco dělal, nedělal to nikdy jaksepatří, ale vždycky jen tak halabala."
"cried","cry","volali","volat","impf"," "" Hurrah! "" cried everybody ecstatically."," "" Huráááá! "" volali odevšad človíčkové."
"pressed","press","stiskl","stisknout","pf"," Slick pressed a button and the machine repeated in a husky voice :"," Mudra stiskl tlačítko, a samozvukopis k všeobecnému údivu zašišlal huhňavým hlasem :"
"want","want","potřebujete","potřebovat","impf"," "" What do you want a talking machine for? "" asked Twistum."," "" A k čemu vlastně potřebujete tenhle mluvící stroj? "" zeptal se Vroubek."
"asked","ask","zeptal","zeptat","pf"," "" What do you want a talking machine for? "" asked Twistum."," "" A k čemu vlastně potřebujete tenhle mluvící stroj? "" zeptal se Vroubek."
"put","put","postavit","postavit","pf"," "" I put it in people 's houses, and it records everything they say."," Mohu postavit samozvukopis v kterémkoli obydlí a on mi zapíše, o čem se tam rozpráví."
