"saw","see","uviděl","uvidět","pf"," Then he saw the corn and the meat and the potatoes."," Potom uviděl kukuřici, maso a brambory."
"came","come","šla","jít","impf"," Hana slid her arm into Kip 's and came with him to the table."," Hana se do Kipa zavěsila a šla s ním ke stolu."
"ate","eat","Jedli","jíst","impf"," They ate and drank, the unexpected thickness of the wine like meat on their tongues."," Jedli a pili, víno na jazyku působilo nečekaně hutně jako maso."
"drank","drink","pili","pít","impf"," They ate and drank, the unexpected thickness of the wine like meat on their tongues."," Jedli a pili, víno na jazyku působilo nečekaně hutně jako maso."
"turning","turn","obraceli","obracet","impf"," They were soon turning silly in their toasts to the sapper- "" the great forager "" - and to the English patient."," Brzy se bláznivě obraceli s přípitky k ženistovi - "" velkému pícníkovi "" - a k anglickému pacientovi."
"crashed","crash","zřítil","zřítit","pf"," On the floor of the Cave of Swimmers, after her husband had crashed their plane, he had cut open and stretched out the parachute she had been carrying."," Potom, co se Katharinin muž s letadlem zřítil, rozřízl v Jeskyni plavců padák, který měla na sobě, a roztáhl ho."
"carrying","carry","měla","mít","impf"," On the floor of the Cave of Swimmers, after her husband had crashed their plane, he had cut open and stretched out the parachute she had been carrying."," Potom, co se Katharinin muž s letadlem zřítil, rozřízl v Jeskyni plavců padák, který měla na sobě, a roztáhl ho."
"stretched","stretch","roztáhl","roztáhnout","pf"," On the floor of the Cave of Swimmers, after her husband had crashed their plane, he had cut open and stretched out the parachute she had been carrying."," Potom, co se Katharinin muž s letadlem zřítil, rozřízl v Jeskyni plavců padák, který měla na sobě, a roztáhl ho."
"searching","search","hledal","hledat","impf"," He placed his fingers gently into her hair, searching for other wounds, then touched her shoulders and her feet."," Lehce jí prsty projel vlasy, hledal, kde má další rány, potom ohledával její ramena a nohy."
"want","want","Nechtěl","chtít","impf"," Now in the cave it was her beauty he did not want to lose, the grace of her, these limbs."," Nechtěl teď v jeskyni za nic ztratit její krásu, její půvab, její údy."
"lose","lose","ztratit","ztratit","pf"," Now in the cave it was her beauty he did not want to lose, the grace of her, these limbs."," Nechtěl teď v jeskyni za nic ztratit její krásu, její půvab, její údy."
"convinced","convince","přesvědčil","přesvědčit","pf"," Most winters he spent puttering around the villages of Brandon and Porlock, and he had convinced authorities that Exmoor was an ideal location for bomb-disposal training."," Většinu zim trávil tím, že se potuloval kolem vesnic Brandon a Porlock, a přesvědčil vládní orgány, že Exmoor je ideálním místem pro nácvik zneškodňování bomb."
