"lies","lie","leží","ležet","impf"," Doublethink lies at the very heart of Ingsoc, since the essential act of the Party is to use conscious deception while retaining the firmness of purpose that goes with complete honesty."," Doublethink leží v samém jádru Angsocu, protože základní linií Strany je záměrně používat lži, a přitom zachovávat pevný cíl, který se opírá o naprostou čestnost."
"use","use","používat","používat","impf"," Doublethink lies at the very heart of Ingsoc, since the essential act of the Party is to use conscious deception while retaining the firmness of purpose that goes with complete honesty."," Doublethink leží v samém jádru Angsocu, protože základní linií Strany je záměrně používat lži, a přitom zachovávat pevný cíl, který se opírá o naprostou čestnost."
"rests","rest","spočívá","spočívat","impf"," Oceanic society rests ultimately on the belief that Big Brother is omnipotent and that the Party is infallible."," Oceánská společnost spočívá v konečném úhrnu na víře, že Velký bratr je všemohoucí a Strana neomylná."
"means","mean","znamená","znamenat","impf"," Applied to an opponent, it means the habit of impudently claiming that black is white, in contradiction of the plain facts."," Když jde o protivníka, znamená návyk bez ostychu tvrdit, že černé je bílé, i když to odporuje prostým faktům."
"cause","cause","způsobit","způsobit","pf"," "" To commit acts of sabotage which may cause the death of hundreds of innocent people? """," "" Páchat sabotážní činy, které mohou způsobit smrt stovek nevinných lidí? """
"betray","betray","Zradit","zradit","pf"," "" To betray your country to foreign powers? """," "" Zradit svou vlast cizí mocnosti? """
"manufactured","manufacture","nevyráběl","vyrábět","impf"," Its smooth creamy paper, a little yellowed by age, was of a kind that had not been manufactured for at least forty years past."," Papír byl smetanově hladký, věkem už trochu zažloutlý, jaký se už aspoň čtyřicet let nevyráběl."
"guess","guess","Odhadoval","odhadovat","impf"," He could guess, however, that the book was much older than that."," Odhadoval však, že sešit byl ještě mnohem starší."
"seen","see","zahlédl","zahlédnout","pf"," He had seen it lying in the window of a frowsy little junk-shop in a slummy quarter of the town ( just what quarter he did not now remember ) and had been stricken immediately by an overwhelming desire to possess it."," Winston ho zahlédl ve výkladu zatuchlého krámku se starožitnostmi na periférii ( ale která čtvrť to byla, si nepamatoval ) a hned se ho zmocnila nepřekonatelná touha vlastnit ho."
"remember","remember","nepamatoval","pamatovat","impf"," He had seen it lying in the window of a frowsy little junk-shop in a slummy quarter of the town ( just what quarter he did not now remember ) and had been stricken immediately by an overwhelming desire to possess it."," Winston ho zahlédl ve výkladu zatuchlého krámku se starožitnostmi na periférii ( ale která čtvrť to byla, si nepamatoval ) a hned se ho zmocnila nepřekonatelná touha vlastnit ho."
"possess","possess","vlastnit","vlastnit","impf"," He had seen it lying in the window of a frowsy little junk-shop in a slummy quarter of the town ( just what quarter he did not now remember ) and had been stricken immediately by an overwhelming desire to possess it."," Winston ho zahlédl ve výkladu zatuchlého krámku se starožitnostmi na periférii ( ale která čtvrť to byla, si nepamatoval ) a hned se ho zmocnila nepřekonatelná touha vlastnit ho."
"steal","steal","krást","krást","impf"," The preterite of steal was stealed, the preterite of think was thinked, and so on throughout the language, all such forms as swam, gave, brought, spoke, taken, etc., being abolished."," Minulý čas slovesa steal - krást byl stealed - ukradl, minulý čas slovesa think - myslet byl thinked - myslel, a tak se to dělo v celém jazyce, všechny nepravidelné tvary jako swam - plaval, gave - dal, brought - přinesl, spoke - hovořil, taken - vzatý, byly zrušeny."
"steal","steal","ukradl","ukrást","pf"," The preterite of steal was stealed, the preterite of think was thinked, and so on throughout the language, all such forms as swam, gave, brought, spoke, taken, etc., being abolished."," Minulý čas slovesa steal - krást byl stealed - ukradl, minulý čas slovesa think - myslet byl thinked - myslel, a tak se to dělo v celém jazyce, všechny nepravidelné tvary jako swam - plaval, gave - dal, brought - přinesl, spoke - hovořil, taken - vzatý, byly zrušeny."
"swam","swim","plaval","plavat","impf"," The preterite of steal was stealed, the preterite of think was thinked, and so on throughout the language, all such forms as swam, gave, brought, spoke, taken, etc., being abolished."," Minulý čas slovesa steal - krást byl stealed - ukradl, minulý čas slovesa think - myslet byl thinked - myslel, a tak se to dělo v celém jazyce, všechny nepravidelné tvary jako swam - plaval, gave - dal, brought - přinesl, spoke - hovořil, taken - vzatý, byly zrušeny."
"gave","give","dal","dát","pf"," The preterite of steal was stealed, the preterite of think was thinked, and so on throughout the language, all such forms as swam, gave, brought, spoke, taken, etc., being abolished."," Minulý čas slovesa steal - krást byl stealed - ukradl, minulý čas slovesa think - myslet byl thinked - myslel, a tak se to dělo v celém jazyce, všechny nepravidelné tvary jako swam - plaval, gave - dal, brought - přinesl, spoke - hovořil, taken - vzatý, byly zrušeny."
"brought","bring","přinesl","přinést","pf"," The preterite of steal was stealed, the preterite of think was thinked, and so on throughout the language, all such forms as swam, gave, brought, spoke, taken, etc., being abolished."," Minulý čas slovesa steal - krást byl stealed - ukradl, minulý čas slovesa think - myslet byl thinked - myslel, a tak se to dělo v celém jazyce, všechny nepravidelné tvary jako swam - plaval, gave - dal, brought - přinesl, spoke - hovořil, taken - vzatý, byly zrušeny."
"taken","take","přinesl","přinést","pf"," The preterite of steal was stealed, the preterite of think was thinked, and so on throughout the language, all such forms as swam, gave, brought, spoke, taken, etc., being abolished."," Minulý čas slovesa steal - krást byl stealed - ukradl, minulý čas slovesa think - myslet byl thinked - myslel, a tak se to dělo v celém jazyce, všechny nepravidelné tvary jako swam - plaval, gave - dal, brought - přinesl, spoke - hovořil, taken - vzatý, byly zrušeny."
"spoke","speak","hovořil","hovořit","impf"," The preterite of steal was stealed, the preterite of think was thinked, and so on throughout the language, all such forms as swam, gave, brought, spoke, taken, etc., being abolished."," Minulý čas slovesa steal - krást byl stealed - ukradl, minulý čas slovesa think - myslet byl thinked - myslel, a tak se to dělo v celém jazyce, všechny nepravidelné tvary jako swam - plaval, gave - dal, brought - přinesl, spoke - hovořil, taken - vzatý, byly zrušeny."
"abolished","abolish","zrušeny","zrušit","pf"," The preterite of steal was stealed, the preterite of think was thinked, and so on throughout the language, all such forms as swam, gave, brought, spoke, taken, etc., being abolished."," Minulý čas slovesa steal - krást byl stealed - ukradl, minulý čas slovesa think - myslet byl thinked - myslel, a tak se to dělo v celém jazyce, všechny nepravidelné tvary jako swam - plaval, gave - dal, brought - přinesl, spoke - hovořil, taken - vzatý, byly zrušeny."
"swimming","swim","plavaly","plavat","impf"," Somewhere near at hand, though out of sight, there was a clear, slow-moving stream where dace were swimming in the pools under the willow trees."," Někde docela blízko, i když ho nebylo vidět, zvolna tekl čistý potok, v tůních pod vrbami plavaly bělice."
"coming","come","přicházela","přicházet","impf"," The girl with dark hair was coming towards them across the field."," Přes pole přicházela dívka s tmavými vlasy."
"tore","tear","strhla","strhnout","pf"," With what seemed a single movement she tore off her clothes and flung them disdainfully aside."," Jakoby jediným pohybem ze sebe strhla šaty a s opovržením je odhodila."
"flung","fling","odhodila","odhodit","pf"," With what seemed a single movement she tore off her clothes and flung them disdainfully aside."," Jakoby jediným pohybem ze sebe strhla šaty a s opovržením je odhodila."
