"called","call","zavolal","zavolat","pf"," When he had gone, the Inspector of Infantry called over Colonel Chernyak, a tall, well-built officer with a foppishly twirled moustache."," Inspektor pěchoty si zavolal hezkého plukovníka Čerňaka se švihácky nakroucenými kníry."
"Take","take","Vezměte","vzít","pf"," "" Take someone along with you and see that the Commandant 's office and the rear services are in proper shape."," "" Vezměte si někoho s sebou a podívejte se na velitelství a do týlu, aby bylo vše čisté a uklizené!"
"see","see","podívejte","podívat","pf"," "" Take someone along with you and see that the Commandant 's office and the rear services are in proper shape."," "" Vezměte si někoho s sebou a podívejte se na velitelství a do týlu, aby bylo vše čisté a uklizené!"
"walk","walk","chodit","chodit","impf"," "" But how did you manage to walk?"," "" A jak jste mohl chodit?"
"heard","hear","zaslechl","zaslechnout","pf"," When he returned he heard a shriek of terror issuing from the house."," Při návratu do domu zaslechl zoufalý výkřik."
"stirred","stir","nehnuli","hnout","pf"," Neither mother nor father stirred."," Otec ani matka se nehnuli."
"entered","enter","vstoupila","vstoupit","pf"," Ignatieva entered the room at that point."," Do pokoje vstoupila Ignatěvová."
"talking","talk","Mluvil","mluvit","impf"," I 've just been talking to her about joining the Komsomol."," Mluvil jsem s ní o našich ideálech."
"see","see","vidíte","vidět","impf"," She would make a suitable member, but you see, our mother might make difficulties."," Úplně souhlasí, ale vidíte, naše matka je velmi přísná."
"looked","look","pohlédl","pohlédnout","pf"," Then he got up, moved the chair aside carefully with his foot and looked at the bowed head and the face that turned pale in the light of the lamp."," Vstal, opatrně odsunul nohou židli a pohlédl shora na skloněnou hlavu, na pobledlé tváře osvětlené lampou."
"turned","turn","obrátil","obrátit","pf"," When he was finished, Artem turned to his brother."," Když to vše udělal, obrátil se Artem k bratrovi :"
"pay","pay","zaplatit","zaplatit","pf"," You might have to pay with your life for that sort of thing nowadays."," Víš přece, že za to teď můžeš zaplatit životem."
"assigned","assign","přidělen","přidělit","pf"," It was the study circle of young workers which the Party Committee had assigned to Pavel in response to his insistent request for propaganda work."," To se tu scházel kroužek dělnické organisace strany, který byl Korčaginovi přidělen výborem strany po jeho dopisu, v němž žádal, aby byl pověřen agitační prací."
"move","move","hnuly","hnout","pf"," They did not hear the engine whistle and it was only when the train began to move out of the station that they became aware of their surroundings."," Ani nepozorovali pískání lokomotivy, a až když se vagóny pomalu hnuly, ustali v objímání."
"snatched","snatch","zachytí","zachytit","pf"," Several hands snatched him up and drew him inside."," Několik rukou ho zachytí a vtáhlo dovnitř."
"drew","draw","vtáhlo","vtáhnout","pf"," Several hands snatched him up and drew him inside."," Několik rukou ho zachytí a vtáhlo dovnitř."
"wishing","wish","nechtěl","chtít","impf"," Not wishing to alarm his family, Sergei stayed at Ignatieva 's place until he recovered."," Serjoža ležel v pokoji Ignatěvové, neboť nechtěl znepokojit svou rodinu."
"alarm","alarm","znepokojit","znepokojit","pf"," Not wishing to alarm his family, Sergei stayed at Ignatieva 's place until he recovered."," Serjoža ležel v pokoji Ignatěvové, neboť nechtěl znepokojit svou rodinu."
"replied","reply","odvětil","odvětit","pf"," "" No, "" he replied."," "" Ne, "" odvětil Sergej."
"go","go","Pojďme","jít","impf"," "" We 'd better go. """," "" Pojďme! """
"hit","hit","udeří","udeřit","pf"," Sensing that Pavel would hit out at him in another moment, Sukharko rushed forward and pushed him in the chest with both hands."," Sucharko čekal, že ho teď Pavel udeří, proto se vrhl kupředu a oběma rukama uhodil Pávku do prsou."
"hit","hit","uhodil","uhodit","pf"," Sensing that Pavel would hit out at him in another moment, Sukharko rushed forward and pushed him in the chest with both hands."," Sucharko čekal, že ho teď Pavel udeří, proto se vrhl kupředu a oběma rukama uhodil Pávku do prsou."
"waving","wave","zamával","zamávat","pf"," Pavel, standing at the water 's edge, teetered dangerously, but by frantically waving his arms regained his balance and saved himself from falling in."," Ten stál přímo u vody, zamával rukama, nahnul se, ale udržel se a nepadl do ni"
"falling","fall","nepadl","padnout","pf"," Pavel, standing at the water 's edge, teetered dangerously, but by frantically waving his arms regained his balance and saved himself from falling in."," Ten stál přímo u vody, zamával rukama, nahnul se, ale udržel se a nepadl do ni"
"shouted","shout","křičel","křičet","impf"," Klavicek shouted from one of the carriages :"," Hlaviček křičel z vagonu :"
"say","say","říci","říci","pf"," The Czech was about to say something else, but catching sight of the three late-comers he checked himself."," Čech chtěl ještě něco říci, zpozoroval však tři příchozí a umlkl."
