"wanted","want","hledána","hledat","impf"," She 's wanted for questioning about the apparent smothering death of a patient named Ida Mancini."," Je hledána v souvislosti s vyšetřováním smrti pacientky jménem Ida Manciniová, k níž došlo údajně zadušením."
"disappeared","disappear","zmizela","zmizet","pf"," Miss Marshall disappeared last night from a locked ward."," Slečna Marshallová minulou noc zmizela z uzamčeného nemocničního oddělení."
"tell","tell","povídají","povídat","impf"," The staff at St. Anthony 's were humoring her in the delusion, the police tell me, that she was a real doctor."," Personál u svatého Antonína jí trpěl její přelud, že je skutečná lékařka, povídají policisté."
"let","let","Nechali","nechat","pf"," They let her wear an old lab coat."," Nechali ji nosit starý bílý plášť."
"wear","wear","nosit","nosit","impf"," They let her wear an old lab coat."," Nechali ji nosit starý bílý plášť."
"left","leave","nechal","nechat","pf"," Its little puddle left to die in the sunlight."," Pinďourek nechal žalostně zasychat na sluníčku."
"told","tell","Pověděla","povědět","pf"," She told about a famous killer whale who was in a movie and then got moved to a fancy new aquarium, but would n't stop messing its tank."," Pověděla mu o slavné kosatce, co hrála ve filmu a pak ji přestěhovali do přepychového nového akvária, ale pořád nádrž špinila."
"moved","move","přestěhovali","přestěhovat","pf"," She told about a famous killer whale who was in a movie and then got moved to a fancy new aquarium, but would n't stop messing its tank."," Pověděla mu o slavné kosatce, co hrála ve filmu a pak ji přestěhovali do přepychového nového akvária, ale pořád nádrž špinila."
"trying","try","snaží","snažit","impf"," This went on so much, now they were trying to set the whale free."," Došlo to tak daleko, že se teď snaží ji pustit na svobodu."
"said","say","pravila","pravit","pf"," "" Masturbating your way to freedom, "" the Mommy said."," "" Promasturbovat se ke svobodě, "" pravila mamka."
"loved","love","líbilo","líbit","impf"," "" Michel Foucault would 've loved that. """," "" To by se Michelu Foucaultovi moc líbilo. """
"do","do","neudělal","udělat","pf"," What would Jesus NOT do?"," Co by Ježíš rozhodně neudělal?"
"tell","tell","povídám","povídat","impf"," I tell the fourth-graders that they call it cancer because when the cancer starts growing inside you, when it breaks through your skin, it looks like a big red crab."," Čtvrťákům povídám, že rakovina se tomu říká, protože když ve vás vyroste nádor, a když se prodere skrz kůži ven, vypadá jako velký červený rak."
"tell","tell","říká","říkat","impf"," I tell the fourth-graders that they call it cancer because when the cancer starts growing inside you, when it breaks through your skin, it looks like a big red crab."," Čtvrťákům povídám, že rakovina se tomu říká, protože když ve vás vyroste nádor, a když se prodere skrz kůži ven, vypadá jako velký červený rak."
