"asked","ask","zeptal","zeptat","pf"," "" Well? "" asked Ippolit Matveyevich more severely."," "" No? "" zeptal se Vrabčinský přísněji."
"satisfy","satisfy","uspokojit","uspokojit","pf"," "" Can they really satisfy customers?"," "" Copak může zákazníka uspokojit?"
"inquired","inquire","zeptal","zeptat","pf"," "" May I make out a receipt? "" inquired the record-keeper, adroitly arching himself."," "" Mohu vám napsat stvrzenku? "" zeptal se archivář, mrštně se prohýbaje."
"went","go","Šli","jít","impf"," They went back into the first room."," Šli do prvního pokoje."
"hiding","hide","Schovávali","schovávat","impf"," They were busy hiding their property and sewing up their money in cushions."," Schovávali majetek, zašívali peníze do polštářů."
"thought","think","Mysleli","myslet","impf"," They thought it was a police raid."," Mysleli, že jsou prohlídky."
"sleep","sleep","spí","spát","impf"," All of you sleep in your own beds and wrap yourselves in warm blankets."," A všichni spí v postelích a přikrývají se peřinami."
"call","call","říkají","říkat","impf"," These flowers of the street, or, as the white-collar proletarians call them, ' flowers in asphalt ', deserve a better lot."," Tyto květy ulice, nebo jak říkají proletáři duševní práce, květy na asfaltu zasluhují lepší úděl."
"deserve","deserve","zasluhují","zasluhovat","impf"," These flowers of the street, or, as the white-collar proletarians call them, ' flowers in asphalt ', deserve a better lot."," Tyto květy ulice, nebo jak říkají proletáři duševní práce, květy na asfaltu zasluhují lepší úděl."
"lay","lie","ležel","ležet","impf"," On the window-sill lay a piece of paper containing bits of sausage skin."," Na okně ležel papír se slupkami od salámu."
"looked","look","hleděly","hledět","impf"," Photographs of tomcats, little cats, and female cats looked down from the walls."," Ze zdi hleděly barevné fotografie kocourů, kocourků a kočiček."
"plucked","pluck","vytrhlo","vytrhnout","pf"," She has already plucked Father Theodore from his quiet regional cloister and cast him into some unknown province."," Už vytrhlo otce Fjodora z tichého újezdního zákoutí a smýklo jím do bůhvíjakých končin."
"repairing","repair","spravoval","spravovat","impf"," "" It did n't need repairing."," "" Co bych na něm spravoval!"
"last","last","vydržet","vydržet","pf"," The chair could last another thirty years. """," Takový křeslo může vydržet ještě dobrejch třicet let. """
"fell","fall","upadl","upadnout","pf"," Thereupon Ostap fell into a silent, childlike sleep."," Nato velký kombinátor rázem upadl do klidného dětského spánku."
"crawled","crawl","lezl","lézt","impf"," Ippolit Matveyevich took off his woollen wristlets and his baronial boots, left on his darned Jaegar underwear and crawled under the blanket, sniffling as he went."," Ale Vrabčinský si stáhl vlněné nátepníčky, baronské botky a v zalátaném trikotovém prádle lezl s funěním pod pokrývku."
"felt","feel","Cítil","cítit","impf"," He felt very uncomfortable."," Cítil se tuze nepohodlně."
"buy","buy","nekoupí","koupit","pf"," If you do n't buy it beforehand ... """," Jak si ji člověk nekoupí do zásoby ... """
"found","find","našla","najít","pf"," Mrs. Kuznetsov would have gone on for a long time describing the flour and the high price of it and how she found Claudia Ivanovna lying by the tiled stove completely unconscious, had not a groan from the next room impinged painfully on Ippolit Matveyevich 's ear."," Madame Kovářová by ještě dlouho vykládala o mouce, o drahotě a o tom, jak našla Klaudii Ivanovnu na zemi vedle kachlových kamen jako mrtvou, když tu se sluchu Hypolita Vrabčinského bolestně dotklo zasténání vycházející ze sousedního pokoje."
"lay","lie","ležela","ležet","impf"," Claudia Ivanovna lay on her back with one arm under her head."," Klaudie Ivanovna ležela naznak, ruku pod hlavou."
"hurt","hurt","nebolelo","bolet","impf"," And carefully, so that it would not hurt, the priest began beating his head against the gravel."," A opatrně, aby ho to nebolelo, tloukl otec Fjodor hlavou do písku."
"beating","beat","tloukl","tlouci","impf"," And carefully, so that it would not hurt, the priest began beating his head against the gravel."," A opatrně, aby ho to nebolelo, tloukl otec Fjodor hlavou do písku."
"implore","implore","prosím","prosit","impf"," I implore you. """," No, pěkně prosím! """
