"try","try","snaží","snažit","impf"," All you do is try to help, and people would think you ’ d murdered someone or something. ’"," Jeden se vždycky snaží pomoct, a lidi si nakonec myslí, že jsme někoho zamordovali nebo co. """
"help","help","pomoct","pomoci","pf"," All you do is try to help, and people would think you ’ d murdered someone or something. ’"," Jeden se vždycky snaží pomoct, a lidi si nakonec myslí, že jsme někoho zamordovali nebo co. """
"think","think","myslí","myslet","impf"," All you do is try to help, and people would think you ’ d murdered someone or something. ’"," Jeden se vždycky snaží pomoct, a lidi si nakonec myslí, že jsme někoho zamordovali nebo co. """
"saying","say","říkat","říkat","impf"," In the infernal pantheon, which it goes without saying Shadwell hated uniformly and correctly, Shadwell reserved a special loathing for speed demons."," V pekelném Panteonu, který - což není jistě třeba říkat - Shadwell pevně a neochvějné nenáviděl, bylo zvlášť odporné místo vyhrazeno démonům rychlosti."
"hated","hate","nenáviděl","nenávidět","impf"," In the infernal pantheon, which it goes without saying Shadwell hated uniformly and correctly, Shadwell reserved a special loathing for speed demons."," V pekelném Panteonu, který - což není jistě třeba říkat - Shadwell pevně a neochvějné nenáviděl, bylo zvlášť odporné místo vyhrazeno démonům rychlosti."
"get","get","dostaneme","dostat","pf"," ‘ In which case, ’ said Aziraphale, ‘ we will get to Tadfield in something less than five hours. ’"," "" V tom případě, "" pokračoval Azirafal, "" se do Tadfieldu dostaneme zhruba za šest až sedm hodin. """
"said","say","říkal","říkat","impf"," ‘ You know, Crowley, ’ he said, beaming, ‘ I ’ ve always said that, deep down inside, you ’ re really quite a- ’"," "" Víš, Crowley, "" začal s rozzářeným obličejem, "" já vždycky říkal, že ty jsi tam hluboko uvnitř ten úplně - """
"said","say","říkal","říkat","impf"," ‘ You know, Crowley, ’ he said, beaming, ‘ I ’ ve always said that, deep down inside, you ’ re really quite a- ’"," "" Víš, Crowley, "" začal s rozzářeným obličejem, "" já vždycky říkal, že ty jsi tam hluboko uvnitř ten úplně - """
"began","begin","začala","začít","pf"," After a while, loose alliances began to emerge."," Po nějaké chvíli se začala vytvářet volná společenstva."
"found","find","zjistila","zjistit","pf"," Most of the financial departments found they had interests in common, settled their differences, and ganged up on Forward Planning."," Větší část členů finančního odboru zjistila, že má společné zájmy, ihned operativně vyřešili drobné nesrovnalosti a spojili se proti oddělení perspektivního plánování."
"settled","settle","vyřešili","vyřešit","pf"," Most of the financial departments found they had interests in common, settled their differences, and ganged up on Forward Planning."," Větší část členů finančního odboru zjistila, že má společné zájmy, ihned operativně vyřešili drobné nesrovnalosti a spojili se proti oddělení perspektivního plánování."
"said","say","prohlásil","prohlásit","pf"," ‘ That was a pretty low trick, ’ said Aziraphale, as they strolled along the empty corridors."," "" To byl pěkně odporný trik, "" prohlásil Azirafal, když procházeli prázdnými chodbami."
"strolled","stroll","procházeli","procházet","impf"," ‘ That was a pretty low trick, ’ said Aziraphale, as they strolled along the empty corridors."," "" To byl pěkně odporný trik, "" prohlásil Azirafal, když procházeli prázdnými chodbami."
"do","do","dělat","dělat","impf"," ‘ What ’ d I do?"," "" A co jsem mohl dělat?"
"shooting","shoot","střílejí","střílet","impf"," ‘ There are people out there shooting one another! ’"," "" Ale tam venku jsou lidé, kteří po sobě střílejí! """
"said","say","odpověděl","odpovědět","pf"," ‘ He ’ s been up here too long, ’ he said."," "" Je tady už příliš dlouho, "" odpověděl."
"say","say","říci","říci","pf"," Like most demons, he had a very limited grasp of technology, and so he was just about to say something like, I bet it needs a lot of wire, when the Bentley rolled to a halt at the cemetery gate."," Jako většina démonů měl velmi omezenou představu o moderních technologiích a právě se chystal říci něco jako "" to musí potřebovat strašlivě dlouhý drát "", když bentley zastavil před hřbitovní branou."
"needs","need","musí","muset","impf"," Like most demons, he had a very limited grasp of technology, and so he was just about to say something like, I bet it needs a lot of wire, when the Bentley rolled to a halt at the cemetery gate."," Jako většina démonů měl velmi omezenou představu o moderních technologiích a právě se chystal říci něco jako "" to musí potřebovat strašlivě dlouhý drát "", když bentley zastavil před hřbitovní branou."
"needs","need","potřebovat","potřebovat","impf"," Like most demons, he had a very limited grasp of technology, and so he was just about to say something like, I bet it needs a lot of wire, when the Bentley rolled to a halt at the cemetery gate."," Jako většina démonů měl velmi omezenou představu o moderních technologiích a právě se chystal říci něco jako "" to musí potřebovat strašlivě dlouhý drát "", když bentley zastavil před hřbitovní branou."
"protest","protest","protestoval","protestovat","impf"," Now, as Crowley would be the first to protest, most demons weren ’ t deep down evil."," Nemůžeme říci - a Crowley by byl první, kdo by proti takovému tvrzení protestoval -, že všichni démoni jsou zlem prolezlí až do morku kostí."
"doing","do","dělají","dělat","impf"," In the great cosmic game they felt they occupied the same position as tax inspectors - doing an unpopular job, maybe, but essential to the overall operation of the whole thing."," Žijí spíše s pocitem, že v tom velkém vesmírném kšeftu hrají roli jakýchsi daňových inspektorů - dělají velmi neoblíbené zaměstnání, možná, ale zaměstnání naprosto nezbytné pro chod celé věci."
"said","say","řekl","říci","pf"," ‘ You know, I ’ d never have thought of that, ’ he said."," "" A to se podívej, něco takového mě ani nenapadlo, "" řekl."
"said","say","řekl","říci","pf"," ‘ It ’ s not too bad, ’ said Crowley, ‘ when you get used to it. ’"," "" Ono to ani není tak hrozné, když si na tu myšlenku člověk zvykne, "" řekl Crowley."
"selling","sell","prodávala","prodávat","impf"," At that time she was selling arms, although it was beginning to lose its savour."," V té době prodávala zbraně, i když už to začínalo ztrácet půvab."
"beginning","begin","začínalo","začínat","impf"," At that time she was selling arms, although it was beginning to lose its savour."," V té době prodávala zbraně, i když už to začínalo ztrácet půvab."
"lose","lose","ztrácet","ztrácet","impf"," At that time she was selling arms, although it was beginning to lose its savour."," V té době prodávala zbraně, i když už to začínalo ztrácet půvab."
"said","say","řekl","říci","pf"," To the airbase, ’ said Brian."," "" Na leteckou základnu, "" řekl Brian."
"said","say","řekl","říci","pf"," ‘ If that ’ s all right with you, ’ said Adam, with what he hoped was bitter and scathing sarcasm."," "" Tedy jestli vám to nevadí, "" řekl Adam s přízvukem, o kterém doufal, že vyjadřuje sžíravý sarkasmus."
"hoped","hope","doufal","doufat","impf"," ‘ If that ’ s all right with you, ’ said Adam, with what he hoped was bitter and scathing sarcasm."," "" Tedy jestli vám to nevadí, "" řekl Adam s přízvukem, o kterém doufal, že vyjadřuje sžíravý sarkasmus."
"mean","mean","Chtěl","chtít","impf"," ‘ I mean, we wun ’ t want to go there if it wasn ’ t all right with you. ’"," "" Chtěl jsem tím říct, že bychom tam samozřejmě nejeli, kdyby se vám to nelíbilo. """
"want","want","Chtěl","chtít","impf"," ‘ I mean, we wun ’ t want to go there if it wasn ’ t all right with you. ’"," "" Chtěl jsem tím říct, že bychom tam samozřejmě nejeli, kdyby se vám to nelíbilo. """
"go","go","nejeli","jet","impf"," ‘ I mean, we wun ’ t want to go there if it wasn ’ t all right with you. ’"," "" Chtěl jsem tím říct, že bychom tam samozřejmě nejeli, kdyby se vám to nelíbilo. """
