"hear","hear","zaslechl","zaslechnout","pf"," He could hear, a long way off, the sound of approaching feet and arguing voices."," Kdesi v dálce zaslechl zvuk přibližujících se kroků a rozhádaných hlasů."
"prepared","prepare","připraven","připravit","pf"," But he had been prepared for that, too."," Ale i na to byl připraven."
"like","like","Chtěl","chtít","impf"," ‘ Would you like another banana? ’ he said."," "" Chtěl byste ještě jeden banán? """
"given","give","dal","dát","pf"," If men were meant to walk twenty-one miles at a step I am sure God would have given us longer legs ..."," Kdyby člověk opravdu potřeboval ujít sedm mil jedním krokem, jistě by nám dal Stvořitel delší nohy ..."
"said","say","odpověděl","odpovědět","pf"," ‘ I am not sure, ’ said Trymon coldly."," "" Nevím, mistře, "" odpověděl Trémon odměřeně."
"disciplined","discipline","potrestán","potrestat","pf"," ‘ The librarian will be disciplined, of course. ’"," "" Za to by měl být knihovník samozřejmě potrestán. """
"looked","look","podíval","podívat","pf"," Galder looked sideways at him."," Galder se na něj úkosem podíval."
"remember","remember","nepamatuju","pamatovat","impf"," I ca n't remember any other spells, they 're too frightened to stay in the same head as you! ’"," Jenže takhle si žádná jiná zaklínadla nepamatuju, protože mají strach zůstat s vámi v jedné hlavě! """
"stay","stay","zůstat","zůstat","pf"," I ca n't remember any other spells, they 're too frightened to stay in the same head as you! ’"," Jenže takhle si žádná jiná zaklínadla nepamatuju, protože mají strach zůstat s vámi v jedné hlavě! """
"want","want","chci","chtít","impf"," ‘ I just want to go home!"," "" Já chci domů, rozumíte?"
"do","do","nejde","jít","impf"," I mean, I do n't mind about the magic, I 'm probably not, you know, the right sort of material for a wizard, I just want to go home! — ’"," Já - mně ani tak nejde o to, že jsem se nenaučil čarovat, asi na to nejsem ten pravý, ale chci prostě domů! """
"go","go","nejde","jít","impf"," I mean, I do n't mind about the magic, I 'm probably not, you know, the right sort of material for a wizard, I just want to go home! — ’"," Já - mně ani tak nejde o to, že jsem se nenaučil čarovat, asi na to nejsem ten pravý, ale chci prostě domů! """
"mean","mean","chci","chtít","impf"," I mean, I do n't mind about the magic, I 'm probably not, you know, the right sort of material for a wizard, I just want to go home! — ’"," Já - mně ani tak nejde o to, že jsem se nenaučil čarovat, asi na to nejsem ten pravý, ale chci prostě domů! """
"want","want","chci","chtít","impf"," I mean, I do n't mind about the magic, I 'm probably not, you know, the right sort of material for a wizard, I just want to go home! — ’"," Já - mně ani tak nejde o to, že jsem se nenaučil čarovat, asi na to nejsem ten pravý, ale chci prostě domů! """
"jumped","jump","vyskočila","vyskočit","pf"," With great presence of mind she ran to the edge of Old Grandad 's bottom lip and jumped, rolling as she hit the earth."," S velkou duchapřítomností se rozběhla k Pradědovu dolnímu rtu, vyskočila ven, dopadla na zem a několikrát se překulila."
"followed","follow","následovali","následovat","impf"," The men followed her, cursing as they landed among the debris."," Muži ji následovali a s kletbami padali do kamenné suti a trnitých křovin."
"trying","try","pokusil","pokusit","pf"," Like a fat man trying to do press-ups the old troll pushed himself upwards."," Starý trol vstával jako tlusťoch, který se pokusil udělat dřep a teď se snaží vztyčit."
"do","do","udělat","udělat","pf"," Like a fat man trying to do press-ups the old troll pushed himself upwards."," Starý trol vstával jako tlusťoch, který se pokusil udělat dřep a teď se snaží vztyčit."
"trying","try","snaží","snažit","impf"," Like a fat man trying to do press-ups the old troll pushed himself upwards."," Starý trol vstával jako tlusťoch, který se pokusil udělat dřep a teď se snaží vztyčit."
"pushed","push","snaží","snažit","impf"," Like a fat man trying to do press-ups the old troll pushed himself upwards."," Starý trol vstával jako tlusťoch, který se pokusil udělat dřep a teď se snaží vztyčit."
"lying","lie","leželi","ležet","impf"," This was n't apparent from where the prisoners were lying."," To všechno samozřejmě nebylo z místa, kde leželi zajatci, vidět."
"grabbed","grab","chytil","chytit","pf"," Weems grabbed Gancia 's arm."," Weems chytil Ganciu za ruku."
"see","see","neviděl","vidět","impf"," Rincewind could n't see all this, of course, since his own eyes were daylight issue only, but he did see the whole dark landscape shake itself slowly and then begin to rise impossibly against the stars."," To všechno Mrakoplaš, jehož oči byly zvyklé na denní světlo, neviděl, ale viděl, jak se černý obrys pahorku pomalu otřásl a začal se zvedat."
"see","see","neviděl","vidět","impf"," Rincewind could n't see all this, of course, since his own eyes were daylight issue only, but he did see the whole dark landscape shake itself slowly and then begin to rise impossibly against the stars."," To všechno Mrakoplaš, jehož oči byly zvyklé na denní světlo, neviděl, ale viděl, jak se černý obrys pahorku pomalu otřásl a začal se zvedat."
"see","see","viděl","vidět","impf"," Rincewind could n't see all this, of course, since his own eyes were daylight issue only, but he did see the whole dark landscape shake itself slowly and then begin to rise impossibly against the stars."," To všechno Mrakoplaš, jehož oči byly zvyklé na denní světlo, neviděl, ale viděl, jak se černý obrys pahorku pomalu otřásl a začal se zvedat."
"see","see","viděl","vidět","impf"," Rincewind could n't see all this, of course, since his own eyes were daylight issue only, but he did see the whole dark landscape shake itself slowly and then begin to rise impossibly against the stars."," To všechno Mrakoplaš, jehož oči byly zvyklé na denní světlo, neviděl, ale viděl, jak se černý obrys pahorku pomalu otřásl a začal se zvedat."
"shake","shake","otřásl","otřást","pf"," Rincewind could n't see all this, of course, since his own eyes were daylight issue only, but he did see the whole dark landscape shake itself slowly and then begin to rise impossibly against the stars."," To všechno Mrakoplaš, jehož oči byly zvyklé na denní světlo, neviděl, ale viděl, jak se černý obrys pahorku pomalu otřásl a začal se zvedat."
"begin","begin","začal","začít","pf"," Rincewind could n't see all this, of course, since his own eyes were daylight issue only, but he did see the whole dark landscape shake itself slowly and then begin to rise impossibly against the stars."," To všechno Mrakoplaš, jehož oči byly zvyklé na denní světlo, neviděl, ale viděl, jak se černý obrys pahorku pomalu otřásl a začal se zvedat."
"rise","rise","zvedat","zvedat","impf"," Rincewind could n't see all this, of course, since his own eyes were daylight issue only, but he did see the whole dark landscape shake itself slowly and then begin to rise impossibly against the stars."," To všechno Mrakoplaš, jehož oči byly zvyklé na denní světlo, neviděl, ale viděl, jak se černý obrys pahorku pomalu otřásl a začal se zvedat."
"rose","rise","vstalo","vstát","pf"," The sun rose."," Slunce už vstalo."
"Thank","thank","Děkuji","děkovat","impf"," ‘ Thank you, ’ said Twoflower."," "" Děkuji vám, "" kývl na něj Dvoukvítek."
"think","think","Mám","mít","impf"," ‘ I think my back'sh gone again, ’ complained Cohen, as Bethan helped him to his feet."," "" Mám počit, že mě už žaše vžaly žáda, "" stěžoval si Cohen, když mu Bethan pomáhala na nohy."
"complained","complain","stěžoval","stěžovat","impf"," ‘ I think my back'sh gone again, ’ complained Cohen, as Bethan helped him to his feet."," "" Mám počit, že mě už žaše vžaly žáda, "" stěžoval si Cohen, když mu Bethan pomáhala na nohy."
"helped","help","pomáhala","pomáhat","impf"," ‘ I think my back'sh gone again, ’ complained Cohen, as Bethan helped him to his feet."," "" Mám počit, že mě už žaše vžaly žáda, "" stěžoval si Cohen, když mu Bethan pomáhala na nohy."
"do","do","uděláme","udělat","pf"," ‘ What do we do with this man? ’ said Bethan."," "" A co uděláme s tím mužem? "" zeptala se Bethan."
"do","do","uděláme","udělat","pf"," ‘ What do we do with this man? ’ said Bethan."," "" A co uděláme s tím mužem? "" zeptala se Bethan."
"tell","tell","řekneme","říci","pf"," ‘ We take hish knife and tell him to bugger off, ’ said Cohen."," "" Šebereme mu nůž a řekneme mu, aby vodprejšknul, "" zamračil se Cohen."
"said","say","řekneme","říci","pf"," ‘ We take hish knife and tell him to bugger off, ’ said Cohen."," "" Šebereme mu nůž a řekneme mu, aby vodprejšknul, "" zamračil se Cohen."
"Thank","thank","Děkuju","děkovat","impf"," Thank you, sir! ’ said Weems, and bolted towards the cavemouth."," Děkuju vám, pane! "" vypravil ze sebe Weems a vrhl se k ústí jeskyně."
"leave","leave","nechte","nechat","pf"," But leave the axe behind. ’"," Ale tu sekeru nechte raději doma. """
"opened","open","otevřel","otevřít","pf"," When Cohen opened his mouth little pinpoints of bright light illuminated all the shadows."," Když Cohen otevřel ústa, objevila se ve všech okolních stínech veselá prasátka."
"want","want","chceš","chtít","impf"," ‘ What do you want, grandad? ’ he snarled."," "" Co chceš, dědku? """
"smiled","smile","usmál","usmát","pf"," Cohen paused until he had the man 's full attention, and then he smiled."," Cohen mlčel, dokud se k němu muž úplně neotočil, a pak se usmál."
"unveiling","unveil","odhalil","odhalit","pf"," It was a slow, lazy smile, unveiling about 300 carats of mouth jewellery that seemed to light up the room."," Byl to takový pomalý, líný úsměv, který odhalil asi tři sta karátů z pokladu, který měl Cohen v ústech, a v místnosti se rozsvětlilo."
"said","say","prohlásil","prohlásit","pf"," ‘ I will count to three, ’ he said, in a friendly tone of voice."," "" Teď napočítám do tří, "" prohlásil přátelským tónem."
"slept","sleep","spalo","spát","impf"," Approximately sixty-seven, maybe sixty-eight, per cent of the city slept."," Takže město spalo zhruba z šedesáti sedmi, možná šedesáti osmi procent."
"formed","form","tvořila","tvořit","impf"," Ice formed on the walls."," Na zdech se tvořila námraza."
"tried","try","pokoušel","pokoušet","impf"," He looked blankly at the book while Twoflower bustled around unheeded and Cohen tried in vain to lever the rings off the stone wizards."," Nepřítomně zíral do Oktáva, zatímco Dvoukvítek nadšeně zkoumal ochoz věže a Cohen se pokoušel stáhnout kamenným mágům z rukou prsteny."
"do","do","udělat","udělat","pf"," He had to do something, he reminded himself."," Mrakoplaš si uvědomil, že měl ještě něco udělat."
"turned","turn","Obrátil","obrátit","pf"," He turned over the page."," Obrátil další stranu."
"caused","cause","Způsobil","způsobit","pf"," ‘ You 've caused us a lot of trouble, young Rincewind, ’ the voice went on."," "" Způsobil jsi nám hodně starostí, mladý Mrakoplaši, "" pokračoval hlas."
"went","go","pokračoval","pokračovat","impf"," ‘ You 've caused us a lot of trouble, young Rincewind, ’ the voice went on."," "" Způsobil jsi nám hodně starostí, mladý Mrakoplaši, "" pokračoval hlas."
"said","say","odpověděl","odpovědět","pf"," ‘ I often do n't know where my Luggage is, that 's what being a tourist is all about, ’ said Twoflower."," "" Jedním ze základních znaků turisty je, že často neví, kde má zavazadla, "" odpověděl jí Dvoukvítek."
"wanders","wander","prochází","procházet","impf"," ‘ Anyway, it often wanders off by itself."," "" Často se prochází samo."
