"say","say","říci","říci","pf"," Before beginning to relate those strange events to which I was witness, I must say a few words about the state of affairs in the district of Orenburg about the end of the year 1773."," Prve než přistoupím k popisu podivných událostí, jichž jsem byl svědkem, musím říci několik slov o situaci, v níž byla Orenburská gubernie na konci roku 1773."
"acknowledged","acknowledge","uznaly","uznat","pf"," This rich and large province was peopled by a crowd of half-savage tribes, who had lately acknowledged the sovereignty of the Russian Tzars."," Tato rozlehlá a bohatá gubernie byla obývána množstvím polodivokých národů, které teprve nedávno uznaly vládu ruských panovníků."
"keep","keep","udržovala","udržovat","impf"," Their perpetual revolts, their impatience of all rule and civilized life, their treachery and cruelty, obliged the authorities to keep a sharp watch upon them in order to reduce them to submission."," Jejich časté vzpoury, nezvyklost zákonům a klidnému životu, lehkomyslnost a krutost vyžadovaly, aby vláda na ně neustále dohlížela a udržovala je tak v poslušnosti."
"read","read","četl","číst","impf"," I unfolded it and read as follows : -"," Otevřel jsem jej a četl tyto řádky :"
"lost","lose","prohrál","prohrát","pf"," "" Oblige me by sending by bearer the hundred roubles you lost to me yesterday."," pošli mi, prosím, po tom hochovi sto rublů, které jsi včera se mnou prohrál."
"want","want","Potřebuji","potřebovat","impf"," I want money dreadfully."," Potřebuji nutně peníze."
"gave","give","dodávaly","dodávat","impf"," A thick red beard, piercing grey eyes, a nose without nostrils, and marks of the hot iron on his forehead and on his cheeks, gave to his broad face, seamed with small-pox, a strange and indefinable expression."," Hustá zrzavá brada, šedé blýskající oči, nos bez nozder a rudé skvrny na čele a tvářích dodávaly jeho podobanému širokému obličeji nepopsatelného výrazu."
"wore","wear","Měl","mít","impf"," He wore a red shirt, a Kirghiz dress, and wide Cossack trousers."," Měl na sobě rudou košili, kirgizskou halenu a široké kozácké kalhoty."
"learnt","learn","dověděl","dovědět","pf"," The first, as I afterwards learnt, was the deserter, Corporal Beloborodoff."," První ( jak jsem se potom dověděl ) byl dezertér kaprál Běloborodov;"
"escaped","escape","uprchl","uprchnout","pf"," The other, Athanasius Sokoloff, nicknamed Khlopusha, was a criminal condemned to the mines of Siberia, whence he had escaped three times."," druhý Afanasij Sokolov ( zvaný Bouchačka ), deportovaný zločinec, který třikrát uprchl ze sibiřských dolů."
"ask","ask","zeptat","zeptat","pf"," "" Might I presume to ask you, "" said he to me, "" in what regiment you have deigned to serve? """," "" Smím se zeptat, "" řekl, "" v jakém pluku jste ráčil sloužit? """
"said","say","řekl","říci","pf"," "" Might I presume to ask you, "" said he to me, "" in what regiment you have deigned to serve? """," "" Smím se zeptat, "" řekl, "" v jakém pluku jste ráčil sloužit? """
"deigned","deign","ráčil","ráčit","impf"," "" Might I presume to ask you, "" said he to me, "" in what regiment you have deigned to serve? """," "" Smím se zeptat, "" řekl, "" v jakém pluku jste ráčil sloužit? """
"serve","serve","sloužit","sloužit","impf"," "" Might I presume to ask you, "" said he to me, "" in what regiment you have deigned to serve? """," "" Smím se zeptat, "" řekl, "" v jakém pluku jste ráčil sloužit? """
"satisfied","satisfy","Uspokojil","uspokojit","pf"," I satisfied his curiosity."," Uspokojil jsem jeho zvědavost."
"ask","ask","zeptat","zeptat","pf"," "" And might I ask you, "" continued he, "" why you have condescended to exchange from the Guard into our garrison? """," "" A smím se zeptat, "" pokračoval, "" proč jste ráčil přejít z gardy do armády, do garnizónní služby? """
"continued","continue","pokračoval","pokračovat","impf"," "" And might I ask you, "" continued he, "" why you have condescended to exchange from the Guard into our garrison? """," "" A smím se zeptat, "" pokračoval, "" proč jste ráčil přejít z gardy do armády, do garnizónní služby? """
"condescended","condescend","ráčil","ráčit","impf"," "" And might I ask you, "" continued he, "" why you have condescended to exchange from the Guard into our garrison? """," "" A smím se zeptat, "" pokračoval, "" proč jste ráčil přejít z gardy do armády, do garnizónní služby? """
"replied","reply","Odpověděl","odpovědět","pf"," I replied that it was by order of the authorities."," Odpověděl jsem, že to byla vůle velitelství."
