"write","write","sepsat","sepsat","pf"," You may wonder why I should write a genealogy."," Možná se ptáte, proč jsem se rozhodla sepsat svůj rodokmen."
"believe","believe","věřit","věřit","impf"," Once government has had a monopoly of a creative activity such, for instance, as the delivery of the mails, most individuals will believe that the mails could not be efficiently delivered by men acting freely."," Jakmile vláda získá monopol na tvůrčí činnosti, jako je například doručování zásilek, většina jednotlivců začne věřit, že zásilky by nemohly být efektivně doručeny svobodně jednajícími lidmi."
"delivered","deliver","doručeny","doručit","pf"," Once government has had a monopoly of a creative activity such, for instance, as the delivery of the mails, most individuals will believe that the mails could not be efficiently delivered by men acting freely."," Jakmile vláda získá monopol na tvůrčí činnosti, jako je například doručování zásilek, většina jednotlivců začne věřit, že zásilky by nemohly být efektivně doručeny svobodně jednajícími lidmi."
"mine","mine","těží","těžit","impf"," Think of all the persons who mine zinc and copper and those who have the skills to make shiny sheet brass from these products of nature."," Představte si lidi, kteří těží zinek a měď, a lidi, kteří dokáží z těchto přírodních materiálů vyrábět tenké lesklé mosazné plíšky."
"make","make","vyrábět","vyrábět","impf"," Think of all the persons who mine zinc and copper and those who have the skills to make shiny sheet brass from these products of nature."," Představte si lidi, kteří těží zinek a měď, a lidi, kteří dokáží z těchto přírodních materiálů vyrábět tenké lesklé mosazné plíšky."
"applied","apply","nanáší","nanášet","impf"," What is black nickel and how is it applied?"," Co je to černý nikl a jakpak se asi nanáší na moji korunku?"
"comes","come","pochází","pocházet","impf"," The pumice comes from Italy; and the pigment which gives “ the plug ” its color is cadmium sulfide."," Pemza pochází z Itálie a barvivo, které dává "" gumě "" její barvu je sulfid kadmia."
"gives","give","dává","dávat","impf"," The pumice comes from Italy; and the pigment which gives “ the plug ” its color is cadmium sulfide."," Pemza pochází z Itálie a barvivo, které dává "" gumě "" její barvu je sulfid kadmia."
"wish","wish","Chce","chtít","impf"," Does anyone wish to challenge my earlier assertion that no single person on the face of this earth knows how to make me?"," Chce snad někdo z Vás ještě odporovat mému předchozímu tvrzení, že žádný jednotlivec na této planetě by mě bez cizí pomoci nedokázal vyrobit?"
"make","make","vyrobit","vyrobit","pf"," Does anyone wish to challenge my earlier assertion that no single person on the face of this earth knows how to make me?"," Chce snad někdo z Vás ještě odporovat mému předchozímu tvrzení, že žádný jednotlivec na této planetě by mě bez cizí pomoci nedokázal vyrobit?"
"imagine","imagine","představit","představit","pf"," Can you imagine the individuals who make flat cars and rails and railroad engines and who construct and install the communication systems incidental thereto?"," Dokážete si představit všechny lidi, kteří vyrábějí koleje, vagóny, lokomotivy a motory pro lokomotivy, kteří stavějí železnice a kteří navrhují a instalují komunikační systémy nezbytné k fungování železnice?"
"make","make","vyrábějí","vyrábět","impf"," Can you imagine the individuals who make flat cars and rails and railroad engines and who construct and install the communication systems incidental thereto?"," Dokážete si představit všechny lidi, kteří vyrábějí koleje, vagóny, lokomotivy a motory pro lokomotivy, kteří stavějí železnice a kteří navrhují a instalují komunikační systémy nezbytné k fungování železnice?"
"construct","construct","vyrábějí","vyrábět","impf"," Can you imagine the individuals who make flat cars and rails and railroad engines and who construct and install the communication systems incidental thereto?"," Dokážete si představit všechny lidi, kteří vyrábějí koleje, vagóny, lokomotivy a motory pro lokomotivy, kteří stavějí železnice a kteří navrhují a instalují komunikační systémy nezbytné k fungování železnice?"
"accomplish","accomplish","vykonat","vykonat","pf"," If I, Pencil, were the only item that could offer testimony on what men and women can accomplish when free to try, then those with little faith would have a fair case."," Kdybych já, tužka, byla jediným svědectvím toho, co dokáží vykonat svobodní lidé, potom by celá věc byla snadná pro ty, kteří jen málo věří v lidskou svobodu."
"sounds","sound","zní","znít","impf"," This sounds fantastic, doesn ’ t it?"," To zní fantasticky, nebo snad ne?"
"realized","realize","uvědomíte","uvědomit","pf"," Especially when it is realized that there are about one and one-half billion of my kind produced in the U.S.A. each year."," Zvlášť když si uvědomíte, že takových tužek, jako jsem já, se jenom ve Spojených státech vyrobí ročně asi jedna a půl miliardy."
"produced","produce","vyrobí","vyrobit","pf"," Especially when it is realized that there are about one and one-half billion of my kind produced in the U.S.A. each year."," Zvlášť když si uvědomíte, že takových tužek, jako jsem já, se jenom ve Spojených státech vyrobí ročně asi jedna a půl miliardy."
"Pick","pick","Vezměte","vzít","pf"," Pick me up and look me over."," Vezměte mne do ruky a prohlédněte si mne."
"look","look","prohlédněte","prohlédnout","pf"," Pick me up and look me over."," Vezměte mne do ruky a prohlédněte si mne."
"see","see","vidíte","vidět","impf"," What do you see?"," Co vidíte?"
"name","name","vyjmenovat","vyjmenovat","pf"," Just as you cannot trace your family tree back very far, so is it impossible for me to name and explain all my antecedents."," Stejně tak, jako vy nedokážete vyjmenovat všechny své předky, ani já nedovedu vyjmenovat ty své."
"name","name","vyjmenovat","vyjmenovat","pf"," Just as you cannot trace your family tree back very far, so is it impossible for me to name and explain all my antecedents."," Stejně tak, jako vy nedokážete vyjmenovat všechny své předky, ani já nedovedu vyjmenovat ty své."
"like","like","chtěla","chtít","impf"," But I would like to suggest enough of them to impress upon you the richness and complexity of my background."," Ale chtěla bych Vám jich vyjmenovat tolik, abyste si uvědomili bohatost a složitost mého rodinného původu."
"begins","begin","začíná","začínat","impf"," My family tree begins with what in fact is a tree, a cedar of straight grain that grows in Northern California and Oregon."," Můj rodokmen začíná skutečným kmenem, a to kmenem cedru, které rostou v severní Kalifornii a ve státě Oregon."
