"affecting","affect","ovlivňují","ovlivňovat","impf"," It is entirely possible that the most important genes affecting intelligence are actually non-varying, in which case there would be no heritability for differences caused by those genes, because there would be no such differences."," Je naprosto možné, že ty nejdůležitější geny, které ovlivňují inteligenci, nejsou ve skutečnosti variabilní, a v takovém případě by rozdíly způsobené těmito geny nebyly děditelné, protože by žádné takové rozdíly neexistovaly."
"inherited","inherit","zdědil","zdědit","pf"," The reason is that I inherited a genetic recipe that specified five fingers."," Důvod je ten, že jsem zdědil genetický předpis, který udával pět prstů."
"marks","mark","označuje","označovat","impf"," Is it thinking speed, reasoning ability, memory, vocabulary, mental arithmetic, mental energy or simply the appetite of somebody for intellectual pursuits that marks them out as intelligent?"," Je to rychlost myšlení, schopnost usuzování, paměť, slovní zásoba, počítání zpaměti, duševní energie, nebo jen chuť člověka do intelektových aktivit, co člověka označuje jakožto inteligentního?"
"believe","believe","Domnívám","domnívat","impf"," I believe we are in danger of being too squeamish and too cautious in using knowledge about the genes that influence both diseases, and we therefore stand at risk of committing the moral error of denying people access to life-saving research."," Domnívám se, že jsme při využívání poznatků o genech, které obě nemoci ovlivňují, příliš skrupulózní a příliš opatrní, a tudíž riskujeme, že se dopouštíme mravního prohřešku a odpíráme lidem přístup k životodárnému výzkumu."
"influence","influence","ovlivňují","ovlivňovat","impf"," I believe we are in danger of being too squeamish and too cautious in using knowledge about the genes that influence both diseases, and we therefore stand at risk of committing the moral error of denying people access to life-saving research."," Domnívám se, že jsme při využívání poznatků o genech, které obě nemoci ovlivňují, příliš skrupulózní a příliš opatrní, a tudíž riskujeme, že se dopouštíme mravního prohřešku a odpíráme lidem přístup k životodárnému výzkumu."
"recognise","recognise","pozná","poznat","pf"," Most people immediately recognise that the first is grammatical and the second is not."," Většina lidí okamžitě pozná, že první věta je gramaticky správně, zatímco druhá není."
"think","think","myslí","myslet","impf"," SLI people think they are both acceptable statements."," Lidé se SLI si myslí, že oba výroky jsou přijatelné."
"dropped","drop","odhodily","odhodit","pf"," Having dropped the RNAs, bacteria found their new streamlined cellular machinery made them good at competing in niches where speed of reproduction was an advantage - such as parasitic and scavenging niches."," Když tyto bakterie odhodily RNA, zjistily, že jejich nový zeštíhlený buněčný aparát je zvýhodňuje v konkurenci na nikách, kde byla ku prospěchu rychlost rozmnožování - jako například na parazitických a saprofagických nikách."
"found","find","zjistily","zjistit","pf"," Having dropped the RNAs, bacteria found their new streamlined cellular machinery made them good at competing in niches where speed of reproduction was an advantage - such as parasitic and scavenging niches."," Když tyto bakterie odhodily RNA, zjistily, že jejich nový zeštíhlený buněčný aparát je zvýhodňuje v konkurenci na nikách, kde byla ku prospěchu rychlost rozmnožování - jako například na parazitických a saprofagických nikách."
"retained","retain","uchovali","uchovat","pf"," We retained those old RNAs, relics of machines long superseded, but never entirely thrown away."," My jsme si tuto starou RNA uchovali jako pozůstatky dávno nahrazeného stroje, který však nikdy nebyl odstraněn úplně."
"does","do","Dělá","dělat","impf"," So does the unfaithful partner when justifying the infidelity."," Dělá to nevěrný partner, když zdůvodňuje svou nevěru."
"does","do","Dělá","dělat","impf"," So does every tycoon who uses the excuse of Alzheimer 's disease when accused of fraud against his shareholders."," Dělá to každý magnát, který, když je obviněn z podvodu proti svým akcionářům, používá jako výmluvu Alzheimerovu chorobu."
"accused","accuse","obviněn","obvinit","pf"," So does every tycoon who uses the excuse of Alzheimer 's disease when accused of fraud against his shareholders."," Dělá to každý magnát, který, když je obviněn z podvodu proti svým akcionářům, používá jako výmluvu Alzheimerovu chorobu."
"uses","use","používá","používat","impf"," So does every tycoon who uses the excuse of Alzheimer 's disease when accused of fraud against his shareholders."," Dělá to každý magnát, který, když je obviněn z podvodu proti svým akcionářům, používá jako výmluvu Alzheimerovu chorobu."
"does","do","Dělá","dělat","impf"," So indeed does a child in the playground who says that his friend made him do it."," Dělá to vlastně i dítě na hřišti, které říká, že ho k tomu donutil kamarád."
"made","make","Dělá","dělat","impf"," So indeed does a child in the playground who says that his friend made him do it."," Dělá to vlastně i dítě na hřišti, které říká, že ho k tomu donutil kamarád."
"do","do","Dělá","dělat","impf"," So indeed does a child in the playground who says that his friend made him do it."," Dělá to vlastně i dítě na hřišti, které říká, že ho k tomu donutil kamarád."
"says","say","říká","říkat","impf"," So indeed does a child in the playground who says that his friend made him do it."," Dělá to vlastně i dítě na hřišti, které říká, že ho k tomu donutil kamarád."
"made","make","donutil","donutit","pf"," So indeed does a child in the playground who says that his friend made him do it."," Dělá to vlastně i dítě na hřišti, které říká, že ho k tomu donutil kamarád."
"does","do","Dělá","dělat","impf"," So does each one of us when we willingly go along with a subtle suggestion from the therapist that we should blame our parents for our present unhappiness."," Dělá to každý z nás, když ochotně vyhovíme jemné sugesci terapeuta, že bychom za své současné neštěstí měli vinit své rodiče."
"go","go","Dělá","dělat","impf"," So does each one of us when we willingly go along with a subtle suggestion from the therapist that we should blame our parents for our present unhappiness."," Dělá to každý z nás, když ochotně vyhovíme jemné sugesci terapeuta, že bychom za své současné neštěstí měli vinit své rodiče."
