"see","see","vidí","vidět","impf"," The companions who met me on my return were well content to see me alive."," Kamarádi, když jsem se s nimi zase shledal, byli velice rádi, že mě vidí živého."
"told","tell","říkal","říkat","impf"," I was sad, but I told them :"," Já jsem byl smutný, ale říkal jsem jim :"
"comforted","comfort","utěšil","utěšit","pf"," Now my sorrow is comforted a little."," Nyní jsem se už trochu utěšil."
"find","find","nenašel","najít","pf"," But I know that he did go back to his planet, because I did not find his body at daybreak."," Ale vím dobře, že se vrátil na svou planetu, neboť za svítání jsem jeho tělo už nenašel."
"listen","listen","naslouchám","naslouchat","impf"," And at night I love to listen to the stars."," Rád naslouchám za noci hvězdám."
"rest","rest","odpočinout","odpočinout","pf"," "" You know, "" he said, "" I can tell you a way you can rest whenever you want to ... """," "" Víš ... já znám prostředek, jak si můžeš odpočinout, když budeš chtít. """
"want","want","chtít","chtít","impf"," "" You know, "" he said, "" I can tell you a way you can rest whenever you want to ... """," "" Víš ... já znám prostředek, jak si můžeš odpočinout, když budeš chtít. """
"want","want","chci","chtít","impf"," "" I always want to rest, "" said the lamplighter."," "" Samozřejmě že chci, "" řekl lampář."
"said","say","řekl","říci","pf"," "" I always want to rest, "" said the lamplighter."," "" Samozřejmě že chci, "" řekl lampář."
"went","go","pokračoval","pokračovat","impf"," The little prince went on with his explanation :"," Malý princ pokračoval :"
"walk","walk","půjdeš","jít","impf"," To be always in the sunshine, you need only walk along rather slowly."," Stačí, když půjdeš dost pomalu, abys zůstával stále na slunci."
"existed","exist","existoval","existovat","impf"," "" The proof that the little prince existed is that he was charming, that he laughed, and that he was looking for a sheep."," "" Důkazem, že malý princ skutečně existoval, je to, že byl rozkošný, že se smál a že chtěl beránka."
"laughed","laugh","smál","smát","impf"," "" The proof that the little prince existed is that he was charming, that he laughed, and that he was looking for a sheep."," "" Důkazem, že malý princ skutečně existoval, je to, že byl rozkošný, že se smál a že chtěl beránka."
"said","say","Řeknete","říci","pf"," But if you said to them :"," Řeknete - li jim však :"
"came","come","pocházel","pocházet","impf"," "" The planet he came from is Asteroid B-612, "" then they would be convinced, and leave you in peace from their questions."," "" Planeta, odkud pocházel, je asteroid B 612 "", tu je přesvědčíte a dají vám pokoj s otázkami."
"convinced","convince","přesvědčíte","přesvědčit","pf"," "" The planet he came from is Asteroid B-612, "" then they would be convinced, and leave you in peace from their questions."," "" Planeta, odkud pocházel, je asteroid B 612 "", tu je přesvědčíte a dají vám pokoj s otázkami."
"endure","endure","snést","snést","pf"," "" Well, I must endure the presence of two or three caterpillars if I wish to become acquainted with the butterflies."," "" Musím přece snést dvě nebo tři housenky, když chci poznat motýly."
"wish","wish","chci","chtít","impf"," "" Well, I must endure the presence of two or three caterpillars if I wish to become acquainted with the butterflies."," "" Musím přece snést dvě nebo tři housenky, když chci poznat motýly."
"call","call","navštěvoval","navštěvovat","impf"," And if not the butterflies – and the caterpillars – who will call upon me?"," Kdo by mě jinak navštěvoval?"
"showed","show","ukázala","ukázat","pf"," And, naively, she showed her four thorns."," A naivně ukázala čtyři trny."
"added","add","dodala","dodat","pf"," Then she added :"," Potom dodala :"
"show","show","ukázat","ukázat","pf"," Where I live everything is so small that I cannot show you where my star is to be found."," Ta moje je příliš malá, abych ti ji mohl ukázat."
"watch","watch","pozorovat","pozorovat","impf"," And so you will love to watch all the stars in the heavens ..."," Budeš tedy rád pozorovat všechny hvězdy."
"laughed","laugh","zasmál","zasmát","pf"," He laughed again."," A znovu se zasmál."
"sleep","sleep","usnul","usnout","pf"," The first night, then, I went to sleep on the sand, a thousand miles from any human habitation."," První večer jsem tedy usnul v písku, na tisíc mil daleko od jakékoliv obydlené končiny."
"imagine","imagine","představit","představit","pf"," Thus you can imagine my amazement, at sunrise, when I was awakened by an odd little voice."," Dovedete si proto představit, jaké bylo mé překvapení, když mě na úsvitě probudil zvláštní hlásek :"
"awakened","awaken","probudil","probudit","pf"," Thus you can imagine my amazement, at sunrise, when I was awakened by an odd little voice."," Dovedete si proto představit, jaké bylo mé překvapení, když mě na úsvitě probudil zvláštní hlásek :"
"draw","draw","nakresli","nakreslit","pf"," "" If you please – draw me a sheep! """," "" Prosím pěkně ... nakresli mi beránka ... """
"Draw","draw","Nakresli","nakreslit","pf"," "" Draw me a sheep! """," "" Nakresli mi beránka ... """
"jumped","jump","Vyskočil","vyskočit","pf"," I jumped to my feet, completely thunderstruck."," Vyskočil jsem, jako by do mne hrom uhodil."
"understand","understand","nechápou","chápat","impf"," Grown-ups never understand anything by themselves, and it is tiresome for children to be always and forever explaining things to them."," Dospělí sami nikdy nic nechápou a děti to hrozně unavuje, stále a stále jim něco vysvětlovat."
"explaining","explain","vysvětlovat","vysvětlovat","impf"," Grown-ups never understand anything by themselves, and it is tiresome for children to be always and forever explaining things to them."," Dospělí sami nikdy nic nechápou a děti to hrozně unavuje, stále a stále jim něco vysvětlovat."
"chose","choose","vybrat","vybrat","pf"," So then I chose another profession, and learned to pilot aeroplanes."," Musel jsem si tedy vybrat jiné povolání a naučil jsem se řídit letadlo."
"learned","learn","naučil","naučit","pf"," So then I chose another profession, and learned to pilot aeroplanes."," Musel jsem si tedy vybrat jiné povolání a naučil jsem se řídit letadlo."
"distinguish","distinguish","rozeznat","rozeznat","pf"," At a glance I can distinguish China from Arizona."," Dovedl jsem na první pohled rozeznat Čínu od Arizony."
"eat","eat","Nejím","jíst","impf"," I do not eat bread."," Nejím chléb."
"digesting","digest","zažívá","zažívat","impf"," It was a picture of a boa constrictor digesting an elephant."," Byl to hroznýš, jak zažívá slona."
"drew","draw","Nakreslil","nakreslit","pf"," I drew the inside of the boa constrictor so that the grown-ups could see it clearly."," Nakreslil jsem tedy vnitřek hroznýše, aby to dospělí pochopili."
"see","see","pochopili","pochopit","pf"," I drew the inside of the boa constrictor so that the grown-ups could see it clearly."," Nakreslil jsem tedy vnitřek hroznýše, aby to dospělí pochopili."
"need","need","potřebují","potřebovat","impf"," They always need to have things explained."," Oni totiž potřebují vždycky nějaká vysvětlení."
"heating","heat","ohřát","ohřát","pf"," and they were very convenient for heating his breakfast in the morning."," A bylo to ohromně pohodlné, když bylo potřebí ráno ohřát snídani."
"burn","burn","hoří","hořet","impf"," If they are well cleaned out, volcanoes burn slowly and steadily, without any eruptions."," Jsou - li sopky dobře vymeteny, hoří mírně a pravidelně, nevybuchují."
"repeated","repeat","opakoval","opakovat","impf"," "" Five-hundred-and-one million what? "" repeated the little prince, who never in his life had let go of a question once he had asked it."," "" Čeho pět set milionů? "" opakoval malý princ, protože se nikdy v životě nevzdal otázky, kterou jednou dal."
"raised","raise","zvedl","zvednout","pf"," The businessman raised his head."," Byznysmen zvedl hlavu :"
"inhabited","inhabit","bydlím","bydlet","impf"," "" During the fifty-four years that I have inhabited this planet, I have been disturbed only three times."," "" Za celých čtyřiapadesát let, co bydlím na této planetě, jsem byl vyrušen jen třikrát."
"fly","fly","létám","létat","impf"," And I was proud to have him learn that I could fly."," A byl jsem hrdý, že mohu říci, že létám."
"cried","cry","zvolal","zvolat","pf"," He cried out, then :"," A tu zvolal :"
"dropped","drop","spadl","spadnout","pf"," You dropped down from the sky? """," Ty jsi spadl z nebe! """
"answered","answer","odpověděl","odpovědět","pf"," "" Yes, "" I answered, modestly."," "" Ano, "" odpověděl jsem skromně."
"like","like","Chci","chtít","impf"," I like my misfortunes to be taken seriously."," Chci, aby se mé nehody braly vážně."
"taken","take","braly","brát","impf"," I like my misfortunes to be taken seriously."," Chci, aby se mé nehody braly vážně."
"added","add","dodal","dodat","pf"," Then he added :"," Potom dodal :"
"came","come","přišel","přijít","pf"," I have serious reason to believe that the planet from which the little prince came is the asteroid known as B-612."," Mám vážné důvody domnívat se, že planeta, odkud přišel malý princ, je planetka B 612."
"presented","present","Podal","podat","pf"," On making his discovery, the astronomer had presented it to the International Astronomical Congress, in a great demonstration."," Podal tehdy o svém objevu obsáhlý výklad s ukázkami na Mezinárodním astronomickém kongresu."
"believe","believe","nevěřil","věřit","impf"," But he was in Turkish costume, and so nobody would believe what he said."," Ale nikdo mu nevěřil, protože byl nezvykle oblečen."
"seemed","seem","zdál","zdát","impf"," He spluttered a little, and seemed vexed."," Trochu breptal a zdál se pohněván."
"respected","respect","uznávala","uznávat","impf"," For what the king fundamentally insisted upon was that his authority should be respected."," Králi šlo totiž o to, aby se uznávala jeho autorita."
"understand","understand","chápeme","chápat","impf"," But certainly, for us who understand life, figures are a matter of indifference."," Ovšem my, kteří chápeme život, nestaráme se vůbec o čísla."
"begin","begin","začal","začít","pf"," I should have liked to begin this story in the fashion of the fairy-tales."," Byl bych rád začal vyprávět tento příběh tak, jak začínají pohádky."
"begin","begin","začínají","začínat","impf"," I should have liked to begin this story in the fashion of the fairy-tales."," Byl bych rád začal vyprávět tento příběh tak, jak začínají pohádky."
"say","say","řekl","říci","pf"," I should have liked to say :"," Byl bych rád řekl :"
"do","do","vyvolám","vyvolat","pf"," And I realize that I run the risk of giving a false idea of our planet to those who do not know it."," Riskuji, že vyvolám špatnou představu o naší planetě u těch, kdo ji neznají."
"said","say","povídej","povídat","impf"," "" Well? "" said the geographer expectantly."," "" Tak povídej! "" vyzval ho zeměpisec."
"record","record","nezaznamenáváme","zaznamenávat","impf"," "" We do not record flowers, "" said the geographer."," "" My nezaznamenáváme květiny, "" řekl zeměpisec."
"said","say","řekl","říci","pf"," "" We do not record flowers, "" said the geographer."," "" My nezaznamenáváme květiny, "" řekl zeměpisec."
