"done","do","uďála","udělat","pf"," "" Anyway, I done enough mischief today already - "" She stopped short, and the blood flared up into her cheeks again."," "" Já vám tu dneskon už stejně uďála škodu - "" zarazila se, blednoucí líčka opět zahořela."
"stopped","stop","zarazila","zarazit","pf"," "" Anyway, I done enough mischief today already - "" She stopped short, and the blood flared up into her cheeks again."," "" Já vám tu dneskon už stejně uďála škodu - "" zarazila se, blednoucí líčka opět zahořela."
"raised","raise","vytáhla","vytáhnout","pf"," Mother raised her eyebrows so high they almost met her hairline."," Máti vytáhla obočí až skoro k ondulaci :"
"ate","eat","Snědla","sníst","pf"," "" I 've ate all your tarts."," "" Snědla sem vám šecky koláčky."
"die","die","neumřem","umřít","pf"," "" Come now, we 're not about to die of hunger here, "" said my father, and he grinned raffishly."," "" Však my tady hlady neumřem, "" pravil otec a zamžoural."
"said","say","pravil","pravit","pf"," "" Come now, we 're not about to die of hunger here, "" said my father, and he grinned raffishly."," "" Však my tady hlady neumřem, "" pravil otec a zamžoural."
"ran","run","ubíhal","ubíhat","impf"," I held the skinny girl tightly in my arms and ran with her and Vachousek the foreman along the corridor to the yard and across the yard to the first-aid room."," Sevřel jsem kostlivou dívenku v náručí a ubíhal jsem s ní a s mistrem Vachouškem chodbou na dvůr a přes dvůr k ošetřovně."
"put","put","Dejte","dát","pf"," Would you please put them back in the boxes and get them out of here? """," Dejte to, prosím, zpátky do krabic a odneste to! """
"begun","begin","začal","začít","pf"," Her husband, who has already obediently begun to pack the books back into their boxes, receives a rap across the knuckles as the publisher explodes :"," Manžel, který už začal poslušně skládat knihy do krabice, je praštěn - vůbec ne symbolicky - přes ruku a nakladatelka vybuchne :"
"explodes","explode","vybuchne","vybuchnout","pf"," Her husband, who has already obediently begun to pack the books back into their boxes, receives a rap across the knuckles as the publisher explodes :"," Manžel, který už začal poslušně skládat knihy do krabice, je praštěn - vůbec ne symbolicky - přes ruku a nakladatelka vybuchne :"
"Run","run","Běžte","běžet","impf"," Run along and play now. """," Běžte zas sáňkovat. """
"regarded","regard","hleděla","hledět","impf"," She regarded me inquisitively, then looked past the scrub pine towards the cottage."," Zkoumavě na mě hleděla, potom se podívala přes kleč na chalupu."
"looked","look","hleděla","hledět","impf"," She regarded me inquisitively, then looked past the scrub pine towards the cottage."," Zkoumavě na mě hleděla, potom se podívala přes kleč na chalupu."
"looked","look","podívala","podívat","pf"," She regarded me inquisitively, then looked past the scrub pine towards the cottage."," Zkoumavě na mě hleděla, potom se podívala přes kleč na chalupu."
"asked","ask","otázala","otázat","pf"," "" How come you 're treating me like a stranger all of a sudden? "" Marie asked."," "" Co seš ke mně takovej, že se ke mně nemáš? "" otázala se Marie."
"start","start","začnou","začít","pf"," On the Queen Elizabeth Way at midnight, eighty-five miles an hour and all of a sudden they start forcing you over into the ditch. """," Na Kvín Elizabet o půlnoci, v pětaosmdesáti majlích, a najednou vás začnou tlačit k pankejtu. """
"forcing","force","tlačit","tlačit","impf"," On the Queen Elizabeth Way at midnight, eighty-five miles an hour and all of a sudden they start forcing you over into the ditch. """," Na Kvín Elizabet o půlnoci, v pětaosmdesáti majlích, a najednou vás začnou tlačit k pankejtu. """
"repeats","repeat","opakuje","opakovat","impf"," "" In Israel, "" repeats Frank."," "" V Izraéli, "" opakuje Frank."
"stops","stop","přestane","přestat","pf"," And Dianne stops as though someone had cut her off."," A Sheila přestane, jako když utne."
"turn","turn","Otočím","otočit","pf"," I turn around."," Otočím se."
"given","give","dala","dát","pf"," The only true thing I had said that day was that Nadia had given me strength."," Jediná pravda, kterou jsem dnes řek, byla, že mi Naďa dala sílu."
"decided","decide","Rozhodl","rozhodnout","pf"," I decided to tell her the truth."," Rozhodl jsem se říct jí i tu druhou pravdu."
"tell","tell","říct","říci","pf"," I decided to tell her the truth."," Rozhodl jsem se říct jí i tu druhou pravdu."
"going","go","nejdu","jít","impf"," I 'm not going to hide anywhere."," Nikam se skovat nejdu."
"appeared","appear","zdálo","zdát","impf"," Since nothing in particular had ever happened to him after he married, and since Brych 's prognostications were so general that they always appeared to come true, Mr. Skocdopole 's faith in Brych 's crystal ball grew out of all reasonable proportion."," A protože ho od ženitby už nikdy nic zvláštního nepotkalo a věštby byly docela obecné, takže se zdálo, že se vždy splnily, víra pana Skočdopole v Brychovu kouli vyrostla mimo jakékoliv proporce."
"grew","grow","vyrostla","vyrůst","pf"," Since nothing in particular had ever happened to him after he married, and since Brych 's prognostications were so general that they always appeared to come true, Mr. Skocdopole 's faith in Brych 's crystal ball grew out of all reasonable proportion."," A protože ho od ženitby už nikdy nic zvláštního nepotkalo a věštby byly docela obecné, takže se zdálo, že se vždy splnily, víra pana Skočdopole v Brychovu kouli vyrostla mimo jakékoliv proporce."
"came","come","přišla","přijít","pf"," The last three years before ... before I came here, I was always with the band."," Poslední tři roky před - před tím, než jsem přišla sem - jsem byla vždycky s kapelou."
