"go","go","chodit","chodit","impf"," Let 's go to the movies instead."," Budem radši chodit do biografu."
"gathers","gather","sebere","sebrat","pf"," Red to the ears, she gathers her horrors from the bed and stuffs them back into her suitcase."," Rudá doslova až za ušima sebere svoje hrůzy a nacpe je do kufříku za tři sta dolarů."
"read","read","číst","číst","impf"," "" Or we can read."," "" Anebo budeme číst."
"spun","spin","Otočila","otočit","pf"," She spun round indignantly and walked rapidly towards the cinema."," Otočila se, a rychlým krokem uraženě kráčela k biografu."
"walked","walk","kráčela","kráčet","impf"," She spun round indignantly and walked rapidly towards the cinema."," Otočila se, a rychlým krokem uraženě kráčela k biografu."
"descends","descend","sklání","sklánět","impf"," Flashes ), evening descends."," Zableskne ), večer se sklání."
"descends","descend","sklání","sklánět","impf"," Immensely, evening descends"," Nesmírně, večer se sklání"
"sings","sing","zpívá","zpívat","impf"," Pinkness, the woman sings to herself"," Růžovou, žena si zpívá"
"write","write","psát","psát","impf"," Yesterday they gave their word of honour, today - And after all that it 's impossible to write anything at all, as long as what happened is not reflected in it, because it did happen, Dan."," Včera přísahali, dnes - A po tom všem nelze vůbec nic psát, pokud v tom není přítomno, co se stalo, neboť se stalo, Dane."
"come","come","přijít","přijít","pf"," Whatever was to come, they flattened us with an iron fist, and that is never just."," Ať už mělo přijít cokoliv, srovnali nás železnou pěstí, a to není nikdy spravedlivé."
"flattened","flatten","srovnali","srovnat","pf"," Whatever was to come, they flattened us with an iron fist, and that is never just."," Ať už mělo přijít cokoliv, srovnali nás železnou pěstí, a to není nikdy spravedlivé."
"said","say","říkali","říkat","impf"," Yes, twenty years ago they were right when they said that the spirit of February 1948 must permeate everything we write."," Ano, měli pravdu po Únoru, když říkali, že ve všem musí být Únor."
"help","help","nepomůžu","pomoci","pf"," It wo n't help the poor foreman anyway."," Chudákovi mistrovi už tím nepomůžu."
"want","want","Chce","chtít","impf"," I want to shout after him :"," Chce se mi za ním zavolat :"
"shout","shout","zavolat","zavolat","pf"," I want to shout after him :"," Chce se mi za ním zavolat :"
"felt","feel","cítil","cítit","impf"," Ladies and gentlemen, I felt most strongly at that moment that he would have much preferred to have me in Leeds and that in fact it was sheer arrogance on my part not to be there."," Já, dámy a pánové, přímo cítil, že si přeje, abych byl radši v tom Leedsu a že je to vlastně ode mě drzost, že tam nejsem."
"sat","sit","Seděl","sedět","impf"," Nosek and I sat there for a few minutes longer."," Seděl jsem ještě chvíli s Noskem."
"said","say","pravil","pravit","pf"," "" Salt of the earth, "" he said, with a leer."," "" Ďouče z lidu, "" pravil ironicky."
"does","do","dělá","dělat","impf"," "" Everything Nadia does is good, "" I said."," "" Naďa dělá všechno dobře, "" řekl jsem."
"said","say","řekl","říci","pf"," "" Everything Nadia does is good, "" I said."," "" Naďa dělá všechno dobře, "" řekl jsem."
"run","run","veď","vést","impf"," My brother Olda asked the International Red Cross to get his kids back for him since his wife run away ilegal and without permision but the Red Cross rote and told him that the kids is already over eihgteen and they desided to stay with there mother in the United States of North America."," Moj brat Olda žiadal medzinárodný červený kříž aby mu děti boli vrátěné veď jeho žena Litevka utiekla ilegálně a bez povolenia len Červený kríž mu napísal že děti sú už plnoleté a rozhodli sa zostať obe s matků v Spojených Štátoch Severoamerických."
"followed","follow","Následovalo","následovat","impf"," Seven names followed and right at the end stood Josef Benda, for aiding and abetting."," Následovalo sedm dalších jmen, docela na konci Benda, Josef, za napomáhání."
"read","read","Četl","číst","impf"," I read the biography, the obituary, the lexicon entry on my old mate from the main streets of Kostelec, my fellow gangster from the tobacco warehouse, that hero who brought about the death of seven innocent people, that nomad of romantic longing."," Četl jsem životopis, nekrolog, slovníkové heslo svého starého druha na kosteleckém korze, spolugangstera z tabákového skladu, toho hrdiny, jenž zavinil smrt sedmi nevinných, toho nomáda romantické touhy."
"open","open","otevřu","otevřít","pf"," I dose my eyes, the cold foam of the South Pacific off the prow of the Jane Guy sprays into my face - and suddenly a horn sounds and I open my eyes."," Zavírám oči, studená pěna jižního Pacifiku mu na přídi Jane Guy stříká do tváře - a najednou zatroubí klaxón, otevřu oči."
"say","say","říkám","říkat","impf"," "" In this story, "" I say, "" the only effect stronger than the one we expected would have been gold itself."," "" V téhle povídce, "" říkám, "" jediný možný efekt silnější než naše očekávání by bylo zlato."
"said","say","říkal","říkat","impf"," I said that to myself in anger and saying so made me a Marxist."," To jsem si říkal ze vzteku, v té chvíli jsem byl marxista."
"saying","say","říkal","říkat","impf"," I said that to myself in anger and saying so made me a Marxist."," To jsem si říkal ze vzteku, v té chvíli jsem byl marxista."
"speak","speak","mluvit","mluvit","impf"," "" I 've got to speak to one of the quislings, "" I said when he dramatically blocked my way and pointed the submachine-gun at me."," "" Potřebuju mluvit s jednim koloušem, "" řekl jsem, když mi pateticky zastoupil cestu a namířil na mě automatem."
"said","say","mluvit","mluvit","impf"," "" I 've got to speak to one of the quislings, "" I said when he dramatically blocked my way and pointed the submachine-gun at me."," "" Potřebuju mluvit s jednim koloušem, "" řekl jsem, když mi pateticky zastoupil cestu a namířil na mě automatem."
"speak","speak","řekl","říci","pf"," "" I 've got to speak to one of the quislings, "" I said when he dramatically blocked my way and pointed the submachine-gun at me."," "" Potřebuju mluvit s jednim koloušem, "" řekl jsem, když mi pateticky zastoupil cestu a namířil na mě automatem."
"said","say","řekl","říci","pf"," "" I 've got to speak to one of the quislings, "" I said when he dramatically blocked my way and pointed the submachine-gun at me."," "" Potřebuju mluvit s jednim koloušem, "" řekl jsem, když mi pateticky zastoupil cestu a namířil na mě automatem."
"pointed","point","namířil","namířit","pf"," "" I 've got to speak to one of the quislings, "" I said when he dramatically blocked my way and pointed the submachine-gun at me."," "" Potřebuju mluvit s jednim koloušem, "" řekl jsem, když mi pateticky zastoupil cestu a namířil na mě automatem."
"going","go","du","jít","impf"," I 'm just going to act as his witness. """," Já mu to du dosvědčit. """
"saved","save","zachránil","zachránit","pf"," He saved my life. """," Mně zachránil život. """
"tell","tell","povíme","povědět","pf"," Once we 're done with that, we shall tell our life stories."," Až je proberem, povíme si své life stories."
"seem","seem","Zdá","zdát","impf"," I seem to be genuinely in love with the enormous Ilse now, though, back then, when she tried to indoctrinate me with National Socialism on the train back to Jaromer, I hated her sincerely."," Zdá se mi, že mohutnou Ilsu skutečně miluju, ačkoliv když mě v tamté kapitole školila v kupé cestou do Jaroměře, upřímně jsem ji nenáviděl."
"hated","hate","nenáviděl","nenávidět","impf"," I seem to be genuinely in love with the enormous Ilse now, though, back then, when she tried to indoctrinate me with National Socialism on the train back to Jaromer, I hated her sincerely."," Zdá se mi, že mohutnou Ilsu skutečně miluju, ačkoliv když mě v tamté kapitole školila v kupé cestou do Jaroměře, upřímně jsem ji nenáviděl."
"say","say","pravím","pravit","pf"," "" I 'm not so sure she really was such a tart, "" I say."," "" Nevim, jestli to byla taková štětka, "" pravím."
"travel","travel","Jezdila","jezdit","impf"," "" She was free to travel back and forth between Paris, Berlin, Vienna, whenever she felt like it."," "" Jezdila mezi Paříží, Berlínem, Vídní, kam se jí zachtělo."
"look","look","Hledím","hledět","impf"," I look at the black, mysterious entity."," Hledím na to černé, tajemné."
"take","take","vemte","vzít","pf"," Even so - just take all those Venuses and Aphrodites - they 're all absolutely bare down there."," A přesto - vemte si všechny ty Venuše a Afrodýty - každá je dóle úplně holá."
"cover","cover","pokrývají","pokrývat","impf"," Similar improprieties cover all four walls of the alcove."," Podobné nemravnosti pokrývají všechny čtyři stěny alkovny."
"admitted","admit","Přiznala","přiznat","pf"," When I admitted not knowing Hebrew to this eighty-year-old warrior, he flew into such a rage that I thought he was going to take one of those historical muskets off the wall and if not shoot me dead on the spot then at least disfigure my Semitic beauty ( I was touched by what you told us about the Japanese cup that time you came with the medicine."," Přiznala jsem se tomu osmdesátiletému bojovníku, že hebrejsky neumím, a on se na mě tak rozkatil, až jsem si myslela, že sundá ze stěny jednu z těch historických mušket, a pokud mě rovnou neodpráskne, aspoň citelně poškodí mou semitskou krásu ( to mě dojalo, to o tom japonským hrníčku, jaks nám to vyprávěl, kdyžs přijel s tou medicínou."
"thought","think","myslela","myslet","impf"," When I admitted not knowing Hebrew to this eighty-year-old warrior, he flew into such a rage that I thought he was going to take one of those historical muskets off the wall and if not shoot me dead on the spot then at least disfigure my Semitic beauty ( I was touched by what you told us about the Japanese cup that time you came with the medicine."," Přiznala jsem se tomu osmdesátiletému bojovníku, že hebrejsky neumím, a on se na mě tak rozkatil, až jsem si myslela, že sundá ze stěny jednu z těch historických mušket, a pokud mě rovnou neodpráskne, aspoň citelně poškodí mou semitskou krásu ( to mě dojalo, to o tom japonským hrníčku, jaks nám to vyprávěl, kdyžs přijel s tou medicínou."
"touched","touch","dojalo","dojmout","pf"," When I admitted not knowing Hebrew to this eighty-year-old warrior, he flew into such a rage that I thought he was going to take one of those historical muskets off the wall and if not shoot me dead on the spot then at least disfigure my Semitic beauty ( I was touched by what you told us about the Japanese cup that time you came with the medicine."," Přiznala jsem se tomu osmdesátiletému bojovníku, že hebrejsky neumím, a on se na mě tak rozkatil, až jsem si myslela, že sundá ze stěny jednu z těch historických mušket, a pokud mě rovnou neodpráskne, aspoň citelně poškodí mou semitskou krásu ( to mě dojalo, to o tom japonským hrníčku, jaks nám to vyprávěl, kdyžs přijel s tou medicínou."
"told","tell","vyprávěl","vyprávět","impf"," When I admitted not knowing Hebrew to this eighty-year-old warrior, he flew into such a rage that I thought he was going to take one of those historical muskets off the wall and if not shoot me dead on the spot then at least disfigure my Semitic beauty ( I was touched by what you told us about the Japanese cup that time you came with the medicine."," Přiznala jsem se tomu osmdesátiletému bojovníku, že hebrejsky neumím, a on se na mě tak rozkatil, až jsem si myslela, že sundá ze stěny jednu z těch historických mušket, a pokud mě rovnou neodpráskne, aspoň citelně poškodí mou semitskou krásu ( to mě dojalo, to o tom japonským hrníčku, jaks nám to vyprávěl, kdyžs přijel s tou medicínou."
"came","come","přijel","přijet","pf"," When I admitted not knowing Hebrew to this eighty-year-old warrior, he flew into such a rage that I thought he was going to take one of those historical muskets off the wall and if not shoot me dead on the spot then at least disfigure my Semitic beauty ( I was touched by what you told us about the Japanese cup that time you came with the medicine."," Přiznala jsem se tomu osmdesátiletému bojovníku, že hebrejsky neumím, a on se na mě tak rozkatil, až jsem si myslela, že sundá ze stěny jednu z těch historických mušket, a pokud mě rovnou neodpráskne, aspoň citelně poškodí mou semitskou krásu ( to mě dojalo, to o tom japonským hrníčku, jaks nám to vyprávěl, kdyžs přijel s tou medicínou."
"allows","allow","připustil","připustit","pf"," "" Perhaps, "" allows Dr. Toth."," "" Snad, "" připustil Dr. Tóth."
"admit","admit","přiznám","přiznat","pf"," Also I wilt admit that his reference to the Ministry of the Interior made me rather nervous."," Také, přiznám se, zmínka o Vnitru mě zneklidnila."
"discovered","discover","zjistil","zjistit","pf"," When I discovered it I began to be genuinely afraid. """," Sotva jsem zjistil tohle, začal jsem mít doopravdy strach. """
"began","begin","začal","začít","pf"," When I discovered it I began to be genuinely afraid. """," Sotva jsem zjistil tohle, začal jsem mít doopravdy strach. """
"dominated","dominate","vévodí","vévodit","impf"," Dr. Toth refreshes himself with a sip of coffee, glancing around Professor Abraham 's room, which is dominated by President Masaryk on a beautifully painted horse and President Benes doffing his diplomat 's homburg."," Dr. Tóth se osvěží kávou, rozhlédne se po pokoji profesora Abraháma, jemuž vévodí president Masaryk na krásně namalovaném koni a president Beneš kynoucí kloboukem Diplomat."
"killed","kill","zabila","zabít","pf"," Thats where I used to work for Meister Radac when Meister Akrman in Obersharau got killed by a bomb he was a very fine boss there was always enough to eat and he only had one arm so he didnt have to go in the army."," V Jena čo teraz je Karlmax Stad som kedysi bol zamestnaný u pána majstra Radace keď pána majstra Akrmana v Oberšaran zabila bomba to byl moc hodný majstr jedla u něho bolo dosť a mal iba jedinů ruku preto nemusel narukovať."
