"showing","show","objevil","objevit","pf"," "" This is like my drug dealer showing up at the door. """," "" To je, jako kdyby se u dveří objevil můj drogový dealer. """
"needed","need","potřebuješ","potřebovat","impf"," "" I figured you needed the energy, or the calories, or something. """," "" Napadlo mi, že potřebuješ dodat energii nebo kalorie nebo tak něco. """
"want","want","nechtěla","chtít","impf"," It was nice of him, but she did n't want to be tempted by him again."," Bylo to od něj hezké, ale Fiona se jím nechtěla nechat svést."
"want","want","nechtěla","chtít","impf"," And she did n't want to be his prize."," A ona se nechtěla stát jeho kořistí."
"putting","put","Dáš","dát","pf"," "" Do you want some? "" she asked, putting the profiteroles on a plate."," "" Dáš si taky? "" zeptala se a naskládala zákusky na talíř."
"asked","ask","zeptala","zeptat","pf"," "" Do you want some? "" she asked, putting the profiteroles on a plate."," "" Dáš si taky? "" zeptala se a naskládala zákusky na talíř."
"do","do","fungují","fungovat","impf"," "" I do n't know how these things work."," "" Nevím, jak takové vztahy fungují."
"want","want","chtít","chtít","impf"," "" If we want to be, "" he said cautiously, although he felt awkward answering her."," "" Pokud budeme chtít, "" odpověděl opatrně, ačkoli si uvědomoval, že to je hloupé."
"said","say","odpověděl","odpovědět","pf"," "" If we want to be, "" he said cautiously, although he felt awkward answering her."," "" Pokud budeme chtít, "" odpověděl opatrně, ačkoli si uvědomoval, že to je hloupé."
"thought","think","Myslím","myslet","impf"," I thought what we had was special."," Myslím, že náš vztah byl výjimečný."
"believe","believe","Nevěřila","věřit","impf"," She could n't believe what she was hearing."," Nevěřila svým uším."
"trusted","trust","důvěřovala","důvěřovat","impf"," And she had trusted him."," A ona mu důvěřovala."
"want","want","Chci","chtít","impf"," "" I 'm saying that I want a divorce."," "" Chci se rozvést."
"talked","talk","mluvil","mluvit","impf"," I 'm getting a divorce. I already talked to my lawyer."," Už jsem mluvil se svým právníkem."
"talked","talk","hovořil","hovořit","impf"," And I 've talked about it with the girls for the last two weeks. """," A také jsem o tom hovořil v uplynulých dvou týdnech s dcerami. """
"owed","owe","dlužili","dlužit","impf"," And in the end, what they owed each other as much as love was forgiveness."," A nakonec stejně jako lásku si dlužili odpuštění."
"say","say","pronesou","pronést","pf"," The priest did the ceremony in French, but he had them say their vows in English, so they knew what they were saying."," Kněz vedl obřad ve francouzštině, ale vyzval je, ať své sliby pronesou anglicky, aby přesně rozuměli, kdo co říká."
"saying","say","pronesou","pronést","pf"," The priest did the ceremony in French, but he had them say their vows in English, so they knew what they were saying."," Kněz vedl obřad ve francouzštině, ale vyzval je, ať své sliby pronesou anglicky, aby přesně rozuměli, kdo co říká."
"say","say","říká","říkat","impf"," The priest did the ceremony in French, but he had them say their vows in English, so they knew what they were saying."," Kněz vedl obřad ve francouzštině, ale vyzval je, ať své sliby pronesou anglicky, aby přesně rozuměli, kdo co říká."
"saying","say","říká","říkat","impf"," The priest did the ceremony in French, but he had them say their vows in English, so they knew what they were saying."," Kněz vedl obřad ve francouzštině, ale vyzval je, ať své sliby pronesou anglicky, aby přesně rozuměli, kdo co říká."
"felt","feel","cítila","cítit","impf"," And as John held her hand in his, and then slipped on the ring, she felt more married to him than ever."," A když ji John vzal za ruku a navlékl jí prstýnek, cítila se za něj mnohem víc provdaná než předtím."
"maintain","maintain","zachovala","zachovat","pf"," She had used every ounce of control and discipline she had to maintain the charade of indifference until Adrian arrived."," Musela zmobilizovat veškeré sebeovládání, aby zachovala netečný výraz, než Adrian přišel."
"arrived","arrive","přišel","přijít","pf"," She had used every ounce of control and discipline she had to maintain the charade of indifference until Adrian arrived."," Musela zmobilizovat veškeré sebeovládání, aby zachovala netečný výraz, než Adrian přišel."
