"hope","hope","doufat","doufat","impf"," All she could do was hope that he 'd lighten up on his drinking again."," Mohla jen doufat, že s tím jednou přestane."
"go","go","jít","jít","impf"," He never got so drunk he could n't go to work the next day. And he never drank until he got home. But once he began, he drank steadily all night, and by the time he came to bed, he was blind and numb."," Ještě nikdy se sice neopil tolik, aby nemohl jít příští den do práce, ale jakmile začal, vydržel u lahve celou noc a ráno pak býval otupělý a ochromený."
"work","work","jít","jít","impf"," He never got so drunk he could n't go to work the next day. And he never drank until he got home. But once he began, he drank steadily all night, and by the time he came to bed, he was blind and numb."," Ještě nikdy se sice neopil tolik, aby nemohl jít příští den do práce, ale jakmile začal, vydržel u lahve celou noc a ráno pak býval otupělý a ochromený."
"came","come","jít","jít","impf"," He never got so drunk he could n't go to work the next day. And he never drank until he got home. But once he began, he drank steadily all night, and by the time he came to bed, he was blind and numb."," Ještě nikdy se sice neopil tolik, aby nemohl jít příští den do práce, ale jakmile začal, vydržel u lahve celou noc a ráno pak býval otupělý a ochromený."
"go","go","začal","začít","pf"," He never got so drunk he could n't go to work the next day. And he never drank until he got home. But once he began, he drank steadily all night, and by the time he came to bed, he was blind and numb."," Ještě nikdy se sice neopil tolik, aby nemohl jít příští den do práce, ale jakmile začal, vydržel u lahve celou noc a ráno pak býval otupělý a ochromený."
"began","begin","začal","začít","pf"," He never got so drunk he could n't go to work the next day. And he never drank until he got home. But once he began, he drank steadily all night, and by the time he came to bed, he was blind and numb."," Ještě nikdy se sice neopil tolik, aby nemohl jít příští den do práce, ale jakmile začal, vydržel u lahve celou noc a ráno pak býval otupělý a ochromený."
"go","go","vydržel","vydržet","pf"," He never got so drunk he could n't go to work the next day. And he never drank until he got home. But once he began, he drank steadily all night, and by the time he came to bed, he was blind and numb."," Ještě nikdy se sice neopil tolik, aby nemohl jít příští den do práce, ale jakmile začal, vydržel u lahve celou noc a ráno pak býval otupělý a ochromený."
"think","think","myslím","myslet","impf"," "" I think he was afraid I would n't come back from the hospital."," "" Bál se myslím, že se už nevrátím ..."
"asked","ask","zeptala","zeptat","pf"," "" Does n't it make you mad, Mom? "" she asked with a sorrowful air, as her mother shook her head."," "" Nemáš pocit, že se z toho všeho zblázníš? "" zeptala se Charlotte sklesle, ale matka zavrtěla hlavou."
"feeling","feel","cítíš","cítit","impf"," Are you feeling better now? """," Už se cítíš líp? """
