"says","say","říkal","říkat","impf"," Huston says you 're our kinda folks- maybe."," Huston říkal, že jste vlastně jaksi naše lidi."
"think","think","pomyslím","pomyslit","pf"," I 'd hate to think of it. """," Ale když si to pomyslím, votvírá se mi kudla v kapse. """
"neared","near","Blížili","blížit","impf"," They neared the fence."," Blížili se k plotu."
"began","begin","začal","začít","pf"," And he stepped to a pig, cut a line down one side of the backbone and began peeling the meat forward, off the ribs."," A přistoupil k jednomu vepři a udělal řez kolmo dolů kolem páteře a začal slupovat maso ze žeber."
"said","say","prohlásil","prohlásit","pf"," "" We got to get the stuff together, "" he said."," "" Musíme dát všecky věci do kupy, "" prohlásil."
"Come","come","Pojďte","jít","impf"," "" Come on, you fellas. """," "" Pojďte, chlapi. """
"infected","infect","nakazil","nakazit","pf"," Now that they were committed to going, the hurry infected all of them."," Když se tedy odhodlali vyrazit, všechny jako by nakazil spěch."
"fix","fix","spravit","spravit","pf"," Makes a fella kinda feel- like a little kid, when he ca n't fix nothin '."," Člověk si připadá jako malej kluk, když nedovede nic spravit."
"get","get","dostanem","dostat","pf"," When we get to California I aim to get me a nice car."," Až se dostanem do Kalifornie, chci si pořídit pěknej vozejček."
"get","get","dostanem","dostat","pf"," When we get to California I aim to get me a nice car."," Až se dostanem do Kalifornie, chci si pořídit pěknej vozejček."
"said","say","pravil","pravit","pf"," "" Oh, but she 's worth it, "" said Wilson."," "" Ale stojí to za to, "" pravil Wilson."
"seen","see","viděl","vidět","impf"," "" Why, I seen han'bills how they need folks to pick fruit, an ' good wages."," "" Já viděl ty letáky a v nich píšou, kolik potřebujou lidí na česání ovoce, a jak dobře platějí."
"need","need","potřebujou","potřebovat","impf"," "" Why, I seen han'bills how they need folks to pick fruit, an ' good wages."," "" Já viděl ty letáky a v nich píšou, kolik potřebujou lidí na česání ovoce, a jak dobře platějí."
"set","set","postavilo","postavit","pf"," The girl set out the platter of bacon and the brown, high biscuits and a bowl of bacon gravy and a pot of coffee, and then she squatted down by the box too."," Děvče postavilo na bednu mísu se slaninou a hnědými vysokými vdolky, misku se šťávou a konvici kávy a přidřeplo také k bedně."
"gulped","gulp","polykal","polykat","impf"," The older man filled his mouth full, and he chewed and chewed and gulped and swallowed."," Starší muž si nacpal plnou pusu a žvýkal a žvýkal a hltavě polykal."
"swallowed","swallow","polykal","polykat","impf"," The older man filled his mouth full, and he chewed and chewed and gulped and swallowed."," Starší muž si nacpal plnou pusu a žvýkal a žvýkal a hltavě polykal."
"began","begin","začal","začít","pf"," "" We jus ' thought- "" Timothy began apologetically."," "" My jsme si jenom mysleli - "" začal Timothy omluvně."
"tell","tell","říct","říci","pf"," "" I 've got some things to tell you."," "" Musím vám něco říct."
"paying","pay","Platím","platit","impf"," I been paying you thirty cents an hour - that right? """," Platím vám třicet centů na hodinu - je to tak? """
"watched","watch","dívala","dívat","impf"," Ruthie watched them go."," Ruthie se za nimi dívala, jak odcházejí."
"go","go","odcházejí","odcházet","impf"," Ruthie watched them go."," Ruthie se za nimi dívala, jak odcházejí."
"ran","run","běžela","běžet","impf"," Then she hit a ball and ran after it."," Pak napálila míček a běžela za ním."
"Come","come","Pojď","jít","impf"," "" Come on, Winfiel '."," "" Pojď, Winfielde."
"called","call","volala","volat","impf"," Get a stick, "" she called."," Vem si taky paličku, "" volala."
"joined","join","přidal","přidat","pf"," Winfield had joined the watching children, and he too looked at her with expressionless eyes."," Winfield se přidal k zevlujícím dětem a taky se na ni díval, bez jakéhokoli výrazu v očích."
"watching","watch","díval","dívat","impf"," Winfield had joined the watching children, and he too looked at her with expressionless eyes."," Winfield se přidal k zevlujícím dětem a taky se na ni díval, bez jakéhokoli výrazu v očích."
"looked","look","díval","dívat","impf"," Winfield had joined the watching children, and he too looked at her with expressionless eyes."," Winfield se přidal k zevlujícím dětem a taky se na ni díval, bez jakéhokoli výrazu v očích."
"watched","watch","hleděly","hledět","impf"," And the children stood and watched."," A děti stály a hleděly."
"crackled","crackle","praskalo","praskat","impf"," The fire leaped and threw shadows on the house, and the dry wood crackled and snapped."," Oheň zaplápolal, po stavení proskočily stíny a suché dřevo lupalo a praskalo."
"turned","turn","obrátila","obrátit","pf"," The gray cat came out of the barn shed and trotted miaowing toward the fire, but, nearly there, it turned and went directly to one of the little piles of rabbit entrails on the ground."," Ze stodoly vylezla šedá kočka a s mňoukáním cupitala k ohni, ale kousíček před ním se zastavila, obrátila se a zamířila přímo k hromádce zvířecích vnitřností na zemi."
"turned","turn","zamířila","zamířit","pf"," The gray cat came out of the barn shed and trotted miaowing toward the fire, but, nearly there, it turned and went directly to one of the little piles of rabbit entrails on the ground."," Ze stodoly vylezla šedá kočka a s mňoukáním cupitala k ohni, ale kousíček před ním se zastavila, obrátila se a zamířila přímo k hromádce zvířecích vnitřností na zemi."
"swallowed","swallow","polykat","polykat","impf"," It chewed and swallowed, and the entrails hung from its mouth."," Začala je žvýkat a polykat a vnitřnosti jí visely od úst."
"hung","hang","visely","viset","impf"," It chewed and swallowed, and the entrails hung from its mouth."," Začala je žvýkat a polykat a vnitřnosti jí visely od úst."
"warmed","warm","hřáli","hřát","impf"," They came to the stove and warmed their hands at it."," Přistoupili ke kamnům a hřáli si u nich ruce."
"set","set","položila","položit","pf"," Once she set the baby down and tied her braids together in back with a string, and the two braids jerked and swung as she worked."," Pak dítě položila a svázala si copy tkaničkou, ale oba copy se jí při práci jen házely."
"tied","tie","svázala","svázat","pf"," Once she set the baby down and tied her braids together in back with a string, and the two braids jerked and swung as she worked."," Pak dítě položila a svázala si copy tkaničkou, ale oba copy se jí při práci jen házely."
"set","set","položila","položit","pf"," She set tin cups on a big packing box, set tin plates and knives and forks out."," Rozestavila na velkou bednu plechové hrníčky a talíře, položila nože a vidličky."
"set","set","položila","položit","pf"," She set tin cups on a big packing box, set tin plates and knives and forks out."," Rozestavila na velkou bednu plechové hrníčky a talíře, položila nože a vidličky."
"bust","bust","rozbít","rozbít","pf"," "" It 's goddamn lucky we got the word they was gonna try to bust up the dance! "" he said."," "" To máme vopravdu štěstí, když jsme se dověděli, že nám chtějí rozbít zábavu! "" řekl."
"said","say","řekl","říci","pf"," "" It 's goddamn lucky we got the word they was gonna try to bust up the dance! "" he said."," "" To máme vopravdu štěstí, když jsme se dověděli, že nám chtějí rozbít zábavu! "" řekl."
"spoke","speak","Promluvil","promluvit","pf"," The tubby little representative from Unit Three spoke up."," Promluvil malý zavalitý zástupce čtyřky :"
"think","think","Myslím","myslet","impf"," "" I think we oughta squash the hell out of em, an ' show ' em. """," "" Myslím, že bysme si je měli pořádně podat a zmáčknout je a ukázat jim. """
"think","think","měli","mít","impf"," "" I think we oughta squash the hell out of em, an ' show ' em. """," "" Myslím, že bysme si je měli pořádně podat a zmáčknout je a ukázat jim. """
"want","want","chtějí","chtít","impf"," "" That 's what they want."," "" Právě to voni chtějí."
"put","put","Položil","položit","pf"," He put his shovel down, and holding the box in front of him, he edged through the brush until he came to the edge of the swift stream."," Položil lopatu na zem a s bedýnkou před sebou se prodíral houštím, až přišel na samý kraj prudce tekoucího proudu."
"came","come","přišel","přijít","pf"," He put his shovel down, and holding the box in front of him, he edged through the brush until he came to the edge of the swift stream."," Položil lopatu na zem a s bedýnkou před sebou se prodíral houštím, až přišel na samý kraj prudce tekoucího proudu."
"watching","watch","pozoroval","pozorovat","impf"," For a time he stood watching it swirl by, leaving its yellow foam among the willow stems."," Chvíli zůstal stát a pozoroval proud, jak víří a žene se dál a zanechává mezi vrbinami žlutou pěnu."
"held","hold","držel","držet","impf"," He held the apple box against his chest."," Bedýnku držel přitisknutou na prsou."
"leaned","lean","naklonil","naklonit","pf"," And then he leaned over and set the box in the stream and steadied it with his hand."," Pak se naklonil a položil bedýnku do proudu a přidržel ji rukou."
"set","set","položil","položit","pf"," And then he leaned over and set the box in the stream and steadied it with his hand."," Pak se naklonil a položil bedýnku do proudu a přidržel ji rukou."
"sees","see","uvidí","uvidět","pf"," Pa 's gonna be mad when he sees me do that."," Ten se úplně zjeví, až to uvidí."
"seen","see","viděl","vidět","impf"," Ever ' time Pa seen writin ', somebody took somepin away from ' im. """," Dycky když totiž viděl něco napsanýho, tak ho někdo vo něco vobral. """
"went","go","vodjeli","odjet","pf"," They was n't as mad as me, so they went."," Je nepopad takovej vztek jako mě, takže vodjeli."
"eat","eat","jíst","jíst","impf"," They was n't nothin ' to eat here. """," Tady neměli co jíst. """
"went","go","jet","jet","impf"," "" You should of went too."," "" Měls jet taky."
"said","say","odpověděl","odpovědět","pf"," "" I couldn ', "" said Muley Graves."," "" Nemoh sem, "" odpověděl Muley Graves."
"said","say","řekl","říci","pf"," "" I 'm gonna walk down the row, "" he said."," "" Já se kapku projdu tady po táboře, "" řekl."
"sighed","sigh","vzdychl","vzdychnout","pf"," Tom sighed."," Tom vzdychl."
"turned","turn","otočila","otočit","pf"," Ruthie lined up two balls and hit both of them, and she turned her back on the watching eyes, and then turned back."," Pak si Ruthie postavila dvě koule a napálila obě, otočila se k zírajícím očím zády a znovu k nim."
"turned","turn","otočila","otočit","pf"," Ruthie lined up two balls and hit both of them, and she turned her back on the watching eyes, and then turned back."," Pak si Ruthie postavila dvě koule a napálila obě, otočila se k zírajícím očím zády a znovu k nim."
"come","come","Pojďte","jít","impf"," "" You come an ' play, "" she demanded."," "" Pojďte, hrajte si! "" vybízela je."
"wipe","wipe","utři","utřít","pf"," Rosasharn, you wipe up these here an ' put ' em away. """," Rózi, tohle utři a ukliď. """
"moved","move","přesunula","přesunout","pf"," She moved sluggishly to the box and picked up a washed dish."," Pomalu se přesunula k bedně a zvedla umytý talíř."
"said","say","řekl","říci","pf"," "" We 'll get her in awright, "" said Al."," "" Jo, namontujem to hned teď, "" řekl Al."
"do","do","Uděláš","udělat","pf"," "" You got to do her, though."," "" Uděláš to sám."
"says","say","povidám","povídat","impf"," Git back, Satan, ' I says."," Odstup, satane, ' povidám."
"tell","tell","povídat","povídat","impf"," I ca n't tell ya about them little fellas layin ' in the tent with their bellies puffed out an ' jus ' skin on their bones, an ' shiverin ' an ' whinin ' like pups, an ' me runnin ' aroun ' tryin ' to get work - not for money, not for wages! "" he shouted."," Co vám budu povídat, jak ty drobátka ležely ve stanu, bříška nafouklý, jenom kostičky potažený kůží, a třásly se a kňučely jako štěňata, a já lítal jako zběsilej, abych sehnal práci - a ani ne za peníze, ne za mzdu! "" začal již křičet."
"get","get","sehnal","sehnat","pf"," I ca n't tell ya about them little fellas layin ' in the tent with their bellies puffed out an ' jus ' skin on their bones, an ' shiverin ' an ' whinin ' like pups, an ' me runnin ' aroun ' tryin ' to get work - not for money, not for wages! "" he shouted."," Co vám budu povídat, jak ty drobátka ležely ve stanu, bříška nafouklý, jenom kostičky potažený kůží, a třásly se a kňučely jako štěňata, a já lítal jako zběsilej, abych sehnal práci - a ani ne za peníze, ne za mzdu! "" začal již křičet."
"shouted","shout","křičet","křičet","impf"," I ca n't tell ya about them little fellas layin ' in the tent with their bellies puffed out an ' jus ' skin on their bones, an ' shiverin ' an ' whinin ' like pups, an ' me runnin ' aroun ' tryin ' to get work - not for money, not for wages! "" he shouted."," Co vám budu povídat, jak ty drobátka ležely ve stanu, bříška nafouklý, jenom kostičky potažený kůží, a třásly se a kňučely jako štěňata, a já lítal jako zběsilej, abych sehnal práci - a ani ne za peníze, ne za mzdu! "" začal již křičet."
"come","come","přišel","přijít","pf"," An ' then the coroner come."," A pak přišel soudní vohledavač."
"smiled","smile","usmál","usmát","pf"," The preacher smiled, and he looked puzzled."," Kazatel se usmál a zatvářil se rozpačitě."
"want","want","chtěla","chtít","impf"," "" You 're welcome to ' em if you want ' em."," "" Kdybys chtěla, ráda ti je přinesu."
"returned","return","vrátili","vrátit","pf"," Now the wood-gatherers returned, their arms piled high with sticks and their hats and coats dripping."," Pak se vrátili sběrači dříví s náručemi plnými klestí, z klobouků a šatů jim jen crčelo."
"said","say","řekl","říci","pf"," "" Jesus, she 's wet, "" Pa said."," "" Panebože, tam leje, "" řekl táta."
"saw","see","spatřil","spatřit","pf"," Willie craned his neck and saw Huston and called him over."," Willie chvíli natahoval krk a rozhlížel se, až spatřil Hustona a zavolal ho."
"called","call","zavolal","zavolat","pf"," Willie craned his neck and saw Huston and called him over."," Willie chvíli natahoval krk a rozhlížel se, až spatřil Hustona a zavolal ho."
"turned","turn","otočil","otočit","pf"," Huston turned on his heel and walked away;"," Huston se otočil na podpatku a odcházel;"
"speaking","speak","hovořila","hovořit","impf"," Once, after a meeting, while she was still speaking in tongues, she fired both barrels of a shotgun at her husband, ripping one of his buttocks nearly off, and after that he admired her and did not try to torture her as children torture bugs."," Jednou po shromáždění, když ještě hovořila neznámými jazyky, vystřílela na manžela všechny náboje z pušky a skoro mu utrhla jednu půlku zadku, po kterémžto činu se jí on obdivoval a vůbec se jí nepokoušel mučit, třeba jako děti mučí brouky."
"admired","admire","obdivoval","obdivovat","impf"," Once, after a meeting, while she was still speaking in tongues, she fired both barrels of a shotgun at her husband, ripping one of his buttocks nearly off, and after that he admired her and did not try to torture her as children torture bugs."," Jednou po shromáždění, když ještě hovořila neznámými jazyky, vystřílela na manžela všechny náboje z pušky a skoro mu utrhla jednu půlku zadku, po kterémžto činu se jí on obdivoval a vůbec se jí nepokoušel mučit, třeba jako děti mučí brouky."
"try","try","nepokoušel","pokoušet","impf"," Once, after a meeting, while she was still speaking in tongues, she fired both barrels of a shotgun at her husband, ripping one of his buttocks nearly off, and after that he admired her and did not try to torture her as children torture bugs."," Jednou po shromáždění, když ještě hovořila neznámými jazyky, vystřílela na manžela všechny náboje z pušky a skoro mu utrhla jednu půlku zadku, po kterémžto činu se jí on obdivoval a vůbec se jí nepokoušel mučit, třeba jako děti mučí brouky."
"torture","torture","mučit","mučit","impf"," Once, after a meeting, while she was still speaking in tongues, she fired both barrels of a shotgun at her husband, ripping one of his buttocks nearly off, and after that he admired her and did not try to torture her as children torture bugs."," Jednou po shromáždění, když ještě hovořila neznámými jazyky, vystřílela na manžela všechny náboje z pušky a skoro mu utrhla jednu půlku zadku, po kterémžto činu se jí on obdivoval a vůbec se jí nepokoušel mučit, třeba jako děti mučí brouky."
"torture","torture","mučit","mučit","impf"," Once, after a meeting, while she was still speaking in tongues, she fired both barrels of a shotgun at her husband, ripping one of his buttocks nearly off, and after that he admired her and did not try to torture her as children torture bugs."," Jednou po shromáždění, když ještě hovořila neznámými jazyky, vystřílela na manžela všechny náboje z pušky a skoro mu utrhla jednu půlku zadku, po kterémžto činu se jí on obdivoval a vůbec se jí nepokoušel mučit, třeba jako děti mučí brouky."
"torture","torture","mučí","mučit","impf"," Once, after a meeting, while she was still speaking in tongues, she fired both barrels of a shotgun at her husband, ripping one of his buttocks nearly off, and after that he admired her and did not try to torture her as children torture bugs."," Jednou po shromáždění, když ještě hovořila neznámými jazyky, vystřílela na manžela všechny náboje z pušky a skoro mu utrhla jednu půlku zadku, po kterémžto činu se jí on obdivoval a vůbec se jí nepokoušel mučit, třeba jako děti mučí brouky."
