"see","see","neviděl","vidět","impf"," For a moment Crooks did not see him, but on raising his eyes he stiffened and a scowl came on his face."," Crooks ho nějakou chvíli neviděl, ale když zvedl oči, ztoporněl a jeho obličej se zamračil."
"raising","raise","zvedl","zvednout","pf"," For a moment Crooks did not see him, but on raising his eyes he stiffened and a scowl came on his face."," Crooks ho nějakou chvíli neviděl, ale když zvedl oči, ztoporněl a jeho obličej se zamračil."
"says","say","říkal","říkat","impf"," If he coulda used his feet, Smitty says he woulda killed the nigger."," Kdyby směl kopat, říkal, že by toho černýho voddělal."
"said","say","říkali","říkat","impf"," The guys said on account of the nigger 's got a crooked back, Smitty ca n't use his feet. """," Ale mládenci říkali, když má jako ten zkřivenej kříž, že do něj Smitty nesmí kopat. """
"finishing","finish","dokončoval","dokončovat","impf"," Lennie was just finishing making his bed."," Lennie právě dokončoval úpravu svého lůžka."
"raised","raise","zvedla","zvednout","pf"," The wooden latch raised again and the door opened."," Dřevěná závora se znovu zvedla a dveře se pohnuly."
"disappeared","disappear","zmizel","zmizet","pf"," And then he crept around the end of the last manger and disappeared."," Potom se přeplížil kolem posledních jeslí a zmizel."
"lay","lie","ležela","ležet","impf"," Curley 's wife lay on her back, and she was half covered with hay."," Curleyova žena ležela naznak a zpolovice ji přikrývalo seno."
"covered","cover","přikrývalo","přikrývat","impf"," Curley 's wife lay on her back, and she was half covered with hay."," Curleyova žena ležela naznak a zpolovice ji přikrývalo seno."
"look","look","koukala","koukat","impf"," "" If he ai n't, I guess I better look some place else, "" she said playfully."," "" Když teda není, to abych se koukala jinde, "" zažertovala."
"watched","watch","hleděl","hledět","impf"," Lennie watched her, fascinated."," Lennie na ni hleděl jako očarován."
"see","see","uvidím","uvidět","pf"," George said, "" If I see him, I 'll pass the word you was looking for him. """," "" Jestli ho uvidím, "" znovu se ozval George, "" já mu vyřídím, že jste ho hledala. """
"looking","look","hledala","hledat","impf"," George said, "" If I see him, I 'll pass the word you was looking for him. """," "" Jestli ho uvidím, "" znovu se ozval George, "" já mu vyřídím, že jste ho hledala. """
"smiled","smile","usmála","usmát","pf"," She smiled archly and twitched her body."," Rozpustile se usmála a škubla tělem."
"going","go","šel","jít","impf"," There were footsteps behind her, going by."," Za ní se ozvaly kroky, někdo šel kolem."
"turned","turn","Otočila","otočit","pf"," She turned her head."," Otočila hlavu."
"married","marry","vdala","vdát","pf"," So I married Curley."," A tak jsem se vdala za Curleyho."
"told","tell","neříkala","říkat","impf"," "" Well, I ai n't told this to nobody before."," "" Víte, tohle já ještě neříkala nikomu."
"stay","stay","zůstat","zůstat","pf"," We ai n't got to stay here."," My tady zůstat nemusíme."
"go","go","jít","jít","impf"," We got our own lan ', and it 's ours, an ' we c'n go to it. """," Máme naše vlastní hospodářství, a to je naše a můžem si tam jít hospodařit. """
"killed","kill","zabít","zabít","pf"," "" Why do you got to get killed?"," Pročpak tě to muselo zabít?!"
"turned","turn","Obrátil","obrátit","pf"," He turned his back on it."," Obrátil se k němu zády."
"let","let","nedovolí","dovolit","pf"," Now he wo n't let me. """," Teď mi to nedovolí. """
"peel","peel","oloupal","oloupat","pf"," At meals he 'd peel his boil ' potatoes, an ' he 'd take out ever ' little spot, no matter what kind, before he 'd eat it."," Když byly brambory, každej si oloupal, a kde byl jakej černej puntík, každej si musel vydloubnout - potom teprv jed."
"take","take","jed","jíst","impf"," At meals he 'd peel his boil ' potatoes, an ' he 'd take out ever ' little spot, no matter what kind, before he 'd eat it."," Když byly brambory, každej si oloupal, a kde byl jakej černej puntík, každej si musel vydloubnout - potom teprv jed."
"eat","eat","jed","jíst","impf"," At meals he 'd peel his boil ' potatoes, an ' he 'd take out ever ' little spot, no matter what kind, before he 'd eat it."," Když byly brambory, každej si oloupal, a kde byl jakej černej puntík, každej si musel vydloubnout - potom teprv jed."
"going","go","nešel","jít","impf"," Used ta dress up Sundays even when he was n't going no place, put on a necktie even, and then set in the bunkhouse. """," V neděli se vám musel hodit do parády, i když ani nikam nešel, i kravatu si uvázal kolem krku, a zůstal tak sedět tady v baráku."
"needs","need","potřebuje","potřebovat","impf"," The ol ' people that owns it is flat bust an ' the ol ' lady needs an operation."," Ty starý manželé, co jim patří, jsou na tom moc špatně, a babka potřebuje jít na operaci."
"give","give","dali","dát","pf"," An ' they give me two hunderd an ' fifty dollars ' cause I los ' my hand."," A za tu ztracenou ruku mi dali dvě stě padesát dolarů."
"invited","invite","vybídl","vybídnout","pf"," "" Set down, "" he invited."," "" Sedněte si, "" vybídl ho."
"put","put","položil","položit","pf"," Crooks put his dark chin into his pink palm."," Crooks si položil černou bradu na růžovou dlaň."
"stopped","stop","přestal","přestat","pf"," Lennie stopped chewing and swallowed."," Lennie přestal žvýkat a polkl."
"swallowed","swallow","polkl","polknout","pf"," Lennie stopped chewing and swallowed."," Lennie přestal žvýkat a polkl."
"remember","remember","pamatovat","pamatovat","impf"," ' Specially if you remember as good as that. """," Zvlášť když si tak budeš všecko pamatovat. """
"remember","remember","pamatovat","pamatovat","impf"," "" I can remember, "" he said."," "" Já si už dovedu pamatovat. """
"let","let","nedovolí","dovolit","pf"," George ai n't gonna let me tend no rabbits now. """," George mi teď nedovolí opatrovat králíky. """
"sat","sit","Seděl","sedět","impf"," It sat on its haunches in front of him, and it waggled its ears and crinkled its nose at him."," Seděl před ním na bobečku, plandal ušima a krčil na něho nos."
"spoke","speak","mluvil","mluvit","impf"," And it spoke in Lennie 's voice too."," I on mluvil Lennieho hlasem."
"shoot","shoot","zastřelit","zastřelit","pf"," I wisht somebody 'd shoot me if I get old an ' a cripple. """," Kdyby mě tak chtěl někdo zastřelit, jestli ze mě jednou bude starej mrzák! """
"looked","look","podíval","podívat","pf"," Candy looked helplessly at him, for Slim 's opinions were law."," Candy se na něho bezradně podíval, neboť Slimův názor byl zákon."
"hurt","hurt","bolet","bolet","impf"," "" Maybe it 'd hurt him, "" he suggested."," "" Ono by ho to přece jen mohlo bolet, "" projevil obavu."
"shoot","shoot","střelil","střelit","pf"," Carlson said, "" The way I 'd shoot him, he would n't feel nothing."," "" Já bych ho střelil tak, že by to ani neucejtil, "" ubezpečoval Carlson."
"seen","see","viděl","vidět","impf"," "" Furry ones, George, like I seen in the fair in Sacramento. """," "" A s takovejma kožíškama, Georgi, jako ty, co jsem viděl na tom trhu v Sacramentu. """
"dropped","drop","shodil","shodit","pf"," His huge companion dropped his blankets and flung himself down and drank from the surface of the green pool;"," Jeho společník shodil ze sebe houně, vrhl se na zem a začal pít z povrchu zelené tůňky;"
"flung","fling","shodil","shodit","pf"," His huge companion dropped his blankets and flung himself down and drank from the surface of the green pool;"," Jeho společník shodil ze sebe houně, vrhl se na zem a začal pít z povrchu zelené tůňky;"
"dropped","drop","vrhl","vrhnout","pf"," His huge companion dropped his blankets and flung himself down and drank from the surface of the green pool;"," Jeho společník shodil ze sebe houně, vrhl se na zem a začal pít z povrchu zelené tůňky;"
"flung","fling","vrhl","vrhnout","pf"," His huge companion dropped his blankets and flung himself down and drank from the surface of the green pool;"," Jeho společník shodil ze sebe houně, vrhl se na zem a začal pít z povrchu zelené tůňky;"
"drank","drink","pít","pít","impf"," His huge companion dropped his blankets and flung himself down and drank from the surface of the green pool;"," Jeho společník shodil ze sebe houně, vrhl se na zem a začal pít z povrchu zelené tůňky;"
"drank","drink","pil","pít","impf"," drank with long gulps, snorting into the water like a horse."," pil dlouhými hlty a frkal do vody jako kůň."
"drink","drink","Nepij","pít","impf"," "" Lennie, for God ' sakes do n't drink so much. """," "" Nepij mi tolik, Lennie, propánaboha! """
"leaned","lean","naklonil","naklonit","pf"," The small man leaned over and shook him by the shoulder."," Ten malý se naklonil a zatřásl mu ramenem."
"do","do","udělat","udělat","pf"," "" Nobody ca n't tell what a guy 'll do, "" he observed calmly."," "" To žádnej neví, co druhej může udělat, "" poznamenal klidně."
"observed","observe","poznamenal","poznamenat","pf"," "" Nobody ca n't tell what a guy 'll do, "" he observed calmly."," "" To žádnej neví, co druhej může udělat, "" poznamenal klidně."
"wants","want","chce","chtít","impf"," "" Le 's say he wants to come back and ca n't."," "" Třeba se chce vrátit, ale nemůže."
"killed","kill","zabijou","zabít","pf"," S'pose he gets killed or hurt so he ca n't come back. """," Co když ho třeba zabijou nebo se mu něco stane, takže se vrátit nebude moct. """
"understand","understand","pochopil","pochopit","pf"," Lennie struggled to understand."," Lennie se lopotil, aby to pochopil."
"do","do","neudělá","udělat","pf"," "" George wo n't do nothing like that, "" he repeated."," "" Něco takovýho George neudělá, "" opakoval potom."
"repeated","repeat","opakoval","opakovat","impf"," "" George wo n't do nothing like that, "" he repeated."," "" Něco takovýho George neudělá, "" opakoval potom."
"looked","look","pohlédl","pohlédnout","pf"," Lennie looked sadly up at him."," Lennie na něho smutně pohlédl."
"said","say","řekl","říci","pf"," "" They was so little, "" he said, apologetically."," "" Když byly takový maličký, "" řekl na to, jako by se omlouval."
"threw","throw","vrhala","vrhat","impf"," In the stable buck 's room a small electric globe threw a meager yellow light."," Malá kulovitá žárovka v koňákově komoře vrhala žluté světlo."
"sat","sit","seděl","sedět","impf"," Crooks sat on his bunk."," Crooks seděl na palandě."
"held","hold","držel","držet","impf"," In one hand he held a bottle of liniment, and with the other he rubbed his spine."," V jedné ruce držel lahvičku s mazáním a druhou rukou si třel hřbet."
"rubbed","rub","třel","třít","impf"," In one hand he held a bottle of liniment, and with the other he rubbed his spine."," V jedné ruce držel lahvičku s mazáním a druhou rukou si třel hřbet."
"reached","reach","sáhl","sáhnout","pf"," Now and then he poured a few drops of the liniment into his pink-palmed hand and reached up under his shirt to rub again."," Občas si kápl do růžové dlaně pár kapek mazání a sáhl si nahoru pod košili a začal třít znovu."
"rub","rub","třít","třít","impf"," Now and then he poured a few drops of the liniment into his pink-palmed hand and reached up under his shirt to rub again."," Občas si kápl do růžové dlaně pár kapek mazání a sáhl si nahoru pod košili a začal třít znovu."
"shivered","shiver","třásl","třást","impf"," He flexed his muscles against his back and shivered."," Vtlačoval si prsty vší silou do zad a třásl se."
"saw","see","spatřil","spatřit","pf"," George looked over at Slim and saw the calm, Godlike eyes fastened on him."," George přejel pohledem na Slima a spatřil na sebe upřeny až božsky klidné oči."
"lost","lose","ztratila","ztratit","pf"," The next minute Curley was flopping like a fish on a line, and his closed fist was lost in Lennie 's big hand."," A za chviličku sebou Curley mrskal jako ryba houpající se na vlasci a jeho sevřená pěst se ztratila v Lennieho ruce."
"watched","watch","hleděl","hledět","impf"," But Lennie watched in terror the flopping little man whom he held."," Ale on pořád hleděl zděšeně na toho maličkého človíčka, kterého držel."
"held","hold","držel","držet","impf"," But Lennie watched in terror the flopping little man whom he held."," Ale on pořád hleděl zděšeně na toho maličkého človíčka, kterého držel."
"held","hold","držel","držet","impf"," George slapped him in the face again and again, and still Lennie held on to the closed fist."," George ho plácl přes tvář a plácal ho znovu a znovu, a Lennie držel tu sevřenou pěst dál."
"want","want","chci","chtít","impf"," I want that mouse. """," Tu myš chci. """
"reached","reach","sáhl","sáhnout","pf"," Lennie reluctantly reached into his pocket."," Lennie sáhl neochotně do kapsy."
"broke","break","zlomil","zlomit","pf"," His voice broke a little."," Trošičku se mu zlomil hlas."
"keep","keep","nechat","nechat","pf"," "" I do n't know why I ca n't keep it."," "" To bych rád věděl, proč bych si ji nemoh nechat."
"steal","steal","neukrad","ukrást","pf"," I did n't steal it."," Já ji přece neukrad."
"found","find","našel","najít","pf"," I found it lyin ' right beside the road. """," Já ji našel u silnice. """
"remained","remain","zůstala","zůstat","pf"," George 's hand remained outstretched imperiously."," Georgeova ruka zůstala velitelsky vztyčena."
"want","want","nechce","chtít","impf"," Slowly, like a terrier who does n't want to bring a ball to its master, Lennie approached, drew back, approached again."," Pomalu, jako teriér, který nechce pánovi aportovat míček, Lennie popošel, ucouvl a znovu zas popošel."
"went","go","pokračoval","pokračovat","impf"," "" An ' whatta I got, "" George went on furiously."," "" A mám col "" pokračoval George vztekle."
"keep","keep","neudržíš","udržet","pf"," You ca n't keep a job and you lose me ever ' job I get."," TY se na žádným místě neudržíš, a když dostanu místo, pokaždý o něj skrz tebe přijdu."
"keep","keep","dostanu","dostat","pf"," You ca n't keep a job and you lose me ever ' job I get."," TY se na žádným místě neudržíš, a když dostanu místo, pokaždý o něj skrz tebe přijdu."
"get","get","dostanu","dostat","pf"," You ca n't keep a job and you lose me ever ' job I get."," TY se na žádným místě neudržíš, a když dostanu místo, pokaždý o něj skrz tebe přijdu."
"get","get","přijdu","přijít","pf"," You ca n't keep a job and you lose me ever ' job I get."," TY se na žádným místě neudržíš, a když dostanu místo, pokaždý o něj skrz tebe přijdu."
"went","go","odešel","odejít","pf"," "" He was in here a minute ago, but he went. """," "" Byl tady před chvilkou, ale odešel. """
"leaned","lean","opřela","opřít","pf"," She put her hands behind her back and leaned against the door frame so that her body was thrown forward."," Založila ruce za záda a opřela se o veřeje, takže její trup byl vykloněn do dveří."
"come","come","přišli","přijít","pf"," "" You 're the new fellas that just come, ai n't ya? """," "" Tak vy jste ty nový, co akorát přišli, že? """
"seem","seem","nezdálo","zdát","impf"," Lennie 's eyes moved down over her body, and though she did not seem to be looking at Lennie she bridled a little."," Lennieho oči jí sjížděly po těle, a třebaže se nezdálo, že by hleděla na něho, trošičku se vypjala."
"looking","look","hleděla","hledět","impf"," Lennie 's eyes moved down over her body, and though she did not seem to be looking at Lennie she bridled a little."," Lennieho oči jí sjížděly po těle, a třebaže se nezdálo, že by hleděla na něho, trošičku se vypjala."
"wanna","wanna","chci","chtít","impf"," I wanna get outa here. """," Já chci pryč. """
"gotta","gotta","Musíme","muset","impf"," "" We gotta keep it till we get a stake."," "" Musíme tady už zůstat, dokud si něco nenaspoříme."
"get","get","zůstat","zůstat","pf"," "" We gotta keep it till we get a stake."," "" Musíme tady už zůstat, dokud si něco nenaspoříme."
"like","like","líbí","líbit","impf"," I do n't like it no better than you do. """," Mně se to tady líbí zrovna tak málo jako tobě. """
"Tell","tell","Povídej","povídat","impf"," Tell about that, George. """," Povídej mi o tom, Georgi. """
"tell","tell","povídej","povídat","impf"," "" No ... you tell it."," "" Ale ne ... povídej ty."
"watched","watch","pozoroval","pozorovat","impf"," Lennie watched him from over the fire."," Lennie ho přes ohníček pozoroval."
"like","like","zatoužil","zatoužit","pf"," He said patiently, "" I like ' em with ketchup. """," "" Já je nejradši s kečupem, "" zatoužil krotce."
"exploded","explode","vybuchl","vybuchnout","pf"," "" Well, we ai n't got any, "" George exploded."," "" Ten my ale nemáme! "" vybuchl George."
"want","want","chceš","chtít","impf"," "" Whatever we ai n't got, that 's what you want."," "" Ty chceš vždycky akorát to, co není!"
"get","get","dostal","dostat","pf"," I could go get a job an ' work, an ' no trouble."," Práci bych vždycky dostal jedna dvě, a nebyly by žádný maléry."
"held","hold","držel","držet","impf"," He held a crushed Stetson hat under his arm while he combed his long, black, damp hair straight back."," V podpaží držel zmačkaný širák a sčesával si dozadu dlouhé černé vlhké vlasy."
"wore","wear","měl","mít","impf"," Like the others he wore blue jeans and a short denim jacket."," Na sobě měl, podobně jako ostatní, modré cvilinkové kalhoty a krátkou cajkovou kazajku."
"driving","drive","řídit","řídit","impf"," He was a jerkline skinner, the prince of the ranch, capable of driving ten, sixteen, even twenty mules with a single line to the leaders."," Byl to kočí od velkých spřežení, kníže ranče, který dovedl řídit spřežení deseti, šestnácti, ba i dvaceti mul jednou jedinou opratí vedoucí až k čelné řadě spřežení."
"sat","sit","Posadil","posadit","pf"," He sat back on his heels."," Posadil se na bobek."
"turned","turn","otočil","otočit","pf"," George turned the bean cans so that another side faced the fire."," George otočil plechovky, aby byly k ohni obráceny druhou stranou."
"turned","turn","obráceny","obrátit","pf"," George turned the bean cans so that another side faced the fire."," George otočil plechovky, aby byly k ohni obráceny druhou stranou."
"want","want","chceš","chtít","impf"," "" Whatta you want? """," "" Co chceš? """
"remember","remember","pamatovat","pamatovat","impf"," You can remember this place, ca n't you?"," Budeš si tohle místo pamatovat - co říkáš?"
"remember","remember","zapamatuju","zapamatovat","pf"," "" I can remember this."," "" To já si zapamatuju."
"remember","remember","pamatoval","pamatovat","impf"," Di' n't I remember about not gonna say a word? """," To jsem si přece taky pamatoval, že nesmím ani ceknout. """
"lifted","lift","Zvedl","zvednout","pf"," He lifted her arm and let it drop."," Zvedl jí paži a nechal ji zase klesnout."
"let","let","nechal","nechat","pf"," He lifted her arm and let it drop."," Zvedl jí paži a nechal ji zase klesnout."
"drop","drop","nechal","nechat","pf"," He lifted her arm and let it drop."," Zvedl jí paži a nechal ji zase klesnout."
"drop","drop","klesnout","klesnout","pf"," He lifted her arm and let it drop."," Zvedl jí paži a nechal ji zase klesnout."
"done","do","proved","provést","pf"," I done another bad thing. """," Já zas něco proved. """
"covered","cover","přikryl","přikrýt","pf"," He pawed up the hay until it partly covered her."," Začal přihrabávat seno, až ji zčásti přikryl."
"listened","listen","poslouchal","poslouchat","impf"," He crouched down in the hay and listened."," Schoulil se do sena a poslouchal."
"say","say","řekli","říci","pf"," We ai n't got nothing to say to you at all."," My už jsme vám svoje řekli."
"closed","close","uzavřeny","uzavřít","pf"," She looked from one face to another, and they were all closed against her."," Přešla zrakem z obličeje na obličej, všechny byly vůči ní uzavřeny."
"looked","look","hleděla","hledět","impf"," And she looked longest at Lennie, until he dropped his eyes in embarrassment."," A nejdéle hleděla na Lennieho, až rozpačitě sklopil oči."
"heard","hear","slyšet","slyšet","impf"," From a distance there could be heard a rattle of dishes."," Z dálky bylo slyšet řachtění talířů."
"come","come","Chodily","chodit","impf"," The white kids come to play at our place, an ' sometimes I went to play with them, and some of them was pretty nice."," Chodily si k nám hrát bílý děti a já si zase někdy chodil hrát k nim, a některý z nich byly moc hodný."
"went","go","Chodily","chodit","impf"," The white kids come to play at our place, an ' sometimes I went to play with them, and some of them was pretty nice."," Chodily si k nám hrát bílý děti a já si zase někdy chodil hrát k nim, a některý z nich byly moc hodný."
"play","play","hrát","hrát","impf"," The white kids come to play at our place, an ' sometimes I went to play with them, and some of them was pretty nice."," Chodily si k nám hrát bílý děti a já si zase někdy chodil hrát k nim, a některý z nich byly moc hodný."
"play","play","hrát","hrát","impf"," The white kids come to play at our place, an ' sometimes I went to play with them, and some of them was pretty nice."," Chodily si k nám hrát bílý děti a já si zase někdy chodil hrát k nim, a některý z nich byly moc hodný."
"come","come","chodil","chodit","impf"," The white kids come to play at our place, an ' sometimes I went to play with them, and some of them was pretty nice."," Chodily si k nám hrát bílý děti a já si zase někdy chodil hrát k nim, a některý z nich byly moc hodný."
"went","go","chodil","chodit","impf"," The white kids come to play at our place, an ' sometimes I went to play with them, and some of them was pretty nice."," Chodily si k nám hrát bílý děti a já si zase někdy chodil hrát k nim, a některý z nich byly moc hodný."
