"meet","meet","nesetkáme","setkat","pf"," "" And I will let you go at that - and may we never meet again! """," "" Především skoncuju s vámi - a kéž se už nikdy nesetkáme! """
"turned","turn","otočil","otočit","pf"," Then he turned and spoke over the wall."," Potom se otočil a promluvil přes hradbu."
"spoke","speak","promluvil","promluvit","pf"," Then he turned and spoke over the wall."," Potom se otočil a promluvil přes hradbu."
"guessed","guess","uhodli","uhodnout","pf"," "" It was rightly guessed that I could not forbear to redeem the Arkenstone, the treasure of my house."," Správně jste uhodli, že se neudržím, abych nevykoupil Arcikam, poklad svého rodu."
"redeem","redeem","nevykoupil","vykoupit","pf"," "" It was rightly guessed that I could not forbear to redeem the Arkenstone, the treasure of my house."," Správně jste uhodli, že se neudržím, abych nevykoupil Arcikam, poklad svého rodu."
"give","give","Dám","dát","pf"," For it I will give one fourteenth share of the hoard in silver and gold, setting aside the gems;"," Dám za něj čtrnáctinu pokladu ve stříbře a ve zlatě, bez drahokamů;"
"setting","set","Dám","dát","pf"," For it I will give one fourteenth share of the hoard in silver and gold, setting aside the gems;"," Dám za něj čtrnáctinu pokladu ve stříbře a ve zlatě, bez drahokamů;"
"look","look","podívat","podívat","pf"," "" To look ahead, "" said he."," "" Byl jsem se podívat napřed, "" odpověděl čaroděj."
"said","say","odpověděl","odpovědět","pf"," "" To look ahead, "" said he."," "" Byl jsem se podívat napřed, "" odpověděl čaroděj."
"brought","bring","přivedlo","přivést","pf"," "" And what brought you back in the nick of time? """," "" A co vás tak rychle přivedlo nazpátek? """
"Looking","look","podíval","podívat","pf"," "" Looking behind, "" said he."," "" Že jsem se podíval nazpátek. """
"went","go","Jel","jet","impf"," "" I went on to spy out our road."," "" Jel jsem prozkoumat dál naši cestu."
"met","meet","potkal","potkat","pf"," I had not gone very far, however, when I met a couple of friends of mine from Rivendell. """," Nedojel jsem však ani moc daleko, když jsem potkal dva své přátele z Roklinky. """
"said","say","odpověděl","odpovědět","pf"," "" Follow me then, "" said the captain, and with six men about them he led them over the bridge through the gates and into the market-place of the town."," "" Tak pojďte za mnou! "" odpověděl kapitán a s doprovodem šesti mužů je převedl přes most, skrz bránu a na městské tržiště."
"going","go","vedlo","vést","impf"," This was a wide circle of quiet water surrounded by the tall piles on which were built the greater houses, and by long wooden quays with many steps and ladders going down to the surface of the lake."," Tržiště zde tvořil kruh tiché vody, obklopený vysokými kůly, na nichž byly zbudovány větší domy, a dlouhými dřevěnými nábřežími, odkud vedlo mnoho schodišť a žebříků k hladině jezera."
"shone","shine","zářilo","zářit","impf"," From one great hall shone many lights and there came the sound of many voices."," Z jedné velké síně zářilo mnoho světel a bylo slyšet mnoho hlasů."
"watching","watch","Pozoruje","pozorovat","impf"," He was watching the tunnel entrance!"," Pozoruje ústí tunelu!"
"spoke","speak","promluvil","promluvit","pf"," Then Smaug spoke."," Potom Šmak promluvil."
"smell","smell","cítím","cítit","impf"," I smell you and I feel your air."," Čichám tě a cítím tvůj pach."
"feel","feel","cítím","cítit","impf"," I smell you and I feel your air."," Čichám tě a cítím tvůj pach."
"hear","hear","Slyším","slyšet","impf"," I hear your breath."," Slyším tvůj dech!"
