"sat","sit","seděli","sedět","impf"," There they sat for some while, looking through the window at the bright stars above the steep-climbing woods, and talking softly."," Tam chvíli seděli, dívali se oknem na jasné hvězdy nad strmě stoupajícími lesy a tiše si povídali."
"looking","look","dívali","dívat","impf"," There they sat for some while, looking through the window at the bright stars above the steep-climbing woods, and talking softly."," Tam chvíli seděli, dívali se oknem na jasné hvězdy nad strmě stoupajícími lesy a tiše si povídali."
"seen","see","vidět","vidět","impf"," Often he was seen walking and talking with the strange wayfarers that began at this time to appear in the Shire."," Často ho bylo vidět, jak jde a rozmlouvá s cizími pocestnými, kteří se tou dobou začali objevovat v Kraji."
"walking","walk","jde","jít","impf"," Often he was seen walking and talking with the strange wayfarers that began at this time to appear in the Shire."," Často ho bylo vidět, jak jde a rozmlouvá s cizími pocestnými, kteří se tou dobou začali objevovat v Kraji."
"talking","talk","rozmlouvá","rozmlouvat","impf"," Often he was seen walking and talking with the strange wayfarers that began at this time to appear in the Shire."," Často ho bylo vidět, jak jde a rozmlouvá s cizími pocestnými, kteří se tou dobou začali objevovat v Kraji."
"began","begin","začali","začít","pf"," Often he was seen walking and talking with the strange wayfarers that began at this time to appear in the Shire."," Často ho bylo vidět, jak jde a rozmlouvá s cizími pocestnými, kteří se tou dobou začali objevovat v Kraji."
"appeared","appear","neobjevil","objevit","pf"," and as Gandalf had not at that time appeared or sent any message for several years, Frodo gathered all the news he could."," a protože Gandalf se neobjevil a nedal o sobě vědět už několik let, Frodo sbíral zprávy všelijak."
"gathered","gather","sbíral","sbírat","impf"," and as Gandalf had not at that time appeared or sent any message for several years, Frodo gathered all the news he could."," a protože Gandalf se neobjevil a nedal o sobě vědět už několik let, Frodo sbíral zprávy všelijak."
"selected","select","vybráni","vybrat","pf"," and the guests were selected from all the families to which Bilbo and Frodo were related, with the addition of a few special unrelated friends ( such as Gandalf )."," a hosté byli vybráni ze všech rodin, s nimiž byli Bilbo a Frodo spřízněni, s přídavkem několika nespřízněných přátel ( jako Gandalf )."
"getting","get","zůstat","zůstat","pf"," for hobbits were easy-going with their children in the matter of sitting up late, especially when there was a chance of getting them a free meal."," hobiti totiž nezakazovali dětem zůstat déle vzhůru, zvláště když byla naděje, že dostanou zadarmo najíst."
"getting","get","dostanou","dostat","pf"," for hobbits were easy-going with their children in the matter of sitting up late, especially when there was a chance of getting them a free meal."," hobiti totiž nezakazovali dětem zůstat déle vzhůru, zvláště když byla naděje, že dostanou zadarmo najíst."
"leave","leave","opustit","opustit","pf"," Fond as he was of Frodo, Fatty Bolger had no desire to leave the Shire, nor to see what lay outside it."," I když měl Froda rád, Cvali Bulva nijak netoužil opustit Kraj a vidět, co leží za ním."
"see","see","vidět","vidět","impf"," Fond as he was of Frodo, Fatty Bolger had no desire to leave the Shire, nor to see what lay outside it."," I když měl Froda rád, Cvali Bulva nijak netoužil opustit Kraj a vidět, co leží za ním."
"lay","lie","leží","ležet","impf"," Fond as he was of Frodo, Fatty Bolger had no desire to leave the Shire, nor to see what lay outside it."," I když měl Froda rád, Cvali Bulva nijak netoužil opustit Kraj a vidět, co leží za ním."
