"said","say","neříkal","říkat","impf"," Pippin said no more."," Pipin už neříkal nic."
"walking","walk","kráčel","kráčet","impf"," Before long he was walking with Gandalf once more down the cold corridor to the door of the Tower Hall."," Zanedlouho opět kráčel s Gandalfem dlouhou chodbou ke dveřím Věžní síně."
"shot","shoot","zastřelili","zastřelit","pf"," Lagduf and Muzgash ran through, but they were shot."," Lagduf a Muzgaš proběhli, ale zastřelili je."
"saw","see","Viděl","vidět","impf"," I saw it from a window, I tell you."," Viděl jsem to z okna, říkám vám."
"tell","tell","říkám","říkat","impf"," I saw it from a window, I tell you."," Viděl jsem to z okna, říkám vám."
"go","go","jít","jít","impf"," ' Then you must go."," "" Tak musíš jít ty."
"stay","stay","zůstat","zůstat","pf"," I must stay here anyway."," Já tu stejně musím zůstat."
"gave","give","Dal","dát","pf"," ' I gave him better than I got, but he knifed me, the dung, before I throttled him."," "" Dal jsem mu víc, než jsem dostal, ale to čuně do mně vrazilo nůž, než jsem ho zardousil."
"got","get","dostal","dostat","pf"," ' I gave him better than I got, but he knifed me, the dung, before I throttled him."," "" Dal jsem mu víc, než jsem dostal, ale to čuně do mně vrazilo nůž, než jsem ho zardousil."
"said","say","řekl","říci","pf"," ' It is true that I wish to go back to the Shire, ' said Frodo."," "" Je pravda, že bych se rád vrátil do Kraje, "" řekl Frodo."
"do","do","Dělej","dělat","impf"," ' You will do as you will, my lord Aragorn, ' said Théoden."," "" Dělej, jak chceš, můj pane Aragorne, "" řekl Théoden."
"said","say","řekl","říci","pf"," ' You will do as you will, my lord Aragorn, ' said Théoden."," "" Dělej, jak chceš, můj pane Aragorne, "" řekl Théoden."
"said","say","řekl","říci","pf"," ' Farewell, lord! ' said Aragorn."," "" Měj se dobře, pane! "" řekl Aragorn."
"found","find","nenacházel","nacházet","impf"," Sam bowed, but found nothing to say."," Sam se poklonil, ale nenacházel slova."
"forgotten","forget","Zapomněl","zapomenout","pf"," He had forgotten how beautiful the Lady was."," Zapomněl totiž, jak je Paní krásná."
"woke","wake","probudil","probudit","pf"," Then Bilbo woke up and opened his eyes."," Pak se Bilbo probudil a otevřel oči."
"opened","open","otevřel","otevřít","pf"," Then Bilbo woke up and opened his eyes."," Pak se Bilbo probudil a otevřel oči."
"said","say","řekl","říci","pf"," ' Hullo, Frodo! ' he said."," "" Nazdar, Frodo! "" řekl."
"passed","pass","překonal","překonat","pf"," ' Well, I have passed the Old Took today!"," "" Tak jsem dneska překonal Starého Brala!"
"fit","fit","padlo","padnout","pf"," ' No mail have we to fit you, ' said Éowyn, ' nor any time for the forging of such a hauberk;"," "" Nemáme žádné brnění, které by ti padlo, "" řekla Éowyn, "" ani čas ukovat je."
"said","say","řekla","říci","pf"," ' No mail have we to fit you, ' said Éowyn, ' nor any time for the forging of such a hauberk;"," "" Nemáme žádné brnění, které by ti padlo, "" řekla Éowyn, "" ani čas ukovat je."
"showed","show","ukázala","ukázat","pf"," Merry bowed, and the lady showed him the shield, which was like the shield that had been given to Gimli, and it bore on it the device of the white horse."," Smíšek se poklonil a paní mu ukázala štít, který se podobal tomu, jejž dostal Gimli, a měl na sobě znak bílého koně."
"bore","bear","měl","mít","impf"," Merry bowed, and the lady showed him the shield, which was like the shield that had been given to Gimli, and it bore on it the device of the white horse."," Smíšek se poklonil a paní mu ukázala štít, který se podobal tomu, jejž dostal Gimli, a měl na sobě znak bílého koně."
"think","think","mělo","mít","impf"," But if it 's to be a flower-name, then I do n't trouble about the length : it must be a beautiful flower, because, you see, I think she is very beautiful, and is going to be beautifuller still. '"," Ale kdyby to mělo být jméno kytky, tak mi na délce nezáleží : musí to být krásná kytka, víte, protože myslím, že ona je moc krásná a bude ještě krásnější. """
"think","think","myslím","myslet","impf"," But if it 's to be a flower-name, then I do n't trouble about the length : it must be a beautiful flower, because, you see, I think she is very beautiful, and is going to be beautifuller still. '"," Ale kdyby to mělo být jméno kytky, tak mi na délce nezáleží : musí to být krásná kytka, víte, protože myslím, že ona je moc krásná a bude ještě krásnější. """
"thought","think","přemýšlel","přemýšlet","impf"," Frodo thought for a moment."," Frodo chviličku přemýšlel."
"remember","remember","vzpomínáš","vzpomínat","impf"," ' Well, Sam, what about elanor, the sun-star, you remember the little golden flower in the grass of Lothlórien? '"," "" Víš, Same, co bys řekl na elanor, sluneční hvězdičku, jestli si vzpomínáš na tu zlatou kytičku v Lothlórienu? """
"said","say","řekl","říci","pf"," ' You 're right again, Mr. Frodo! ' said Sam delighted."," "" Zase máte pravdu, pane Frodo! "" řekl Sam blaženě."
"wanted","want","potřeboval","potřebovat","impf"," ' That 's what I wanted. '"," "" Zrovna to jsem potřeboval. """
"felt","feel","cítil","cítit","impf"," He stumbled on until he was crawling like a beast on the ground and felt that he could endure no more : he must either find an ending and escape or run back in madness to meet the following fear."," Klopýtal dál a pak se plazil po zemi a cítil, že nevydrží : buď musí najít východ a uprchnout, nebo se v šílenství rozběhne zpátky vstříc strachu za sebou."
"endure","endure","nevydrží","vydržet","pf"," He stumbled on until he was crawling like a beast on the ground and felt that he could endure no more : he must either find an ending and escape or run back in madness to meet the following fear."," Klopýtal dál a pak se plazil po zemi a cítil, že nevydrží : buď musí najít východ a uprchnout, nebo se v šílenství rozběhne zpátky vstříc strachu za sebou."
"find","find","najít","najít","pf"," He stumbled on until he was crawling like a beast on the ground and felt that he could endure no more : he must either find an ending and escape or run back in madness to meet the following fear."," Klopýtal dál a pak se plazil po zemi a cítil, že nevydrží : buď musí najít východ a uprchnout, nebo se v šílenství rozběhne zpátky vstříc strachu za sebou."
"escape","escape","uprchnout","uprchnout","pf"," He stumbled on until he was crawling like a beast on the ground and felt that he could endure no more : he must either find an ending and escape or run back in madness to meet the following fear."," Klopýtal dál a pak se plazil po zemi a cítil, že nevydrží : buď musí najít východ a uprchnout, nebo se v šílenství rozběhne zpátky vstříc strachu za sebou."
"heard","hear","uslyšel","uslyšet","pf"," Suddenly he heard the tinkle of water, a sound hard and clear as a stone falling into a dream of dark shadow."," Náhle uslyšel zurčení vody, tvrdý a čirý zvuk, jako když do snu o temném stínu padne kámen."
"falling","fall","padne","padnout","pf"," Suddenly he heard the tinkle of water, a sound hard and clear as a stone falling into a dream of dark shadow."," Náhle uslyšel zurčení vody, tvrdý a čirý zvuk, jako když do snu o temném stínu padne kámen."
"appeared","appear","Vycházelo","vycházet","impf"," It came from an opening that led to another stairway, dark and narrow : it appeared to go winding up the turret along the inside of its round outer wall."," Vycházelo z otvoru, který vedl k dalšímu úzkému a temnému schodišti, které se zřejmě točilo vzhůru kolem vnitřní stěny kulaté věžice."
"led","lead","vedl","vést","impf"," It came from an opening that led to another stairway, dark and narrow : it appeared to go winding up the turret along the inside of its round outer wall."," Vycházelo z otvoru, který vedl k dalšímu úzkému a temnému schodišti, které se zřejmě točilo vzhůru kolem vnitřní stěny kulaté věžice."
