"believe","believe","domnívám","domnívat","impf"," I do believe, though, that contracting the plague in this dreadful century would be only ludicrous."," přesto se však domnívám, že v tomto příšerném století by morová nákaza byla záležitostí spíše směšnou."
"found","find","shledal","shledat","pf"," To be quite honest, I found him rather casual and unconcerned."," Mám - li být zcela upřímný, shledal jsem ho poněkud netečným a lhostejným."
"painted","paint","namalován","namalovat","pf"," I brought to his attention the sign ( Yes, reader, it has finally been painted and posted;"," Upozornil jsem ho na svůj nápis ( Ano, milý čtenáři, konečně byl namalován a vyvěšen;"
"gives","give","dodává","dodávat","impf"," a rather imperial fleur-de-lis now gives it added significance. ), but that, too, elicited little interest on his part."," královská heraldická lilie mu ještě dodává na významnosti. ), ani ten však v něm nevyvolal hlubší zájem."
"added","add","dodává","dodávat","impf"," a rather imperial fleur-de-lis now gives it added significance. ), but that, too, elicited little interest on his part."," královská heraldická lilie mu ještě dodává na významnosti. ), ani ten však v něm nevyvolal hlubší zájem."
"elicited","elicit","nevyvolal","vyvolat","pf"," a rather imperial fleur-de-lis now gives it added significance. ), but that, too, elicited little interest on his part."," královská heraldická lilie mu ještě dodává na významnosti. ), ani ten však v něm nevyvolal hlubší zájem."
"dialed","dial","vytočila","vytočit","pf"," She carried the telephone as far down the hall as she could, and for the fourth time that day, she dialed Santa Battaglia 's number."," Odnesla si telefon co nejdále do haly a toho dne už počtvrté vytočila číslo Santy Battagliové."
"said","say","řekla","říci","pf"," "" Lord, honey, you really worried, "" Santa said."," "" Prokrindáčka, zlato, ty máš ale ustaranej hlas, "" řekla Santa."
"whispered","whisper","zašeptala","zašeptat","pf"," "" I 'm afraid Ignatius is in worst trouble than just a picture in the paper, "" Mrs. Reilly whispered."," "" Tak se ti bojím, že má Ignácius horší průšvih, než je ta fotka v novinách, "" zašeptala paní Reillyová."
"talk","talk","mluvit","mluvit","impf"," "" I ca n't talk over the phone."," "" Nemůžu vo tom po telefonu mluvit."
"watch","watch","hlídala","hlídat","impf"," Half the time I gotta watch you, brain, to see you do n't try to sell them a drink. """," A jedním okem abych pořád hlídala tebe, miláčku, jestli jim náhodou nenabízíš pitivo. """
"make","make","vydělat","vydělat","pf"," "" I try to make a living. """," "" Musím si nějak vydělat na chleba. """
"tell","tell","poznáš","poznat","pf"," "" You tell a cop by his eyes, Darlene."," "" Fízla poznáš podle očí, Darleno."
"shown","show","ukázal","ukázat","pf"," Once in high school someone had shown him a pornographic photograph, and he had collapsed against a water cooler, injuring his ear."," Jednou mu někdo, ještě jako dítěti školou povinnému, ukázal pornografickou fotografii a Ignácius se skácel na fontánku s pitnou vodou a natrhl si ucho."
"sitting","sit","seděla","sedět","impf"," A nude woman was sitting on the edge of a desk next to a globe of the world."," Na kraji katedry seděla vedle glóbusu nahá žena."
"hanging","hang","visela","viset","impf"," Darlene 's orchid was hanging, and the bird 's few feathers were ruffled."," Darlenina orchidej splihle visela k zemi a papoušek měl pocuchaná pera."
"said","say","řekla","říci","pf"," "" Okay now, Darlene, "" Lana said, grabbing Darlene by the shoulders."," "" Tak naposled, Darleno, "" řekla Lana a popadla Darlenu za ramena."
"grabbing","grab","popadla","popadnout","pf"," "" Okay now, Darlene, "" Lana said, grabbing Darlene by the shoulders."," "" Tak naposled, Darleno, "" řekla Lana a popadla Darlenu za ramena."
"say","say","říct","říci","pf"," "" What the hell are you supposed to say? """," "" Co máš krucinál říct? """
"think","think","Myslím","myslet","impf"," I think she 's over that now."," Myslím, že tohle už překonala."
"analyzed","analyze","analyzovala","analyzovat","impf"," Basically she has a deep seated hatred of Levy Pants that I 've analyzed as being rooted in fear."," Její hluboce zakořeněná nenávist vůči Levyho kalhotám, jak jsem analyzovala, pramení v podstatě ze strachu."
"led","lead","přivedly","přivést","pf"," The insecurity and fear have led to hatred. """," To nejistota a strach ji přivedly k nenávisti. """
"said","say","řekl","říci","pf"," "" Of course, "" the office manager said, half listening."," "" Ovšemže, "" řekl přednosta kanceláře, který napůl neposlouchal."
"see","see","podívat","podívat","pf"," "" Go see about the factory, Gonzalez, "" Mr. Levy said."," "" Běžte se podívat do továrny, Gonzalezi, "" řekl pan Levy."
"said","say","řekl","říci","pf"," "" Go see about the factory, Gonzalez, "" Mr. Levy said."," "" Běžte se podívat do továrny, Gonzalezi, "" řekl pan Levy."
"saw","see","Viděla","vidět","impf"," "" I saw it with my very own eyes."," "" Viděla jsem to na vlastní oči."
"remember","remember","Pamatuju","pamatovat","impf"," I remember Gloria gave me socks and luncheon meat. """," Pamatuju si, že mi dala ponožky a lančmít. """
"gave","give","dala","dát","pf"," I remember Gloria gave me socks and luncheon meat. """," Pamatuju si, že mi dala ponožky a lančmít. """
"Make","make","dělej","dělat","impf"," "" Make fun of this neglected creature."," "" Jen si z toho zavrženého stvoření dělej srandičky."
"tell","tell","neříkej","říkat","impf"," Just do n't tell me whatever else you did at Levy Pants."," Jenom mi už neříkej, co všechno jsi v Levyho kalhotech ještě udělal."
"do","do","udělal","udělat","pf"," Just do n't tell me whatever else you did at Levy Pants."," Jenom mi už neříkej, co všechno jsi v Levyho kalhotech ještě udělal."
"did","do","udělal","udělat","pf"," Just do n't tell me whatever else you did at Levy Pants."," Jenom mi už neříkej, co všechno jsi v Levyho kalhotech ještě udělal."
"explained","explain","vysvětlil","vysvětlit","pf"," "" That 's Frieda, "" Dorian explained."," "" To je Frieda, "" vysvětlil Dorian."
"Shut","shut","Zavři","zavřít","pf"," "" Shut up, "" Mrs. Reilly shouted, her powdered face lined by anger."," "" Zavři klapačku, "" vykřikla paní Reillyová, napudrovaný obličej rozbrázděný zlostí."
"shouted","shout","vykřikla","vykřiknout","pf"," "" Shut up, "" Mrs. Reilly shouted, her powdered face lined by anger."," "" Zavři klapačku, "" vykřikla paní Reillyová, napudrovaný obličej rozbrázděný zlostí."
"want","want","Chceš","chtít","impf"," "" You want the whole recovery ward coming in here?"," "" Chceš, aby se seběhlo celé oddělení?"
"come","come","přijdete","přijít","pf"," You come in tomorrow morning, we 'll fix you up with some gimmicks. """," Až ráno přijdete, poradím vám nějaký ten fígl. """
"thrown","throw","Zahodil","zahodit","pf"," You know how you 've thrown your life away."," Zahodil jsi svůj život jako kus hadru."
"Listen","listen","Poslyš","slyšet","impf"," "" Listen, I have a headache from trying to save that business today."," "" Poslyš, ještě mě bolí hlava z toho, jak jsem celý den podnik zachraňoval."
"save","save","zachraňoval","zachraňovat","impf"," "" Listen, I have a headache from trying to save that business today."," "" Poslyš, ještě mě bolí hlava z toho, jak jsem celý den podnik zachraňoval."
"did","do","nešel","jít","impf"," That 's why I did n't go to the races. """," Proto jsem nešel na dostihy. """
"go","go","nešel","jít","impf"," That 's why I did n't go to the races. """," Proto jsem nešel na dostihy. """
"asked","ask","žádala","žádat","impf"," The only gift Mrs. Levy asked of the girls was that they attack their father."," Jediným dárkem, který paní Levyová žádala na dívkách, bylo, aby napadaly svého otce."
"loved","love","milovala","milovat","impf"," Mrs. Levy loved Christmas."," Paní Levyová vánoce milovala."
"waiting","wait","vyčkával","vyčkávat","impf"," Now Mr. Levy was waiting at the lodge for spring practice to begin."," Teď pan Levy vyčkával v hrádku začátek jarního tréninku."
"thought","think","soudil","soudit","impf"," But at Levy 's Lodge it was like Christmas all over again, and what was going on in Levy 's Lodge could have been postponed until he left for the practice camps, Mr. Levy thought."," V Levyho hrádku však bylo všechno zase jako o vánocích a pan Levy soudil, že co se teď v Levyho hrádku děje, mohlo klidně počkat, až odjede do tréninkových středisek."
"going","go","odjede","odjet","pf"," But at Levy 's Lodge it was like Christmas all over again, and what was going on in Levy 's Lodge could have been postponed until he left for the practice camps, Mr. Levy thought."," V Levyho hrádku však bylo všechno zase jako o vánocích a pan Levy soudil, že co se teď v Levyho hrádku děje, mohlo klidně počkat, až odjede do tréninkových středisek."
"left","leave","odjede","odjet","pf"," But at Levy 's Lodge it was like Christmas all over again, and what was going on in Levy 's Lodge could have been postponed until he left for the practice camps, Mr. Levy thought."," V Levyho hrádku však bylo všechno zase jako o vánocích a pan Levy soudil, že co se teď v Levyho hrádku děje, mohlo klidně počkat, až odjede do tréninkových středisek."
"sat","sit","Seděl","sedět","impf"," He sat at attention in the darkness of the Prytania only a few rows from the screen, his body filling the seat and protruding into the two adjoining ones."," Seděl napjatě v temnotě bia Prytania pouze několik řad od plátna, vyplňuje svým tělem celé sedadlo a přesahuje ještě do dvou sousedních."
"keep","keep","uchovaly","uchovat","pf"," On the seat to his right he had stationed his overcoat, three Milky Ways, and two auxiliary bags of popcorn, the bags neatly rolled at the top to keep the popcorn warm and crisp."," Na sedadlo po pravici odložil kabát a tři plněné čokolády své oblíbené značky Mléčná dráha a dva podpůrné sáčky s praženou kukuřicí, oba nahoře pěkné zarolované, aby kukuřici uchovaly teplou a křupavou."
"talking","talk","Mluvíte","mluvit","impf"," "" Are you two deviates talking about me? "" Ignatius asked angrily."," "" Mluvíte snad o mně, devianti? "" zeptal se hněvivě Ignácius."
