"drink","drink","pít","pít","impf"," For birds to drink out of."," Ptáčkové by z nich mohli pít."
"listens","listen","poslouchá","poslouchat","impf"," ÉVI listens to him for a while, then wanders off, behind the shed."," / Évi ho chvíli mlčky poslouchá, pak jde k boudě a zmizí za ní /"
"Lock","lock","zamk","zamknout","pf"," Know what I 'd like to do? Lock myself in, stare at the ceiling, and cure it deep brown with cigarette smoke."," Nejradši bych se zamk, čuměl do stropu a udil ho do hnědá své jma cigaretama."
"jerk","jerk","vytrhnout","vytrhnout","pf"," ( He tries to jerk the jacket free but VÉNA pulls him back and twists his arm. )"," / Chce vytrhnout Vénovi sako, ale ten ho za rukáv strhne k sobě a zkroutí mu ruku za zády /"
"twists","twist","vytrhnout","vytrhnout","pf"," ( He tries to jerk the jacket free but VÉNA pulls him back and twists his arm. )"," / Chce vytrhnout Vénovi sako, ale ten ho za rukáv strhne k sobě a zkroutí mu ruku za zády /"
"want","want","chceš","chtít","impf"," All you want is to say the opposite of what I say."," To máš z toho, že mi prostě jenom chceš odporovat."
"run","run","utéct","utéci","pf"," Such legs-and they ca n't run away."," Takový nohy, a nedovedou mu utéct."
"love","love","miluju","milovat","impf"," I could truly-truly tell you that I love you if I knew I would n't live till tomorrow."," Taky bych ti svatosvatě řek, že tě miluju, kdybych věděl, že se nedočkám zejtřka."
"count","count","platilo","platit","impf"," It would count forever."," To by platilo navěky."
"take","take","vzít","vzít","pf"," I could n't take it back."," Už bych to nemoh vzít zpátky."
"die","die","neumírá","umírat","impf"," You do n't die of death. It 's death that creates us."," Smrtí se neumírá, smrt nás teprve stvoří."
"creates","create","stvoří","stvořit","pf"," You do n't die of death. It 's death that creates us."," Smrtí se neumírá, smrt nás teprve stvoří."
"spoil","spoil","zkazit","zkazit","pf"," Whoever goes as a hero ca n't spoil it; he 's got it tacked on, and that 's that."," Kdo zašel jako hrdina, už si to nemůže zkazit, má to přišitý a bašta."
"Makes","make","Udělá","udělat","pf"," ( Makes a face. )"," / Udělá "" ksicht "" /"
"stretches","stretch","Natáhne","natáhnout","pf"," ( He stretches out on the bench. )"," / Natáhne se na lavičku /"
"say","say","Neřeknu","říci","pf"," I wo n't say another word."," Neřeknu ani popel."
"described","describe","popsala","popsat","pf"," A while ago, you described me."," Prves mě celýho popsala."
"kisses","kiss","políbí","políbit","pf"," ÉVI ( kisses him ). For the first and last time."," Évi : / ho políbí / Prvně a naposled."
"skip","skip","přeskakovat","přeskakovat","impf"," May I skip?"," Můžu přeskakovat?"
"skip","skip","přeskočíš","přeskočit","pf"," What are you going to skip?"," Co teď přeskočíš?"
"see","see","vidíš","vidět","impf"," Oh? What do you see in them?"," Co na nich vidíš?"
"scream","scream","nekřičela","křičet","impf"," Why did n't you scream?"," Proč jsi nekřičela?"
"notice","notice","Zpozoruje","zpozorovat","pf"," He does not notice ÉVI until he is quite close to her."," Zpozoruje Évi, teprve když se k ní přiblíží."
"speaking","speak","říct","říci","pf"," ÉVI ( as though she is speaking to VÉNA ). What 's there to say?"," Évi : / jako by oslovovala Vénu / Co ti mám ještě říct?"
"say","say","říct","říci","pf"," ÉVI ( as though she is speaking to VÉNA ). What 's there to say?"," Évi : / jako by oslovovala Vénu / Co ti mám ještě říct?"
"running","run","utíkal","utíkat","impf"," Have you been running from them all this time?"," A tos před nima pořád jen utíkal?"
"suppose","suppose","myslím","myslet","impf"," I do love you in my way, I suppose,"," Stejně si myslím, že tě miluju."
"love","love","miluju","milovat","impf"," I do love you in my way, I suppose,"," Stejně si myslím, že tě miluju."
"gone","go","nevystačí","vystačit","pf"," but there are things that I know only now-What I mean is, tomorrow they 'll be gone."," Ale jsou věci, který vím jen teď a nevystačí mi to do zejtřka."
"sleep","sleep","spát","spát","impf"," I go to sleep with one thing, wake up with another. It 's as though overnight I had been washed away, drenched through, wrung out-"," S něčím se večír odeberu spát, z něčeho jinýho se probouzím, jak když mne přes noc něco vymaže."
"move","move","nepohne","pohnout","pf"," VÉNA ( does n't move )."," / Podívá se - po něm, Véna se nepohne /"
"seen","see","Viděls","vidět","impf"," Have you ever seen the way we look inside?"," Viděls někdy, jaký to máme uvnitř?"
"took","take","Vzal","vzít","pf"," I took you to see Harold Lloyd."," Vzal jsem tě na Hárolda Lojda."
"Sits","sit","Sedne","sednout","pf"," ( Sits an the bench. ) Will you stop by?"," / Sedne si na lavičku / Stavíš se?"
"kill","kill","Zabil","zabít","pf"," You 'd kill me like a fly."," Zabil bys mě jak mouchu."
"taking","take","vyndá","vyndat","pf"," VÉNA ( taking a knife from his belt ). With this knife."," Véna : / vyndá nůž, který měl za opaskem / Tímhle nožem."
"Hurt","hurt","Bolí","bolet","impf"," Hurt?"," Bolí?"
"stroking","stroke","hladí","hladit","impf"," ÉVI ( stroking his head )."," Évi : / ho hladí / Tak mi to pověz."
"choose","choose","chci","chtít","impf"," I can take my love wherever I choose but the cash I must take home."," S láskou si můžu jít kam chci, ale prachy, ty musím nosit domů."
"take","take","nosit","nosit","impf"," I can take my love wherever I choose but the cash I must take home."," S láskou si můžu jít kam chci, ale prachy, ty musím nosit domů."
"take","take","nosit","nosit","impf"," I can take my love wherever I choose but the cash I must take home."," S láskou si můžu jít kam chci, ale prachy, ty musím nosit domů."
"bringing","bring","přivedla","přivést","pf"," Paying her all your life for bringing you into the world."," Celej život doplácet na to, že tě přivedla na svět."
"expect","expect","myslíte","myslet","impf"," ' Honey, ' she says, ' a double of the usual. When are you going to carry off my baby? What do you expect me to do-die washing and ironing for him? '"," "" Děvenko, deci bílyho, jako dycky, proč si už neodvedete toho mýho krasavce, co si myslíte, že na něj budu nadosmrti žehlit a prát -! """
"washing","wash","prát","prát","impf"," ' Honey, ' she says, ' a double of the usual. When are you going to carry off my baby? What do you expect me to do-die washing and ironing for him? '"," "" Děvenko, deci bílyho, jako dycky, proč si už neodvedete toho mýho krasavce, co si myslíte, že na něj budu nadosmrti žehlit a prát -! """
"dragged","drag","tahala","tahat","impf"," You had distinguished manners. You smoked Turkish cigarettes in an ivory holder and dragged an impossible handbag over your shoulder."," Mělas Vybraný způsoby,. Kouřila jsi oravy z kostěný špičky a přes ruku jsi tahala nemožnou kabelku."
"want","want","nechceš","chtít","impf"," You still do n't want to walk?"," Pořád ještě se nechceš procházet?"
"walk","walk","procházet","procházet","impf"," You still do n't want to walk?"," Pořád ještě se nechceš procházet?"
"Sits","sit","Sedne","sednout","pf"," What 's the matter? ( Sits on the bench. ) So, the kid 's after the moron 's sister."," Co tě zas bere / Sedne si na lavičku / Přej mu chodí za sestrou."
"kill","kill","nezabil","zabít","pf"," If I can kill a person-I can kill a conscience."," Abych nezabil svědomí, když můžu zabít člověka."
"kill","kill","nezabil","zabít","pf"," If I can kill a person-I can kill a conscience."," Abych nezabil svědomí, když můžu zabít člověka."
"kill","kill","zabít","zabít","pf"," If I can kill a person-I can kill a conscience."," Abych nezabil svědomí, když můžu zabít člověka."
"kill","kill","zabít","zabít","pf"," If I can kill a person-I can kill a conscience."," Abych nezabil svědomí, když můžu zabít člověka."
"told","tell","řek","říci","pf"," Who told you that? - All the murdered thoughts I 've seen!"," Kdo ti tohleto řek? - Co já viděl zabitejch myšlenek!"
"seen","see","viděl","vidět","impf"," Who told you that? - All the murdered thoughts I 've seen!"," Kdo ti tohleto řek? - Co já viděl zabitejch myšlenek!"
"carry","carry","máš","mít","impf"," Some people carry their own mole around inside them. They do!"," A máš takový, že si ho nosej v sobě, toho krtka."
"carry","carry","nosej","nosit","impf"," Some people carry their own mole around inside them. They do!"," A máš takový, že si ho nosej v sobě, toho krtka."
"mean","mean","Chci","chtít","impf"," VÉNA. Look, my darling, what I mean is-"," Véna Chci ti, miláčku, říct -"
"sticking","stick","vrazíš","vrazit","pf"," All you need is get numb for a moment, stop thinking for a moment-and it 's no different than sticking it into a loaf of bread."," Stačí na chvíli ztuhnout, chvíli nemyslet, a pak je to stejný, jako když to vrazíš do chleba."
"Takes","take","Vezme","vzít","pf"," ( Takes the knife and puts it back in his belt. )"," / Vezme mu nůž a zastrčí mu ho za opasek /"
"get","get","přijdou","přijít","pf"," If they get caught."," Když jim na to přijdou."
"laugh","laugh","směješ","smát","impf"," When you laugh you cry! - What do you do when you cry?"," Ty když se směješ, tak pláčeš! - A co děláš, když pláčeš?"
"cry","cry","pláčeš","plakat","impf"," When you laugh you cry! - What do you do when you cry?"," Ty když se směješ, tak pláčeš! - A co děláš, když pláčeš?"
"cry","cry","pláčeš","plakat","impf"," When you laugh you cry! - What do you do when you cry?"," Ty když se směješ, tak pláčeš! - A co děláš, když pláčeš?"
"do","do","děláš","dělat","impf"," When you laugh you cry! - What do you do when you cry?"," Ty když se směješ, tak pláčeš! - A co děláš, když pláčeš?"
"do","do","děláš","dělat","impf"," When you laugh you cry! - What do you do when you cry?"," Ty když se směješ, tak pláčeš! - A co děláš, když pláčeš?"
"cry","cry","pláčeš","plakat","impf"," When you laugh you cry! - What do you do when you cry?"," Ty když se směješ, tak pláčeš! - A co děláš, když pláčeš?"
"cry","cry","pláčeš","plakat","impf"," When you laugh you cry! - What do you do when you cry?"," Ty když se směješ, tak pláčeš! - A co děláš, když pláčeš?"
"cry","cry","nepláču","plakat","impf"," I do n't cry then."," To nepláču."
"make","make","udělal","udělat","pf"," He 'd make it that way on purpose, to be sure he would stand out."," A schválně by to všecko udělal takový, aby vynikal."
"showing","show","předváděl","předvádět","impf"," ) It was for me you were showing off, was n't it?"," / Skoro něžně / To jsi předváděl kvůli mně, vid?"
"Showing","show","předváděl","předvádět","impf"," Showing off?"," Co jsem. předváděl?"
"Paints","paint","Maluje","malovat","impf"," ( Paints his face with her eyebrow pencil. )"," / Maluje ho tužkou na obočí /"
"doing","do","děláš","dělat","impf"," VÉNA. What 're you doing to me?"," Véna : / si sáhne pod nos / Co mi to děláš?"
"made","make","Udělala","udělat","pf"," I made it a defiant one."," Udělala jsem ti výbojnej."
"kicking","kick","kope","kopat","impf"," ( She struggles, kicking VÉNA, hitting him with her fists;"," / Chce se mu vytrhnout,. kope ho, buší do něho pěstmi, najednou ochabne."
"hanged","hang","viset","viset","impf"," She stands, feeling her neck. ) I 'm hanged."," Sahá si na krk / Já jsem zůstala viset."
"deserve","deserve","nezasloužíš","zasloužit","pf"," That 's what you deserve."," Nic jinýho si nezasloužíš."
"wearing","wear","má","mít","impf"," THE BOY enters running along the path. He is wearing a white shirt with an open collar and-carries his jacket under his arm."," Pěšinou přibíhá Chlapec v bílé rozhalené kosili, sako má pod paždím, je zadýchaný."
"stops","stop","Zarazí","zarazit","pf"," He is out of breath. He stops for a moment, then runs into the shed."," Zarazí se na okamžik a vběhne do boudy."
"do","do","vzal","vzít","pf"," Suppose I married you. What would I do with you?"," Kdybych si tě i vzal, co já si s tebou počnu?"
"grabs","grab","Chytí","chytit","pf"," ( She grabs his hand with both of hers. )"," / Chytí oběma rukama jeho ruku /"
"work","work","nešlo","jít","impf"," Would n't work with us."," To by nám nešlo."
"sing","sing","zpívat","zpívat","impf"," We could sing."," Mužem si zpívat."
"Goes","go","Odejde","odejít","pf"," ( Goes. )"," / Odejde /"
"watching","watch","dívá","dívat","impf"," VÉNA ( watching him ). Poor old bugger."," Véna : / se dívá za ním / Ňákej smolař."
"Let","let","nechme","nechat","pf"," Let 's drop it, cat."," Kočko, nechme to plavat."
"drop","drop","nechme","nechat","pf"," Let 's drop it, cat."," Kočko, nechme to plavat."
"Goes","go","Jde","jít","impf"," ( Goes into the shed. )"," / Jde do boudy /"
"chased","chase","honí","honit","impf"," Lloyd, the way he chased the wedding."," Jak honí tu svatbu, ten Lojd."
"wanting","want","chtěl","chtít","impf"," VÉNA. The acrobatics! Not the wanting to marry her or any such nonsense."," Véna : Že je akrobat, a ne že by si ji chtěl vzít a takový hlouposti."
"making","make","dělal","dělat","impf"," That 's what he was making fun of."," Proto si dělal srandu."
"do","do","dělat","dělat","impf"," VÉNA ( trying a joke ). The train is n't coming-I 've got to do something."," Véna : / žertuje / Co mám dělat, když ten vlak nejede a nejede!"
"running","run","Běží","běžet","impf"," ( He goes, running after SECOND. They are gone. )"," Běží za ním /"
"holding","hold","drží","držet","impf"," VÉNA ( still holding ÉVI ). Why did you do that?"," Véna : / drží ještě Évi v náručí / Pročs to dělala?"
"did","do","dělala","dělat","impf"," VÉNA ( still holding ÉVI ). Why did you do that?"," Véna : / drží ještě Évi v náručí / Pročs to dělala?"
"do","do","dělala","dělat","impf"," VÉNA ( still holding ÉVI ). Why did you do that?"," Véna : / drží ještě Évi v náručí / Pročs to dělala?"
"carrying","carry","nese","nést","impf"," VÉNA ( carrying her to the bench ). You 're not the least bit heavy."," Véna : / ji nese na lavičku / Ty vůbec nejsi těžké."
"do","do","nedělá","dělat","impf"," Barbarians do n't."," To se u barbarů nedělá."
"arise","arise","vyvstanou","vyvstat","pf"," In that case-between that somebody and me-there would arise territorial disputes."," Pak mezi ním a mnou vyvstanou územní spory."
"let","let","nechal","nechat","pf"," I 'd let that other take what was left."," Ostatní bych tomu druhýmu nechal."
"left","leave","nechal","nechat","pf"," I 'd let that other take what was left."," Ostatní bych tomu druhýmu nechal."
"sent","send","poslat","poslat","pf"," Should have sent you to school."," Mohla tě poslat do školy."
"works","work","nejde","jít","impf"," When nothing else works any more."," Když už nejde nic jinýho."
"embracing","embrace","obejme","obejmout","pf"," VÉNA ( embracing her knees as she stands close to him ). How does one get up there?"," Véna : / ji obejme, jak stojí nad ním, v kolenou / Jenže - jak se to jde, tam nahoru?"
