"says","say","říkají","říkat","impf"," some says gal, some says girl – both 's right, like enough."," Někteří říkají holka a jiní děvče, ale myslím, že to vyjde na stejno."
"says","say","říkají","říkat","impf"," some says gal, some says girl – both 's right, like enough."," Někteří říkají holka a jiní děvče, ale myslím, že to vyjde na stejno."
"tell","tell","povím","povědět","pf"," "" I 'll tell you some time - not now. """," "" Jednou ti to povím - později, ne teď. """
"go","go","pojďme","jít","impf"," Now stir out of this and we 'll go to digging. """," A teď už toho nech a pojďme kopat. """
"worked","work","Pracovali","pracovat","impf"," They worked and sweated for half an hour."," Pracovali a potili se půl hodiny."
"lifted","lift","pozvedl","pozvednout","pf"," Tom mentally ran over the days of the week, and then quickly lifted his eyes with a startled look in them -"," Tom v duchu odříkal dny a potom pozvedl oči s výrazem překvapení."
"wants","want","chce","chtít","impf"," Let him go if he wants to."," Když chce jít, ať si jde."
"go","go","jít","jít","impf"," Let him go if he wants to."," Když chce jít, ať si jde."
"go","go","jde","jít","impf"," Let him go if he wants to."," Když chce jít, ať si jde."
"see","see","viděl","vidět","impf"," But Tom was uneasy, nevertheless, and was alarmed to see Joe go sullenly on with his dressing."," Tom byl však nesvůj a znepokojený, když viděl, jak se Joe trucovitě obléká."
"see","see","vidět","vidět","impf"," And then it was discomforting to see Huck eying Joe 's preparations so wistfully, and keeping up such an ominous silence."," Také bylo nemilé vidět Hucka, jak závistivě kouká na Joeovy přípravy a jak zachovává zlověstné mlčení."
"see","see","kouká","koukat","impf"," And then it was discomforting to see Huck eying Joe 's preparations so wistfully, and keeping up such an ominous silence."," Také bylo nemilé vidět Hucka, jak závistivě kouká na Joeovy přípravy a jak zachovává zlověstné mlčení."
"keeping","keep","zachovává","zachovávat","impf"," And then it was discomforting to see Huck eying Joe 's preparations so wistfully, and keeping up such an ominous silence."," Také bylo nemilé vidět Hucka, jak závistivě kouká na Joeovy přípravy a jak zachovává zlověstné mlčení."
"began","begin","začal","začít","pf"," Presently, without a parting word, Joe began to wade off toward the Illinois shore."," Potom se Joe začal bez slůvka rozloučení brodit směrem k illinoiskému břehu."
"help","help","pomohlo","pomoci","pf"," I wish we had some sort of description of those rascals – ' twould help a good deal."," Škoda, že nemáme aspoň částečný popis těch darebáků - hodně by to pomohlo."
"expressed","express","vyjadřuje","vyjadřovat","impf"," and he hardly knew which expressed the most gratefulness to God and affection for himself."," Nevěděl, čím teta vyjadřuje vděčnost Bohu a lásku k němu samému vroucněji, zda polibky, nebo štulci."
"return","return","vrátit","vrátit","pf"," THAT was Tom 's great secret – the scheme to return home with his brother pirates and attend their own funerals."," TO TEDY BYLO TOMOVO velké tajemství - vrátit se s kolegy piráty domů a zúčastnit se vlastního pohřbu."
"attend","attend","zúčastnit","zúčastnit","pf"," THAT was Tom 's great secret – the scheme to return home with his brother pirates and attend their own funerals."," TO TEDY BYLO TOMOVO velké tajemství - vrátit se s kolegy piráty domů a zúčastnit se vlastního pohřbu."
"saw","see","Viděli","vidět","impf"," They saw a fire smouldering upon a great raft a hundred yards above, and they went stealthily thither and helped themselves to a chunk."," Viděli doutnající ohniště na velkém voru vzdáleném asi sto metrů a potichu se tam vydali pro řeřavé polínko."
"seemed","seem","Zdálo","zdát","impf"," It seemed to him an age since he was there before."," Zdálo se mu, že uplynula věčnost od chvíle, kdy zde byl naposled."
"met","meet","setkal","setkat","pf"," He turned, and his eyes met Huckleberry 's."," Obrátil se a jeho pohled se setkal s pohledem Huckleberryho."
"wondered","wonder","přemýšleli","přemýšlet","impf"," Then both looked elsewhere at once, and wondered if anybody had noticed anything in their mutual glance."," Pak se oba okamžitě odvrátili každý jinam a přemýšleli, zda snad někdo něco nevyčetl z jejich spikleneckého pohledu."
"see","see","vidím","vidět","impf"," I 'm glad to see him, poor motherless thing! """," Jsem ráda, že ho vidím, chudinku sirotečka! """
"shouted","shout","zvolal","zvolat","pf"," Suddenly the minister shouted at the top of his voice :"," "" Chvalme Boha, "" zvolal najednou kněz, "" zdroj všeho dobra ...!"
"meet","meet","sejdou","sejít","pf"," They presently separated to meet at a lonely spot on the river-bank two miles above the village at the favorite hour – which was midnight."," Za chvíli se rozešli s tím, že se sejdou na opuštěném místě při řece asi tři kilometry nad městem v oblíbenou hodinu - totiž půlnoční."
"meant","mean","mínili","mínit","impf"," There was a small log raft there which they meant to capture."," Na místě srazu byl malý vor, který mínili zabrat."
"bring","bring","přinést","přinést","pf"," Each would bring hooks and lines, and such provision as he could steal in the most dark and mysterious way – as became outlaws."," Každý měl přinést rybářské vlasy, háčky a jídlo, pokud je bude moci ukrást nejtajemnějším a nejzáhadnějším způsobem, jak se sluší a patří na zbojníka."
"steal","steal","ukrást","ukrást","pf"," Each would bring hooks and lines, and such provision as he could steal in the most dark and mysterious way – as became outlaws."," Každý měl přinést rybářské vlasy, háčky a jídlo, pokud je bude moci ukrást nejtajemnějším a nejzáhadnějším způsobem, jak se sluší a patří na zbojníka."
"pictured","picture","Představoval","představovat","impf"," He pictured himself lying sick unto death and his aunt bending over him beseeching one little forgiving word, but he would turn his face to the wall, and die with that word unsaid."," Představoval si sám sebe, jak leží k smrti nemocen a teta se nad něho sklání a prosí o jediné slovíčko odpuštění, ale on se odvrací ke zdi a umírá, aniž to slovíčko vyslovil."
