"nodded","nod","Přikývla","přikývnout","pf"," She nodded."," Přikývla."
"said","say","řekl","říci","pf"," "" I 'm packing it in, "" I said."," "" Končím, "" řekl jsem."
"said","say","řekl","říci","pf"," "" Packing it in? "" Kral said with scorn."," "" Končíte? "" řekl Král posměšně."
"started","start","nezačal","začít","pf"," "" But you have n't even started ... """," "" Ještě jste ani nezačal ... """
"drawn","draw","vtáhnout","vtáhnout","pf"," I did not have the strength to be drawn into any sort of discussion."," Neměl jsem sílu nechat se vtáhnout do nějaké diskuse."
"get","get","dostal","dostat","pf"," Because I managed to get only one sentence out of her for the whole two hours. """," Protože jsem z ní za dvě hodiny dostal jednu větu. """
"sought","seek","Snažil","snažit","impf"," I sought, by using a conditional clause, to remind him that our erstwhile contract had undergone a rather crucial amendment almost at the outset, namely, that I should make her happy."," Snažil jsem se mu tou podmínkovou větou připomenout, že naše někdejší smlouva o dílo doznala hned zkraje dosti klíčové změny - chtěl přece, abych ji udělal šťastnou."
"remind","remind","připomenout","připomenout","pf"," I sought, by using a conditional clause, to remind him that our erstwhile contract had undergone a rather crucial amendment almost at the outset, namely, that I should make her happy."," Snažil jsem se mu tou podmínkovou větou připomenout, že naše někdejší smlouva o dílo doznala hned zkraje dosti klíčové změny - chtěl přece, abych ji udělal šťastnou."
"make","make","udělal","udělat","pf"," I sought, by using a conditional clause, to remind him that our erstwhile contract had undergone a rather crucial amendment almost at the outset, namely, that I should make her happy."," Snažil jsem se mu tou podmínkovou větou připomenout, že naše někdejší smlouva o dílo doznala hned zkraje dosti klíčové změny - chtěl přece, abych ji udělal šťastnou."
"remember","remember","nevzpomínal","vzpomínat","impf"," The trouble was he did n't remember."," Jenomže on si nevzpomínal."
"said","say","řekl","říci","pf"," "" A very risky investment, "" he said heatedly, but he did n't manage to conceal a certain satisfaction that I had got myself just where he wanted me."," "" Velmi riziková investice, "" řekl nakvašeně, ale nepodařilo se mu zakrýt jistou spokojenost - dostal jsem se sám tam, kde mě chtěl mít."
"manage","manage","nepodařilo","podařit","pf"," "" A very risky investment, "" he said heatedly, but he did n't manage to conceal a certain satisfaction that I had got myself just where he wanted me."," "" Velmi riziková investice, "" řekl nakvašeně, ale nepodařilo se mu zakrýt jistou spokojenost - dostal jsem se sám tam, kde mě chtěl mít."
"conceal","conceal","zakrýt","zakrýt","pf"," "" A very risky investment, "" he said heatedly, but he did n't manage to conceal a certain satisfaction that I had got myself just where he wanted me."," "" Velmi riziková investice, "" řekl nakvašeně, ale nepodařilo se mu zakrýt jistou spokojenost - dostal jsem se sám tam, kde mě chtěl mít."
"got","get","dostal","dostat","pf"," "" A very risky investment, "" he said heatedly, but he did n't manage to conceal a certain satisfaction that I had got myself just where he wanted me."," "" Velmi riziková investice, "" řekl nakvašeně, ale nepodařilo se mu zakrýt jistou spokojenost - dostal jsem se sám tam, kde mě chtěl mít."
"wanted","want","chtěl","chtít","impf"," "" A very risky investment, "" he said heatedly, but he did n't manage to conceal a certain satisfaction that I had got myself just where he wanted me."," "" Velmi riziková investice, "" řekl nakvašeně, ale nepodařilo se mu zakrýt jistou spokojenost - dostal jsem se sám tam, kde mě chtěl mít."
"do","do","dělají","dělat","impf"," So that 's how they do it, I thought to myself a trifle bitterly."," Tak takhle to dělají, pomyslel jsem si trochu trpce."
"thought","think","pomyslel","pomyslet","pf"," So that 's how they do it, I thought to myself a trifle bitterly."," Tak takhle to dělají, pomyslel jsem si trochu trpce."
"teach","teach","učil","učit","impf"," "" Did you know Mr Nadany here used to teach me? "" said Kral loftily as if that fact entitled him to certain privileges of some kind."," "" Nevíš, že mě tady pan učitel učil? "" řekl Král s převahou, jako kdyby mu tato skutečnost zakládala jakýsi blíže neurčený nárok."
"said","say","řekl","říci","pf"," "" Did you know Mr Nadany here used to teach me? "" said Kral loftily as if that fact entitled him to certain privileges of some kind."," "" Nevíš, že mě tady pan učitel učil? "" řekl Král s převahou, jako kdyby mu tato skutečnost zakládala jakýsi blíže neurčený nárok."
"said","say","pravil","pravit","pf"," "" Denis was my worst pupil ever, "" said Jaromir with a smile."," "" Denis byl můj vůbec nejhorší žák, "" pravil Jaromír s úsměvem."
"say","say","říct","říci","pf"," "" And I have to say, he did his very utmost to retain his pre-eminence. """," "" Musím říct, že pro to prvenství dělal opravdu maximum. """
"did","do","dělal","dělat","impf"," "" And I have to say, he did his very utmost to retain his pre-eminence. """," "" Musím říct, že pro to prvenství dělal opravdu maximum. """
"smiled","smile","usmál","usmát","pf"," Kral smiled at the compliment."," Král se polichoceně usmál."
"notice","notice","všiml","všimnout","pf"," Only now did I notice he had his shoes on."," Teprve nyní jsem si všiml, že je v botech."
"betrayed","betray","prozrazoval","prozrazovat","impf"," Her face reliably betrayed every worm found."," Její obličej spolehlivě prozrazoval nález každé jednotlivé žížaly."
"abandoned","abandon","opouštěla","opouštět","impf"," Unpromising flowerbeds were immediately abandoned by Miluska with an expression of mute reproach."," Bezperspektivní záhony Miluška s výrazem němé výčitky okamžitě opouštěla."
"said","say","říci","říci","pf"," It must be said that she moved with great alacrity."," Nutno říci, že se pohybovala velice rychle."
"moved","move","pohybovala","pohybovat","impf"," It must be said that she moved with great alacrity."," Nutno říci, že se pohybovala velice rychle."
"said","say","řekla","říci","pf"," "" The Flight of the Bumble-Bee, "" said Liba."," "" Let čmeláka, "" řekla Líba."
