"assured","assure","ujistil","ujistit","pf"," Luria assured him that I would fit the bill and immediately wrote me the good news."," Luria jej ujistil, že se právě na to budu hodit, a ihned mi tyto dobré zprávy napsal."
"wrote","write","napsal","napsat","pf"," Luria assured him that I would fit the bill and immediately wrote me the good news."," Luria jej ujistil, že se právě na to budu hodit, a ihned mi tyto dobré zprávy napsal."
"meant","mean","znamenalo","znamenat","impf"," This meant that I could not long delay writing to Washington about my change of plans."," To znamenalo, že nemohu dlouho váhat a musím napsat do Washingtonu o změně svých plánů."
"delay","delay","váhat","váhat","impf"," This meant that I could not long delay writing to Washington about my change of plans."," To znamenalo, že nemohu dlouho váhat a musím napsat do Washingtonu o změně svých plánů."
"writing","write","napsat","napsat","pf"," This meant that I could not long delay writing to Washington about my change of plans."," To znamenalo, že nemohu dlouho váhat a musím napsat do Washingtonu o změně svých plánů."
"decided","decide","Rozhodl","rozhodnout","pf"," I decided to wait until I was admitted officially into the Cambridge lab."," Rozhodl jsem se však vyčkat, až budu do laboratoře v Cambridgi oficiálně přijat."
"admitted","admit","přijat","přijmout","pf"," I decided to wait until I was admitted officially into the Cambridge lab."," Rozhodl jsem se však vyčkat, až budu do laboratoře v Cambridgi oficiálně přijat."
"seemed","seem","Zdálo","zdát","impf"," It seemed prudent to put off the awkward letter until I could talk personally with Perutz."," Zdálo se moudré odložit dopis do doby, až budu moci osobně si promluvit s Perutzem."
"talk","talk","promluvit","promluvit","pf"," It seemed prudent to put off the awkward letter until I could talk personally with Perutz."," Zdálo se moudré odložit dopis do doby, až budu moci osobně si promluvit s Perutzem."
"forced","force","nutí","nutit","impf"," One could n't be sure, but the impression was there that any model placing the sugar-phosphate backbone in the center of α-helix forced atoms closer together than the laws of chemistry allowed."," Nenabyli jsme sice jistoty, ale měli jsme dojem, že každý model s cukr - fosfátovým nosičem uprostřed šroubovice nutí atomy k většímu sblížení, než dovolovaly zákony chemie."
"allowed","allow","dovolovaly","dovolovat","impf"," One could n't be sure, but the impression was there that any model placing the sugar-phosphate backbone in the center of α-helix forced atoms closer together than the laws of chemistry allowed."," Nenabyli jsme sice jistoty, ale měli jsme dojem, že každý model s cukr - fosfátovým nosičem uprostřed šroubovice nutí atomy k většímu sblížení, než dovolovaly zákony chemie."
"entered","enter","vstoupil","vstoupit","pf"," As soon as he entered he realized that it was a ghastly error, since not one of the young women enjoyed being tickled by the wet, scraggly hairs when he came within kissing distance."," Jakmile vstoupil, uvědomil si, že to byla osudná chyba, protože žádnou z dívek nepotěší šimrání vlhkými, splihlými chlupy, když se k ní přiblíží tak, aby ji mohl políbit."
"came","come","vstoupil","vstoupit","pf"," As soon as he entered he realized that it was a ghastly error, since not one of the young women enjoyed being tickled by the wet, scraggly hairs when he came within kissing distance."," Jakmile vstoupil, uvědomil si, že to byla osudná chyba, protože žádnou z dívek nepotěší šimrání vlhkými, splihlými chlupy, když se k ní přiblíží tak, aby ji mohl políbit."
