"did","do","Konali","konat","impf"," They did it as a standing horse paws with his foot, or as a man enjoys killing animals in sport : because ancient and departed necessities had impressed it on the organism."," Konali to tak bezmyšlenkovitě, jako stojící kůň hrabe nohou, jako se lovec baví zabíjením zvířat, prostě protože v jejich podvědomí existoval odedávna zakořeněný podobný zvyk."
"enjoys","enjoy","baví","bavit","impf"," They did it as a standing horse paws with his foot, or as a man enjoys killing animals in sport : because ancient and departed necessities had impressed it on the organism."," Konali to tak bezmyšlenkovitě, jako stojící kůň hrabe nohou, jako se lovec baví zabíjením zvířat, prostě protože v jejich podvědomí existoval odedávna zakořeněný podobný zvyk."
"saw","see","Viděl","vidět","impf"," I saw trees growing and changing like puffs of vapour, now brown, now green;"," Viděl jsem růst stromy a měnit se v lehké chomáče páry - hned byly hnědé a hned zase zelené;"
"changing","change","měnit","měnit","impf"," I saw trees growing and changing like puffs of vapour, now brown, now green;"," Viděl jsem růst stromy a měnit se v lehké chomáče páry - hned byly hnědé a hned zase zelené;"
"grew","grow","rostly","růst","impf"," they grew, spread, shivered, and passed away."," rostly, mohutněly, ševelily listím, a pak zmizely."
"saw","see","Viděl","vidět","impf"," I saw huge buildings rise up faint and fair, and pass like dreams."," Viděl jsem zrod obrovských, nádherných, ale mlhavých budov, jež pomíjely jako sny."
"passed","pass","přešlo","přejít","pf"," I was very tired and sleepy, and soon my theorizing passed into dozing."," Byl jsem unavený a ospalý, a tak není divu, že moje teoretizování brzo přešlo v dřímotu."
"awoke","awake","Probudil","probudit","pf"," ' I awoke a little before sunsetting."," Probudil jsem se chvíli před západem slunce."
"watching","watch","pozoroval","pozorovat","impf"," ' As I walked I was watching for every impression that could possibly help to explain the condition of ruinous splendour in which I found the world - for ruinous it was."," Cestou jsem bedlivě pozoroval všechno, co by mi nějak pomohlo vysvětlit sešlost nádhery tohoto budoucího světa - neboť to byl svět skutečně velmi zchátralý."
"help","help","pomohlo","pomoci","pf"," ' As I walked I was watching for every impression that could possibly help to explain the condition of ruinous splendour in which I found the world - for ruinous it was."," Cestou jsem bedlivě pozoroval všechno, co by mi nějak pomohlo vysvětlit sešlost nádhery tohoto budoucího světa - neboť to byl svět skutečně velmi zchátralý."
"explain","explain","vysvětlit","vysvětlit","pf"," ' As I walked I was watching for every impression that could possibly help to explain the condition of ruinous splendour in which I found the world - for ruinous it was."," Cestou jsem bedlivě pozoroval všechno, co by mi nějak pomohlo vysvětlit sešlost nádhery tohoto budoucího světa - neboť to byl svět skutečně velmi zchátralý."
"confess","confess","Přiznám","přiznat","pf"," At the time I will confess that I thought chiefly of the PHILOSOPHICAL TRANSACTIONS and my own seventeen papers upon physical optics."," Přiznám se, že jsem v té chvíli pomyslel hlavně na Filozofické rozpravy a na svých sedmnáct knih o fyzikální optice."
"thought","think","pomyslel","pomyslet","pf"," At the time I will confess that I thought chiefly of the PHILOSOPHICAL TRANSACTIONS and my own seventeen papers upon physical optics."," Přiznám se, že jsem v té chvíli pomyslel hlavně na Filozofické rozpravy a na svých sedmnáct knih o fyzikální optice."
"collapsed","collapse","zřítila","zřítit","pf"," Except at one end where the roof had collapsed, this gallery was well preserved."," Síň byla celkem zachovalá až na jeden kout, kde se zřítila střecha."
"looked","look","pohlédl","pohlédnout","pf"," Then I looked at Weena."," Poté jsem pohlédl na Weenu."
"lying","lie","Ležela","ležet","impf"," She was lying clutching my feet and quite motionless, with her face to the ground."," Ležela obličejem k zemi, a objímala mi nohy."
"stooped","stoop","sklonil","sklonit","pf"," With a sudden fright I stooped to her."," Dostal jsem o ni strach a sklonil se k ní."
"seemed","seem","Zdálo","zdát","impf"," She seemed scarcely to breathe."," Zdálo se mi, že skoro ani nedýchá."
"breathe","breathe","nedýchá","dýchat","impf"," She seemed scarcely to breathe."," Zdálo se mi, že skoro ani nedýchá."
"falling","fall","padáme","padat","impf"," I felt a nightmare sensation of falling;"," Bylo to totéž, jako když se nám v noci zdá, že někam padáme."
"saw","see","viděl","vidět","impf"," and, looking round, I saw the laboratory exactly as before."," Rozhlédl jsem se kolem sebe a viděl jsem svoji laboratoř v naprosto stejném stavu jako předtím."
"gripped","grip","stiskl","stisknout","pf"," ' I drew a breath, set my teeth, gripped the starting lever with both hands, and went off with a thud."," Nadechl jsem se, stiskl zuby a sevřel jsem oběma rukama páku, jíž se stroj uváděl do pohybu."
"gripped","grip","sevřel","sevřít","pf"," ' I drew a breath, set my teeth, gripped the starting lever with both hands, and went off with a thud."," Nadechl jsem se, stiskl zuby a sevřel jsem oběma rukama páku, jíž se stroj uváděl do pohybu."
"felt","feel","Pociťoval","pociťovat","impf"," I felt a peculiar shrinking from those pallid bodies."," Pociťoval jsem však před oněmi vybledlými tvory jakousi bázeň."
"began","begin","začínal","začínat","impf"," Probably my shrinking was largely due to the sympathetic influence of the Eloi, whose disgust of the Morlocks I now began to appreciate."," Můj strach byl do značné míry podmíněn i sympatiemi vůči eloiům, jejichž odpor k morlokům jsem začínal plně chápat."
"appreciate","appreciate","chápat","chápat","impf"," Probably my shrinking was largely due to the sympathetic influence of the Eloi, whose disgust of the Morlocks I now began to appreciate."," Můj strach byl do značné míry podmíněn i sympatiemi vůči eloiům, jejichž odpor k morlokům jsem začínal plně chápat."
"sleep","sleep","spal","spát","impf"," ' The next night I did not sleep well."," Příští noc jsem spal velmi neklidně."
"pointed","point","Ukázal","ukázat","pf"," But I pointed out the distant pinnacles of the Palace of Green Porcelain to her, and contrived to make her understand that we were seeking a refuge there from her Fear."," Ukázal jsem jí vzdálena cimbuří paláce ze zeleného porcelánu a snažil jsem se jí vysvětlit, že tam nalezneme bezpečný úkryt a zbavíme se strachu."
"seeking","seek","snažil","snažit","impf"," But I pointed out the distant pinnacles of the Palace of Green Porcelain to her, and contrived to make her understand that we were seeking a refuge there from her Fear."," Ukázal jsem jí vzdálena cimbuří paláce ze zeleného porcelánu a snažil jsem se jí vysvětlit, že tam nalezneme bezpečný úkryt a zbavíme se strachu."
"comes","come","nastane","nastat","pf"," You know that great pause that comes upon things before the dusk?"," Znáte tu krásnou chvíli ticha, která nastane vždy před soumrakem?"
"stops","stop","přestává","přestávat","impf"," Even the breeze stops in the trees."," I listí stromů přestává šelestit."
"resorted","resort","uchýlil","uchýlit","pf"," And then, as the idea came home to him, he resorted to caricature."," Protože ho nic dalšího už nenapadlo, uchýlil se k ironii."
"shouting","shout","zvolal","zvolat","pf"," ' Our Special Correspondent in the Day after To-morrow reports, ' the Journalist was saying - or rather shouting - when the Time Traveller came back."," "" Náš zvláštní dopisovatel pro zprávy z pozítří! "" zvolal žurnalista, když se Poutník za chvíli vrátil."
"believe","believe","uvěřili","uvěřit","pf"," I cannot expect you to believe it."," Nemohu od vás chtít, abyste mi uvěřili."
"Say","say","Řeknete","říci","pf"," Say I dreamed it in the workshop."," Řeknete si, že jsem ve své laboratoři usnul."
"attracted","attract","upoutaly","upoutat","pf"," A peculiar feature, which presently attracted my attention, was the presence of certain circular wells, several, as it seemed to me, of a very great depth."," Moji pozornost obzvlášť upoutaly podivné okrouhlé studně, z nichž některé se mi zdály velice hluboké."
"seemed","seem","zdály","zdát","impf"," A peculiar feature, which presently attracted my attention, was the presence of certain circular wells, several, as it seemed to me, of a very great depth."," Moji pozornost obzvlášť upoutaly podivné okrouhlé studně, z nichž některé se mi zdály velice hluboké."
"protected","protect","chráněna","chránit","impf"," Like the others, it was rimmed with bronze, curiously wrought, and protected by a little cupola from the rain."," Měla stejně jako ostatní studny bronzové roubení, zpracované velmi podivným způsobem, a byla před deštěm chráněna malou kupolí."
"pushed","push","odstrčil","odstrčit","pf"," At last the Time Traveller pushed his plate away, and looked round us."," Konečně Poutník v čase odstrčil prázdný talíř a rozhlédl se kolem sebe."
"suppose","suppose","Myslím","myslet","impf"," ' I suppose I must apologize, ' he said."," "" Myslím, že bych se vám měl všem omluvit, "" poznamenal."
"apologize","apologize","omluvit","omluvit","pf"," ' I suppose I must apologize, ' he said."," "" Myslím, že bych se vám měl všem omluvit, "" poznamenal."
"come","come","Pojďme","jít","impf"," ' But come into the smoking-room."," "" Pojďme do kuřárny."
"tell","tell","vyprávět","vyprávět","impf"," It 's too long a story to tell over greasy plates. '"," Moje historka je příliš dlouhá, než aby se mohla vyprávět nad špinavým nádobím. """
"ringing","ring","Zazvonil","zazvonit","pf"," And ringing the bell in passing, he led the way into the adjoining room."," Zazvonil na služebnictvo a odvedl nás do vedlejšího pokoje."
"tried","try","pokusili","pokusit","pf"," But some philosophical people have been asking why THREE dimensions particularly - why not another direction at right angles to the other three? - and have even tried to construct a Four-Dimension geometry."," Někteří filozofové však položili otázku, proč právě tři dimenze - proč nehledat pravoúhlý vztah v jiném směru - a pokusili se formulovat čtyřdimenzionální geometrii."
"shone","shine","svítila","svítit","impf"," And amid all these scintillating points of light one bright planet shone kindly and steadily like the face of an old friend."," A uprostřed všech těchto jiskřivých světelných bodů vytrvale a vlídně svítila jedna hvězda jako tvář starého přítele."
"thought","think","Myslel","myslet","impf"," I thought of their unfathomable distance, and the slow inevitable drift of their movements out of the unknown past into the unknown future."," Myslel jsem na nezměrnou vzdálenost, jež nás od hvězd dělí, a na pozvolný nevyhnutelný směr jejich pohybu z neznámé minulosti do neznámé budoucnosti."
"thought","think","Myslel","myslet","impf"," I thought of the great precessional cycle that the pole of the earth describes."," Myslel jsem na velký postupný kruh, který opisuje zemský pól."
"describes","describe","opisuje","opisovat","impf"," I thought of the great precessional cycle that the pole of the earth describes."," Myslel jsem na velký postupný kruh, který opisuje zemský pól."
"inferred","infer","Soudil","soudit","impf"," And the Morlocks made their garments, I inferred, and maintained them in their habitual needs, perhaps through the survival of an old habit of service."," Soudil jsem, že morlokové zhotovovali pro eloie oblečení a zabezpečovali jejich potřeby, na které byli zvyklí, snad na základě svého někdejšího zvyku sloužit."
"made","make","zhotovovali","zhotovovat","impf"," And the Morlocks made their garments, I inferred, and maintained them in their habitual needs, perhaps through the survival of an old habit of service."," Soudil jsem, že morlokové zhotovovali pro eloie oblečení a zabezpečovali jejich potřeby, na které byli zvyklí, snad na základě svého někdejšího zvyku sloužit."
"moved","move","pohnul","pohnout","pf"," It had moved, and was hid, only in space."," Nicméně stroj se pohnul a byl skryt, ovšem v prostoru."
"hid","hide","skryt","skrýt","pf"," It had moved, and was hid, only in space."," Nicméně stroj se pohnul a byl skryt, ovšem v prostoru."
"examined","examine","zkoumat","zkoumat","impf"," I could have flashed that glimpse of the Underworld in a second, and examined it at leisure."," Ve chvíli bych mohl bleskem osvítit celé podzemí a pak snímek zkoumat podle libosti."
"recovered","recover","vzpamatoval","vzpamatovat","pf"," The Psychologist recovered from his stupor, and suddenly looked under the table."," Psycholog se vzpamatoval ze své strnulosti jako první a rychle se sehnul, aby se podíval pod stůl."
"looked","look","podíval","podívat","pf"," The Psychologist recovered from his stupor, and suddenly looked under the table."," Psycholog se vzpamatoval ze své strnulosti jako první a rychle se sehnul, aby se podíval pod stůl."
