"approached","approach","blížili","blížit","impf"," Then suddenly, as we approached Kew, came a number of people running, and the upperworks of a Martian fightingmachine loomed in sight over the housetops, not a hundred yards away from us."," Pak náhle, když jsme se už blížili ke Kew, vyběhl proti nám větší počet lidí, nad střechami domků se objevila horní část marťanského bojového stroje a stanula necelých sto yardů od nás."
"looked","look","podíval","podívat","pf"," We stood aghast at our danger, and had the Martian looked down we must immediately have perished."," Ochrnuti strachem jsme zůstali stát, a kdyby se byl Marťan podíval dolů pod sebe, byli bychom bezpochyby zahynuli."
"perished","perish","zahynuli","zahynout","pf"," We stood aghast at our danger, and had the Martian looked down we must immediately have perished."," Ochrnuti strachem jsme zůstali stát, a kdyby se byl Marťan podíval dolů pod sebe, byli bychom bezpochyby zahynuli."
"terrified","terrify","vyděšeni","vyděsit","pf"," We were so terrified that we dared not go on, but turned aside and hid in a shed in a garden."," Byli jsme tak vyděšeni, že jsme se vůbec neodvážili pokračovat v cestě, uchýlili jsme se do nějaké zahrady a skryli jsme se tam v jakémsi přístřešku."
"go","go","pokračovat","pokračovat","impf"," We were so terrified that we dared not go on, but turned aside and hid in a shed in a garden."," Byli jsme tak vyděšeni, že jsme se vůbec neodvážili pokračovat v cestě, uchýlili jsme se do nějaké zahrady a skryli jsme se tam v jakémsi přístřešku."
"hid","hide","skryli","skrýt","pf"," We were so terrified that we dared not go on, but turned aside and hid in a shed in a garden."," Byli jsme tak vyděšeni, že jsme se vůbec neodvážili pokračovat v cestě, uchýlili jsme se do nějaké zahrady a skryli jsme se tam v jakémsi přístřešku."
"refusing","refuse","odmítal","odmítat","impf"," There the curate crouched, weeping silently, and refusing to stir again."," Vikář se tam schoulil, tiše pofňukával a odmítal se pohnout."
"stir","stir","pohnout","pohnout","pf"," There the curate crouched, weeping silently, and refusing to stir again."," Vikář se tam schoulil, tiše pofňukával a odmítal se pohnout."
"looks","look","hledí","hledět","impf"," The window of my study looks over the trees and the railway towards Horsell Common."," Okna mé knihovny hledí přes pár stromů a přes železniční trať směrem k horsellskému vřesovišti."
"seemed","seem","zdála","zdát","impf"," The passage was dark, and, by contrast with the picture the window frame enclosed, the side of the room seemed impenetrably dark."," V chodbičce bylo tma a ve srovnání s obrazem zarámovaným okenním otvorem se opačná strana knihovny zdála tonout v neproniknutelném šeru."
"say","say","říká","říkat","impf"," "" They say, "" said he, "" that there 's another of those blessed things fallen there - number two."," "" Taky se říká, "" dodával, "" že tu někde spadlo další takové nadělení - válec číslo dvě."
