"need","need","potřebuje","potřebovat","impf"," What need had she of pins-Julia Craye - who lived, it seemed, in the cool glassy world of Bach fugues, playing to herself what she liked, and only consenting to take one or two pupils at the Archer Street College of Music ( so the Principal, Miss Kingston, said ) as a special favour to herself, who had ' the greatest admiration for her in every way. '"," K čemu potřebuje špendlíky - Julia Crayeová - když žije, jak to alespoň navenek vypadá, v chladném skleněném světě Bachových fug, hraje si sama pro sebe, co se jí líbí, a je svolná přijmout jednoho dva žáky v hudební škole v Archer Street ( jak říkala ředitelka slečna Kingstonová ), jen aby jí udělala laskavost, jí, která "" ji po všech stránkách velice obdivuje ""."
"take","take","potřebuje","potřebovat","impf"," What need had she of pins-Julia Craye - who lived, it seemed, in the cool glassy world of Bach fugues, playing to herself what she liked, and only consenting to take one or two pupils at the Archer Street College of Music ( so the Principal, Miss Kingston, said ) as a special favour to herself, who had ' the greatest admiration for her in every way. '"," K čemu potřebuje špendlíky - Julia Crayeová - když žije, jak to alespoň navenek vypadá, v chladném skleněném světě Bachových fug, hraje si sama pro sebe, co se jí líbí, a je svolná přijmout jednoho dva žáky v hudební škole v Archer Street ( jak říkala ředitelka slečna Kingstonová ), jen aby jí udělala laskavost, jí, která "" ji po všech stránkách velice obdivuje ""."
"playing","play","hraje","hrát","impf"," What need had she of pins-Julia Craye - who lived, it seemed, in the cool glassy world of Bach fugues, playing to herself what she liked, and only consenting to take one or two pupils at the Archer Street College of Music ( so the Principal, Miss Kingston, said ) as a special favour to herself, who had ' the greatest admiration for her in every way. '"," K čemu potřebuje špendlíky - Julia Crayeová - když žije, jak to alespoň navenek vypadá, v chladném skleněném světě Bachových fug, hraje si sama pro sebe, co se jí líbí, a je svolná přijmout jednoho dva žáky v hudební škole v Archer Street ( jak říkala ředitelka slečna Kingstonová ), jen aby jí udělala laskavost, jí, která "" ji po všech stránkách velice obdivuje ""."
"liked","like","líbí","líbit","impf"," What need had she of pins-Julia Craye - who lived, it seemed, in the cool glassy world of Bach fugues, playing to herself what she liked, and only consenting to take one or two pupils at the Archer Street College of Music ( so the Principal, Miss Kingston, said ) as a special favour to herself, who had ' the greatest admiration for her in every way. '"," K čemu potřebuje špendlíky - Julia Crayeová - když žije, jak to alespoň navenek vypadá, v chladném skleněném světě Bachových fug, hraje si sama pro sebe, co se jí líbí, a je svolná přijmout jednoho dva žáky v hudební škole v Archer Street ( jak říkala ředitelka slečna Kingstonová ), jen aby jí udělala laskavost, jí, která "" ji po všech stránkách velice obdivuje ""."
"take","take","přijmout","přijmout","pf"," What need had she of pins-Julia Craye - who lived, it seemed, in the cool glassy world of Bach fugues, playing to herself what she liked, and only consenting to take one or two pupils at the Archer Street College of Music ( so the Principal, Miss Kingston, said ) as a special favour to herself, who had ' the greatest admiration for her in every way. '"," K čemu potřebuje špendlíky - Julia Crayeová - když žije, jak to alespoň navenek vypadá, v chladném skleněném světě Bachových fug, hraje si sama pro sebe, co se jí líbí, a je svolná přijmout jednoho dva žáky v hudební škole v Archer Street ( jak říkala ředitelka slečna Kingstonová ), jen aby jí udělala laskavost, jí, která "" ji po všech stránkách velice obdivuje ""."
"said","say","říkala","říkat","impf"," What need had she of pins-Julia Craye - who lived, it seemed, in the cool glassy world of Bach fugues, playing to herself what she liked, and only consenting to take one or two pupils at the Archer Street College of Music ( so the Principal, Miss Kingston, said ) as a special favour to herself, who had ' the greatest admiration for her in every way. '"," K čemu potřebuje špendlíky - Julia Crayeová - když žije, jak to alespoň navenek vypadá, v chladném skleněném světě Bachových fug, hraje si sama pro sebe, co se jí líbí, a je svolná přijmout jednoho dva žáky v hudební škole v Archer Street ( jak říkala ředitelka slečna Kingstonová ), jen aby jí udělala laskavost, jí, která "" ji po všech stránkách velice obdivuje ""."
"take","take","udělala","udělat","pf"," What need had she of pins-Julia Craye - who lived, it seemed, in the cool glassy world of Bach fugues, playing to herself what she liked, and only consenting to take one or two pupils at the Archer Street College of Music ( so the Principal, Miss Kingston, said ) as a special favour to herself, who had ' the greatest admiration for her in every way. '"," K čemu potřebuje špendlíky - Julia Crayeová - když žije, jak to alespoň navenek vypadá, v chladném skleněném světě Bachových fug, hraje si sama pro sebe, co se jí líbí, a je svolná přijmout jednoho dva žáky v hudební škole v Archer Street ( jak říkala ředitelka slečna Kingstonová ), jen aby jí udělala laskavost, jí, která "" ji po všech stránkách velice obdivuje ""."
"cried","cry","zvolala","zvolat","pf"," ' Rotten at the heart! ' cried Miss Antonia."," "" Skrz naskrz zkažená! "" zvolala slečna Antonie."
"Remember","remember","Vzpomínáš","vzpomínat","impf"," ' Remember the Colonel 's letter."," "" Vzpomínáš si na plukovníkův dopis?"
"rode","ride","jel","jet","impf"," Your son rode as if he had twenty devils in him - charged at the head of his men."," "" Váš syn jel, jako by měl v těle tisíc ďáblů - útočil v čele svých mužů. '"
"charged","charge","útočil","útočit","impf"," Your son rode as if he had twenty devils in him - charged at the head of his men."," "" Váš syn jel, jako by měl v těle tisíc ďáblů - útočil v čele svých mužů. '"
"began","begin","začala","začít","pf"," The men of our house, ' began Miss Rashleigh."," "" Muži z našeho rodu, "" začala slečna Rashleighová."
"raised","raise","Pozvedla","pozvednout","pf"," She raised her glass."," Pozvedla sklenku."
"held","hold","Držela","držet","impf"," She held it high, as if she toasted the mermaid carved in plaster on the fireplace."," Držela ji vysoko, jako by připíjela na zdraví mořské panně ve štukování nad krbem."
"occurred","occur","vyskytují","vyskytovat","impf"," Such objects often occurred there - thrown away, of no use to anybody, shapeless, discarded."," V těch končinách se takové předměty vyskytují velice často - vyhozené, k nepotřebě, beztvaré, zavržené."
